Ranking,Preseason,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 14,Week 15,Final Rankings
1,USC,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Oregon,Notre Dame,Notre Dame,Alabama
2,Alabama,USC,USC,LSU,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Oregon,Kansas State,Alabama,Alabama,Oregon
3,LSU,LSU,LSU,Oregon,LSU,Florida State,South Carolina,Florida,Florida,Kansas State,Kansas State,Notre Dame,Georgia,Ohio State,Ohio State
4,Oklahoma,Oregon,Oregon,Florida State,Florida State,LSU,Florida,Kansas State,Kansas State,Notre Dame,Notre Dame,Alabama,Ohio State,Florida,Notre Dame
5,Oregon,Oklahoma,Oklahoma,Georgia,Georgia,Georgia,West Virginia,Notre Dame,Notre Dame,LSU,Ohio State,Georgia,Florida,Oregon,Georgia
6,Georgia,Florida State,Florida State,Oklahoma,South Carolina,South Carolina,Kansas State,LSU,LSU,Ohio State,Georgia,Ohio State,Oregon,Georgia,Texas A&M;
7,Florida State,Georgia,Georgia,South Carolina,Kansas State,Kansas State,Notre Dame,Ohio State,Oregon State,Georgia,Florida,Florida,Kansas State,Kansas State,Stanford
8,Michigan,Arkansas,South Carolina,West Virginia,Stanford,West Virginia,Ohio State,Oregon State,Oklahoma,Florida,Florida State,LSU,Stanford,Stanford,South Carolina
9,South Carolina,West Virginia,West Virginia,Stanford,West Virginia,Notre Dame,LSU,South Carolina,Ohio State,Florida State,LSU,Texas A&M;,LSU,LSU,Florida
10,Arkansas,South Carolina,Michigan State,Clemson,Notre Dame,Florida,Oregon State,Oklahoma,USC,Clemson,Clemson,Florida State,Texas A&M;,Texas A&M;,Florida State
11,West Virginia,Michigan State,Clemson,Notre Dame,Florida,Texas,USC,USC,Florida State,South Carolina,Louisville,Clemson,South Carolina,South Carolina,Clemson
12,Wisconsin,Clemson,Ohio State,Texas,Texas,Ohio State,Florida State,Florida State,Georgia,Louisville,South Carolina,South Carolina,Oklahoma,Oklahoma,Kansas State
13,Michigan State,Wisconsin,Virginia Tech,USC,USC,USC,Oklahoma,Georgia,Mississippi State,Oregon State,Oregon State,Oklahoma,Florida State,Florida State,Louisville
14,Clemson,Ohio State,Texas,Florida,Ohio State,Oregon State,Georgia,Clemson,Clemson,Oklahoma,Oklahoma,Stanford,Nebraska,Clemson,LSU
15,Texas,Virginia Tech,Kansas State,Kansas State,TCU,Clemson,Texas,Mississippi State,Texas Tech,Stanford,Texas A&M;,Oregon State,Clemson,Oregon State,Oklahoma
16,Virginia Tech,Nebraska,TCU,Ohio State,Oklahoma,TCU,Clemson,Louisville,Louisville,Texas A&M;,Stanford,Nebraska,Oregon State,Northern Illinois,Utah State
17,Nebraska,Texas,Michigan,TCU,Clemson,Oklahoma,Stanford,West Virginia,South Carolina,Mississippi State,UCLA,UCLA,UCLA,UCLA,Northwestern
18,Ohio State,Oklahoma State,Florida,Michigan,Oregon State,Stanford,Louisville,Texas Tech,Rutgers,USC,Nebraska,Texas,Kent State,Utah State,Boise State
19,Oklahoma State,Michigan,Louisville,UCLA,Louisville,Louisville,Mississippi State,Rutgers,Stanford,Boise State,Texas,Louisiana Tech,Northern Illinois,Michigan,Texas
20,TCU,TCU,Notre Dame,Louisville,Michigan State,Mississippi State,Rutgers,Texas A&M;,Michigan,Texas Tech,Louisiana Tech,Louisville,Utah State,Boise State,Oregon State
21,Stanford,Kansas State,Stanford,Michigan State,Mississippi State,Nebraska,Cincinnati,Cincinnati,Boise State,Nebraska,USC,USC,Michigan,Northwestern,San Jose State
22,Kansas State,Notre Dame,UCLA,Arizona,Nebraska,Rutgers,Texas A&M;,Stanford,Texas A&M;,Louisiana Tech,Mississippi State,Rutgers,Northwestern,Louisville,Northern Illinois
23,Florida,Louisville,Tennessee,Mississippi State,Rutgers,Washington,Louisiana Tech,Michigan,Ohio,West Virginia,Toledo,Michigan,Texas,Nebraska,Vanderbilt
24,Boise State,Florida,Arizona,Boise State,Boise State,Northwestern,Boise State,Boise State,Louisiana Tech,Arizona,Rutgers,Texas Tech,Oklahoma State,San Jose State,Michigan
25,Louisville,Stanford,BYU,Nebraska,Baylor,UCLA,Michigan,Ohio,West Virginia,UCLA,Texas Tech,Kent State,Boise State,Kent State,Nebraska
