Ranking,Preseason,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Final Rankings
1,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama,Clemson
2,Clemson,Clemson,Florida State,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Michigan,Michigan,Michigan,Ohio State,Ohio State,Ohio State,Ohio State,Alabama
3,Oklahoma,Florida State,Ohio State,Louisville,Louisville,Clemson,Clemson,Michigan,Clemson,Clemson,Clemson,Louisville,Michigan,Clemson,Clemson,USC
4,Florida State,Ohio State,Michigan,Michigan,Michigan,Michigan,Michigan,Clemson,Washington,Washington,Washington,Michigan,Clemson,Washington,Washington,Washington
5,LSU,Michigan,Clemson,Clemson,Clemson,Washington,Washington,Washington,Louisville,Louisville,Louisville,Clemson,Wisconsin,Michigan,Penn State,Oklahoma
6,Ohio State,Houston,Houston,Houston,Houston,Houston,Texas A&M;,Texas A&M;,Ohio State,Ohio State,Ohio State,Wisconsin,Washington,Wisconsin,Michigan,Ohio State
7,Michigan,Stanford,Stanford,Stanford,Stanford,Louisville,Louisville,Louisville,Nebraska,Texas A&M;,Wisconsin,Washington,Oklahoma,Oklahoma,Oklahoma,Penn State
8,Stanford,Washington,Washington,Michigan State,Wisconsin,Texas A&M;,Wisconsin,Nebraska,Baylor,Wisconsin,Auburn,Oklahoma,Penn State,Penn State,Wisconsin,Florida State
9,Tennessee,Georgia,Wisconsin,Washington,Texas A&M;,Tennessee,Tennessee,Baylor,Texas A&M;,Nebraska,Oklahoma,Penn State,Colorado,Colorado,USC,Wisconsin
10,Notre Dame,Wisconsin,Louisville,Texas A&M;,Washington,Miami,Nebraska,Wisconsin,West Virginia,Florida,Texas A&M;,West Virginia,Oklahoma State,USC,Florida State,Michigan
11,Ole Miss,Texas,Texas,Wisconsin,Tennessee,Wisconsin,Baylor,Houston,Wisconsin,Auburn,West Virginia,Utah,Louisville,Oklahoma State,Colorado,Oklahoma State
12,Michigan State,Michigan State,Michigan State,Georgia,Florida State,Nebraska,Ole Miss,West Virginia,Florida State,Oklahoma,Penn State,Colorado,USC,Florida State,Western Michigan,Stanford
13,TCU,Louisville,Iowa,Florida State,Baylor,Baylor,Houston,Florida State,Boise State,Baylor,Utah,Oklahoma State,Florida,Western Michigan,Oklahoma State,LSU
14,Washington,Oklahoma,Oklahoma,Tennessee,Miami,Ole Miss,Florida State,Boise State,Florida,West Virginia,Western Michigan,Western Michigan,Western Michigan,West Virginia,West Virginia,Florida
15,Houston,TCU,Tennessee,Miami,Nebraska,Stanford,Boise State,Florida,Auburn,LSU,North Carolina,USC,Florida State,Florida,Louisville,Western Michigan
16,UCLA,Iowa,Georgia,Baylor,Ole Miss,Arkansas,Miami,Oklahoma,Oklahoma,Utah,Colorado,LSU,Auburn,Louisville,Stanford,Virginia Tech
17,Iowa,Tennessee,Texas A&M;,Arkansas,Michigan State,North Carolina,Virginia Tech,Arkansas,Utah,Western Michigan,Oklahoma State,Florida State,Nebraska,Stanford,Auburn,Colorado
18,Georgia,Notre Dame,Notre Dame,LSU,Utah,Florida,Florida,Tennessee,Tennessee,North Carolina,Virginia Tech,Auburn,Houston,Auburn,Virginia Tech,West Virginia
19,Louisville,Ole Miss,Ole Miss,Florida,San Diego State,Boise State,Oklahoma,Utah,LSU,Florida State,LSU,Nebraska,West Virginia,Virginia Tech,LSU,South Florida
20,USC,Texas A&M;,LSU,Nebraska,Arkansas,Oklahoma,West Virginia,Western Michigan,Western Michigan,Penn State,Florida State,Washington State,Boise State,Navy,Florida,Miami
21,Oklahoma State,LSU,Baylor,Texas,TCU,Colorado,Utah,Auburn,North Carolina,Colorado,Nebraska,Florida,Utah,LSU,Iowa,Louisville
22,North Carolina,Oklahoma State,Oregon,San Diego State,Texas,West Virginia,Arkansas,North Carolina,Navy,Oklahoma State,Florida,Boise State,Texas A&M;,Iowa,Pittsburgh,Tennessee
23,Baylor,Baylor,Florida,Ole Miss,Florida,Florida State,Auburn,Ole Miss,Colorado,Virginia Tech,Washington State,Texas A&M;,Washington State,Nebraska,Temple,Utah
24,Oregon,Oregon,Arkansas,Utah,Boise State,Utah,Western Michigan,Navy,Penn State,Boise State,Boise State,San Diego State,Tennessee,Pittsburgh,Nebraska,Auburn
25,Florida,Miami,Miami,Oklahoma,Georgia,Virginia Tech,Navy,LSU,Virginia Tech,Washington State,Baylor,Troy,LSU,South Florida,South Florida,San Diego State
