Ranking,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15
1,Alabama,Alabama,Alabama,Alabama,Alabama,Alabama
2,Clemson,Clemson,Ohio State,Ohio State,Ohio State,Clemson
3,Michigan,Michigan,Michigan,Michigan,Clemson,Ohio State
4,Texas A&M;,Washington,Clemson,Clemson,Washington,Washington
5,Washington,Ohio State,Louisville,Washington,Michigan,Penn State
6,Ohio State,Louisville,Washington,Wisconsin,Wisconsin,Michigan
7,Louisville,Wisconsin,Wisconsin,Penn State,Penn State,Oklahoma
8,Wisconsin,Texas A&M;,Penn State,Oklahoma,Colorado,Wisconsin
9,Auburn,Auburn,Oklahoma,Colorado,Oklahoma,USC
10,Nebraska,Penn State,Colorado,Oklahoma State,Oklahoma State,Colorado
11,Florida,Oklahoma,Oklahoma State,Louisville,USC,Florida State
12,Penn State,Colorado,Utah,USC,Florida State,Oklahoma State
13,LSU,Oklahoma State,USC,Auburn,Louisville,Louisville
14,Oklahoma,Virginia Tech,West Virginia,Florida State,Auburn,Auburn
15,Colorado,Utah,Auburn,Florida,Florida,Western Michigan
16,Utah,West Virginia,LSU,Nebraska,West Virginia,West Virginia
17,Baylor,North Carolina,Florida State,Tennessee,Western Michigan,Florida
18,Oklahoma State,Florida State,Nebraska,West Virginia,Stanford,Stanford
19,Virginia Tech,Nebraska,Tennessee,Boise State,Navy,Utah
20,West Virginia,USC,Boise State,Houston,Utah,LSU
21,North Carolina,Western Michigan,Western Michigan,Western Michigan,LSU,Tennessee
22,Florida State,Boise State,Washington State,Utah,Tennessee,Virginia Tech
23,Western Michigan,Washington State,Florida,Washington State,Virginia Tech,Pittsburgh
24,Boise State,LSU,Stanford,Stanford,Houston,Temple
25,Washington State,Arkansas,Texas A&M;,Navy,Pittsburgh,Navy
