Ranking,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15
1,LSU,LSU,LSU,LSU,LSU,LSU,LSU,LSU
2,Alabama,Alabama,Alabama,Oklahoma State,Oklahoma State,Alabama,Alabama,Alabama
3,Oklahoma,Oklahoma State,Oklahoma State,Alabama,Alabama,Arkansas,Oklahoma State,Oklahoma State
4,Oklahoma State,Boise State,Stanford,Stanford,Oregon,Oklahoma State,Stanford,Stanford
5,Boise State,Clemson,Boise State,Boise State,Oklahoma,Virginia Tech,Oregon,Oregon
6,Wisconsin,Stanford,Oklahoma,Oklahoma,Arkansas,Stanford,Arkansas,Arkansas
7,Clemson,Oregon,Arkansas,Oregon,Clemson,Boise State,Boise State,Boise State
8,Stanford,Kansas State,Oregon,Arkansas,Virginia Tech,Houston,Kansas State,Kansas State
9,Arkansas,Oklahoma,South Carolina,Clemson,Stanford,Oklahoma,South Carolina,South Carolina
10,Oregon,Arkansas,Nebraska,Virginia Tech,Boise State,Oregon,Wisconsin,Wisconsin
11,Kansas State,Michigan State,Clemson,Houston,Houston,Kansas State,Virginia Tech,Virginia Tech
12,Virginia Tech,Virginia Tech,Virginia Tech,Penn State,South Carolina,South Carolina,Baylor,Baylor
13,Nebraska,South Carolina,Houston,South Carolina,Kansas State,Georgia,Michigan,Michigan
14,South Carolina,Nebraska,Kansas State,Kansas State,Georgia,Michigan State,Oklahoma,Oklahoma
15,West Virginia,Wisconsin,Michigan,Georgia,Michigan State,Michigan,Clemson,Clemson
16,Michigan State,Texas A&M;,Penn State,Texas,Nebraska,Wisconsin,Georgia,Georgia
17,Texas A&M;,Houston,Michigan State,Michigan State,Wisconsin,Clemson,Michigan State,Michigan State
18,Michigan,Michigan,Georgia,Wisconsin,Michigan,Baylor,TCU,TCU
19,Houston,Penn State,Arizona State,Nebraska,TCU,Penn State,Houston,Houston
20,Auburn,Texas Tech,Wisconsin,Auburn,Southern Mississippi,TCU,Nebraska,Nebraska
21,Penn State,Arizona State,Texas,Georgia Tech,Penn State,Nebraska,Southern Mississippi,Southern Mississippi
22,Georgia Tech,Georgia,Auburn,Southern Mississippi,Baylor,Notre Dame,Penn State,Penn State
23,Illinois,Auburn,Georgia Tech,Cincinnati,Texas,Georgia Tech,West Virginia,West Virginia
24,Texas,Texas,West Virginia,Michigan,Auburn,Auburn,Texas,Texas
25,Washington,West Virginia,Southern Mississippi,Baylor,Florida State,Texas,Auburn,Auburn
