,Ranking,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15
0,1,Ohio State,Ohio State,Ohio State,Ohio State,LSU,LSU,Missouri,Ohio State
1,2,South Florida,Boston College,Boston College,LSU,Oregon,Kansas,West Virginia,LSU
2,3,Boston College,LSU,LSU,Oregon,Kansas,West Virginia,Ohio State,Virginia Tech
3,4,LSU,Arizona State,Arizona State,Kansas,Oklahoma,Missouri,Georgia,Oklahoma
4,5,Oklahoma,Oregon,Oregon,Oklahoma,Missouri,Ohio State,Kansas,Georgia
5,6,South Carolina,Oklahoma,Oklahoma,Missouri,West Virginia,Arizona State,Virginia Tech,Missouri
6,7,Kentucky,West Virginia,West Virginia,West Virginia,Ohio State,Georgia,LSU,USC
7,8,Arizona State,Virginia Tech,Kansas,Boston College,Arizona State,Virginia Tech,USC,Kansas
8,9,West Virginia,Kansas,Missouri,Arizona State,Georgia,Oregon,Oklahoma,West Virginia
9,10,Oregon,South Florida,Georgia,Georgia,Virginia Tech,Oklahoma,Florida,Hawai'i
10,11,Virginia Tech,Florida,Virginia Tech,Virginia Tech,USC,USC,Boston College,Arizona State
11,12,California,USC,Michigan,Michigan,Florida,Florida,Hawai'i,Florida
12,13,Kansas,Missouri,Connecticut,Connecticut,Texas,Texas,Arizona State,Illinois
13,14,USC,Kentucky,Hawai'i,Texas,Virginia,Boston College,Tennessee,Boston College
14,15,Florida,Virginia,Texas,Florida,Clemson,Hawai'i,Illinois,Clemson
15,16,Missouri,South Carolina,Auburn,Hawai'i,Hawai'i,Virginia,Clemson,Tennessee
16,17,Auburn,Hawai'i,Alabama,USC,Boston College,Illinois,Oregon,BYU
17,18,Hawai'i,Georgia,South Florida,Auburn,Boise State,Tennessee,Wisconsin,Wisconsin
18,19,Virginia,Texas,USC,Virginia,Illinois,Boise State,BYU,Texas
19,20,Georgia,Michigan,Florida,Boise State,Tennessee,Connecticut,Texas,Virginia
20,21,Tennessee,California,Wisconsin,Clemson,Michigan,Wisconsin,South Florida,South Florida
21,22,Texas,Auburn,Boise State,Alabama,Cincinnati,Clemson,Virginia,Cincinnati
22,23,Cincinnati,Connecticut,Virginia,Penn State,Kentucky,South Florida,Cincinnati,Auburn
23,24,Texas Tech,Alabama,Wake Forest,Tennessee,Connecticut,Cincinnati,Auburn,Boise State
24,25,Michigan,Penn State,Clemson,Kentucky,Wisconsin,BYU,Boise State,Connecticut
