Ranking,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15
1,Florida,Florida,Florida,Florida,Florida,Florida,Florida,Alabama
2,Alabama,Alabama,Texas,Alabama,Alabama,Alabama,Alabama,Texas
3,Texas,Texas,Alabama,Texas,Texas,Texas,Texas,Cincinnati
4,Boise State,Iowa,Iowa,TCU,TCU,TCU,TCU,TCU
5,Cincinnati,USC,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Cincinnati,Florida
6,Iowa,TCU,TCU,Boise State,Boise State,Boise State,Boise State,Boise State
7,USC,Boise State,Boise State,Georgia Tech,Georgia Tech,Georgia Tech,Oregon,Oregon
8,TCU,Cincinnati,Oregon,LSU,LSU,Oregon,Ohio State,Ohio State
9,LSU,LSU,LSU,USC,Pittsburgh,Pittsburgh,Iowa,Georgia Tech
10,Miami,Oregon,Georgia Tech,Iowa,Ohio State,Ohio State,Georgia Tech,Iowa
11,Oregon,Georgia Tech,Penn State,Ohio State,Oregon,Iowa,Penn State,Virginia Tech
12,Georgia Tech,Penn State,USC,Pittsburgh,Oklahoma State,Oklahoma State,Virginia Tech,LSU
13,Penn State,Virginia Tech,Pittsburgh,Oregon,Iowa,Penn State,LSU,Penn State
14,Virginia Tech,Oklahoma State,Utah,Miami,Penn State,Virginia Tech,BYU,BYU
15,Oklahoma State,Pittsburgh,Houston,Houston,Virginia Tech,LSU,Pittsburgh,Miami
16,BYU,Utah,Ohio State,Utah,Wisconsin,Oregon State,Oregon State,West Virginia
17,Houston,Ohio State,Miami,Arizona,Stanford,Miami,Miami,Pittsburgh
18,Utah,Houston,Arizona,Penn State,USC,Clemson,USC,Oregon State
19,Ohio State,Miami,Oklahoma State,Oklahoma State,Oregon State,BYU,California,Oklahoma State
20,Pittsburgh,Arizona,California,Wisconsin,Miami,USC,Oklahoma State,Arizona
21,Wisconsin,West Virginia,Wisconsin,Virginia Tech,Utah,Utah,Houston,Stanford
22,Arizona,South Carolina,Notre Dame,BYU,BYU,California,Nebraska,Nebraska
23,West Virginia,Notre Dame,Virginia Tech,Oregon State,Clemson,Houston,West Virginia,Utah
24,South Carolina,California,Oklahoma,South Florida,Houston,North Carolina,Stanford,USC
25,Kansas,Ole Miss,South Florida,West Virginia,California,Ole Miss,Utah,Wisconsin
