,Ranking,Preseason,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Final Rankings
0,1,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Clemson,Clemson,Clemson,Clemson,Clemson,Alabama
1,2,TCU,Alabama,Alabama,Michigan State,Michigan State,TCU,Baylor,Baylor,Baylor,Baylor,Ohio State,Ohio State,Alabama,Alabama,Alabama,Clemson
2,3,Alabama,TCU,TCU,Ole Miss,Ole Miss,Baylor,TCU,Utah,Clemson,Clemson,Alabama,Alabama,Iowa,Oklahoma,Michigan State,Stanford
3,4,Baylor,Baylor,Michigan State,TCU,TCU,Michigan State,Utah,TCU,LSU,LSU,Baylor,Oklahoma State,Notre Dame,Iowa,Oklahoma,Ohio State
4,5,Michigan State,Michigan State,Baylor,Baylor,Baylor,Utah,Clemson,LSU,TCU,TCU,Oklahoma State,Notre Dame,Oklahoma,Michigan State,Stanford,Oklahoma
5,6,Auburn,Auburn,USC,Notre Dame,Notre Dame,Clemson,LSU,Clemson,Michigan State,Michigan State,Notre Dame,Iowa,Michigan State,Ohio State,Iowa,Michigan State
6,7,Oregon,Oregon,Georgia,Georgia,UCLA,LSU,Michigan State,Michigan State,Alabama,Alabama,Stanford,Oklahoma,Baylor,Stanford,Ohio State,TCU
7,8,USC,USC,Notre Dame,LSU,Georgia,Alabama,Florida,Alabama,Stanford,Notre Dame,Iowa,Florida,Ohio State,North Carolina,Notre Dame,Houston
8,9,Georgia,Notre Dame,Florida State,UCLA,LSU,Texas A&M;,Texas A&M;,Florida State,Notre Dame,Stanford,LSU,Michigan State,Oklahoma State,Notre Dame,Florida State,Iowa
9,10,Florida State,Georgia,UCLA,Florida State,Utah,Oklahoma,Alabama,Stanford,Iowa,Iowa,Utah,Baylor,Florida,Florida State,North Carolina,Ole Miss
10,11,Notre Dame,Florida State,Clemson,Clemson,Florida State,Florida,Florida State,Notre Dame,Florida,Florida,Florida,TCU,North Carolina,TCU,TCU,Notre Dame
11,12,Clemson,Clemson,Oregon,Alabama,Clemson,Florida State,Michigan,Iowa,Oklahoma State,Oklahoma State,Oklahoma,North Carolina,Michigan,Baylor,Northwestern,Michigan
12,13,UCLA,UCLA,LSU,Oregon,Alabama,Northwestern,Ole Miss,Florida,Utah,Utah,TCU,Houston,Stanford,Northwestern,Oklahoma State,Baylor
13,14,LSU,LSU,Georgia Tech,Texas A&M;,Texas A&M;,Ole Miss,Notre Dame,Oklahoma State,Oklahoma,Oklahoma,Michigan State,Michigan,Florida State,Oklahoma State,Houston,Florida State
14,15,Arizona State,Georgia Tech,Ole Miss,Oklahoma,Oklahoma,Notre Dame,Stanford,Michigan,Michigan,Memphis,Michigan,Stanford,TCU,Oregon,Oregon,North Carolina
15,16,Georgia Tech,Texas A&M;,Oklahoma,Arizona,Northwestern,Stanford,Oklahoma State,Texas A&M;,Memphis,Michigan,Houston,Florida State,Navy,Ole Miss,Ole Miss,LSU
16,17,Ole Miss,Ole Miss,Texas A&M;,Northwestern,USC,USC,Iowa,Oklahoma,Florida State,Florida State,North Carolina,LSU,Northwestern,Houston,Michigan,Utah
17,18,Arkansas,Arkansas,Auburn,Utah,Stanford,Michigan,UCLA,Memphis,Houston,Houston,UCLA,Utah,Oregon,Florida,Baylor,Navy
18,19,Oklahoma,Oklahoma,BYU,USC,Wisconsin,Georgia,Oklahoma,Toledo,Ole Miss,Ole Miss,Florida State,Navy,Ole Miss,Michigan,Florida,Oregon
19,20,Wisconsin,Boise State,Arizona,Georgia Tech,Oklahoma State,UCLA,Northwestern,California,Toledo,Toledo,Mississippi State,Northwestern,Washington State,Temple,Utah,Oklahoma State
20,21,Stanford,Missouri,Utah,Stanford,Mississippi State,Oklahoma State,Boise State,Houston,Temple,North Carolina,Temple,Wisconsin,Houston,Utah,Navy,Wisconsin
21,22,Arizona,Arizona,Missouri,Wisconsin,Michigan,Iowa,Toledo,Temple,Duke,UCLA,Navy,USC,UCLA,Navy,LSU,Tennessee
22,23,Boise State,Tennessee,Northwestern,BYU,West Virginia,California,California,Duke,Pittsburgh,Temple,Wisconsin,Oregon,Mississippi State,LSU,Wisconsin,Northwestern
23,24,Missouri,Utah,Wisconsin,Oklahoma State,California,Toledo,Houston,Ole Miss,UCLA,Mississippi State,Northwestern,Washington State,Toledo,USC,Temple,Western Kentucky
24,25,Tennessee,Mississippi State,Oklahoma State,Missouri,Florida,Boise State,Duke,Pittsburgh,Mississippi State,Texas A&M;,Memphis,Ole Miss,Temple,Wisconsin,Western Kentucky,Florida
