Ranking,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15
1,Alabama,Alabama,Alabama,Alabama,Kansas State,Notre Dame,Notre Dame,Notre Dame
2,Florida,Florida,Kansas State,Kansas State,Oregon,Alabama,Alabama,Alabama
3,Oregon,Kansas State,Notre Dame,Oregon,Notre Dame,Georgia,Georgia,Florida
4,Kansas State,Oregon,Oregon,Notre Dame,Alabama,Florida,Florida,Oregon
5,Notre Dame,Notre Dame,LSU,Georgia,Georgia,Oregon,Oregon,Kansas State
6,LSU,LSU,Georgia,Florida,Florida,Kansas State,Kansas State,Stanford
7,South Carolina,Oregon State,Florida,LSU,LSU,LSU,LSU,Georgia
8,Oregon State,Oklahoma,South Carolina,South Carolina,Texas A&M;,Stanford,Stanford,LSU
9,Oklahoma,USC,Florida State,Louisville,South Carolina,Texas A&M;,Texas A&M;,Texas A&M;
10,USC,Georgia,Louisville,Florida State,Florida State,Florida State,South Carolina,South Carolina
11,Georgia,Mississippi State,Oregon State,Oregon State,Clemson,Clemson,Oklahoma,Oklahoma
12,Mississippi State,Florida State,Oklahoma,Oklahoma,Oklahoma,South Carolina,Nebraska,Florida State
13,West Virginia,South Carolina,Clemson,Clemson,Stanford,Oklahoma,Florida State,Oregon State
14,Florida State,Texas Tech,Stanford,Stanford,Nebraska,Nebraska,Clemson,Clemson
15,Rutgers,Rutgers,Mississippi State,Texas A&M;,Texas,Oregon State,Oregon State,Northern Illinois
16,Louisville,Louisville,Texas A&M;,Nebraska,Oregon State,Texas,UCLA,Nebraska
17,Texas Tech,Stanford,USC,Texas,UCLA,UCLA,Kent State,UCLA
18,Texas A&M;,Clemson,Texas Tech,UCLA,USC,Rutgers,Texas,Michigan
19,Clemson,West Virginia,Boise State,USC,Louisville,Michigan,Michigan,Boise State
20,Stanford,Texas A&M;,Nebraska,Louisiana Tech,Louisiana Tech,Louisville,Boise State,Northwestern
21,Cincinnati,Boise State,West Virginia,Mississippi State,Michigan,Oklahoma State,Northern Illinois,Louisville
22,Boise State,Michigan,Arizona,Texas Tech,Rutgers,Boise State,Northwestern,Utah State
23,TCU,Texas,Texas,Rutgers,Texas Tech,Kent State,Oklahoma State,Texas
24,Iowa State,Ohio,Oklahoma State,Northwestern,Oklahoma State,Arizona,Utah State,San Jose State
25,Texas,Wisconsin,Louisiana Tech,Toledo,Washington,Washington,San Jose State,Kent State
