Ranking,Preseason,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Final Rankings
1,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Ohio State,Florida
2,Notre Dame,Texas,Notre Dame,Auburn,Auburn,Auburn,Florida,Michigan,Michigan,Michigan,Michigan,Michigan,Michigan,USC,Florida,Ohio State
3,Texas,USC,Auburn,USC,USC,USC,USC,USC,USC,West Virginia,Louisville,Florida,USC,Michigan,Michigan,LSU
4,Auburn,Notre Dame,USC,West Virginia,West Virginia,West Virginia,Michigan,West Virginia,West Virginia,Texas,Texas,USC,Florida,Florida,LSU,USC
5,West Virginia,Auburn,West Virginia,Florida,Florida,Florida,West Virginia,Texas,Texas,Louisville,Auburn,Arkansas,Arkansas,LSU,Louisville,Boise State
6,USC,West Virginia,LSU,Michigan,Michigan,Michigan,Texas,Louisville,Louisville,Auburn,Florida,Notre Dame,Notre Dame,Louisville,Wisconsin,Louisville
7,Florida,Florida,Florida,Texas,Texas,Texas,Louisville,Tennessee,Auburn,Florida,USC,Rutgers,West Virginia,Wisconsin,Oklahoma,Wisconsin
8,LSU,LSU,Texas,Louisville,Louisville,Louisville,Tennessee,Auburn,Tennessee,Tennessee,California,West Virginia,Louisville,Oklahoma,USC,Michigan
9,California,Florida State,Florida State,Georgia,LSU,LSU,Notre Dame,Florida,Florida,USC,Notre Dame,LSU,LSU,Arkansas,Boise State,Auburn
10,Oklahoma,Michigan,Georgia,LSU,Georgia,Georgia,California,Notre Dame,Clemson,California,West Virginia,Louisville,Wisconsin,Boise State,Auburn,West Virginia
11,Florida State,Tennessee,Michigan,Virginia Tech,Virginia Tech,Oregon,Auburn,California,Notre Dame,Notre Dame,Arkansas,Texas,Texas,Auburn,Notre Dame,Oklahoma
12,Miami,Georgia,Louisville,Notre Dame,Notre Dame,Notre Dame,Clemson,Clemson,California,Arkansas,LSU,Wisconsin,Boise State,Notre Dame,Arkansas,Rutgers
13,Louisville,Louisville,Tennessee,Oregon,Iowa,Tennessee,Georgia Tech,Georgia Tech,Arkansas,LSU,Tennessee,Boise State,Oklahoma,Rutgers,West Virginia,Texas
14,Michigan,Iowa,Virginia Tech,Iowa,Oregon,Oklahoma,LSU,LSU,LSU,Boise State,Boise State,Wake Forest,Auburn,Virginia Tech,Virginia Tech,California
15,Georgia,Oklahoma,Oklahoma,Tennessee,Tennessee,Clemson,Iowa,Arkansas,Boise State,Rutgers,Rutgers,Auburn,Rutgers,West Virginia,Wake Forest,Arkansas
16,Iowa,Virginia Tech,Iowa,TCU,Oklahoma,California,Georgia,Oregon,Rutgers,Boston College,Wisconsin,Oklahoma,Georgia Tech,Wake Forest,Rutgers,BYU
17,Virginia Tech,Miami,Miami,Oklahoma,TCU,Florida State,Arkansas,Nebraska,Wisconsin,Wisconsin,Oklahoma,California,Virginia Tech,Tennessee,Tennessee,Notre Dame
18,Clemson,Clemson,Oregon,Florida State,Clemson,Georgia Tech,Oregon,Boise State,Boston College,Oklahoma,Wake Forest,Georgia Tech,Boston College,Texas,Texas,Wake Forest
19,Penn State,Penn State,Nebraska,Clemson,Florida State,Iowa,Missouri,Rutgers,Oklahoma,Clemson,Georgia Tech,Virginia Tech,Tennessee,Nebraska,BYU,Virginia Tech
20,Nebraska,Oregon,TCU,Boston College,California,Boise State,Boise State,Oklahoma,Nebraska,Georgia Tech,Virginia Tech,Boston College,Wake Forest,BYU,California,Boston College
21,Oregon,Nebraska,California,California,Nebraska,Virginia Tech,Nebraska,Wisconsin,Georgia Tech,Texas A&M;,Oregon,Maryland,BYU,California,Texas A&M;,Oregon State
22,TCU,California,Arizona State,Arizona State,Boise State,Nebraska,Virginia Tech,Boston College,Texas A&M;,Wake Forest,Boston College,Tennessee,California,Texas A&M;,Nebraska,TCU
23,Tennessee,TCU,Boston College,Nebraska,Rutgers,Missouri,Oklahoma,Texas A&M;,Missouri,Virginia Tech,Maryland,BYU,Nebraska,Georgia Tech,Boston College,Georgia
24,Arizona State,Texas Tech,Texas Tech,Penn State,Georgia Tech,Rutgers,Rutgers,Missouri,Wake Forest,Oregon,Texas A&M;,Nebraska,Clemson,Hawai'i,Oregon State,Penn State
25,Texas Tech,Arizona State,Penn State,Boise State,Missouri,Boston College,Wisconsin,Wake Forest,Oregon,Washington State,BYU,Clemson,Hawai'i,Boston College,TCU,Tennessee
