Conference,Division,School,Conf W,Conf L,Conf PF,Conf PA,Over W,Over L,Over PF,Over PA,Home W,Home L,Away W,Away L,STRK,AP W,AP L,USA W,USA L,Year
Atlantic Coast,Atlantic,Wake Forest,7,2,184,151,11,3,302,215,4,3,7,0,L1,1,2,1,2,2006
Atlantic Coast,Atlantic,Boston College,5,3,189,133,10,3,338,204,8,0,2,3,W1,2,1,2,1,2006
Atlantic Coast,Atlantic,Maryland,5,3,171,198,9,4,284,284,7,1,2,3,W1,0,3,0,3,2006
Atlantic Coast,Atlantic,Clemson,5,3,209,136,8,5,425,210,5,2,3,3,L2,1,2,1,2,2006
Atlantic Coast,Atlantic,Florida State,3,5,180,166,7,6,345,258,4,4,3,2,W1,0,3,0,3,2006
Atlantic Coast,Atlantic,NC State,2,6,137,174,3,9,210,262,3,4,0,5,-,1,1,1,1,2006
Atlantic Coast,Coastal,Georgia Tech,7,2,219,164,9,5,349,257,6,2,3,3,L3,1,4,1,3,2006
Atlantic Coast,Coastal,Virginia Tech,6,2,186,93,10,3,336,143,7,2,3,1,L1,1,2,1,1,2006
Atlantic Coast,Coastal,Virginia,4,4,124,116,5,7,181,214,4,2,1,5,-,0,1,0,1,2006
Atlantic Coast,Coastal,Miami,4,5,178,137,7,6,255,201,5,2,2,4,W2,1,2,1,2,2006
Atlantic Coast,Coastal,North Carolina,2,6,109,221,3,9,216,366,2,5,1,4,-,0,4,0,4,2006
Atlantic Coast,Coastal,Duke,0,8,124,280,0,12,179,406,0,7,0,5,-,0,3,0,3,2006
Big 12,North,Nebraska,6,3,243,194,9,5,428,256,6,2,3,3,L2,0,4,0,4,2006
Big 12,North,Missouri,4,4,214,178,8,5,391,254,6,2,2,3,L1,0,2,0,2,2006
Big 12,North,Kansas State,4,4,188,218,7,6,296,309,6,3,1,3,L2,1,2,1,2,2006
Big 12,North,Kansas,3,5,234,225,6,6,348,306,5,2,1,4,-,0,0,0,0,2006
Big 12,North,Colorado,2,6,160,199,2,10,196,267,2,4,0,6,-,0,2,0,1,2006
Big 12,North,Iowa State,1,7,120,262,4,8,226,369,4,3,0,5,-,0,2,0,2,2006
Big 12,South,Oklahoma,8,1,229,128,11,3,424,242,7,2,4,1,L1,0,2,0,2,2006
Big 12,South,Texas,6,2,270,173,10,3,467,238,5,2,5,1,W1,1,1,1,1,2006
Big 12,South,Texas A&M;,5,3,193,174,9,4,362,267,5,3,4,1,L1,1,2,1,2,2006
Big 12,South,Texas Tech,4,4,240,235,8,5,422,326,4,2,4,3,W2,0,3,0,3,2006
Big 12,South,Oklahoma State,3,5,264,243,7,6,458,333,4,2,3,4,W1,0,2,0,2,2006
Big 12,South,Baylor,3,5,194,320,4,8,283,391,3,4,1,4,-,0,3,0,3,2006
Big East,,Louisville,6,1,247,141,12,1,491,212,6,0,6,1,W4,2,1,2,1,2006
Big East,,Rutgers,5,2,182,146,11,2,387,186,6,0,5,2,W1,1,1,1,1,2006
Big East,,West Virginia,5,2,259,186,11,2,505,282,7,1,4,1,W2,1,1,1,1,2006
Big East,,South Florida,4,3,145,133,9,4,299,220,5,1,4,3,W2,1,2,1,2,2006
Big East,,Cincinnati,4,3,152,141,8,5,274,255,7,1,1,4,W3,1,4,1,4,2006
Big East,,Pittsburgh,2,5,172,207,6,6,381,274,3,4,3,2,-,0,3,0,3,2006
Big East,,Connecticut,1,6,140,238,4,8,257,324,3,4,1,4,-,0,4,0,4,2006
Big East,,Syracuse,1,6,81,186,4,8,209,295,3,3,1,5,-,0,4,0,4,2006
Big Ten,,Ohio State,8,0,305,92,12,1,443,163,7,1,5,0,L1,3,1,3,1,2006
