Conference,Division,School,Conf W,Conf L,Conf PF,Conf PA,Over W,Over L,Over PF,Over PA,Home W,Home L,Away W,Away L,STRK,AP W,AP L,USA W,USA L,Year
Atlantic Coast,Atlantic,Clemson,6,2,268,169,9,5,436,286,7,2,2,3,W1,1,3,1,3,2009
Atlantic Coast,Atlantic,Boston College,5,3,174,196,8,5,322,257,6,1,2,4,L1,0,3,0,2,2009
Atlantic Coast,Atlantic,Florida State,4,4,268,278,7,6,391,390,4,3,3,3,W1,2,4,2,3,2009
Atlantic Coast,Atlantic,Wake Forest,3,5,226,254,5,7,316,315,4,3,1,4,-,0,3,0,2,2009
Atlantic Coast,Atlantic,NC State,2,6,213,315,5,7,364,374,5,3,0,4,-,1,2,1,1,2009
Atlantic Coast,Atlantic,Maryland,1,7,161,222,2,10,256,375,2,5,0,5,-,1,1,0,1,2009
Atlantic Coast,Coastal,Georgia Tech,7,1,261,180,11,3,473,347,5,2,6,1,L1,3,2,1,2,2009
Atlantic Coast,Coastal,Virginia Tech,6,2,269,127,10,3,414,203,5,2,5,1,W5,2,2,2,2,2009
Atlantic Coast,Coastal,Miami,5,3,253,215,9,4,394,288,5,1,4,3,L1,1,3,1,2,2009
Atlantic Coast,Coastal,North Carolina,4,4,167,158,8,5,309,222,5,3,3,2,L2,2,2,2,2,2009
Atlantic Coast,Coastal,Duke,3,5,186,239,5,7,302,340,2,4,3,3,-,0,3,0,3,2009
Atlantic Coast,Coastal,Virginia,2,6,123,216,3,9,232,316,1,6,2,3,-,0,5,0,4,2009
Big 12,North,Nebraska,6,2,150,105,10,4,352,146,6,3,4,1,W1,0,3,0,3,2009
Big 12,North,Missouri,4,4,217,233,8,5,377,330,3,4,5,1,L1,0,2,0,3,2009
Big 12,North,Kansas State,4,4,182,216,6,6,276,280,5,1,1,5,-,0,2,0,2,2009
Big 12,North,Iowa State,3,5,151,195,7,6,267,284,5,3,2,3,W1,1,1,1,2,2009
Big 12,North,Colorado,2,6,164,234,3,9,267,346,3,3,0,6,-,0,3,0,4,2009
Big 12,North,Kansas,1,7,191,287,5,7,353,341,4,3,1,4,-,0,3,0,3,2009
