Conference,Division,School,Conf W,Conf L,Conf PF,Conf PA,Over W,Over L,Over PF,Over PA,Home W,Home L,Away W,Away L,STRK,AP W,AP L,USA W,USA L,Year
American Athletic,,UCF,8,0,263,169,12,1,450,277,5,1,7,0,W9,2,1,2,1,2013
American Athletic,,Louisville,7,1,229,122,12,1,457,158,7,1,5,0,W6,0,1,0,1,2013
American Athletic,,Cincinnati,6,2,261,173,9,4,417,273,5,1,4,3,L2,0,1,0,1,2013
American Athletic,,Houston,5,3,209,128,8,5,431,283,4,3,4,2,L1,0,3,0,3,2013
American Athletic,,SMU,4,4,237,239,5,7,321,400,3,3,2,4,-,0,2,0,2,2013
American Athletic,,Connecticut,3,5,175,233,3,9,247,363,2,5,1,4,-,0,2,0,2,2013
American Athletic,,Rutgers,3,5,184,272,6,7,345,387,5,2,1,5,L1,0,3,0,3,2013
American Athletic,,South Florida,2,6,107,192,2,10,165,343,1,6,1,4,-,0,3,0,3,2013
American Athletic,,Temple,1,7,207,260,2,10,299,358,1,5,1,5,-,0,3,0,3,2013
American Athletic,,Memphis,1,7,153,237,3,9,234,295,2,5,1,4,-,0,3,0,3,2013
Atlantic Coast,Atlantic,Florida State,8,0,411,98,14,0,723,170,8,0,6,0,W14,3,0,3,0,2013
Atlantic Coast,Atlantic,Clemson,7,1,323,168,11,2,522,288,6,1,5,1,W1,1,2,1,2,2013
Atlantic Coast,Atlantic,Syracuse,4,4,124,225,7,6,295,330,4,2,3,4,W2,0,2,0,2,2013
Atlantic Coast,Atlantic,Boston College,4,4,214,224,7,6,360,376,5,2,2,4,L2,0,3,0,3,2013
Atlantic Coast,Atlantic,Maryland,3,5,161,257,7,6,340,329,4,4,3,2,L1,0,2,0,2,2013
Atlantic Coast,Atlantic,Wake Forest,2,6,124,227,4,8,220,289,3,3,1,5,-,0,4,0,4,2013
Atlantic Coast,Atlantic,NC State,0,8,135,271,3,9,274,362,3,5,0,4,-,0,3,0,3,2013
Atlantic Coast,Coastal,Duke,6,2,258,224,10,4,459,373,5,2,5,2,L2,0,2,0,2,2013
Atlantic Coast,Coastal,Virginia Tech,5,3,182,140,8,5,293,251,4,3,4,2,L1,0,3,0,3,2013
Atlantic Coast,Coastal,Miami,5,3,250,262,9,4,440,348,6,1,3,3,L1,0,3,0,3,2013
Atlantic Coast,Coastal,Georgia Tech,5,3,249,186,7,6,456,297,5,3,2,3,L2,1,1,1,1,2013
Atlantic Coast,Coastal,North Carolina,4,4,225,179,7,6,425,318,5,3,2,3,W1,0,2,0,2,2013
Atlantic Coast,Coastal,Pittsburgh,3,5,179,230,7,6,342,353,4,3,3,3,W1,2,1,2,1,2013
Atlantic Coast,Coastal,Virginia,0,8,132,276,2,10,237,399,2,6,0,4,-,0,3,0,3,2013
Big 12,,Baylor,8,1,430,231,11,2,681,306,8,1,3,1,L1,1,2,1,2,2013
Big 12,,Oklahoma,7,2,262,215,11,2,427,287,6,0,5,2,W4,3,1,3,1,2013
Big 12,,Oklahoma State,7,2,341,199,10,3,508,281,6,1,4,2,L2,1,2,1,2,2013
Big 12,,Texas,7,2,274,215,8,5,381,336,5,3,3,2,L2,1,3,1,3,2013
Big 12,,Kansas State,5,4,295,226,8,5,432,298,6,3,2,2,W2,0,3,0,3,2013
Big 12,,Texas Tech,4,5,293,331,8,5,465,397,5,2,3,3,W1,1,3,1,3,2013
Big 12,,TCU,2,7,188,232,4,8,301,303,3,4,1,4,-,0,4,0,4,2013
Big 12,,West Virginia,2,7,251,339,4,8,316,400,3,3,1,5,-,1,2,1,2,2013
Big 12,,Iowa State,2,7,219,356,3,9,298,432,1,5,2,4,-,0,3,0,3,2013
Big 12,,Kansas,1,8,126,335,3,9,184,382,3,4,0,5,-,0,3,0,3,2013
Big Ten,East,Michigan State,8,0,238,88,13,1,411,185,9,0,4,1,W10,2,1,3,1,2013
