Conference,Division,School,Conf W,Conf L,Conf PF,Conf PA,Over W,Over L,Over PF,Over PA,Home W,Home L,Away W,Away L,STRK,AP W,AP L,USA W,USA L,Year
Atlantic Coast,Atlantic,Florida State,6,2,239,144,10,4,439,275,7,1,3,3,W1,2,3,2,3,2010
Atlantic Coast,Atlantic,Maryland,5,3,230,192,9,4,419,288,7,1,2,3,W2,1,1,1,1,2010
Atlantic Coast,Atlantic,NC State,5,3,258,190,9,4,414,277,6,1,3,3,W1,2,2,2,2,2010
Atlantic Coast,Atlantic,Boston College,4,4,134,163,7,6,240,254,4,4,3,2,L1,0,5,0,5,2010
Atlantic Coast,Atlantic,Clemson,4,4,162,126,6,7,312,244,5,3,1,4,L2,2,3,2,3,2010
Atlantic Coast,Atlantic,Wake Forest,1,7,135,308,3,9,273,430,2,4,1,5,-,0,5,0,5,2010
Atlantic Coast,Coastal,Virginia Tech,8,0,278,113,11,3,474,288,7,3,4,0,L1,2,2,2,2,2010
Atlantic Coast,Coastal,Miami,5,3,205,174,7,6,342,269,3,4,4,2,L3,1,3,1,3,2010
Atlantic Coast,Coastal,Georgia Tech,4,4,189,220,6,7,338,328,4,3,2,4,L2,0,2,0,2,2010
Atlantic Coast,Coastal,North Carolina,4,4,195,198,8,5,329,302,3,4,5,1,W2,1,3,1,3,2010
Atlantic Coast,Coastal,Duke,1,7,194,270,3,9,303,425,2,5,1,4,-,0,3,0,3,2010
Atlantic Coast,Coastal,Virginia,1,7,160,281,4,8,304,339,4,3,0,5,-,0,3,0,3,2010
Big 12,North,Nebraska,6,2,245,150,10,4,432,243,6,2,4,2,L2,2,2,2,2,2010
Big 12,North,Missouri,6,2,213,126,10,3,388,209,8,0,2,3,L1,2,1,2,1,2010
Big 12,North,Kansas State,3,5,258,242,7,6,437,378,5,2,2,4,L1,1,3,1,3,2010
Big 12,North,Iowa State,3,5,172,233,5,7,260,346,4,3,1,4,-,0,3,0,4,2010
Big 12,North,Colorado,2,6,199,274,5,7,290,369,4,2,1,5,-,0,3,0,3,2010
Big 12,North,Kansas,1,7,116,335,3,9,205,413,3,4,0,5,-,0,4,0,4,2010
Big 12,South,Oklahoma,6,2,314,171,12,2,521,305,8,0,4,2,W5,3,2,3,2,2010
