Conference,Division,School,Conf W,Conf L,Conf PF,Conf PA,Over W,Over L,Over PF,Over PA,Home W,Home L,Away W,Away L,STRK,AP W,AP L,USA W,USA L,Year
Atlantic Coast,,Florida State,7,1,275,142,9,5,428,301,5,2,4,3,L1,2,4,3,4,2002
Atlantic Coast,,Maryland,6,2,247,161,11,3,451,228,6,2,5,1,W2,2,3,2,3,2002
Atlantic Coast,,Virginia,6,2,220,185,9,5,402,348,7,1,2,4,W1,3,3,3,3,2002
Atlantic Coast,,NC State,5,3,192,127,11,3,460,238,6,1,5,2,W2,2,2,2,2,2002
Atlantic Coast,,Clemson,4,4,197,223,7,6,330,349,5,2,2,4,L1,0,5,0,5,2002
Atlantic Coast,,Georgia Tech,4,4,148,150,7,6,280,267,4,2,3,4,L2,2,3,2,3,2002
Atlantic Coast,,Wake Forest,3,5,196,198,7,6,356,327,5,2,2,4,W1,0,4,0,4,2002
Atlantic Coast,,North Carolina,1,7,113,285,3,9,223,421,0,6,3,3,-,0,5,0,5,2002
Atlantic Coast,,Duke,0,8,137,254,2,10,227,353,1,5,1,5,-,0,4,0,4,2002
Big 12,North,Colorado,7,1,281,175,9,5,398,325,5,3,4,2,L2,1,3,1,3,2002
Big 12,North,Kansas State,6,2,342,91,11,2,582,154,7,1,4,1,W6,1,2,1,2,2002
Big 12,North,Iowa State,4,4,201,238,7,7,404,396,6,2,1,5,L4,1,6,1,6,2002
Big 12,North,Nebraska,3,5,192,215,7,7,383,335,6,2,1,5,L3,0,4,0,4,2002
Big 12,North,Missouri,2,6,214,268,5,7,360,352,3,3,2,4,-,0,3,0,3,2002
Big 12,North,Kansas,0,8,125,380,2,10,248,507,1,5,1,5,-,0,2,0,2,2002
Big 12,South,Oklahoma,6,2,305,154,12,2,541,216,7,0,5,2,W2,5,0,4,0,2002
Big 12,South,Texas,6,2,235,160,11,2,439,212,6,0,5,2,W2,1,1,1,1,2002
Big 12,South,Texas Tech,5,3,298,286,9,5,537,439,6,1,3,4,W1,1,4,1,4,2002
Big 12,South,Oklahoma State,5,3,256,230,8,5,446,356,7,1,1,4,W4,1,2,1,2,2002
Big 12,South,Texas A&M;,3,5,266,245,6,6,345,280,3,4,3,2,-,2,2,2,2,2002
Big 12,South,Baylor,1,7,93,366,3,9,202,496,3,3,0,6,-,0,4,0,4,2002
Big East,,Miami,7,0,297,140,12,1,527,248,6,1,6,0,L1,4,1,5,1,2002
Big East,,West Virginia,6,1,212,116,9,4,396,302,4,2,5,2,L1,2,3,2,3,2002
Big East,,Pittsburgh,5,2,185,138,9,4,331,232,5,2,4,2,W1,1,3,1,3,2002
Big East,,Virginia Tech,3,4,209,202,10,4,429,263,7,2,3,2,W1,2,3,2,3,2002
Big East,,Boston College,3,4,180,157,9,4,392,253,6,1,3,3,W4,1,4,1,4,2002
Big East,,Syracuse,2,5,169,245,4,8,347,406,3,3,1,5,-,1,4,1,4,2002
Big East,,Temple,2,5,124,208,4,8,242,351,2,5,2,3,-,0,4,0,4,2002
Big East,,Rutgers,0,7,79,249,1,11,167,397,1,5,0,6,-,0,5,0,5,2002
Big Ten,,Ohio State,8,0,185,88,14,0,410,183,8,0,6,0,W14,4,0,4,0,2002
Big Ten,,Iowa,8,0,302,130,11,2,484,256,6,1,5,1,L1,2,1,2,1,2002
Big Ten,,Michigan,6,2,224,162,10,3,361,265,6,1,4,2,W1,1,3,2,3,2002
Big Ten,,Penn State,5,3,286,152,9,4,446,227,7,1,2,3,L1,1,4,1,4,2002
Big Ten,,Purdue,4,4,235,182,7,6,386,288,4,3,3,3,W3,0,4,0,4,2002
Big Ten,,Illinois,4,4,212,206,5,7,346,307,3,4,2,3,-,0,3,0,3,2002
Big Ten,,Minnesota,3,5,198,256,8,5,376,319,6,2,2,3,W1,0,3,0,3,2002
Big Ten,,Wisconsin,2,6,202,218,8,6,372,322,6,3,2,3,W2,2,4,2,4,2002
Big Ten,,Michigan State,2,6,194,314,4,8,316,398,3,5,1,3,-,0,4,0,4,2002
Big Ten,,Indiana,1,7,164,332,3,9,258,445,3,3,0,6,-,0,3,0,3,2002
Big Ten,,Northwestern,1,7,170,332,3,9,272,493,2,4,1,5,-,0,4,0,4,2002
Conference USA,,TCU,6,2,263,179,10,2,361,222,6,0,4,2,W2,0,0,0,0,2002
Conference USA,,Cincinnati,6,2,259,174,7,7,409,329,4,4,3,3,L1,1,2,1,2,2002
Conference USA,,Louisville,5,3,243,200,7,6,374,319,3,3,4,3,L2,1,2,1,2,2002
Conference USA,,Southern Mississippi,5,3,161,142,7,6,282,238,5,1,2,5,L1,0,2,0,1,2002
Conference USA,,Tulane,4,4,185,147,8,5,361,282,5,2,3,3,W2,0,2,0,2,2002
Conference USA,,UAB,4,4,218,233,5,7,268,370,4,2,1,5,-,0,1,0,2,2002
Conference USA,,East Carolina,4,4,250,266,4,8,335,399,3,2,1,6,-,1,1,1,1,2002
Conference USA,,Houston,3,5,235,293,5,7,320,393,3,3,2,4,-,0,2,0,2,2002
Conference USA,,Memphis,2,6,190,223,3,9,303,327,3,3,0,6,-,0,1,0,1,2002
Conference USA,,Army,1,8,175,368,1,11,226,491,0,6,1,5,-,0,1,0,1,2002
Conference USA,,South Florida,0,0,0,0,9,2,339,204,6,0,3,2,-,0,1,0,1,2002
FBS Independents,,Notre Dame,,-,--,--,10,3,290,217,5,2,5,1,L2,4,2,4,2,2002
FBS Independents,,Navy,,-,--,--,2,10,290,436,1,6,1,4,-,0,2,0,2,2002
FBS Independents,,Connecticut,,-,--,--,6,6,373,270,3,3,3,3,-,0,1,0,1,2002
FBS Independents,,Troy,,-,--,--,4,8,218,252,4,1,0,7,-,0,1,0,1,2002
Mid-American,East,Marshall,7,1,275,184,11,2,457,315,8,0,3,2,W5,0,1,0,1,2002
Mid-American,East,UCF,6,2,271,187,7,5,391,315,4,2,3,3,-,0,2,0,2,2002
Mid-American,East,Miami (OH),5,3,295,216,7,5,384,325,2,3,5,2,-,0,2,0,2,2002
Mid-American,East,Ohio,4,4,260,245,4,8,299,374,3,2,1,6,-,0,2,0,3,2002
Mid-American,East,Akron,3,5,212,209,4,8,325,379,3,2,1,6,-,1,3,1,3,2002
Mid-American,East,Kent State,1,7,93,269,3,9,202,424,2,4,1,5,-,0,2,0,2,2002
