Conference,Division,School,Conf W,Conf L,Conf PF,Conf PA,Over W,Over L,Over PF,Over PA,Home W,Home L,Away W,Away L,STRK,AP W,AP L,USA W,USA L,Year
Atlantic Coast,,Virginia Tech,7,1,230,114,10,3,400,167,6,2,4,1,L1,2,2,2,2,2004
Atlantic Coast,,Florida State,6,2,208,111,9,3,302,169,5,1,4,2,W1,1,1,1,2,2004
Atlantic Coast,,Miami,5,3,226,143,9,3,380,204,4,2,5,1,W1,3,1,4,1,2004
Atlantic Coast,,Virginia,5,3,203,151,8,4,363,212,5,1,3,3,L2,0,4,0,4,2004
Atlantic Coast,,North Carolina,5,3,230,227,6,6,319,382,4,3,2,3,L1,1,6,1,6,2004
Atlantic Coast,,Georgia Tech,4,4,142,177,7,5,264,227,4,3,3,2,W1,0,4,0,4,2004
Atlantic Coast,,Clemson,4,4,166,189,6,5,236,229,5,1,1,4,W1,1,2,1,2,2004
Atlantic Coast,,Maryland,3,5,111,159,5,6,195,220,4,2,1,4,W1,1,2,1,2,2004
Atlantic Coast,,NC State,3,5,156,182,5,6,264,218,3,4,2,2,W1,1,3,1,3,2004
Atlantic Coast,,Wake Forest,1,7,140,219,4,7,230,253,3,3,1,4,L3,1,3,1,3,2004
Atlantic Coast,,Duke,1,7,123,263,2,9,183,322,2,3,0,6,L1,0,4,0,4,2004
Big 12,North,Colorado,4,4,169,205,8,5,304,332,4,2,4,3,W1,0,2,0,2,2004
Big 12,North,Iowa State,4,4,148,188,7,5,246,259,5,2,2,3,W1,0,1,0,1,2004
Big 12,North,Missouri,3,5,142,171,5,6,256,215,3,3,2,3,W1,0,1,0,1,2004
Big 12,North,Nebraska,3,5,178,243,5,6,275,298,4,2,1,4,L3,1,2,0,2,2004
Big 12,North,Kansas,2,6,161,198,4,7,262,235,3,3,1,4,W1,0,3,0,3,2004
Big 12,North,Kansas State,2,6,238,259,4,7,326,337,3,4,1,3,L2,0,3,0,3,2004
Big 12,South,Oklahoma,8,0,257,117,12,1,452,219,8,1,4,0,L1,2,1,2,1,2004
Big 12,South,Texas,7,1,263,145,11,1,423,215,7,0,4,1,W7,2,1,2,1,2004
Big 12,South,Texas Tech,5,3,268,208,8,4,434,314,4,1,4,3,W2,1,2,1,2,2004
Big 12,South,Texas A&M;,5,3,255,207,7,5,341,292,5,2,2,3,L2,1,4,1,4,2004
Big 12,South,Oklahoma State,4,4,252,220,7,5,387,301,4,2,3,3,L2,0,4,0,4,2004
Big 12,South,Baylor,1,7,149,319,3,8,224,406,3,3,0,5,L3,0,3,0,3,2004
Big East,,Boston College,4,2,152,114,9,3,296,203,4,1,5,2,W1,0,1,0,0,2004
Big East,,Pittsburgh,4,2,152,136,8,4,325,288,5,1,3,3,L1,1,1,1,1,2004
Big East,,West Virginia,4,2,165,128,8,4,361,246,5,2,3,2,L3,0,4,0,3,2004
Big East,,Syracuse,4,2,194,170,6,6,287,344,4,1,2,5,L1,2,2,1,2,2004
Big East,,Connecticut,3,3,171,183,8,4,363,260,7,1,1,3,W3,1,1,0,1,2004
Big East,,Rutgers,1,5,139,185,4,7,269,343,3,3,1,4,L5,0,3,0,2,2004
Big East,,Temple,1,5,131,188,2,9,238,399,2,4,0,5,L1,0,3,0,2,2004
Big Ten,,Iowa,7,1,199,125,10,2,292,211,7,0,3,2,W8,3,2,3,2,2004
Big Ten,,Michigan,7,1,246,182,9,3,370,279,6,0,3,3,L2,1,2,1,2,2004
Big Ten,,Wisconsin,6,2,167,145,9,3,249,185,6,1,3,2,L3,1,2,1,2,2004
Big Ten,,Northwestern,5,3,168,198,6,6,295,342,5,1,1,5,L1,1,3,1,3,2004
Big Ten,,Ohio State,4,4,184,171,8,4,290,219,6,1,2,3,W2,1,2,1,2,2004
Big Ten,,Purdue,4,4,207,156,7,5,381,206,4,3,3,2,L1,1,4,1,4,2004
Big Ten,,Michigan State,4,4,253,228,5,7,353,326,4,2,1,5,L2,1,3,1,3,2004
Big Ten,,Minnesota,3,5,207,199,7,5,361,273,6,1,1,4,W1,0,3,0,3,2004
Big Ten,,Penn State,2,6,103,124,4,7,195,168,3,3,1,4,W2,0,4,0,4,2004
Big Ten,,Illinois,1,7,141,248,3,8,240,323,3,4,0,4,L1,0,3,0,3,2004
Big Ten,,Indiana,1,7,159,258,3,8,262,343,2,3,1,5,L3,0,2,0,2,2004
Conference USA,,Louisville,8,0,453,155,11,1,597,236,6,0,5,1,W7,1,1,1,1,2004
Conference USA,,Memphis,5,3,276,254,8,4,430,375,4,2,4,2,L1,0,1,0,1,2004
Conference USA,,Cincinnati,5,3,254,234,7,5,344,320,5,1,2,4,W1,0,2,0,2,2004
Conference USA,,Southern Mississippi,5,3,238,218,7,5,309,298,3,2,4,3,W1,0,1,0,1,2004
Conference USA,,UAB,5,3,242,231,7,5,372,351,4,2,3,3,L2,0,1,0,1,2004
Conference USA,,TCU,3,5,235,258,5,6,362,373,4,2,1,4,L1,0,2,0,2,2004
Conference USA,,Tulane,3,5,212,304,5,6,300,361,4,2,1,4,L1,1,1,1,1,2004
Conference USA,,South Florida,3,5,233,267,4,7,271,351,2,4,2,3,L3,0,2,0,1,2004
Conference USA,,Houston,3,5,197,243,3,8,230,354,3,2,0,6,L2,0,3,0,3,2004
Conference USA,,Army,2,6,222,275,2,9,260,388,1,4,1,5,L5,0,2,0,2,2004
Conference USA,,East Carolina,2,6,177,300,2,9,231,439,2,3,0,6,L4,0,1,0,1,2004
FBS Independents,,Notre Dame,,-,--,--,6,6,289,289,3,3,3,3,L3,3,3,3,2,2004
FBS Independents,,Navy,,-,--,--,10,2,334,238,8,1,2,1,W3,0,0,0,0,2004
Mid-American,East,Miami (OH),7,1,282,158,8,5,407,298,5,1,3,4,L2,0,1,0,1,2004
