Conference,Division,School,Conf W,Conf L,Conf PF,Conf PA,Over W,Over L,Over PF,Over PA,Home W,Home L,Away W,Away L,STRK,AP W,AP L,USA W,USA L,Year
Atlantic Coast,Atlantic,Clemson,6,2,270,226,10,4,470,410,8,1,2,3,L1,3,2,3,2,2011
Atlantic Coast,Atlantic,Wake Forest,5,3,220,227,6,7,338,356,4,4,2,3,L2,1,2,1,2,2011
Atlantic Coast,Atlantic,Florida State,5,3,250,142,9,4,398,196,5,2,4,2,W2,0,2,0,2,2011
Atlantic Coast,Atlantic,NC State,4,4,206,195,8,5,367,321,7,1,1,4,W3,1,2,1,2,2011
Atlantic Coast,Atlantic,Boston College,3,5,139,195,4,8,218,282,2,4,2,4,-,0,3,0,3,2011
Atlantic Coast,Atlantic,Maryland,1,7,190,288,2,10,277,411,2,5,0,5,-,0,3,0,3,2011
Atlantic Coast,Coastal,Virginia Tech,7,1,222,146,11,3,391,247,5,2,6,1,L2,0,3,0,3,2011
Atlantic Coast,Coastal,Virginia,5,3,159,183,8,5,302,310,4,3,4,2,L2,1,2,1,2,2011
Atlantic Coast,Coastal,Georgia Tech,5,3,224,212,8,5,446,339,5,2,3,3,L2,1,2,1,2,2011
Atlantic Coast,Coastal,Miami,3,5,219,190,6,6,318,241,4,3,2,3,-,0,3,0,3,2011
Atlantic Coast,Coastal,North Carolina,3,5,225,223,7,6,364,323,6,2,1,4,L1,0,2,0,2,2011
Atlantic Coast,Coastal,Duke,1,7,156,253,3,9,270,374,1,6,2,3,-,0,3,0,3,2011
Big 12,,Oklahoma State,8,1,435,229,12,1,633,348,7,0,5,1,W2,4,0,4,0,2011
Big 12,,Kansas State,7,2,322,303,10,3,413,363,6,1,4,2,L1,1,3,1,3,2011
Big 12,,Baylor,6,3,368,349,10,3,589,484,9,0,1,3,W6,2,2,2,2,2011
Big 12,,Oklahoma,6,3,351,240,10,3,514,287,6,1,4,2,W1,2,2,2,2,2011
Big 12,,Missouri,5,4,270,239,8,5,427,306,5,1,3,4,W4,0,4,0,4,2011
Big 12,,Texas,4,5,244,234,8,5,365,289,5,3,3,2,W1,0,4,1,4,2011
Big 12,,Texas A&M;,4,5,354,281,7,6,508,366,4,3,3,3,W1,1,4,1,4,2011
Big 12,,Iowa State,3,6,194,275,6,7,295,382,4,3,2,4,L3,1,3,1,3,2011
Big 12,,Texas Tech,2,7,262,414,5,7,406,471,2,4,3,3,-,1,3,1,3,2011
Big 12,,Kansas,0,9,157,393,2,10,268,525,2,5,0,5,-,0,4,0,4,2011
Big East,,Cincinnati,5,2,177,157,10,3,433,264,5,1,5,2,W3,0,1,0,1,2011
Big East,,West Virginia,5,2,217,202,10,3,489,348,5,2,5,1,W4,2,1,2,1,2011
Big East,,Louisville,5,2,179,149,7,6,285,261,3,3,4,3,L1,1,1,1,1,2011
Big East,,Rutgers,4,3,160,143,9,4,343,238,6,1,3,3,W1,1,1,1,1,2011
Big East,,Pittsburgh,4,3,186,152,6,7,315,297,5,4,1,3,L1,0,2,0,2,2011
Big East,,Connecticut,3,4,167,200,5,7,291,292,4,3,1,4,-,0,2,0,2,2011
Big East,,South Florida,1,6,166,198,5,7,351,272,3,4,2,3,-,0,2,0,2,2011
Big East,,Syracuse,1,6,146,197,5,7,290,342,4,3,1,4,-,1,2,1,1,2011
