Conference,Division,School,Conf W,Conf L,Conf PF,Conf PA,Over W,Over L,Over PF,Over PA,Home W,Home L,Away W,Away L,STRK,AP W,AP L,USA W,USA L,Year
American Athletic,,Memphis,7,1,279,122,10,3,471,253,5,1,4,2,W7,0,2,0,2,2014
American Athletic,,Cincinnati,7,1,274,158,9,4,442,354,5,1,4,2,L1,0,1,0,1,2014
American Athletic,,UCF,7,1,232,120,9,4,365,249,6,0,3,2,L1,0,1,0,1,2014
American Athletic,,East Carolina,5,3,273,206,8,5,466,336,5,1,3,3,L2,0,0,0,0,2014
American Athletic,,Houston,5,3,226,160,8,5,387,268,4,3,3,2,W1,0,0,0,0,2014
American Athletic,,Temple,4,4,144,142,6,6,277,210,3,3,3,3,W1,0,0,0,0,2014
American Athletic,,South Florida,3,5,126,193,4,8,206,324,2,5,2,3,L2,0,1,0,1,2014
American Athletic,,Tulsa,2,6,217,290,2,10,296,471,2,4,0,6,L3,0,0,0,1,2014
American Athletic,,Tulane,2,6,117,205,3,9,192,341,2,4,1,5,L3,0,1,0,1,2014
American Athletic,,SMU,1,7,121,294,1,11,133,496,0,6,1,5,W1,0,2,0,2,2014
American Athletic,,Connecticut,1,7,115,234,2,10,186,358,2,5,0,4,L4,0,1,0,1,2014
Atlantic Coast,Atlantic,Florida State,8,0,286,175,13,1,472,358,7,0,4,0,L1,3,1,3,1,2014
Atlantic Coast,Atlantic,Clemson,6,2,204,142,10,3,401,217,7,0,2,3,W3,1,3,2,3,2014
Atlantic Coast,Atlantic,Louisville,5,3,216,154,9,4,405,283,5,1,4,2,L1,0,3,0,3,2014
Atlantic Coast,Atlantic,Boston College,4,4,183,174,7,6,341,277,3,4,4,1,L1,1,3,0,3,2014
Atlantic Coast,Atlantic,NC State,3,5,197,250,8,5,392,351,4,3,3,2,W3,0,4,0,4,2014
Atlantic Coast,Atlantic,Syracuse,1,7,103,198,3,9,205,292,1,5,2,3,L5,0,3,0,3,2014
Atlantic Coast,Atlantic,Wake Forest,1,7,97,236,3,9,178,317,3,3,0,6,L1,0,3,0,3,2014
Atlantic Coast,Coastal,Georgia Tech,6,2,298,187,11,3,530,360,5,1,5,1,W1,3,1,3,1,2014
Atlantic Coast,Coastal,Duke,5,3,216,201,9,4,421,283,5,2,4,1,L1,1,1,1,1,2014
Atlantic Coast,Coastal,North Carolina,4,4,240,291,6,7,432,507,4,2,2,4,L2,1,1,1,1,2014
Atlantic Coast,Coastal,Pittsburgh,4,4,246,237,6,7,414,342,3,4,3,2,L1,0,1,0,1,2014
Atlantic Coast,Coastal,Virginia Tech,3,5,155,170,7,6,313,262,3,4,3,2,W2,1,1,1,1,2014
Atlantic Coast,Coastal,Miami,3,5,191,190,6,7,380,316,5,2,1,4,L4,0,4,0,4,2014
Atlantic Coast,Coastal,Virginia,3,5,167,194,5,7,310,289,5,2,0,5,L1,1,3,1,3,2014
Big 12,,Baylor,8,1,408,263,11,2,627,332,6,0,4,1,L1,2,1,3,1,2014
Big 12,,TCU,8,1,428,223,12,1,604,247,7,0,4,1,W8,2,1,3,1,2014
Big 12,,Kansas State,7,2,303,197,9,4,465,301,6,1,3,2,L2,0,4,1,4,2014
Big 12,,Oklahoma,5,4,333,264,8,5,473,337,3,3,4,1,L2,0,4,0,4,2014
Big 12,,Texas,5,4,209,211,6,7,278,310,3,3,3,1,L2,0,4,0,5,2014
Big 12,,West Virginia,5,4,281,244,7,6,435,359,3,3,4,1,L1,1,3,1,4,2014
Big 12,,Oklahoma State,4,5,215,311,7,6,359,406,4,2,2,3,W2,0,4,1,4,2014
Big 12,,Texas Tech,2,7,266,385,4,8,366,495,2,4,2,3,L1,0,3,0,4,2014
Big 12,,Kansas,1,8,153,320,3,9,214,399,3,3,0,6,L3,0,3,0,4,2014
Big 12,,Iowa State,0,9,207,385,2,10,278,466,1,6,1,4,L6,0,3,0,4,2014
Big Ten,East,Ohio State,8,0,358,195,14,1,672,330,6,1,5,0,W13,4,0,4,0,2014
Big Ten,East,Michigan State,7,1,316,158,11,2,559,280,6,1,4,1,W4,2,2,2,2,2014
Big Ten,East,Maryland,4,4,202,263,7,6,370,392,2,4,5,1,L2,0,3,0,3,2014
Big Ten,East,Rutgers,3,5,166,278,8,5,347,392,4,2,3,3,W2,0,4,0,4,2014
Big Ten,East,Michigan,3,5,155,188,5,7,251,269,4,3,1,4,L2,0,3,0,3,2014
Big Ten,East,Penn State,2,6,112,165,7,6,268,242,3,4,2,2,W1,0,2,0,2,2014
Big Ten,East,Indiana,1,7,151,288,4,8,301,394,3,3,1,5,W1,1,2,1,2,2014
Big Ten,West,Wisconsin,7,1,294,143,11,3,484,291,7,0,3,1,W1,2,2,2,2,2014
Big Ten,West,Minnesota,5,3,244,200,8,5,369,314,6,1,2,3,L2,1,4,1,4,2014
Big Ten,West,Nebraska,5,3,267,217,9,4,491,343,6,1,3,2,L1,0,3,0,2,2014
Big Ten,West,Iowa,4,4,250,212,7,6,367,333,4,3,3,2,L3,0,2,0,2,2014
Big Ten,West,Illinois,3,5,188,277,6,7,337,442,5,2,1,4,L1,0,3,0,3,2014
Big Ten,West,Northwestern,3,5,170,201,5,7,276,302,2,5,3,2,L1,1,1,1,1,2014
Big Ten,West,Purdue,1,7,177,265,3,9,286,380,2,5,1,3,L6,0,3,0,3,2014
Conference USA,East,Marshall,7,1,378,183,13,1,638,294,6,1,6,0,W2,0,0,0,0,2014
Conference USA,East,Middle Tennessee,5,3,270,273,6,6,379,378,5,1,1,5,L1,0,0,0,0,2014
Conference USA,East,UAB,4,4,258,243,6,6,398,359,3,3,3,3,W1,0,1,0,1,2014
Conference USA,East,Western Kentucky,4,4,347,347,8,5,577,519,5,1,2,4,W5,0,0,0,0,2014
Conference USA,East,Old Dominion,4,4,272,337,6,6,392,456,4,2,2,4,W3,0,0,0,0,2014
Conference USA,East,Florida Intl,3,5,202,205,4,8,276,298,3,5,1,3,L1,0,1,0,1,2014
Conference USA,East,Florida Atlantic,2,6,212,276,3,9,288,413,3,2,0,7,L5,0,2,0,2,2014
Conference USA,West,Louisiana Tech,7,1,357,159,9,5,523,346,4,1,4,4,W1,0,1,0,2,2014
Conference USA,West,Rice,5,3,248,243,8,5,374,370,4,1,3,4,W1,0,0,0,0,2014
Conference USA,West,UTEP,5,3,213,208,7,6,346,365,5,1,2,4,L1,0,1,0,1,2014
Conference USA,West,UT San Antonio,3,5,133,214,4,8,205,311,3,3,1,5,W1,0,1,0,1,2014
Conference USA,West,North Texas,2,6,175,262,4,8,326,358,4,2,0,6,L1,0,0,0,0,2014
Conference USA,West,Southern Mississippi,1,7,169,284,3,9,228,425,2,4,1,5,L5,0,2,0,2,2014
FBS Independents,,Notre Dame,,-,--,--,8,5,427,379,4,2,1,3,W1,1,4,1,3,2014
FBS Independents,,Navy,,-,--,--,8,5,414,355,3,4,3,1,W4,0,1,0,1,2014
FBS Independents,,BYU,,-,--,--,8,5,482,358,4,2,4,2,L1,0,1,0,1,2014
FBS Independents,,Army,,-,--,--,4,8,299,395,3,2,0,5,L1,0,0,0,0,2014
Mid-American,East,Bowling Green,5,3,229,214,8,6,420,469,4,2,3,3,W1,0,1,0,1,2014
Mid-American,East,Ohio,4,4,159,191,6,6,246,298,4,2,2,4,W1,0,0,0,0,2014
Mid-American,East,Buffalo,3,4,221,202,5,6,355,347,4,2,1,4,W2,0,1,0,1,2014
Mid-American,East,Akron,3,5,189,198,5,7,271,277,4,2,1,5,L1,0,0,0,0,2014
Mid-American,East,UMass,3,5,245,243,3,9,328,396,2,4,1,5,L2,0,0,0,0,2014
Mid-American,East,Miami (OH),2,6,197,258,2,10,268,382,2,4,0,6,L3,0,0,0,0,2014
Mid-American,East,Kent State,1,6,115,168,2,9,180,319,2,4,0,5,W1,0,1,0,1,2014
Mid-American,West,Northern Illinois,7,1,227,186,11,3,441,359,4,1,6,1,L1,0,0,0,0,2014
Mid-American,West,Toledo,7,1,271,188,9,4,476,396,5,1,3,3,W3,0,1,0,1,2014
Mid-American,West,Western Michigan,6,2,274,161,8,5,439,324,3,2,5,2,L2,0,0,0,0,2014
Mid-American,West,Central Michigan,5,3,231,181,7,6,350,327,3,3,4,2,L2,0,0,0,0,2014
Mid-American,West,Ball State,4,4,245,239,5,7,332,326,3,3,2,4,W2,0,0,0,0,2014
Mid-American,West,Eastern Michigan,1,7,134,308,2,10,182,491,2,3,0,7,L6,0,1,0,1,2014
Mountain West,Mountain,Boise State,7,1,350,236,12,2,556,375,7,0,4,1,W9,1,1,1,1,2014
Mountain West,Mountain,Colorado State,6,2,285,205,10,3,441,326,6,0,3,2,L2,0,2,0,2,2014
Mountain West,Mountain,Utah State,6,2,224,147,10,4,377,276,6,0,3,4,W1,0,1,0,1,2014
Mountain West,Mountain,Air Force,5,3,226,209,10,3,409,314,6,0,3,3,W2,1,0,1,0,2014
Mountain West,Mountain,New Mexico,2,6,226,298,4,8,332,431,1,5,3,3,W1,0,2,0,2,2014
Mountain West,Mountain,Wyoming,2,6,188,259,4,8,253,394,3,3,1,5,L3,0,3,0,3,2014
Mountain West,West,Fresno State,5,3,236,214,6,8,371,454,4,2,2,5,L2,0,5,0,4,2014
Mountain West,West,San Diego State,5,3,202,154,7,6,325,258,6,0,1,5,L1,0,1,0,1,2014
Mountain West,West,Nevada,4,4,254,236,7,6,379,354,3,3,4,2,L1,0,2,0,2,2014
