Conference,Division,School,Conf W,Conf L,Conf PF,Conf PA,Over W,Over L,Over PF,Over PA,Home W,Home L,Away W,Away L,STRK,AP W,AP L,USA W,USA L,Year
American Athletic,East,Temple,7,1,267,132,10,4,453,258,6,1,4,2,L1,1,1,1,1,2016
American Athletic,East,South Florida,7,1,339,260,11,2,569,411,6,1,4,1,W5,0,2,0,2,2016
American Athletic,East,UCF,4,4,232,194,6,7,374,320,3,4,3,3,L3,0,3,0,3,2016
American Athletic,East,Cincinnati,1,7,136,256,4,8,232,323,3,4,1,4,L5,0,1,0,1,2016
American Athletic,East,East Carolina,1,7,207,322,3,9,324,433,3,3,0,6,L4,0,1,0,1,2016
American Athletic,East,Connecticut,1,7,117,245,3,9,178,337,3,4,0,5,L6,0,1,0,1,2016
American Athletic,West,Navy,7,1,365,260,9,5,531,434,5,1,3,2,L3,0,2,0,2,2016
American Athletic,West,Tulsa,6,2,343,258,10,3,552,388,6,0,3,3,W3,0,1,0,1,2016
American Athletic,West,Memphis,5,3,291,249,8,5,505,375,5,2,3,2,L1,1,1,1,1,2016
American Athletic,West,Houston,5,3,281,235,9,4,466,305,6,0,2,3,L2,2,0,2,0,2016
American Athletic,West,SMU,3,5,253,327,5,7,332,435,2,4,3,3,L2,1,0,1,0,2016
American Athletic,West,Tulane,1,7,148,241,4,8,289,332,2,4,2,4,W1,0,1,0,1,2016
Atlantic Coast,Atlantic,Clemson,7,1,316,160,14,1,588,270,6,1,5,0,W5,6,1,6,0,2016
Atlantic Coast,Atlantic,Louisville,7,1,367,161,9,4,553,309,5,1,4,2,L3,1,2,1,2,2016
Atlantic Coast,Atlantic,Florida State,5,3,240,203,10,3,456,325,4,2,4,1,W5,3,2,3,2,2016
Atlantic Coast,Atlantic,NC State,3,5,173,207,7,6,351,296,4,3,2,3,W2,0,3,0,3,2016
Atlantic Coast,Atlantic,Wake Forest,3,5,140,189,7,6,265,288,4,3,2,3,W1,1,3,1,3,2016
Atlantic Coast,Atlantic,Syracuse,2,6,191,337,4,8,308,463,2,4,2,3,L4,0,3,0,3,2016
Atlantic Coast,Atlantic,Boston College,2,6,96,275,7,6,265,325,3,3,3,2,W3,0,4,0,4,2016
Atlantic Coast,Coastal,Virginia Tech,6,2,272,147,10,4,490,319,5,1,4,1,W1,1,1,0,1,2016
Atlantic Coast,Coastal,North Carolina,5,3,228,208,8,5,420,324,4,2,4,1,L2,2,2,1,2,2016
Atlantic Coast,Coastal,Miami,5,3,235,174,9,4,446,241,4,2,4,2,W5,2,2,1,2,2016
Atlantic Coast,Coastal,Pittsburgh,5,3,357,309,8,5,532,458,6,1,2,3,L1,2,2,2,2,2016
Atlantic Coast,Coastal,Georgia Tech,4,4,198,232,9,4,367,318,5,2,2,2,W4,1,2,1,1,2016
Atlantic Coast,Coastal,Virginia,1,7,165,276,2,10,270,405,1,5,1,5,L7,0,1,0,2,2016
Atlantic Coast,Coastal,Duke,1,7,167,267,4,8,280,338,3,3,1,5,L2,0,1,1,1,2016
Big 12,,Oklahoma,9,0,430,261,11,2,571,375,5,1,4,0,W10,3,1,3,1,2016
Big 12,,Oklahoma State,7,2,331,262,10,3,502,345,6,1,3,2,W1,3,1,2,1,2016
Big 12,,West Virginia,7,2,292,217,10,3,405,312,6,1,3,1,L1,0,2,0,2,2016
Big 12,,Kansas State,6,3,275,229,9,4,419,290,5,1,3,3,W4,0,4,0,4,2016
Big 12,,TCU,4,5,250,248,6,7,403,364,2,5,4,1,L2,0,3,0,3,2016
Big 12,,Texas,3,6,249,274,5,7,383,378,4,2,1,4,L3,0,3,0,3,2016
Big 12,,Texas Tech,3,6,341,392,5,7,524,522,3,3,1,4,W1,0,3,0,3,2016
Big 12,,Baylor,3,6,286,335,7,6,450,377,4,2,2,3,W1,1,2,1,2,2016
Big 12,,Iowa State,2,7,265,299,3,9,332,376,2,5,1,4,L1,0,3,0,3,2016
Big 12,,Kansas,1,8,160,362,2,10,243,448,2,4,0,6,L1,0,3,0,3,2016
Big Ten,East,Penn State,8,1,333,191,11,3,526,356,7,0,3,2,L1,4,3,4,2,2016
Big Ten,East,Ohio State,8,1,342,133,11,2,512,201,7,0,4,1,L1,4,2,4,2,2016
Big Ten,East,Michigan,7,2,333,105,10,3,524,183,8,0,2,2,L2,3,3,3,3,2016
Big Ten,East,Indiana,4,5,219,262,6,7,335,354,4,3,2,3,L1,0,4,0,5,2016
Big Ten,East,Maryland,3,6,182,297,6,7,335,384,4,2,2,4,L1,0,4,0,4,2016
Big Ten,East,Michigan State,1,8,211,261,3,9,289,333,2,5,1,4,L2,0,4,0,4,2016
Big Ten,East,Rutgers,0,9,86,360,2,10,188,450,2,5,0,5,L9,0,4,0,4,2016
Big Ten,West,Wisconsin,7,2,249,123,11,3,397,218,5,1,4,1,W1,4,3,4,3,2016
Big Ten,West,Iowa,6,3,213,168,8,5,324,245,4,3,4,1,L1,2,3,2,3,2016
Big Ten,West,Nebraska,6,3,191,214,9,4,345,311,7,0,2,3,L2,0,3,0,3,2016
Big Ten,West,Minnesota,5,4,245,200,9,4,381,287,6,1,2,3,W1,0,4,0,4,2016
Big Ten,West,Northwestern,5,4,255,221,7,6,338,289,3,4,3,2,W2,2,4,1,4,2016
Big Ten,West,Illinois,2,7,151,298,3,9,236,383,2,5,1,4,L3,0,4,0,5,2016
Big Ten,West,Purdue,1,8,206,383,3,9,295,459,2,5,1,4,L7,0,3,0,3,2016
Conference USA,East,Western Kentucky,7,1,407,173,11,3,637,344,6,1,4,2,W8,0,1,0,1,2016
Conference USA,East,Old Dominion,7,1,313,217,10,3,456,354,6,0,3,3,W6,,-,,-,2016
Conference USA,East,Middle Tennessee,5,3,310,300,8,5,516,465,3,2,5,2,L1,,-,,-,2016
Conference USA,East,Florida Intl,4,4,234,269,4,8,288,418,2,5,2,3,L1,,-,,-,2016
Conference USA,East,Charlotte,3,5,202,246,4,8,302,415,1,5,3,3,L3,0,1,0,1,2016
Conference USA,East,Florida Atlantic,2,6,235,315,3,9,317,477,2,4,1,5,L2,0,1,0,1,2016
Conference USA,East,Marshall,2,6,162,256,3,9,317,423,3,4,0,5,L2,0,1,0,1,2016
Conference USA,West,Louisiana Tech,6,2,354,235,9,5,620,470,5,0,3,5,W1,0,1,0,1,2016
Conference USA,West,UT San Antonio,5,3,281,249,6,7,379,363,4,2,2,4,L1,0,1,0,1,2016
Conference USA,West,Southern Mississippi,4,4,258,246,7,6,427,384,4,2,2,4,W2,0,1,0,1,2016
Conference USA,West,North Texas,3,5,194,282,5,8,322,424,3,3,2,4,L2,0,1,0,1,2016
Conference USA,West,Rice,2,6,197,294,3,9,303,448,2,4,1,5,L1,0,1,0,1,2016
Conference USA,West,UTEP,2,6,215,280,4,8,316,419,3,4,1,4,W1,0,1,0,1,2016
FBS Independents,,BYU,,-,--,--,9,4,384,254,5,1,2,2,W5,0,1,0,2,2016
FBS Independents,,Notre Dame,,-,--,--,4,8,371,334,2,4,0,3,L2,0,1,0,1,2016
FBS Independents,,Army,,-,--,--,8,5,389,258,3,2,3,2,W3,1,0,1,0,2016
FBS Independents,,UMass,,-,--,--,2,10,280,426,2,4,0,6,L3,0,1,0,1,2016
Mid-American,East,Ohio,6,2,175,134,8,6,368,317,4,2,4,2,L2,0,1,0,1,2016
