School,Conf,AP Rank,Won,Lost,Tied,srs_off,srs_def,srs,off_ppg,def_ppg,off_pass_ypa,def_pass_ypa,off_rush_ypc,def_rush_ypc,off_ypp,def_ypp,Team Code,year,Power5,ConferenceAbbrev
Wisconsin,Big Ten,2.0,8,2,0.0,17.11,8.39,25.5,48.02,-3.29,,,,,,,40.0,1962,True,B1G
USC,AAWU,1.0,11,0,0.0,11.54,11.76,23.29,38.45,-6.62,,,,,,,103.0,1962,True,Pac-12
Alabama,SEC,5.0,10,1,0.0,8.03,14.44,22.47,39.59,-10.3,,,,,,,107.0,1962,True,SEC
Minnesota,Big Ten,10.0,6,2,1.0,5.93,15.32,21.25,31.28,-11.39,,,,,,,33.0,1962,True,B1G
Northwestern,Big Ten,,7,2,0.0,14.16,6.04,20.19,43.72,-0.08,,,,,,,35.0,1962,True,B1G
LSU,SEC,7.0,9,1,1.0,3.89,15.87,19.76,31.7,-10.56,,,,,,,113.0,1962,True,SEC
Ole Miss,SEC,3.0,10,0,0.0,7.79,10.9,18.68,37.9,-6.09,,,,,,,116.0,1962,True,SEC
Ohio St.,Big Ten,,6,3,0.0,8.04,9.55,17.6,36.74,-5.35,,,,,,,36.0,1962,True,B1G
Georgia Tech,SEC,,7,3,1.0,8.75,8.79,17.54,36.05,-6.06,,,,,,,17.0,1962,True,ACC
Washington,AAWU,,7,1,2.0,5.99,11.0,16.98,33.71,-5.22,,,,,,,105.0,1962,True,Pac-12
Oklahoma,Big 8,8.0,8,3,0.0,4.21,12.61,16.82,37.46,-7.94,,,,,,,45.0,1962,True,Big 12
Michigan St.,Big Ten,,5,4,0.0,9.07,7.71,16.78,37.0,-3.19,,,,,,,32.0,1962,True,B1G
Penn State,Ind,9.0,9,2,0.0,8.16,7.83,15.99,34.78,-2.44,,,,,,,37.0,1962,True,B1G
Purdue,Big Ten,,4,4,1.0,3.98,11.54,15.51,31.95,-7.5,,,,,,,38.0,1962,True,B1G
Texas,SWC,4.0,9,1,1.0,3.72,11.51,15.23,30.58,-6.61,,,,,,,48.0,1962,True,Big 12
Arkansas,SWC,6.0,9,2,0.0,10.14,4.88,15.01,39.56,0.26,,,,,,,108.0,1962,True,SEC
Missouri,Big 8,,8,1,2.0,0.65,13.1,13.75,29.82,-7.48,,,,,,,115.0,1962,True,SEC
Florida,SEC,,7,4,0.0,8.26,4.96,13.22,37.08,-0.33,,,,,,,110.0,1962,True,SEC
Oregon,Ind,,6,3,1.0,10.05,2.16,12.2,36.37,3.16,,,,,,,99.0,1962,True,Pac-12
Duke,ACC,,8,2,0.0,4.01,7.64,11.65,32.54,-2.12,,,,,,,15.0,1962,True,ACC
Oregon St.,Ind,,9,2,0.0,7.96,3.46,11.42,34.93,2.06,,,,,,,100.0,1962,True,Pac-12
Iowa,Big Ten,,4,5,0.0,6.5,4.82,11.32,33.41,0.51,,,,,,,29.0,1962,True,B1G
Notre Dame,Ind,,5,5,0.0,6.79,4.44,11.23,33.25,0.18,,,,,,,70.0,1962,True,IND (FBS)
Nebraska,Big 8,,9,2,0.0,9.49,1.63,11.12,36.51,4.27,,,,,,,34.0,1962,True,B1G
Miami (FL),Ind,,7,4,0.0,9.23,1.09,10.32,34.12,3.94,,,,,,,19.0,1962,True,ACC
Boston College,Ind,,8,2,0.0,7.2,2.26,9.46,34.52,4.24,,,,,,,13.0,1962,True,ACC
Kansas,Big 8,,6,3,1.0,3.97,5.18,9.15,30.72,-0.4,,,,,,,43.0,1962,True,Big 12
Houston,Ind,,7,4,0.0,5.82,3.17,8.99,31.93,2.33,,,,,,,5.0,1962,False,AAC
TCU,SWC,,6,4,0.0,6.57,2.21,8.77,32.05,2.95,,,,,,,47.0,1962,True,Big 12
Florida St.,Ind,,4,3,3.0,-2.04,10.79,8.75,27.89,-5.49,,,,,,,16.0,1962,True,ACC
Arizona St.,WAC,,7,2,1.0,8.92,-0.18,8.74,36.9,5.48,,,,,,,96.0,1962,True,Pac-12
Navy,Ind,,5,5,0.0,5.13,3.46,8.59,32.81,4.63,,,,,,,7.0,1962,False,AAC
Syracuse,Ind,,5,5,0.0,1.59,6.83,8.42,28.49,-2.34,,,,,,,23.0,1962,True,ACC
Memphis,Ind,,8,1,0.0,2.23,5.55,7.78,34.75,1.29,,,,,,,6.0,1962,False,AAC
Indiana,Big Ten,,3,6,0.0,2.55,4.75,7.3,28.73,-1.56,,,,,,,28.0,1962,True,B1G
Auburn,SEC,,6,3,1.0,5.49,1.8,7.29,33.65,4.16,,,,,,,109.0,1962,True,SEC
Ohio,MAC,,8,3,0.0,3.51,3.35,6.86,30.47,1.66,,,,,,,80.0,1962,False,MAC
West Texas A&M,Ind,,9,2,0.0,3.09,2.51,5.6,34.49,3.99,,,,,,,416.0,1962,False,
Maryland,ACC,,6,4,0.0,2.82,2.49,5.31,28.52,2.07,,,,,,,30.0,1962,True,B1G
West Virginia,Southern,,8,2,0.0,3.34,1.79,5.13,30.91,6.06,,,,,,,50.0,1962,True,Big 12
Bowling Green,MAC,,7,1,1.0,1.25,3.6,4.85,28.94,2.57,,,,,,,73.0,1962,False,MAC
Illinois,Big Ten,,2,7,0.0,2.73,2.04,4.77,28.65,6.12,,,,,,,27.0,1962,True,B1G
Mississippi St.,SEC,,3,6,0.0,-1.63,6.25,4.62,24.84,-2.67,,,,,,,114.0,1962,True,SEC
Washington St.,AAWU,,5,4,1.0,4.69,-0.17,4.53,31.93,5.56,,,,,,,106.0,1962,True,Pac-12
Miami (OH),MAC,,8,2,1.0,5.75,-1.58,4.17,31.31,8.33,,,,,,,78.0,1962,False,MAC
Pittsburgh,Ind,,5,5,0.0,2.68,1.36,4.04,27.41,4.48,,,,,,,22.0,1962,True,ACC
Dartmouth,Ivy,,9,0,0.0,-1.12,4.86,3.73,26.39,3.78,,,,,,,168.0,1962,False,Ivy
Tennessee,SEC,,4,6,0.0,2.86,0.81,3.67,30.73,2.31,,,,,,,118.0,1962,True,SEC
Army,Ind,,6,4,0.0,-0.44,3.94,3.5,25.22,1.69,,,,,,,65.0,1962,False,IND (FBS)
Kentucky,SEC,,3,5,2.0,-3.14,6.64,3.5,22.92,-1.63,,,,,,,112.0,1962,True,SEC
Clemson,ACC,,6,4,0.0,0.72,2.77,3.49,27.68,2.29,,,,,,,14.0,1962,True,ACC
Utah St.,Ind,,8,2,0.0,4.99,-1.75,3.24,31.22,8.32,,,,,,,93.0,1962,False,MWC
Baylor,SWC,,4,6,0.0,3.32,-0.25,3.07,29.39,5.21,,,,,,,41.0,1962,True,Big 12
UCLA,AAWU,,4,6,0.0,-0.89,3.94,3.05,24.8,1.83,,,,,,,102.0,1962,True,Pac-12
Villanova,Ind,,7,3,0.0,0.97,1.99,2.95,26.42,4.31,,,,,,,162.0,1962,False,CAA
Stanford,AAWU,,5,5,0.0,-0.52,3.31,2.79,24.74,2.56,,,,,,,101.0,1962,True,Pac-12
Rice,SWC,,2,6,2.0,0.98,1.77,2.75,27.61,3.78,,,,,,,59.0,1962,False,C-USA
Iowa St.,Big 8,,5,5,0.0,7.69,-5.21,2.48,34.44,11.73,,,,,,,42.0,1962,True,Big 12
Georgia,SEC,,3,4,3.0,0.43,1.77,2.19,27.42,4.55,,,,,,,111.0,1962,True,SEC
South Carolina,ACC,,4,5,1.0,1.91,0.11,2.01,28.88,4.21,,,,,,,117.0,1962,True,SEC
SMU,SWC,,2,8,0.0,-3.63,4.93,1.3,22.9,-0.1,,,,,,,8.0,1962,False,AAC
Michigan,Big Ten,,2,7,0.0,-0.45,1.26,0.82,26.03,5.9,,,,,,,31.0,1962,True,B1G
Tulsa,MVC,,5,5,0.0,3.2,-2.44,0.76,31.62,8.61,,,,,,,12.0,1962,False,AAC
Air Force,Ind,,5,5,0.0,0.8,-0.35,0.45,26.92,7.0,,,,,,,83.0,1962,False,MWC
Holy Cross,Ind,,6,4,0.0,5.81,-5.38,0.43,30.69,13.51,,,,,,,214.0,1962,False,Patriot
Texas A&M,SWC,,3,7,0.0,-4.36,4.39,0.02,21.47,1.57,,,,,,,119.0,1962,True,SEC
Western Michigan,MAC,,5,4,0.0,-1.71,1.71,0.01,23.59,4.48,,,,,,,82.0,1962,False,MAC
Louisville,Ind,,6,4,0.0,1.03,-2.14,-1.11,25.22,9.68,,,,,,,18.0,1962,True,ACC
Oklahoma St.,Big 8,,4,6,0.0,0.33,-1.54,-1.21,25.24,7.25,,,,,,,46.0,1962,True,Big 12
New Mexico,WAC,,7,2,1.0,1.69,-3.39,-1.7,25.65,10.39,,,,,,,89.0,1962,False,MWC
California,AAWU,,1,9,0.0,4.58,-6.52,-1.94,30.7,11.57,,,,,,,97.0,1962,True,Pac-12
NC State,ACC,,3,6,1.0,-5.18,2.51,-2.68,20.1,3.47,,,,,,,20.0,1962,True,ACC
Wyoming,WAC,,5,5,0.0,-2.39,-0.42,-2.81,22.58,7.16,,,,,,,94.0,1962,False,MWC
Xavier,Ind,,6,4,0.0,-3.63,0.62,-3.0,19.56,6.1,,,,,,,,1962,,
North Carolina,ACC,,3,7,0.0,-1.74,-2.04,-3.79,24.28,7.93,,,,,,,21.0,1962,True,ACC
Harvard,Ivy,,6,3,0.0,-1.54,-2.43,-3.97,23.33,10.22,,,,,,,169.0,1962,False,Ivy
North Texas,MVC,,6,4,0.0,-0.44,-3.59,-4.03,23.92,10.88,,,,,,,57.0,1962,False,C-USA
Arizona,WAC,,5,5,0.0,-1.27,-3.01,-4.27,22.08,8.35,,,,,,,95.0,1962,True,Pac-12
Virginia,ACC,,5,5,0.0,0.63,-4.92,-4.29,27.56,12.48,,,,,,,24.0,1962,True,ACC
Virginia Tech,Southern,,5,5,0.0,-2.77,-1.52,-4.29,21.29,7.15,,,,,,,25.0,1962,True,ACC
Utah,WAC,,4,5,1.0,-1.31,-3.28,-4.59,22.91,10.15,,,,,,,104.0,1962,True,Pac-12
VMI,Southern,,6,4,0.0,-6.78,2.11,-4.66,17.4,5.13,,,,,,,233.0,1962,False,SoCon
BYU,WAC,,4,6,0.0,-0.38,-4.42,-4.8,25.43,11.15,,,,,,,66.0,1962,False,IND (FBS)
Vanderbilt,SEC,,1,9,0.0,-6.86,0.2,-6.66,18.81,6.95,,,,,,,120.0,1962,True,SEC
UTEP,Ind,,4,5,0.0,-8.58,1.91,-6.67,15.26,7.69,,,,,,,62.0,1962,False,C-USA
New Mexico State,Ind,,4,6,0.0,0.41,-7.1,-6.7,26.97,16.44,,,,,,,69.0,1962,False,IND (FBS)
Buffalo,Ind,,6,3,0.0,-3.84,-3.3,-7.14,22.2,12.58,,,,,,,74.0,1962,False,MAC
William & Mary,Southern,,4,5,1.0,-7.2,-0.35,-7.56,15.9,6.88,,,,,,,163.0,1962,False,CAA
Pacific,Ind,,5,5,0.0,-2.73,-5.99,-8.72,21.22,13.12,,,,,,,376.0,1962,False,
Toledo,MAC,,3,6,0.0,-4.0,-5.08,-9.08,21.15,11.62,,,,,,,81.0,1962,False,MAC
Tulane,SEC,,0,10,0.0,-1.12,-8.2,-9.32,26.18,16.09,,,,,,,11.0,1962,False,AAC
Princeton,Ivy,,5,4,0.0,-1.43,-8.23,-9.66,22.57,15.17,,,,,,,171.0,1962,False,Ivy
Kent State,MAC,,3,6,0.0,-4.86,-4.91,-9.77,19.77,12.68,,,,,,,77.0,1962,False,MAC
George Washington,Southern,,3,7,0.0,-5.67,-4.15,-9.82,18.95,10.48,,,,,,,,1962,,
Texas Tech,SWC,,1,9,0.0,-4.93,-4.94,-9.87,20.73,11.83,,,,,,,49.0,1962,True,Big 12
Wichita State,MVC,,3,7,0.0,-8.35,-1.82,-10.17,16.65,7.25,,,,,,,,1962,,
Boston University,Ind,,2,7,0.0,-7.37,-3.23,-10.6,17.51,9.69,,,,,,,,1962,,
Citadel,Southern,,3,7,0.0,-2.35,-8.26,-10.61,22.28,21.54,,,,,,,228.0,1962,False,SoCon
Richmond,Southern,,6,3,0.0,-2.66,-8.02,-10.68,20.85,15.74,,,,,,,159.0,1962,False,CAA
Colorado,Big 8,,2,8,0.0,-2.14,-8.73,-10.87,23.36,22.84,,,,,,,98.0,1962,True,Pac-12
Cincinnati,MVC,,2,8,0.0,-3.88,-7.1,-10.98,22.17,12.4,,,,,,,2.0,1962,False,AAC
San Jose St.,Ind,,2,8,1.0,-6.54,-4.59,-11.13,18.5,13.84,,,,,,,91.0,1962,False,MWC
Marshall,MAC,,4,6,0.0,-4.92,-7.65,-12.57,20.21,18.29,,,,,,,55.0,1962,False,C-USA
Furman,Southern,,4,6,0.0,-4.58,-8.12,-12.7,20.93,18.18,,,,,,,230.0,1962,False,SoCon
Kansas St.,Big 8,,0,10,0.0,-8.9,-3.88,-12.78,16.97,14.51,,,,,,,44.0,1962,True,Big 12
Detroit Mercy,Ind,,1,8,0.0,-5.51,-7.49,-13.0,19.58,12.5,,,,,,,,1962,,
Rutgers,Ind,,5,5,0.0,-7.42,-5.63,-13.05,18.12,15.2,,,,,,,39.0,1962,True,B1G
Idaho,Ind,,2,6,1.0,-6.71,-6.81,-13.51,17.41,15.89,,,,,,,133.0,1962,False,Big Sky
Yale,Ivy,,2,5,2.0,-10.8,-2.8,-13.61,12.42,10.04,,,,,,,172.0,1962,False,Ivy
Cornell,Ivy,,4,5,0.0,0.58,-14.28,-13.7,22.56,23.67,,,,,,,167.0,1962,False,Ivy
Montana,Ind,,5,5,0.0,-4.85,-8.96,-13.81,18.94,17.02,,,,,,,135.0,1962,False,Big Sky
Dayton,Ind,,2,8,0.0,-7.46,-6.61,-14.07,17.6,12.94,,,,,,,219.0,1962,False,Pioneer
Davidson,Southern,,3,5,1.0,-10.57,-3.65,-14.22,12.76,11.57,,,,,,,218.0,1962,False,Pioneer
Colgate,Ind,,3,5,1.0,-11.8,-4.16,-15.96,11.32,11.62,,,,,,,211.0,1962,False,Patriot
Columbia,Ivy,,5,4,0.0,-6.89,-9.53,-16.41,15.64,20.52,,,,,,,166.0,1962,False,Ivy
Wake Forest,ACC,,0,10,0.0,-8.0,-8.94,-16.94,18.7,17.53,,,,,,,26.0,1962,True,ACC
Penn,Ivy,,3,6,0.0,-10.67,-7.44,-18.11,11.41,16.5,,,,,,,170.0,1962,False,Ivy
Hardin-Simmons,Ind,,1,9,0.0,-11.85,-6.5,-18.35,13.1,14.27,,,,,,,,1962,,
Colorado St.,Ind,,0,10,0.0,-10.71,-7.77,-18.48,14.81,16.26,,,,,,,85.0,1962,False,MWC
Brown,Ivy,,1,6,2.0,-8.39,-10.51,-18.91,14.99,19.22,,,,,,,165.0,1962,False,Ivy
Texas,SWC,1.0,11,0,0.0,9.77,13.49,23.25,35.75,-8.17,,,,,,,48.0,1963,True,Big 12
Michigan St.,Big Ten,9.0,6,2,1.0,5.75,14.01,19.76,32.02,-8.48,,,,,,,32.0,1963,True,B1G
Pittsburgh,Ind,4.0,9,1,0.0,12.57,6.52,19.09,37.06,-1.09,,,,,,,22.0,1963,True,ACC
Ole Miss,SEC,7.0,7,1,2.0,6.91,11.63,18.54,34.5,-5.99,,,,,,,116.0,1963,True,SEC
Illinois,Big Ten,3.0,8,1,1.0,8.26,10.17,18.43,33.05,-4.53,,,,,,,27.0,1963,True,B1G
Alabama,SEC,8.0,9,2,0.0,9.73,8.61,18.34,35.54,-3.63,,,,,,,107.0,1963,True,SEC
Navy,Ind,2.0,9,2,0.0,13.76,3.31,17.07,41.91,2.75,,,,,,,7.0,1963,False,AAC
Baylor,SWC,,8,3,0.0,8.07,8.63,16.71,33.55,-3.12,,,,,,,41.0,1963,True,Big 12
Georgia Tech,SEC,,7,3,0.0,6.53,9.76,16.28,31.79,-4.53,,,,,,,17.0,1963,True,ACC
USC,AAWU,,7,3,0.0,8.54,7.23,15.77,34.27,-2.04,,,,,,,103.0,1963,True,Pac-12
Oklahoma,Big 8,10.0,8,2,0.0,10.82,4.86,15.68,36.24,1.01,,,,,,,45.0,1963,True,Big 12
Auburn,SEC,5.0,9,2,0.0,7.81,7.66,15.47,31.71,-2.62,,,,,,,109.0,1963,True,SEC
Nebraska,Big 8,6.0,10,1,0.0,8.71,6.35,15.06,35.8,-0.51,,,,,,,34.0,1963,True,B1G
Mississippi St.,SEC,,7,2,2.0,5.94,8.83,14.77,31.25,-3.57,,,,,,,114.0,1963,True,SEC
Syracuse,Ind,,8,2,0.0,6.86,7.37,14.23,36.22,-0.88,,,,,,,23.0,1963,True,ACC
Ohio St.,Big Ten,,5,3,1.0,3.22,10.42,13.64,27.97,-4.39,,,,,,,36.0,1963,True,B1G
LSU,SEC,,7,4,0.0,4.2,9.32,13.52,28.87,-3.2,,,,,,,113.0,1963,True,SEC
Rice,SWC,,6,4,0.0,5.02,8.39,13.41,30.68,-2.94,,,,,,,59.0,1963,False,C-USA
Michigan,Big Ten,,3,4,2.0,6.39,6.85,13.23,31.95,-1.63,,,,,,,31.0,1963,True,B1G
Oregon,Ind,,8,3,0.0,9.51,3.54,13.05,36.04,2.51,,,,,,,99.0,1963,True,Pac-12
Northwestern,Big Ten,,5,4,0.0,8.11,4.92,13.03,34.28,0.08,,,,,,,35.0,1963,True,B1G
Arkansas,SWC,,5,5,0.0,3.9,8.67,12.56,31.52,-3.91,,,,,,,108.0,1963,True,SEC
Penn State,Ind,,7,3,0.0,6.44,5.94,12.38,29.65,-1.24,,,,,,,37.0,1963,True,B1G
Washington,AAWU,,6,5,0.0,4.3,7.79,12.09,29.89,-2.51,,,,,,,105.0,1963,True,Pac-12
Missouri,Big 8,,7,3,0.0,2.26,9.32,11.58,25.91,-4.61,,,,,,,115.0,1963,True,SEC
Memphis,Ind,,9,0,1.0,2.55,8.97,11.52,26.88,-2.27,,,,,,,6.0,1963,False,AAC
North Carolina,ACC,,9,2,0.0,3.82,7.28,11.1,28.07,-0.69,,,,,,,21.0,1963,True,ACC
Wisconsin,Big Ten,,5,4,0.0,5.91,4.55,10.46,32.05,1.12,,,,,,,40.0,1963,True,B1G
Florida,SEC,,6,3,1.0,3.54,6.23,9.78,28.21,-0.07,,,,,,,110.0,1963,True,SEC
Iowa,Big Ten,,3,3,2.0,5.71,4.05,9.77,31.37,1.12,,,,,,,29.0,1963,True,B1G
SMU,SWC,,4,7,0.0,4.18,5.51,9.68,28.68,-0.95,,,,,,,8.0,1963,False,AAC
Kansas,Big 8,,5,5,0.0,4.92,4.46,9.38,31.63,-0.27,,,,,,,43.0,1963,True,Big 12
Army,Ind,,7,3,0.0,1.56,7.69,9.25,27.59,-1.21,,,,,,,65.0,1963,False,IND (FBS)
Air Force,Ind,,7,4,0.0,5.32,3.65,8.97,33.05,3.35,,,,,,,83.0,1963,False,MWC
Florida St.,Ind,,4,5,1.0,0.66,8.11,8.76,27.62,-1.29,,,,,,,16.0,1963,True,ACC
Minnesota,Big Ten,,3,6,0.0,0.55,8.08,8.63,25.97,-3.09,,,,,,,33.0,1963,True,B1G
Tennessee,SEC,,5,5,0.0,2.93,5.65,8.58,30.29,1.19,,,,,,,118.0,1963,True,SEC
Purdue,Big Ten,,5,4,0.0,4.95,3.2,8.15,29.45,2.18,,,,,,,38.0,1963,True,B1G
TCU,SWC,,4,5,1.0,4.5,3.37,7.87,30.46,2.13,,,,,,,47.0,1963,True,Big 12
NC State,ACC,,8,3,0.0,2.08,5.76,7.84,27.17,0.69,,,,,,,20.0,1963,True,ACC
Oregon St.,Ind,,5,5,0.0,6.71,0.5,7.22,32.71,5.0,,,,,,,100.0,1963,True,Pac-12
Princeton,Ivy,,7,2,0.0,4.77,1.81,6.58,33.12,3.84,,,,,,,171.0,1963,False,Ivy
Arizona St.,WAC,,8,1,0.0,6.16,0.22,6.38,32.47,6.95,,,,,,,96.0,1963,True,Pac-12
Indiana,Big Ten,,3,6,0.0,6.92,-0.63,6.29,32.25,5.93,,,,,,,28.0,1963,True,B1G
Georgia,SEC,,4,5,1.0,2.75,3.25,6.0,27.81,3.29,,,,,,,111.0,1963,True,SEC
Utah St.,Ind,,8,2,0.0,4.99,0.86,5.84,34.06,5.97,,,,,,,93.0,1963,False,MWC
California,AAWU,,4,5,1.0,6.08,-0.36,5.72,31.94,7.45,,,,,,,97.0,1963,True,Pac-12
Duke,ACC,,5,4,1.0,8.84,-3.38,5.46,33.24,9.06,,,,,,,15.0,1963,True,ACC
Clemson,ACC,,5,4,1.0,2.75,2.7,5.45,28.4,3.75,,,,,,,14.0,1963,True,ACC
Notre Dame,Ind,,2,7,0.0,2.06,3.36,5.43,27.05,0.65,,,,,,,70.0,1963,True,IND (FBS)
Virginia Tech,Southern,,8,2,0.0,5.53,-0.26,5.27,28.46,6.88,,,,,,,25.0,1963,True,ACC
Texas Tech,SWC,,5,5,0.0,3.13,1.84,4.97,29.64,6.45,,,,,,,49.0,1963,True,Big 12
Texas A&M,SWC,,2,7,1.0,0.34,4.1,4.44,25.64,0.73,,,,,,,119.0,1963,True,SEC
Miami (FL),Ind,,3,7,0.0,2.08,1.35,3.43,26.7,4.12,,,,,,,19.0,1963,True,ACC
Kentucky,SEC,,3,6,1.0,2.91,0.19,3.1,27.7,4.83,,,,,,,112.0,1963,True,SEC
Iowa St.,Big 8,,4,5,0.0,0.72,1.97,2.69,24.54,3.98,,,,,,,42.0,1963,True,Big 12
Wichita State,MVC,,7,2,0.0,2.68,-0.57,2.12,28.52,6.89,,,,,,,,1963,,
Dartmouth,Ivy,,7,2,0.0,0.59,1.29,1.87,25.48,4.21,,,,,,,168.0,1963,False,Ivy
Stanford,AAWU,,3,7,0.0,2.86,-1.11,1.76,28.49,6.49,,,,,,,101.0,1963,True,Pac-12
Cincinnati,MVC,,6,4,0.0,1.61,-1.24,0.37,27.79,7.07,,,,,,,2.0,1963,False,AAC
Southern Miss,Ind,,5,3,1.0,-3.74,3.94,0.2,19.85,2.74,,,,,,,60.0,1963,False,C-USA
West Virginia,Southern,,4,6,0.0,-1.38,1.14,-0.23,24.07,7.57,,,,,,,50.0,1963,True,Big 12
UCLA,AAWU,,2,8,0.0,-0.1,-0.32,-0.42,24.73,5.72,,,,,,,102.0,1963,True,Pac-12
Boston College,Ind,,6,3,0.0,1.53,-1.98,-0.45,26.13,8.41,,,,,,,13.0,1963,True,ACC
Yale,Ivy,,6,3,0.0,-3.75,3.18,-0.57,20.33,2.19,,,,,,,172.0,1963,False,Ivy
Wyoming,WAC,,6,4,0.0,0.81,-1.75,-0.94,24.89,8.25,,,,,,,94.0,1963,False,MWC
Houston,Ind,,2,8,0.0,1.45,-2.67,-1.22,27.44,8.62,,,,,,,5.0,1963,False,AAC
Harvard,Ivy,,5,2,2.0,-5.68,4.44,-1.24,18.95,1.16,,,,,,,169.0,1963,False,Ivy
Utah,WAC,,4,6,0.0,2.95,-4.23,-1.28,27.1,8.29,,,,,,,104.0,1963,True,Pac-12
Washington St.,AAWU,,3,6,1.0,-3.62,2.3,-1.32,20.71,2.94,,,,,,,106.0,1963,True,Pac-12
Maryland,ACC,,3,7,0.0,0.31,-1.81,-1.51,25.08,8.65,,,,,,,30.0,1963,True,B1G
Arizona,WAC,,5,5,0.0,-3.35,0.68,-2.67,21.16,7.69,,,,,,,95.0,1963,True,Pac-12
New Mexico,WAC,,6,4,0.0,-1.37,-1.42,-2.79,22.34,8.14,,,,,,,89.0,1963,False,MWC
Idaho,Ind,,5,4,0.0,0.1,-3.32,-3.22,27.43,10.17,,,,,,,133.0,1963,False,Big Sky
San Jose St.,Ind,,5,5,0.0,0.93,-4.3,-3.37,24.94,9.28,,,,,,,91.0,1963,False,MWC
Tulane,SEC,,1,8,1.0,-4.16,0.64,-3.52,21.31,5.62,,,,,,,11.0,1963,False,AAC
Colorado,Big 8,,2,8,0.0,-2.88,-1.22,-4.1,22.29,10.26,,,,,,,98.0,1963,True,Pac-12
Columbia,Ivy,,4,4,1.0,1.61,-5.93,-4.32,26.97,12.56,,,,,,,166.0,1963,False,Ivy
Vanderbilt,SEC,,1,7,2.0,-6.96,2.59,-4.37,18.36,2.84,,,,,,,120.0,1963,True,SEC
Bowling Green,MAC,,8,2,0.0,-1.85,-2.87,-4.72,21.35,10.62,,,,,,,73.0,1963,False,MAC
Tulsa,MVC,,5,5,0.0,2.92,-8.16,-5.24,27.62,16.71,,,,,,,12.0,1963,False,AAC
Furman,Southern,,7,3,0.0,2.55,-7.93,-5.38,25.43,17.34,,,,,,,230.0,1963,False,SoCon
South Carolina,ACC,,1,8,1.0,-3.25,-2.29,-5.54,20.43,7.94,,,,,,,117.0,1963,True,SEC
Miami (OH),MAC,,5,3,2.0,0.86,-6.59,-5.73,25.17,14.39,,,,,,,78.0,1963,False,MAC
VMI,Southern,,3,5,2.0,-4.68,-1.19,-5.87,19.16,7.96,,,,,,,233.0,1963,False,SoCon
West Texas A&M,Ind,,4,4,1.0,0.4,-6.35,-5.95,23.33,12.97,,,,,,,416.0,1963,False,
Xavier,Ind,,5,4,1.0,-4.13,-1.82,-5.96,18.96,8.67,,,,,,,,1963,,
Cornell,Ivy,,5,4,0.0,-0.4,-5.76,-6.15,22.59,12.73,,,,,,,167.0,1963,False,Ivy
Brown,Ivy,,3,5,0.0,2.16,-8.34,-6.18,27.14,14.18,,,,,,,165.0,1963,False,Ivy
Virginia,ACC,,2,7,1.0,-7.06,0.44,-6.63,16.96,7.18,,,,,,,24.0,1963,True,ACC
Oklahoma St.,Big 8,,1,8,0.0,0.95,-7.97,-7.02,25.99,14.62,,,,,,,46.0,1963,True,Big 12
William & Mary,Southern,,4,6,0.0,-4.08,-3.93,-8.01,19.82,10.8,,,,,,,163.0,1963,False,CAA
Kansas St.,Big 8,,2,7,0.0,-3.66,-4.59,-8.25,21.14,13.55,,,,,,,44.0,1963,True,Big 12
Richmond,Southern,,3,6,1.0,-3.91,-4.53,-8.44,19.68,13.6,,,,,,,159.0,1963,False,CAA
Ohio,MAC,,6,4,0.0,-7.43,-1.85,-9.28,15.52,8.99,,,,,,,80.0,1963,False,MAC
UTEP,Ind,,3,7,0.0,-8.64,-1.0,-9.63,14.28,7.26,,,,,,,62.0,1963,False,C-USA
Buffalo,Ind,,5,3,1.0,-8.36,-1.94,-10.3,15.52,9.51,,,,,,,74.0,1963,False,MAC
New Mexico State,Ind,,3,6,1.0,-3.19,-7.44,-10.63,20.42,14.9,,,,,,,69.0,1963,False,IND (FBS)
Holy Cross,Ind,,2,6,1.0,-7.67,-3.0,-10.66,15.78,11.56,,,,,,,214.0,1963,False,Patriot
Marshall,MAC,,5,4,1.0,-6.75,-5.25,-12.0,15.49,12.81,,,,,,,55.0,1963,False,C-USA
George Washington,Southern,,2,7,0.0,-4.31,-8.41,-12.72,19.25,15.63,,,,,,,,1963,,
Kent State,MAC,,3,5,1.0,-9.93,-3.97,-13.9,13.65,11.9,,,,,,,77.0,1963,False,MAC
Villanova,Ind,,5,4,0.0,-7.82,-6.41,-14.23,14.34,15.22,,,,,,,162.0,1963,False,CAA
Penn,Ivy,,3,6,0.0,-8.92,-5.43,-14.34,17.55,13.56,,,,,,,170.0,1963,False,Ivy
North Texas,MVC,,3,6,0.0,-6.18,-8.37,-14.55,17.08,15.76,,,,,,,57.0,1963,False,C-USA
Citadel,Southern,,4,6,0.0,-4.94,-9.64,-14.58,17.22,17.23,,,,,,,228.0,1963,False,SoCon
Detroit Mercy,Ind,,2,6,1.0,-5.96,-9.19,-15.16,18.07,18.83,,,,,,,,1963,,
Rutgers,Ind,,3,6,0.0,-7.57,-8.26,-15.83,18.62,14.33,,,,,,,39.0,1963,True,B1G
Wake Forest,ACC,,1,9,0.0,-9.33,-6.8,-16.13,14.45,21.49,,,,,,,26.0,1963,True,ACC
Colorado St.,Ind,,3,7,0.0,-6.8,-9.42,-16.22,17.18,22.98,,,,,,,85.0,1963,False,MWC
Louisville,MVC,,3,7,0.0,-7.51,-9.02,-16.52,15.42,16.84,,,,,,,18.0,1963,True,ACC
