Team,Team Code,Year,Date,Time,LTime,Loc,Opponent,Team Code opp,Week,G,Day,Result,OT,Points For,Points Against,Points Difference,Points Combined,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Sk,Yds,Pass Rate,Rush Att,Rush Yard,Rush Avg,Rush TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Pass Int opp,Sk opp,Yds opp,Pass Rate opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp
TEN,19,2009,2009-09-10,8:41,8:41,@,PIT,21,1,1,Thu,L 10-13,OT,10,13,-3,23,22,35,62.9,234,1,1,1,10,79.9,25,86,3.44,0,33,43,76.7,321,1,2,4,42,85.5,23,36,1.57,0
PIT,21,2009,2009-09-10,8:41,8:41,,TEN,19,1,1,Thu,W 13-10,OT,13,10,3,23,33,43,76.7,321,1,2,4,42,85.5,23,36,1.57,0,22,35,62.9,234,1,1,1,10,79.9,25,86,3.44,0
ATL,1,2009,2009-09-13,1:05,1:05,,MIA,13,1,1,Sun,W 19-7,,19,7,12,26,22,36,61.1,213,2,0,2,16,96.2,27,68,2.52,0,21,30,70.0,163,1,1,4,13,80.3,22,96,4.36,0
CAR,29,2009,2009-09-13,1:04,1:04,,PHI,20,1,1,Sun,L 10-38,,10,38,-28,48,14,34,41.2,83,0,5,5,55,9.3,30,86,2.87,1,17,29,58.6,82,2,1,2,20,72.1,32,185,5.78,1
CHI,3,2009,2009-09-13,8:30,7:30,@,GNB,11,1,1,Sun,L 15-21,,15,21,-6,36,17,36,47.2,266,1,4,2,11,41.9,31,86,2.77,0,17,28,60.7,150,1,0,4,34,86.9,22,76,3.45,1
CIN,4,2009,2009-09-13,1:02,1:02,,DEN,9,1,1,Sun,L 7-12,,7,12,-5,19,21,33,63.6,221,0,2,3,26,57.8,27,86,3.19,1,17,28,60.7,227,1,0,3,16,98.4,20,75,3.75,0
CLE,5,2009,2009-09-13,1:03,1:03,,MIN,14,1,1,Sun,L 20-34,,20,34,-14,54,21,35,60.0,179,1,1,5,26,71.0,20,89,4.45,0,14,22,63.6,85,1,0,4,25,86.4,37,225,6.08,3
IND,6,2009,2009-09-13,1:02,1:02,,JAX,30,1,1,Sun,W 14-12,,14,12,2,26,28,38,73.7,294,1,1,1,7,93.5,31,71,2.29,1,14,28,50.0,114,0,0,1,8,60.7,26,114,4.38,1
ARI,7,2009,2009-09-13,1:15,1:15,,SFO,28,1,1,Sun,L 16-20,,16,20,-4,36,26,44,59.1,259,1,2,3,29,64.5,17,40,2.35,0,18,31,58.1,182,1,0,4,27,85.7,25,21,0.84,1
DAL,8,2009,2009-09-13,1:03,1:03,@,TAM,25,1,1,Sun,W 34-21,,34,21,13,55,16,27,59.3,344,3,0,1,9,140.6,24,118,4.92,1,25,42,59.5,276,1,0,0,0,87.0,31,174,5.61,2
DEN,9,2009,2009-09-13,1:02,1:02,@,CIN,4,1,1,Sun,W 12-7,,12,7,5,19,17,28,60.7,227,1,0,3,16,98.4,20,75,3.75,0,21,33,63.6,221,0,2,3,26,57.8,27,86,3.19,1
DET,10,2009,2009-09-13,1:03,12:03,@,NOR,15,1,1,Sun,L 27-45,,27,45,-18,72,16,37,43.2,198,0,3,1,7,26.6,20,33,1.65,2,26,34,76.5,358,6,1,0,0,137.0,35,157,4.49,0
