Team,Team Code,Year,Date,Time,LTime,Loc,Opponent,Team Code opp,Week,G,Day,Result,OT,Points For,Points Against,Points Difference,Points Combined,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Sk,Yds,Pass Rate,Rush Att,Rush Yard,Rush Avg,Rush TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Pass Int opp,Sk opp,Yds opp,Pass Rate opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp
DAL,8,2012,2012-09-05,8:41,8:41,@,NYG,17,1,1,Wed,W 24-17,,24,17,7,41,22,29,75.9,290,3,1,2,17,127.1,26,143,5.5,0,21,32,65.6,187,1,0,3,26,91.5,19,82,4.32,1
NYG,17,2012,2012-09-05,8:41,8:41,,DAL,8,1,1,Wed,L 17-24,,17,24,-7,41,21,32,65.6,187,1,0,3,26,91.5,19,82,4.32,1,22,29,75.9,290,3,1,2,17,127.1,26,143,5.5,0
ATL,1,2012,2012-09-09,1:03,12:03,@,KAN,12,1,1,Sun,W 40-24,,40,24,16,64,23,31,74.2,292,3,0,1,7,135.4,23,84,3.65,1,21,33,63.6,241,1,2,3,17,70.4,33,152,4.61,2
BUF,2,2012,2012-09-09,1:03,1:03,@,NYJ,18,1,1,Sun,L 28-48,,28,48,-20,76,18,32,56.3,195,3,3,0,0,66.5,26,195,7.5,1,19,27,70.4,266,3,1,0,0,123.4,36,118,3.28,1
CAR,29,2012,2012-09-09,4:26,4:26,@,TAM,25,1,1,Sun,L 10-16,,10,16,-6,26,23,33,69.7,291,1,2,3,12,81.8,13,10,0.77,0,16,24,66.7,128,1,0,2,10,93.7,36,130,3.61,0
CHI,3,2012,2012-09-09,1:02,12:02,,IND,6,1,1,Sun,W 41-21,,41,21,20,62,21,35,60.0,314,2,1,2,19,96.6,33,114,3.45,3,23,45,51.1,293,1,3,3,16,51.4,15,63,4.2,1
CLE,5,2012,2012-09-09,1:03,1:03,,PHI,20,1,1,Sun,L 16-17,,16,17,-1,33,12,35,34.3,111,0,4,2,7,4.3,22,99,4.5,0,29,56,51.8,306,2,4,2,11,50.1,30,150,5.0,0
IND,6,2012,2012-09-09,1:02,12:02,@,CHI,3,1,1,Sun,L 21-41,,21,41,-20,62,23,45,51.1,293,1,3,3,16,51.4,15,63,4.2,1,21,35,60.0,314,2,1,2,19,96.6,33,114,3.45,3
ARI,7,2012,2012-09-09,4:25,1:25,,SEA,24,1,1,Sun,W 20-16,,20,16,4,36,20,36,55.6,210,1,1,1,5,70.4,20,43,2.15,1,18,34,52.9,139,1,1,3,14,60.8,33,115,3.48,0
DEN,9,2012,2012-09-09,8:31,6:31,,PIT,21,1,1,Sun,W 31-19,,31,19,12,50,19,26,73.1,240,2,0,2,13,127.1,27,94,3.48,1,22,40,55.0,209,2,1,5,36,75.9,26,75,2.88,0
