Team,Team Code,Year,Date,Time,LTime,Loc,Opponent,Team Code opp,Week,G,Day,Result,OT,Points For,Points Against,Points Difference,Points Combined,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Sk,Yds,Pass Rate,Rush Att,Rush Yard,Rush Avg,Rush TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Pass Int opp,Sk opp,Yds opp,Pass Rate opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp
ATL,1,1994,1994-09-04,1:00,1:00,@,DET,10,1,1,Sun,L 28-31,OT,28,31,-3,59,29,37,78.4,271,3,0,2,10,124.2,28,118,4.21,1,16,31,51.6,203,3,1,0,0,91.2,31,149,4.81,1
BUF,2,1994,1994-09-04,4:00,4:00,,NYJ,18,1,1,Sun,L 3-23,,3,23,-20,26,22,37,59.5,166,0,1,4,29,59.1,13,43,3.31,0,14,28,50.0,214,0,1,0,0,60.7,41,116,2.83,2
CHI,3,1994,1994-09-04,1:00,12:00,,TAM,25,1,1,Sun,W 21-9,,21,9,12,30,18,25,72.0,204,2,0,2,8,122.7,25,66,2.64,1,18,32,56.3,181,0,0,3,16,72.5,30,123,4.1,0
CIN,4,1994,1994-09-04,1:00,1:00,,CLE,31,1,1,Sun,L 20-28,,20,28,-8,48,27,43,62.8,213,1,2,2,11,63.4,30,118,3.93,1,14,24,58.3,149,1,2,0,0,55.7,27,107,3.96,0
CLE,31,1994,1994-09-04,1:00,1:00,@,CIN,4,1,1,Sun,W 28-20,,28,20,8,48,14,24,58.3,149,1,2,0,0,55.7,27,107,3.96,0,27,43,62.8,213,1,2,2,11,63.4,30,118,3.93,1
IND,6,1994,1994-09-04,1:00,1:00,,HOU,19,1,1,Sun,W 45-21,,45,21,24,66,10,13,76.9,106,2,1,2,6,107.7,37,182,4.92,3,30,57,52.6,295,3,1,4,37,77.7,14,79,5.64,0
ARI,7,1994,1994-09-04,4:00,1:00,@,LAR,22,1,1,Sun,L 12-14,,12,14,-2,26,18,40,45.0,128,1,2,4,30,40.4,32,106,3.31,0,6,16,37.5,102,0,1,5,29,33.9,22,50,2.27,1
DAL,8,1994,1994-09-04,4:00,4:00,@,PIT,21,1,1,Sun,W 26-9,,26,9,17,35,21,32,65.6,245,1,1,0,0,86.1,41,197,4.8,1,13,26,50.0,71,0,0,9,56,56.2,17,55,3.24,1
DEN,9,1994,1994-09-04,8:00,6:00,,LAC,23,1,1,Sun,L 34-37,,34,37,-3,71,36,46,78.3,341,3,2,4,30,101.2,18,129,7.17,1,12,22,54.5,232,3,0,0,0,131.1,34,138,4.06,1
DET,10,1994,1994-09-04,1:00,1:00,,ATL,1,1,1,Sun,W 31-28,OT,31,28,3,59,16,31,51.6,203,3,1,0,0,91.2,31,149,4.81,1,29,37,78.4,271,3,0,2,10,124.2,28,118,4.21,1
GNB,11,1994,1994-09-04,1:00,12:00,,MIN,14,1,1,Sun,W 16-10,,16,10,6,26,22,36,61.1,170,1,0,3,15,81.9,26,94,3.62,0,20,37,54.1,146,0,3,3,20,29.8,17,48,2.82,0
KAN,12,1994,1994-09-04,1:00,12:00,@,NOR,15,1,1,Sun,W 30-17,,30,17,13,47,24,33,72.7,308,2,0,1,7,121.8,43,152,3.53,1,26,37,70.3,312,2,2,1,14,91.3,11,37,3.36,0
MIA,13,1994,1994-09-04,4:00,4:00,,NEW,16,1,1,Sun,W 39-35,,39,35,4,74,23,42,54.8,456,5,1,2,17,122.6,23,69,3.0,0,32,51,62.7,418,4,2,1,3,98.3,24,54,2.25,1
MIN,14,1994,1994-09-04,1:00,12:00,@,GNB,11,1,1,Sun,L 10-16,,10,16,-6,26,20,37,54.1,146,0,3,3,20,29.8,17,48,2.82,0,22,36,61.1,170,1,0,3,15,81.9,26,94,3.62,0
NOR,15,1994,1994-09-04,1:00,12:00,,KAN,12,1,1,Sun,L 17-30,,17,30,-13,47,26,37,70.3,312,2,2,1,14,91.3,11,37,3.36,0,24,33,72.7,308,2,0,1,7,121.8,43,152,3.53,1
NEW,16,1994,1994-09-04,4:00,4:00,@,MIA,13,1,1,Sun,L 35-39,,35,39,-4,74,32,51,62.7,418,4,2,1,3,98.3,24,54,2.25,1,23,42,54.8,456,5,1,2,17,122.6,23,69,3.0,0
NYG,17,1994,1994-09-04,1:00,1:00,,PHI,20,1,1,Sun,W 28-23,,28,23,5,51,10,20,50.0,149,1,1,3,22,70.6,34,141,4.15,2,20,39,51.3,317,2,0,5,27,95.8,25,78,3.12,0
NYJ,18,1994,1994-09-04,4:00,4:00,@,BUF,2,1,1,Sun,W 23-3,,23,3,20,26,14,28,50.0,214,0,1,0,0,60.7,41,116,2.83,2,22,37,59.5,166,0,1,4,29,59.1,13,43,3.31,0
HOU,19,1994,1994-09-04,1:00,1:00,@,IND,6,1,1,Sun,L 21-45,,21,45,-24,66,30,57,52.6,295,3,1,4,37,77.7,14,79,5.64,0,10,13,76.9,106,2,1,2,6,107.7,37,182,4.92,3
PHI,20,1994,1994-09-04,1:00,1:00,@,NYG,17,1,1,Sun,L 23-28,,23,28,-5,51,20,39,51.3,317,2,0,5,27,95.8,25,78,3.12,0,10,20,50.0,149,1,1,3,22,70.6,34,141,4.15,2
PIT,21,1994,1994-09-04,4:00,4:00,,DAL,8,1,1,Sun,L 9-26,,9,26,-17,35,13,26,50.0,71,0,0,9,56,56.2,17,55,3.24,1,21,32,65.6,245,1,1,0,0,86.1,41,197,4.8,1
LAR,22,1994,1994-09-04,4:00,1:00,,ARI,7,1,1,Sun,W 14-12,,14,12,2,26,6,16,37.5,102,0,1,5,29,33.9,22,50,2.27,1,18,40,45.0,128,1,2,4,30,40.4,32,106,3.31,0
LAC,23,1994,1994-09-04,8:00,6:00,@,DEN,9,1,1,Sun,W 37-34,,37,34,3,71,12,22,54.5,232,3,0,0,0,131.1,34,138,4.06,1,36,46,78.3,341,3,2,4,30,101.2,18,129,7.17,1
SEA,24,1994,1994-09-04,1:00,1:00,@,WAS,26,1,1,Sun,W 28-7,,28,7,21,35,17,28,60.7,176,1,0,1,7,90.8,38,184,4.84,2,20,40,50.0,224,1,2,0,0,54.6,21,34,1.62,0
TAM,25,1994,1994-09-04,1:00,12:00,@,CHI,3,1,1,Sun,L 9-21,,9,21,-12,30,18,32,56.3,181,0,0,3,16,72.5,30,123,4.1,0,18,25,72.0,204,2,0,2,8,122.7,25,66,2.64,1
WAS,26,1994,1994-09-04,1:00,1:00,,SEA,24,1,1,Sun,L 7-28,,7,28,-21,35,20,40,50.0,224,1,2,0,0,54.6,21,34,1.62,0,17,28,60.7,176,1,0,1,7,90.8,38,184,4.84,2
OAK,27,1994,1994-09-05,9:00,6:00,@,SFO,28,1,1,Mon,L 14-44,,14,44,-30,58,19,33,57.6,147,1,1,5,49,66.1,20,34,1.7,1,19,32,59.4,292,4,1,2,16,116.1,36,156,4.33,2
SFO,28,1994,1994-09-05,9:00,6:00,,OAK,27,1,1,Mon,W 44-14,,44,14,30,58,19,32,59.4,292,4,1,2,16,116.1,36,156,4.33,2,19,33,57.6,147,1,1,5,49,66.1,20,34,1.7,1
ATL,1,1994,1994-09-11,1:00,1:00,,LAR,22,2,2,Sun,W 31-13,,31,13,18,44,30,42,71.4,304,3,1,0,0,105.7,24,124,5.17,0,19,37,51.4,281,2,3,2,24,60.8,29,140,4.83,0
BUF,2,1994,1994-09-11,1:00,1:00,@,NEW,16,2,2,Sun,W 38-35,,38,35,3,73,25,41,61.0,322,4,3,2,6,87.7,38,144,3.79,0,26,42,61.9,371,3,2,2,9,94.4,25,96,3.84,2
CIN,4,1994,1994-09-11,4:00,1:00,@,LAC,23,2,2,Sun,L 10-27,,10,27,-17,37,21,34,61.8,167,1,1,2,13,71.6,22,113,5.14,0,18,29,62.1,299,2,0,0,0,119.8,35,166,4.74,1
CLE,31,1994,1994-09-11,1:00,1:00,,PIT,21,2,2,Sun,L 10-17,,10,17,-7,27,19,38,50.0,197,1,4,2,14,34.5,19,81,4.26,0,15,25,60.0,199,1,0,0,0,98.6,38,116,3.05,1
IND,6,1994,1994-09-11,1:00,1:00,@,TAM,25,2,2,Sun,L 10-24,,10,24,-14,34,19,24,79.2,201,0,1,1,5,84.2,39,163,4.18,1,19,24,79.2,313,3,0,0,0,158.3,24,54,2.25,0
ARI,7,1994,1994-09-11,8:00,6:00,,NYG,17,2,2,Sun,L 17-20,,17,20,-3,37,14,27,51.9,135,1,2,3,23,47.6,16,39,2.44,1,11,17,64.7,88,2,1,4,31,92.3,41,118,2.88,1
DAL,8,1994,1994-09-11,4:00,3:00,,HOU,19,2,2,Sun,W 20-17,,20,17,3,37,14,25,56.0,225,1,1,3,3,82.9,34,115,3.38,1,20,42,47.6,202,0,2,5,40,42.0,28,137,4.89,2
DEN,9,1994,1994-09-11,4:00,4:00,@,NYJ,18,2,2,Sun,L 22-25,OT,22,25,-3,47,29,42,69.0,316,1,1,1,3,89.0,24,85,3.54,1,26,37,70.3,287,2,2,1,10,88.5,21,79,3.76,0
DET,10,1994,1994-09-11,1:00,12:00,@,MIN,14,2,2,Sun,L 3-10,,3,10,-7,13,18,41,43.9,175,0,1,6,37,46.3,15,37,2.47,0,22,35,62.9,203,1,1,2,18,76.2,30,86,2.87,0
GNB,11,1994,1994-09-11,1:00,12:00,,MIA,13,2,2,Sun,L 14-24,,14,24,-10,38,31,51,60.8,345,2,1,4,17,85.8,7,38,5.43,0,17,25,68.0,162,2,0,2,15,112.4,34,146,4.29,1
KAN,12,1994,1994-09-11,1:00,12:00,,SFO,28,2,2,Sun,W 24-17,,24,17,7,41,19,31,61.3,194,2,0,1,9,100.7,32,98,3.06,1,24,34,70.6,271,1,2,4,17,79.4,26,110,4.23,1
MIA,13,1994,1994-09-11,1:00,12:00,@,GNB,11,2,2,Sun,W 24-14,,24,14,10,38,17,25,68.0,162,2,0,2,15,112.4,34,146,4.29,1,31,51,60.8,345,2,1,4,17,85.8,7,38,5.43,0
MIN,14,1994,1994-09-11,1:00,12:00,,DET,10,2,2,Sun,W 10-3,,10,3,7,13,22,35,62.9,203,1,1,2,18,76.2,30,86,2.87,0,18,41,43.9,175,0,1,6,37,46.3,15,37,2.47,0
NOR,15,1994,1994-09-11,4:00,3:00,,WAS,26,2,2,Sun,L 24-38,,24,38,-14,62,33,49,67.3,380,2,1,1,8,95.6,15,28,1.87,1,15,22,68.2,190,4,0,1,5,134.5,46,153,3.33,0
NEW,16,1994,1994-09-11,1:00,1:00,,BUF,2,2,2,Sun,L 35-38,,35,38,-3,73,26,42,61.9,371,3,2,2,9,94.4,25,96,3.84,2,25,41,61.0,322,4,3,2,6,87.7,38,144,3.79,0
NYG,17,1994,1994-09-11,8:00,6:00,@,ARI,7,2,2,Sun,W 20-17,,20,17,3,37,11,17,64.7,88,2,1,4,31,92.3,41,118,2.88,1,14,27,51.9,135,1,2,3,23,47.6,16,39,2.44,1
NYJ,18,1994,1994-09-11,4:00,4:00,,DEN,9,2,2,Sun,W 25-22,OT,25,22,3,47,26,37,70.3,287,2,2,1,10,88.5,21,79,3.76,0,29,42,69.0,316,1,1,1,3,89.0,24,85,3.54,1
HOU,19,1994,1994-09-11,4:00,3:00,@,DAL,8,2,2,Sun,L 17-20,,17,20,-3,37,20,42,47.6,202,0,2,5,40,42.0,28,137,4.89,2,14,25,56.0,225,1,1,3,3,82.9,34,115,3.38,1
PIT,21,1994,1994-09-11,1:00,1:00,@,CLE,31,2,2,Sun,W 17-10,,17,10,7,27,15,25,60.0,199,1,0,0,0,98.6,38,116,3.05,1,19,38,50.0,197,1,4,2,14,34.5,19,81,4.26,0
OAK,27,1994,1994-09-11,4:00,1:00,,SEA,24,2,2,Sun,L 9-38,,9,38,-29,47,21,43,48.8,198,0,3,4,33,32.9,14,99,7.07,0,19,26,73.1,235,3,0,1,7,139.1,38,97,2.55,2
LAR,22,1994,1994-09-11,1:00,1:00,@,ATL,1,2,2,Sun,L 13-31,,13,31,-18,44,19,37,51.4,281,2,3,2,24,60.8,29,140,4.83,0,30,42,71.4,304,3,1,0,0,105.7,24,124,5.17,0
LAC,23,1994,1994-09-11,4:00,1:00,,CIN,4,2,2,Sun,W 27-10,,27,10,17,37,18,29,62.1,299,2,0,0,0,119.8,35,166,4.74,1,21,34,61.8,167,1,1,2,13,71.6,22,113,5.14,0
