Team,Team Code,Year,Date,Time,LTime,Loc,Opponent,Team Code opp,Week,G,Day,Result,OT,Points For,Points Against,Points Difference,Points Combined,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Sk,Yds,Pass Rate,Rush Att,Rush Yard,Rush Avg,Rush TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Pass Int opp,Sk opp,Yds opp,Pass Rate opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp
ATL,1,1997,1997-08-31,1:00,1:00,@,DET,10,1,1,Sun,L 17-28,,17,28,-11,45,20,37,54.1,268,1,3,4,22,52.5,29,55,1.9,1,12,30,40.0,175,2,1,4,30,68.1,23,46,2.0,0
BUF,2,1997,1997-08-31,1:00,1:00,,MIN,14,1,1,Sun,L 13-34,,13,34,-21,47,25,39,64.1,279,1,2,3,20,72.5,24,147,6.13,0,17,30,56.7,200,2,1,3,18,85.4,28,185,6.61,1
CAR,29,1997,1997-08-31,8:00,8:00,,WAS,26,1,1,Sun,L 10-24,,10,24,-14,34,12,26,46.2,104,1,2,1,4,38.0,29,158,5.45,0,11,29,37.9,125,1,0,2,19,63.1,40,198,4.95,2
CIN,4,1997,1997-08-31,1:00,1:00,,ARI,7,1,1,Sun,W 24-21,,24,21,3,45,24,35,68.6,230,1,1,4,22,84.2,25,87,3.48,2,20,36,55.6,248,0,1,0,0,65.5,30,75,2.5,3
IND,6,1997,1997-08-31,1:00,1:00,@,MIA,13,1,1,Sun,L 10-16,,10,16,-6,26,22,42,52.4,168,0,2,5,41,42.6,26,130,5.0,0,10,26,38.5,105,0,1,0,0,34.9,28,97,3.46,1
ARI,7,1997,1997-08-31,1:00,1:00,@,CIN,4,1,1,Sun,L 21-24,,21,24,-3,45,20,36,55.6,248,0,1,0,0,65.5,30,75,2.5,3,24,35,68.6,230,1,1,4,22,84.2,25,87,3.48,2
DAL,8,1997,1997-08-31,1:00,1:00,@,PIT,21,1,1,Sun,W 37-7,,37,7,30,44,19,31,61.3,295,4,0,0,0,132.4,34,85,2.5,0,13,28,46.4,89,1,1,3,15,51.0,23,85,3.7,0
DEN,9,1997,1997-08-31,4:00,2:00,,KAN,12,1,1,Sun,W 19-3,,19,3,16,22,17,28,60.7,232,0,0,2,14,87.2,35,146,4.17,1,14,25,56.0,108,0,1,3,7,50.1,19,133,7.0,0
DET,10,1997,1997-08-31,1:00,1:00,,ATL,1,1,1,Sun,W 28-17,,28,17,11,45,12,30,40.0,175,2,1,4,30,68.1,23,46,2.0,0,20,37,54.1,268,1,3,4,22,52.5,29,55,1.9,1
JAX,30,1997,1997-08-31,4:00,3:00,@,BAL,31,1,1,Sun,W 28-27,,28,27,1,55,23,29,79.3,303,2,0,3,14,133.2,31,108,3.48,2,24,41,58.5,301,3,3,3,21,75.4,17,72,4.24,0
KAN,12,1997,1997-08-31,4:00,2:00,@,DEN,9,1,1,Sun,L 3-19,,3,19,-16,22,14,25,56.0,108,0,1,3,7,50.1,19,133,7.0,0,17,28,60.7,232,0,0,2,14,87.2,35,146,4.17,1
MIA,13,1997,1997-08-31,1:00,1:00,,IND,6,1,1,Sun,W 16-10,,16,10,6,26,10,26,38.5,105,0,1,0,0,34.9,28,97,3.46,1,22,42,52.4,168,0,2,5,41,42.6,26,130,5.0,0
MIN,14,1997,1997-08-31,1:00,1:00,@,BUF,2,1,1,Sun,W 34-13,,34,13,21,47,17,30,56.7,200,2,1,3,18,85.4,28,185,6.61,1,25,39,64.1,279,1,2,3,20,72.5,24,147,6.13,0
NOR,15,1997,1997-08-31,1:00,12:00,@,LAR,22,1,1,Sun,L 24-38,,24,38,-14,62,12,33,36.4,159,1,3,3,25,24.7,19,82,4.32,0,13,21,61.9,214,2,1,2,12,108.0,43,189,4.4,3
NEW,16,1997,1997-08-31,1:00,1:00,,LAC,23,1,1,Sun,W 41-7,,41,7,34,48,26,39,66.7,340,4,0,0,0,128.2,26,84,3.23,0,18,38,47.4,142,1,1,4,52,54.9,20,85,4.25,0
NYG,17,1997,1997-08-31,1:00,1:00,,PHI,20,1,1,Sun,W 31-17,,31,17,14,48,13,27,48.1,189,1,0,1,4,83.7,27,101,3.74,2,26,48,54.2,327,1,1,9,44,73.9,26,120,4.62,1
NYJ,18,1997,1997-08-31,4:00,1:00,@,SEA,24,1,1,Sun,W 41-3,,41,3,38,44,18,26,69.2,270,5,0,0,0,142.6,40,164,4.1,0,17,42,40.5,163,0,1,1,5,42.1,19,84,4.42,0
TEN,19,1997,1997-08-31,1:00,12:00,,OAK,27,1,1,Sun,W 24-21,OT,24,21,3,45,13,25,52.0,164,1,1,3,18,69.4,42,255,6.07,1,21,38,55.3,287,3,0,3,11,105.9,17,45,2.65,0
PHI,20,1997,1997-08-31,1:00,1:00,@,NYG,17,1,1,Sun,L 17-31,,17,31,-14,48,26,48,54.2,327,1,1,9,44,73.9,26,120,4.62,1,13,27,48.1,189,1,0,1,4,83.7,27,101,3.74,2
PIT,21,1997,1997-08-31,1:00,1:00,,DAL,8,1,1,Sun,L 7-37,,7,37,-30,44,13,28,46.4,89,1,1,3,15,51.0,23,85,3.7,0,19,31,61.3,295,4,0,0,0,132.4,34,85,2.5,0
OAK,27,1997,1997-08-31,1:00,12:00,@,TEN,19,1,1,Sun,L 21-24,OT,21,24,-3,45,21,38,55.3,287,3,0,3,11,105.9,17,45,2.65,0,13,25,52.0,164,1,1,3,18,69.4,42,255,6.07,1
LAR,22,1997,1997-08-31,1:00,12:00,,NOR,15,1,1,Sun,W 38-24,,38,24,14,62,13,21,61.9,214,2,1,2,12,108.0,43,189,4.4,3,12,33,36.4,159,1,3,3,25,24.7,19,82,4.32,0
BAL,31,1997,1997-08-31,4:00,3:00,,JAX,30,1,1,Sun,L 27-28,,27,28,-1,55,24,41,58.5,301,3,3,3,21,75.4,17,72,4.24,0,23,29,79.3,303,2,0,3,14,133.2,31,108,3.48,2
LAC,23,1997,1997-08-31,1:00,1:00,@,NEW,16,1,1,Sun,L 7-41,,7,41,-34,48,18,38,47.4,142,1,1,4,52,54.9,20,85,4.25,0,26,39,66.7,340,4,0,0,0,128.2,26,84,3.23,0
SEA,24,1997,1997-08-31,4:00,1:00,,NYJ,18,1,1,Sun,L 3-41,,3,41,-38,44,17,42,40.5,163,0,1,1,5,42.1,19,84,4.42,0,18,26,69.2,270,5,0,0,0,142.6,40,164,4.1,0
SFO,28,1997,1997-08-31,4:00,4:00,@,TAM,25,1,1,Sun,L 6-13,,6,13,-7,19,14,21,66.7,91,0,1,7,41,55.9,27,100,3.7,0,14,26,53.8,156,1,1,2,9,68.7,27,115,4.26,0
TAM,25,1997,1997-08-31,4:00,4:00,,SFO,28,1,1,Sun,W 13-6,,13,6,7,19,14,26,53.8,156,1,1,2,9,68.7,27,115,4.26,0,14,21,66.7,91,0,1,7,41,55.9,27,100,3.7,0
WAS,26,1997,1997-08-31,8:00,8:00,@,CAR,29,1,1,Sun,W 24-10,,24,10,14,34,11,29,37.9,125,1,0,2,19,63.1,40,198,4.95,2,12,26,46.2,104,1,2,1,4,38.0,29,158,5.45,0
CHI,3,1997,1997-09-01,9:00,8:00,@,GNB,11,1,1,Mon,L 24-38,,24,38,-14,62,17,41,41.5,172,1,2,3,20,41.9,30,164,5.47,2,15,22,68.2,208,2,1,2,18,109.7,31,107,3.45,1
GNB,11,1997,1997-09-01,9:00,8:00,,CHI,3,1,1,Mon,W 38-24,,38,24,14,62,15,22,68.2,208,2,1,2,18,109.7,31,107,3.45,1,17,41,41.5,172,1,2,3,20,41.9,30,164,5.47,2
ATL,1,1997,1997-09-07,1:00,1:00,,CAR,29,2,2,Sun,L 6-9,,6,9,-3,15,11,23,47.8,162,0,0,0,0,71.3,27,48,1.78,0,21,35,60.0,228,0,0,6,40,79.2,28,93,3.32,0
BUF,2,1997,1997-09-07,1:00,1:00,@,NYJ,18,2,2,Sun,W 28-22,,28,22,6,50,15,22,68.2,193,3,2,2,17,97.2,33,76,2.3,1,16,37,43.2,163,1,2,8,55,43.0,21,39,1.86,0
CAR,29,1997,1997-09-07,1:00,1:00,@,ATL,1,2,2,Sun,W 9-6,,9,6,3,15,21,35,60.0,228,0,0,6,40,79.2,28,93,3.32,0,11,23,47.8,162,0,0,0,0,71.3,27,48,1.78,0
CHI,3,1997,1997-09-07,1:00,12:00,,MIN,14,2,2,Sun,L 24-27,,24,27,-3,51,21,36,58.3,158,2,0,2,16,87.5,23,147,6.39,1,33,44,75.0,261,2,1,3,24,95.0,25,117,4.68,0
CIN,4,1997,1997-09-07,1:00,12:00,@,BAL,31,2,2,Sun,L 10-23,,10,23,-13,33,25,45,55.6,283,1,2,5,34,63.5,14,56,4.0,0,25,36,69.4,266,1,1,1,9,88.4,35,146,4.17,1
IND,6,1997,1997-09-07,1:00,1:00,,NEW,16,2,2,Sun,L 6-31,,6,31,-25,37,30,38,78.9,214,0,0,5,27,90.1,21,41,1.95,0,15,25,60.0,260,4,0,1,7,135.0,26,122,4.69,0
ARI,7,1997,1997-09-07,8:00,6:00,,DAL,8,2,2,Sun,W 25-22,OT,25,22,3,47,26,47,55.3,220,2,0,3,29,81.9,25,66,2.64,1,21,40,52.5,147,0,0,3,24,61.1,29,180,6.21,0
DAL,8,1997,1997-09-07,8:00,6:00,@,ARI,7,2,2,Sun,L 22-25,OT,22,25,-3,47,21,40,52.5,147,0,0,3,24,61.1,29,180,6.21,0,26,47,55.3,220,2,0,3,29,81.9,25,66,2.64,1
DEN,9,1997,1997-09-07,4:00,1:00,@,SEA,24,2,2,Sun,W 35-14,,35,14,21,49,18,26,69.2,188,2,0,2,9,115.5,30,143,4.77,1,20,33,60.6,220,1,1,1,2,77.8,24,69,2.88,0
DET,10,1997,1997-09-07,1:00,1:00,,TAM,25,2,2,Sun,L 17-24,,17,24,-7,41,29,50,58.0,322,2,1,2,9,82.2,12,24,2.0,0,12,24,50.0,99,1,0,3,16,74.8,41,173,4.22,2
