Team,Team Code,Year,Date,Time,LTime,Loc,Opponent,Team Code opp,Week,G,Day,Result,OT,Points For,Points Against,Points Difference,Points Combined,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Sk,Yds,Pass Rate,Rush Att,Rush Yard,Rush Avg,Rush TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Pass Int opp,Sk opp,Yds opp,Pass Rate opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp
OAK,27,1995,1995-09-03,4:00,1:00,,LAC,23,1,1,Sun,W 17-7,,17,7,10,24,14,26,53.8,108,1,0,5,28,77.1,33,139,4.21,1,23,47,48.9,294,1,1,1,11,67.2,20,77,3.85,0
LAR,22,1995,1995-09-03,1:00,12:00,@,GNB,11,1,1,Sun,W 17-14,,17,14,3,31,19,30,63.3,133,2,0,5,33,95.6,23,54,2.35,0,29,51,56.9,262,2,3,4,37,59.4,18,53,2.94,0
LAC,23,1995,1995-09-03,4:00,1:00,@,OAK,27,1,1,Sun,L 7-17,,7,17,-10,24,23,47,48.9,294,1,1,1,11,67.2,20,77,3.85,0,14,26,53.8,108,1,0,5,28,77.1,33,139,4.21,1
SEA,24,1995,1995-09-03,4:00,1:00,,KAN,12,1,1,Sun,L 10-34,,10,34,-24,44,24,46,52.2,264,1,1,3,22,67.7,18,78,4.33,0,18,23,78.3,278,3,0,0,0,156.6,33,141,4.27,0
SFO,28,1995,1995-09-03,1:00,12:00,@,NOR,15,1,1,Sun,W 24-22,,24,22,2,46,26,35,74.3,282,2,1,5,27,104.7,35,154,4.4,0,23,38,60.5,252,2,1,1,14,86.7,13,26,2.0,0
TAM,25,1995,1995-09-03,1:00,1:00,@,PHI,20,1,1,Sun,W 21-6,,21,6,15,27,11,19,57.9,202,2,1,1,13,107.8,29,83,2.86,1,25,36,69.4,162,0,1,5,29,67.1,27,111,4.11,0
WAS,26,1995,1995-09-03,4:00,4:00,,ARI,7,1,1,Sun,W 27-7,,27,7,20,34,14,27,51.9,197,2,1,2,7,85.0,40,259,6.48,1,10,23,43.5,88,1,4,1,4,29.2,25,109,4.36,0
DAL,8,1995,1995-09-04,9:00,9:00,@,NYG,17,1,1,Mon,W 35-0,,35,0,35,35,16,21,76.2,229,1,0,0,0,126.9,35,232,6.63,4,20,34,58.8,146,0,1,2,9,56.7,20,65,3.25,0
NYG,17,1995,1995-09-04,9:00,9:00,,DAL,8,1,1,Mon,L 0-35,,0,35,-35,35,20,34,58.8,146,0,1,2,9,56.7,20,65,3.25,0,16,21,76.2,229,1,0,0,0,126.9,35,232,6.63,4
ATL,1,1995,1995-09-10,4:00,1:00,@,SFO,28,2,2,Sun,L 10-41,,10,41,-31,51,27,48,56.3,242,1,3,2,14,50.9,11,25,2.27,0,27,40,67.5,331,3,1,0,0,107.4,31,158,5.1,1
BUF,2,1995,1995-09-10,1:00,1:00,,CAR,29,2,2,Sun,W 31-9,,31,9,22,40,4,21,19.0,176,1,3,0,0,38.3,43,172,4.0,2,6,23,26.1,12,0,1,3,32,21.5,32,101,3.16,0
CAR,29,1995,1995-09-10,1:00,1:00,@,BUF,2,2,2,Sun,L 9-31,,9,31,-22,40,6,23,26.1,12,0,1,3,32,21.5,32,101,3.16,0,4,21,19.0,176,1,3,0,0,38.3,43,172,4.0,2
CIN,4,1995,1995-09-10,4:00,4:00,,JAX,30,2,2,Sun,W 24-17,,24,17,7,41,20,30,66.7,228,2,0,3,19,111.5,30,118,3.93,1,12,30,40.0,140,1,1,7,39,52.1,29,119,4.1,1
CLE,31,1995,1995-09-10,1:00,1:00,,TAM,25,2,2,Sun,W 22-6,,22,6,16,28,17,27,63.0,253,2,0,1,3,118.3,31,70,2.26,0,20,36,55.6,210,0,2,7,45,49.5,26,101,3.88,1
IND,6,1995,1995-09-10,4:00,4:00,@,NYJ,18,2,2,Sun,W 27-24,OT,27,24,3,51,23,34,67.6,239,2,1,4,25,95.1,31,122,3.94,0,19,30,63.3,198,2,0,0,0,104.6,32,146,4.56,0
ARI,7,1995,1995-09-10,8:00,6:00,,PHI,20,2,2,Sun,L 19-31,,19,31,-12,50,19,30,63.3,244,1,2,1,8,72.1,23,30,1.3,1,11,21,52.4,170,1,1,1,4,75.5,34,168,4.94,2
DAL,8,1995,1995-09-10,4:00,3:00,,DEN,9,2,2,Sun,W 31-21,,31,21,10,52,18,31,58.1,196,2,1,0,0,84.9,38,162,4.26,2,17,35,48.6,198,3,1,3,24,82.8,21,89,4.24,0
DEN,9,1995,1995-09-10,4:00,3:00,@,DAL,8,2,2,Sun,L 21-31,,21,31,-10,52,17,35,48.6,198,3,1,3,24,82.8,21,89,4.24,0,18,31,58.1,196,2,1,0,0,84.9,38,162,4.26,2
DET,10,1995,1995-09-10,1:00,12:00,@,MIN,14,2,2,Sun,L 10-20,,10,20,-10,30,27,48,56.3,272,1,1,4,7,70.8,15,54,3.6,0,19,29,65.5,225,1,0,2,8,100.5,29,155,5.34,1
JAX,30,1995,1995-09-10,4:00,4:00,@,CIN,4,2,2,Sun,L 17-24,,17,24,-7,41,12,30,40.0,140,1,1,7,39,52.1,29,119,4.1,1,20,30,66.7,228,2,0,3,19,111.5,30,118,3.93,1
KAN,12,1995,1995-09-10,1:00,12:00,,NYG,17,2,2,Sun,W 20-17,OT,20,17,3,37,29,47,61.7,178,1,1,1,5,67.5,35,155,4.43,1,10,14,71.4,136,1,0,4,15,125.9,34,102,3.0,0
MIA,13,1995,1995-09-10,1:00,1:00,@,NEW,16,2,2,Sun,W 20-3,,20,3,17,23,15,21,71.4,224,2,1,0,0,118.0,35,182,5.2,0,25,51,49.0,253,0,2,1,14,47.3,21,39,1.86,0
MIN,14,1995,1995-09-10,1:00,12:00,,DET,10,2,2,Sun,W 20-10,,20,10,10,30,19,29,65.5,225,1,0,2,8,100.5,29,155,5.34,1,27,48,56.3,272,1,1,4,7,70.8,15,54,3.6,0
NOR,15,1995,1995-09-10,1:00,12:00,@,LAR,22,2,2,Sun,L 13-17,,13,17,-4,30,24,40,60.0,211,1,1,5,36,72.0,15,97,6.47,0,12,32,37.5,171,1,0,3,17,66.0,32,151,4.72,0
NEW,16,1995,1995-09-10,1:00,1:00,,MIA,13,2,2,Sun,L 3-20,,3,20,-17,23,25,51,49.0,253,0,2,1,14,47.3,21,39,1.86,0,15,21,71.4,224,2,1,0,0,118.0,35,182,5.2,0
