Team,Team Code,Year,Date,Time,LTime,Loc,Opponent,Team Code opp,Week,G,Day,Result,OT,Points For,Points Against,Points Difference,Points Combined,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Sk,Yds,Pass Rate,Rush Att,Rush Yard,Rush Avg,Rush TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Pass Int opp,Sk opp,Yds opp,Pass Rate opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp
ATL,1,1998,1998-09-06,1:00,1:00,@,CAR,29,1,1,Sun,W 19-14,,19,14,5,33,17,32,53.1,230,2,1,6,38,84.1,31,93,3.0,0,21,37,56.8,263,2,1,1,7,85.8,20,54,2.7,0
BUF,2,1998,1998-09-06,4:15,1:15,@,LAC,23,1,1,Sun,L 14-16,,14,16,-2,30,20,34,58.8,207,2,2,5,26,71.6,28,90,3.21,0,16,31,51.6,187,1,2,2,5,54.1,20,67,3.35,0
CAR,29,1998,1998-09-06,1:00,1:00,,ATL,1,1,1,Sun,L 14-19,,14,19,-5,33,21,37,56.8,263,2,1,1,7,85.8,20,54,2.7,0,17,32,53.1,230,2,1,6,38,84.1,31,93,3.0,0
CHI,3,1998,1998-09-06,1:00,12:00,,JAX,30,1,1,Sun,L 23-24,,23,24,-1,47,16,27,59.3,189,0,0,0,0,80.6,34,132,3.88,1,22,35,62.9,207,2,2,1,0,74.3,33,160,4.85,1
CIN,4,1998,1998-09-06,1:00,1:00,,TEN,19,1,1,Sun,L 14-23,,14,23,-9,37,24,32,75.0,192,1,1,2,8,87.0,23,100,4.35,1,17,34,50.0,264,1,0,0,0,85.9,29,89,3.07,1
IND,6,1998,1998-09-06,4:15,4:15,,MIA,13,1,1,Sun,L 15-24,,15,24,-9,39,21,37,56.8,273,1,3,4,29,55.3,26,64,2.46,0,13,24,54.2,135,1,0,0,0,84.5,30,137,4.57,1
ARI,7,1998,1998-09-06,4:05,3:05,@,DAL,8,1,1,Sun,L 10-38,,10,38,-28,48,14,33,42.4,160,0,0,2,6,57.6,17,45,2.65,1,22,32,68.8,256,2,2,0,0,87.5,43,188,4.37,2
DAL,8,1998,1998-09-06,4:05,3:05,,ARI,7,1,1,Sun,W 38-10,,38,10,28,48,22,32,68.8,256,2,2,0,0,87.5,43,188,4.37,2,14,33,42.4,160,0,0,2,6,57.6,17,45,2.65,1
DET,10,1998,1998-09-06,1:00,12:00,@,GNB,11,1,1,Sun,L 19-38,,19,38,-19,57,23,44,52.3,236,1,1,2,12,66.1,22,85,3.86,0,24,32,75.0,267,2,0,2,10,120.2,30,75,2.5,1
GNB,11,1998,1998-09-06,1:00,12:00,,DET,10,1,1,Sun,W 38-19,,38,19,19,57,24,32,75.0,267,2,0,2,10,120.2,30,75,2.5,1,23,44,52.3,236,1,1,2,12,66.1,22,85,3.86,0
JAX,30,1998,1998-09-06,1:00,12:00,@,CHI,3,1,1,Sun,W 24-23,,24,23,1,47,22,35,62.9,207,2,2,1,0,74.3,33,160,4.85,1,16,27,59.3,189,0,0,0,0,80.6,34,132,3.88,1
KAN,12,1998,1998-09-06,8:20,7:20,,OAK,27,1,1,Sun,W 28-8,,28,8,20,36,16,35,45.7,157,1,0,2,12,68.4,36,143,3.97,1,19,32,59.4,212,0,0,10,58,79.2,20,52,2.6,1
MIA,13,1998,1998-09-06,4:15,4:15,@,IND,6,1,1,Sun,W 24-15,,24,15,9,39,13,24,54.2,135,1,0,0,0,84.5,30,137,4.57,1,21,37,56.8,273,1,3,4,29,55.3,26,64,2.46,0
MIN,14,1998,1998-09-06,1:00,12:00,,TAM,25,1,1,Sun,W 31-7,,31,7,24,38,15,25,60.0,181,4,1,1,8,105.2,27,117,4.33,0,23,37,62.2,251,1,1,1,9,79.9,23,68,2.96,0
NOR,15,1998,1998-09-06,1:00,12:00,@,LAR,22,1,1,Sun,W 24-17,,24,17,7,41,15,30,50.0,197,2,1,2,17,79.4,24,35,1.46,0,29,44,65.9,267,1,1,6,31,80.4,24,47,1.96,1
NYG,17,1998,1998-09-06,1:00,1:00,,WAS,26,1,1,Sun,W 31-24,,31,24,7,55,15,28,53.6,153,2,1,1,6,78.4,30,82,2.73,1,25,37,67.6,258,3,2,8,43,91.9,23,73,3.17,0
NYJ,18,1998,1998-09-06,4:15,1:15,@,SFO,28,1,1,Sun,L 30-36,OT,30,36,-6,66,30,58,51.7,406,3,1,1,9,84.4,24,59,2.46,0,26,46,56.5,350,3,1,2,13,93.6,24,207,8.63,2
TEN,19,1998,1998-09-06,1:00,1:00,@,CIN,4,1,1,Sun,W 23-14,,23,14,9,37,17,34,50.0,264,1,0,0,0,85.9,29,89,3.07,1,24,32,75.0,192,1,1,2,8,87.0,23,100,4.35,1
PHI,20,1998,1998-09-06,1:00,1:00,,SEA,24,1,1,Sun,L 0-38,,0,38,-38,38,9,23,39.1,12,0,1,9,48,29.1,32,162,5.06,0,14,22,63.6,218,3,0,0,0,136.0,34,188,5.53,1
PIT,21,1998,1998-09-06,1:00,1:00,@,BAL,31,1,1,Sun,W 20-13,,20,13,7,33,14,27,51.9,157,1,2,2,16,51.0,30,114,3.8,1,20,34,58.8,264,1,0,1,9,93.3,28,112,4.0,0
OAK,27,1998,1998-09-06,8:20,7:20,@,KAN,12,1,1,Sun,L 8-28,,8,28,-20,36,19,32,59.4,212,0,0,10,58,79.2,20,52,2.6,1,16,35,45.7,157,1,0,2,12,68.4,36,143,3.97,1
LAR,22,1998,1998-09-06,1:00,12:00,,NOR,15,1,1,Sun,L 17-24,,17,24,-7,41,29,44,65.9,267,1,1,6,31,80.4,24,47,1.96,1,15,30,50.0,197,2,1,2,17,79.4,24,35,1.46,0
BAL,31,1998,1998-09-06,1:00,1:00,,PIT,21,1,1,Sun,L 13-20,,13,20,-7,33,20,34,58.8,264,1,0,1,9,93.3,28,112,4.0,0,14,27,51.9,157,1,2,2,16,51.0,30,114,3.8,1
LAC,23,1998,1998-09-06,4:15,1:15,,BUF,2,1,1,Sun,W 16-14,,16,14,2,30,16,31,51.6,187,1,2,2,5,54.1,20,67,3.35,0,20,34,58.8,207,2,2,5,26,71.6,28,90,3.21,0
SEA,24,1998,1998-09-06,1:00,1:00,@,PHI,20,1,1,Sun,W 38-0,,38,0,38,38,14,22,63.6,218,3,0,0,0,136.0,34,188,5.53,1,9,23,39.1,12,0,1,9,48,29.1,32,162,5.06,0
SFO,28,1998,1998-09-06,4:15,1:15,,NYJ,18,1,1,Sun,W 36-30,OT,36,30,6,66,26,46,56.5,350,3,1,2,13,93.6,24,207,8.63,2,30,58,51.7,406,3,1,1,9,84.4,24,59,2.46,0
TAM,25,1998,1998-09-06,1:00,12:00,@,MIN,14,1,1,Sun,L 7-31,,7,31,-24,38,23,37,62.2,251,1,1,1,9,79.9,23,68,2.96,0,15,25,60.0,181,4,1,1,8,105.2,27,117,4.33,0
WAS,26,1998,1998-09-06,1:00,1:00,@,NYG,17,1,1,Sun,L 24-31,,24,31,-7,55,25,37,67.6,258,3,2,8,43,91.9,23,73,3.17,0,15,28,53.6,153,2,1,1,6,78.4,30,82,2.73,1
DEN,9,1998,1998-09-07,8:20,6:20,,NEW,16,1,1,Mon,W 27-21,,27,21,6,48,22,34,64.7,248,1,0,1,9,96.2,30,91,3.03,2,20,32,62.5,258,2,0,3,31,108.6,24,81,3.38,1
NEW,16,1998,1998-09-07,8:20,6:20,@,DEN,9,1,1,Mon,L 21-27,,21,27,-6,48,20,32,62.5,258,2,0,3,31,108.6,24,81,3.38,1,22,34,64.7,248,1,0,1,9,96.2,30,91,3.03,2
ATL,1,1998,1998-09-13,1:00,1:00,,PHI,20,2,2,Sun,W 17-12,,17,12,5,29,14,26,53.8,167,1,0,3,29,86.5,25,78,3.12,1,24,35,68.6,221,0,0,2,11,85.5,25,63,2.52,1
BUF,2,1998,1998-09-13,1:00,1:00,@,MIA,13,2,2,Sun,L 7-13,,7,13,-6,20,10,18,55.6,77,1,1,8,57,61.6,28,110,3.93,0,14,26,53.8,143,1,0,2,16,82.7,27,116,4.3,0
CAR,29,1998,1998-09-13,1:00,12:00,@,NOR,15,2,2,Sun,L 14-19,,14,19,-5,33,15,35,42.9,238,1,2,3,13,51.8,25,137,5.48,1,13,18,72.2,104,1,0,6,41,104.9,38,207,5.45,1
CHI,3,1998,1998-09-13,1:00,1:00,@,PIT,21,2,2,Sun,L 12-17,,12,17,-5,29,18,33,54.5,190,1,1,1,4,69.0,33,130,3.94,0,17,30,56.7,109,1,1,3,28,61.7,27,142,5.26,1
CIN,4,1998,1998-09-13,1:00,1:00,@,DET,10,2,2,Sun,W 34-28,OT,34,28,6,62,25,36,69.4,284,2,0,3,19,111.3,21,100,4.76,1,15,31,48.4,188,0,2,2,16,40.8,34,224,6.59,4
IND,6,1998,1998-09-13,8:20,8:20,@,NEW,16,2,2,Sun,L 6-29,,6,29,-23,35,21,33,63.6,173,1,3,2,15,49.2,32,136,4.25,0,15,29,51.7,218,1,0,0,0,88.0,33,103,3.12,1
ARI,7,1998,1998-09-13,4:15,1:15,@,SEA,24,2,2,Sun,L 14-33,,14,33,-19,47,22,36,61.1,163,1,3,7,41,46.4,26,111,4.27,1,14,23,60.9,121,2,0,3,25,103.7,32,123,3.84,0
DAL,8,1998,1998-09-13,4:15,2:15,@,DEN,9,2,2,Sun,L 23-42,,23,42,-19,65,19,31,61.3,201,1,0,1,0,90.9,30,169,5.63,1,17,23,73.9,306,2,0,0,0,144.7,31,209,6.74,4
DEN,9,1998,1998-09-13,4:15,2:15,,DAL,8,2,2,Sun,W 42-23,,42,23,19,65,17,23,73.9,306,2,0,0,0,144.7,31,209,6.74,4,19,31,61.3,201,1,0,1,0,90.9,30,169,5.63,1
DET,10,1998,1998-09-13,1:00,1:00,,CIN,4,2,2,Sun,L 28-34,OT,28,34,-6,62,15,31,48.4,188,0,2,2,16,40.8,34,224,6.59,4,25,36,69.4,284,2,0,3,19,111.3,21,100,4.76,1
GNB,11,1998,1998-09-13,1:00,12:00,,TAM,25,2,2,Sun,W 23-15,,23,15,8,38,22,33,66.7,223,2,0,4,14,106.0,25,37,1.48,0,22,40,55.0,161,1,1,6,50,62.6,19,50,2.63,0
