Team,Team Code,Year,Date,Time,LTime,Loc,Opponent,Team Code opp,Week,G,Day,Result,OT,Points For,Points Against,Points Difference,Points Combined,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Pass Int,Sk,Yds,Pass Rate,Rush Att,Rush Yard,Rush Avg,Rush TD,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Pass Int opp,Sk opp,Yds opp,Pass Rate opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp
GNB,11,2011,2011-09-08,8:40,7:40,,NOR,15,1,1,Thu,W 42-34,,42,34,8,76,27,35,77.1,296,3,0,2,16,130.2,27,103,3.81,2,32,49,65.3,396,3,0,3,23,110.6,21,81,3.86,0
NOR,15,2011,2011-09-08,8:40,7:40,@,GNB,11,1,1,Thu,L 34-42,,34,42,-8,76,32,49,65.3,396,3,0,3,23,110.6,21,81,3.86,0,27,35,77.1,296,3,0,2,16,130.2,27,103,3.81,2
ATL,1,2011,2011-09-11,1:06,12:06,@,CHI,3,1,1,Sun,L 12-30,,12,30,-18,42,31,47,66.0,276,0,1,5,43,72.7,14,110,7.86,0,22,32,68.8,289,2,1,5,23,104.8,27,88,3.26,0
BUF,2,2011,2011-09-11,1:06,12:06,@,KAN,12,1,1,Sun,W 41-7,,41,7,34,48,17,26,65.4,201,4,1,1,7,112.3,39,163,4.18,1,22,36,61.1,105,1,1,2,14,63.2,18,108,6.0,0
CAR,29,2011,2011-09-11,4:15,1:15,@,ARI,7,1,1,Sun,L 21-28,,21,28,-7,49,24,37,64.9,403,2,1,4,19,108.3,27,74,2.74,1,18,27,66.7,295,2,0,2,14,127.9,25,99,3.96,1
CHI,3,2011,2011-09-11,1:06,12:06,,ATL,1,1,1,Sun,W 30-12,,30,12,18,42,22,32,68.8,289,2,1,5,23,104.8,27,88,3.26,0,31,47,66.0,276,0,1,5,44,72.7,14,110,7.86,0
CIN,4,2011,2011-09-11,1:06,1:06,@,CLE,5,1,1,Sun,W 27-17,,27,17,10,44,15,27,55.6,155,2,0,4,18,97.0,33,139,4.21,1,19,40,47.5,202,2,1,2,11,69.0,26,83,3.19,0
CLE,5,2011,2011-09-11,1:06,1:06,,CIN,4,1,1,Sun,L 17-27,,17,27,-10,44,19,40,47.5,202,2,1,2,11,69.0,26,83,3.19,0,15,27,55.6,155,2,0,4,18,97.0,33,139,4.21,1
IND,6,2011,2011-09-11,1:05,12:05,@,HOU,32,1,1,Sun,L 7-34,,7,34,-27,41,16,31,51.6,172,1,0,3,25,79.0,16,64,4.0,0,17,24,70.8,217,1,2,1,3,78.0,41,167,4.07,2
ARI,7,2011,2011-09-11,4:15,1:15,,CAR,29,1,1,Sun,W 28-21,,28,21,7,49,18,27,66.7,295,2,0,2,14,127.9,25,99,3.96,1,24,37,64.9,403,2,1,4,19,108.3,27,74,2.74,1
DAL,8,2011,2011-09-11,8:33,8:33,@,NYJ,18,1,1,Sun,L 24-27,,24,27,-3,51,23,36,63.9,326,2,1,4,16,100.0,26,64,2.46,1,26,44,59.1,315,2,1,4,20,86.8,16,45,2.81,0
