School,Date,G,Loc,Opponent,WL,Total TD,Points For,Points Difference,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp
Akron,2013-08-29,1,@,Central Florida,L,1,7,-31,19,27,70.4,319,3,39,157,4.0,2,0,0,0
Ball State,2013-08-29,1,,Illinois State,W,7,51,23,20,29,69.0,282,2,36,74,2.1,2,1,1,2
Bowling Green State,2013-08-29,1,,Tulsa,W,4,34,27,20,41,48.8,222,1,24,51,2.1,0,2,0,2
Connecticut,2013-08-29,1,,Towson,L,2,18,-15,13,20,65.0,192,1,50,201,4.0,4,0,1,1
Fresno State,2013-08-29,1,,Rutgers,W,7,52,1,26,41,63.4,348,5,32,195,6.1,0,1,1,2
Hawaii,2013-08-29,1,,Southern California,L,1,13,-17,15,29,51.7,172,1,45,192,4.3,1,1,1,2
Indiana,2013-08-29,1,,Indiana State,W,10,73,38,12,32,37.5,175,3,39,131,3.4,0,1,1,2
Kent State,2013-08-29,1,,Liberty,W,2,17,7,14,22,63.6,189,1,22,33,1.5,0,0,0,0
Middle Tennessee State,2013-08-29,1,,Western Carolina,W,6,45,21,19,36,52.8,257,2,35,114,3.3,1,0,2,2
Minnesota,2013-08-29,1,,Nevada-Las Vegas,W,7,51,28,36,51,70.6,226,2,34,193,5.7,1,0,2,2
North Carolina,2013-08-29,1,@,South Carolina,L,1,10,-17,12,21,57.1,178,2,38,228,6.0,1,0,0,0
Ole Miss,2013-08-29,1,@,Vanderbilt,W,5,39,4,21,36,58.3,300,2,33,126,3.8,3,0,2,2
Rutgers,2013-08-29,1,@,Fresno State,L,6,51,-1,52,73,71.2,456,5,23,81,3.5,2,2,1,3
San Jose State,2013-08-29,1,,Sacramento State,W,3,24,24,23,40,57.5,192,0,39,86,2.2,0,0,2,2
South Alabama,2013-08-29,1,,Southern Utah,L,3,21,-1,13,24,54.2,183,1,40,134,3.4,1,0,0,0
South Carolina,2013-08-29,1,,North Carolina,W,3,27,17,26,43,60.5,194,1,36,99,2.8,0,1,0,1
Tulane,2013-08-29,1,,Jackson State,W,4,34,27,15,29,51.7,244,0,48,112,2.3,1,2,4,6
Tulsa,2013-08-29,1,@,Bowling Green State,L,1,7,-27,12,28,42.9,163,0,53,233,4.4,3,0,1,1
UCF,2013-08-29,1,,Akron,W,5,38,31,18,25,72.0,116,1,35,134,3.8,0,1,1,2
UNLV,2013-08-29,1,@,Minnesota,L,3,23,-28,10,23,43.5,99,1,38,221,5.8,3,0,1,1
USC,2013-08-29,1,@,Hawaii,W,3,30,17,16,41,39.0,208,1,31,23,0.7,0,0,4,4
Utah,2013-08-29,1,,Utah State,W,3,30,4,31,40,77.5,314,2,39,173,4.4,1,1,0,1
Utah State,2013-08-29,1,@,Utah,L,3,26,-4,17,28,60.7,302,2,44,148,3.4,1,1,0,1
Vanderbilt,2013-08-29,1,,Mississippi,L,5,35,-4,31,47,66.0,283,0,37,206,5.6,5,0,0,0
Wake Forest,2013-08-29,1,,Presbyterian,W,4,31,24,11,19,57.9,49,1,24,102,4.3,0,3,3,6
Arizona,2013-08-30,1,,Northern Arizona,W,5,35,35,21,36,58.3,176,0,39,94,2.4,0,0,3,3
Army,2013-08-30,1,,Morgan State,W,4,28,16,6,10,60.0,116,1,52,185,3.6,1,1,0,1
Florida Atlantic,2013-08-30,1,@,Miami (FL),L,0,6,-28,18,31,58.1,200,1,38,303,8.0,3,0,1,1
Georgia State,2013-08-30,1,,Samford,L,3,21,-10,19,31,61.3,193,1,36,105,2.9,1,0,1,1
Houston,2013-08-30,1,,Southern,W,8,62,49,27,36,75.0,268,2,30,104,3.5,0,3,1,4
Kansas State,2013-08-30,1,,North Dakota State,L,3,21,-3,21,30,70.0,165,2,43,215,5.0,1,0,1,1
Miami (FL),2013-08-30,1,,Florida Atlantic,W,4,34,28,16,32,50.0,117,0,43,133,3.1,0,1,0,1
Michigan State,2013-08-30,1,,Western Michigan,W,3,26,13,18,48,37.5,193,2,27,11,0.4,0,1,3,4
SMU,2013-08-30,1,,Texas Tech,L,2,23,-18,43,60,71.7,413,4,27,48,1.8,1,0,0,0
Texas Tech,2013-08-30,1,@,Southern Methodist,W,5,41,18,41,62,66.1,388,0,31,102,3.3,2,0,0,0
Western Michigan,2013-08-30,1,@,Michigan State,L,2,13,-13,17,37,45.9,116,0,42,181,4.3,1,1,0,1
Air Force,2013-08-31,1,,Colgate,W,5,38,25,14,27,51.9,143,1,41,157,3.8,1,0,0,0
Alabama,2013-08-31,1,N,Virginia Tech,W,5,35,25,5,26,19.2,59,0,33,153,4.6,1,0,1,1
Arkansas,2013-08-31,1,,Louisiana,W,4,34,20,17,31,54.8,189,1,32,85,2.7,1,1,1,2
