School,Date,G,Loc,Opponent,WL,Total TD,Points For,Points Difference,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp
Ball State,2007-08-30,1,,Miami (OH),L,1,13,-1,14,24,58.3,118,0,38,178,4.7,2,0,2,2
Boise State,2007-08-30,1,,Weber State,W,8,56,49,11,30,36.7,71,1,26,74,2.8,0,2,0,2
Buffalo,2007-08-30,1,@,Rutgers,L,0,3,-35,16,25,64.0,328,2,41,235,5.7,3,1,0,1
Cincinnati,2007-08-30,1,,Southeast Missouri State,W,9,59,56,12,22,54.5,87,0,37,175,4.7,0,4,2,6
Iowa State,2007-08-30,1,,Kent State,L,2,14,-9,17,26,65.4,161,1,51,202,4.0,2,1,2,3
Kent State,2007-08-30,1,@,Iowa State,W,3,23,9,14,23,60.9,148,1,39,158,4.1,1,1,2,3
Louisiana-Monroe,2007-08-30,1,,Tulsa,L,2,17,-18,22,31,71.0,307,3,55,216,3.9,2,1,1,2
Louisville,2007-08-30,1,,Murray State,W,10,73,63,19,31,61.3,141,1,35,130,3.7,0,1,0,1
LSU,2007-08-30,1,@,Mississippi State,W,6,45,45,14,33,42.4,136,0,26,10,0.4,0,1,6,7
Miami (OH),2007-08-30,1,@,Ball State,W,2,14,1,19,36,52.8,198,1,34,140,4.1,0,0,0,0
Mississippi State,2007-08-30,1,,Louisiana State,L,0,0,-45,14,22,63.6,149,3,50,198,4.0,3,0,0,0
New Mexico State,2007-08-30,1,,Southeastern Louisiana,W,5,35,21,14,28,50.0,145,0,37,123,3.3,1,0,1,1
Oregon State,2007-08-30,1,,Utah,W,3,24,17,17,37,45.9,178,1,30,18,0.6,0,0,0,0
Rutgers,2007-08-30,1,,Buffalo,W,5,38,35,19,32,59.4,165,0,34,70,2.1,0,0,0,0
Tulsa,2007-08-30,1,@,Louisiana-Monroe,W,5,35,18,7,21,33.3,66,1,43,212,4.9,0,1,0,1
UNLV,2007-08-30,1,@,Utah State,W,2,23,7,13,19,68.4,137,0,40,97,2.4,2,2,0,2
Utah,2007-08-30,1,@,Oregon State,L,1,7,-17,12,30,40.0,129,1,44,241,5.5,2,0,2,2
Utah State,2007-08-30,1,,Nevada-Las Vegas,L,2,16,-7,12,20,60.0,141,0,38,173,4.6,2,1,0,1
Navy,2007-08-31,1,@,Temple,W,3,30,11,21,29,72.4,199,2,25,74,3.0,0,0,2,2
Syracuse,2007-08-31,1,,Washington,L,1,12,-30,15,21,71.4,142,0,41,302,7.4,6,0,0,0
Temple,2007-08-31,1,,Navy,L,2,19,-11,3,7,42.9,78,0,56,361,6.4,3,2,0,2
Washington,2007-08-31,1,@,Syracuse,W,6,42,30,20,32,62.5,199,1,29,8,0.3,0,1,0,1
Air Force,2007-09-01,1,,South Carolina State,W,4,34,31,11,28,39.3,90,0,34,70,2.1,0,1,1,2
Akron,2007-09-01,1,,Army,W,2,22,8,23,44,52.3,184,0,29,58,2.0,1,0,2,2
Alabama,2007-09-01,1,,Western Carolina,W,7,52,46,14,27,51.9,171,0,39,76,1.9,0,2,0,2
Arizona,2007-09-01,1,@,Brigham Young,L,1,7,-13,26,39,66.7,288,2,32,104,3.3,1,1,0,1
Arizona State,2007-09-01,1,,San Jose State,W,6,45,42,11,23,47.8,75,0,26,40,1.5,0,0,2,2
Arkansas,2007-09-01,1,,Troy,W,5,46,20,17,49,34.7,214,1,31,162,5.2,2,0,1,1
Arkansas State,2007-09-01,1,@,Texas,L,1,13,-8,22,33,66.7,223,2,38,117,3.1,1,0,2,2
Army,2007-09-01,1,@,Akron,L,2,14,-8,17,29,58.6,154,1,35,133,3.8,0,0,0,0
Auburn,2007-09-01,1,,Kansas State,W,2,23,10,33,58,56.9,289,1,16,27,1.7,0,1,2,3
Baylor,2007-09-01,1,@,Texas Christian,L,0,0,-27,18,30,60.0,205,1,45,181,4.0,2,2,0,2
Boston College,2007-09-01,1,,Wake Forest,W,5,38,10,45,60,75.0,366,2,24,2,0.1,0,0,4,4
Bowling Green State,2007-09-01,1,@,Minnesota,W,4,32,1,15,31,48.4,188,2,48,246,5.1,2,1,2,3
Brigham Young,2007-09-01,1,,Arizona,W,3,20,13,28,38,73.7,223,1,19,32,1.7,0,0,0,0
California,2007-09-01,1,,Tennessee,W,6,45,14,32,47,68.1,271,3,27,111,4.1,1,1,0,1
Central Michigan,2007-09-01,1,@,Kansas,L,1,7,-45,26,35,74.3,308,5,43,230,5.3,1,0,0,0
Colorado,2007-09-01,1,N,Colorado State,W,3,31,3,20,27,74.1,229,3,56,157,2.8,1,0,1,1
Colorado State,2007-09-01,1,N,Colorado,L,4,28,-3,18,32,56.3,201,2,28,129,4.6,1,2,1,3
Connecticut,2007-09-01,1,@,Duke,W,5,45,31,15,29,51.7,154,1,28,15,0.5,0,0,3,3
Duke,2007-09-01,1,,Connecticut,L,2,14,-31,22,30,73.3,298,2,47,189,4.0,2,0,1,1
East Carolina,2007-09-01,1,@,Virginia Tech,L,1,7,-10,22,33,66.7,245,1,31,33,1.1,0,2,1,3
Eastern Michigan,2007-09-01,1,@,Pittsburgh,L,0,3,-24,16,24,66.7,195,1,42,130,3.1,2,0,0,0
Florida,2007-09-01,1,,Western Kentucky,W,7,49,46,15,21,71.4,156,0,32,48,1.5,0,0,0,0
Florida Atlantic,2007-09-01,1,,Middle Tennessee State,W,3,27,13,20,32,62.5,199,1,32,18,0.6,0,2,2,4
Florida International,2007-09-01,1,@,Penn State,L,0,0,-59,25,41,61.0,313,3,48,236,4.9,5,2,0,2
Fresno State,2007-09-01,1,,Sacramento State,W,3,24,21,13,23,56.5,60,0,28,42,1.5,0,0,0,0
Georgia,2007-09-01,1,,Oklahoma State,W,5,35,21,17,31,54.8,196,1,34,70,2.1,1,0,1,1
Georgia Tech,2007-09-01,1,@,Notre Dame,W,3,33,30,15,22,68.2,130,0,41,-8,-0.2,0,3,0,3
Hawaii,2007-09-01,1,,Northern Colorado,W,9,63,57,18,29,62.1,132,0,34,50,1.5,1,2,1,3
