School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Pass Int,Turnovers
Akron,2013-08-29,1,@,Central Florida,L,18,25,72.0,116,1,35,134,3.8,0,8,4,1,1,2
Ball State,2013-08-29,1,,Illinois State,W,24,40,60.0,340,3,32,80,2.5,4,15,3,0,0,0
Bowling Green State,2013-08-29,1,,Tulsa,W,12,28,42.9,163,0,53,233,4.4,3,5,1,0,1,1
Connecticut,2013-08-29,1,,Towson,L,16,28,57.1,206,2,27,81,3.0,0,4,0,1,1,2
Fresno State,2013-08-29,1,,Rutgers,W,52,73,71.2,456,5,23,81,3.5,2,6,1,2,1,3
Hawaii,2013-08-29,1,,Southern California,L,16,41,39.0,208,1,31,23,0.7,0,9,3,0,4,4
Indiana,2013-08-29,1,,Indiana State,W,17,30,56.7,319,6,54,313,5.8,3,7,4,1,2,3
Kent State,2013-08-29,1,,Liberty,W,21,28,75.0,194,2,49,167,3.4,0,5,3,1,0,1
Middle Tennessee State,2013-08-29,1,,Western Carolina,W,19,27,70.4,205,1,49,284,5.8,4,9,3,2,0,2
Minnesota,2013-08-29,1,,Nevada-Las Vegas,W,10,23,43.5,99,1,38,221,5.8,3,9,1,0,1,1
North Carolina,2013-08-29,1,@,South Carolina,L,26,43,60.5,194,1,36,99,2.8,0,3,1,1,0,1
Ole Miss,2013-08-29,1,@,Vanderbilt,W,31,47,66.0,283,0,37,206,5.6,5,5,1,0,0,0
Rutgers,2013-08-29,1,@,Fresno State,L,26,41,63.4,348,5,32,195,6.1,0,3,1,1,1,2
San Jose State,2013-08-29,1,,Sacramento State,W,16,32,50.0,225,2,29,142,4.9,1,4,3,0,0,0
South Alabama,2013-08-29,1,,Southern Utah,L,18,28,64.3,148,2,34,187,5.5,1,7,2,0,1,1
South Carolina,2013-08-29,1,,North Carolina,W,12,21,57.1,178,2,38,228,6.0,1,12,3,0,0,0
Tulane,2013-08-29,1,,Jackson State,W,7,16,43.8,150,2,43,158,3.7,2,8,1,0,0,0
Tulsa,2013-08-29,1,@,Bowling Green State,L,20,41,48.8,222,1,24,51,2.1,0,7,1,2,0,2
UCF,2013-08-29,1,,Akron,W,19,27,70.4,319,3,39,157,4.0,2,10,1,0,0,0
UNLV,2013-08-29,1,@,Minnesota,L,36,51,70.6,226,2,34,193,5.7,1,3,0,0,2,2
