School,Date,G,Loc,Opponent,WL,Total TD,Points For,Points Difference,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp
Ball State,2010-09-02,1,,Southeast Missouri State,W,3,27,17,12,18,66.7,112,0,29,125,4.3,1,3,0,3
Buffalo,2010-09-02,1,,Rhode Island,W,4,31,31,18,42,42.9,145,0,34,62,1.8,0,1,1,2
Central Michigan,2010-09-02,1,,Hampton,W,4,33,33,12,34,35.3,80,0,34,49,1.4,0,1,1,2
Florida Atlantic,2010-09-02,1,@,Alabama-Birmingham,W,5,32,1,9,19,47.4,79,1,47,345,7.3,3,0,1,1
Hawaii,2010-09-02,1,,Southern California,L,4,36,-13,20,27,74.1,278,5,35,246,7.0,1,1,0,1
Idaho,2010-09-02,1,,North Dakota,W,6,45,45,19,35,54.3,122,0,33,148,4.5,0,3,2,5
Indiana,2010-09-02,1,,Towson,W,6,51,34,16,35,45.7,165,2,42,227,5.4,0,0,3,3
Iowa State,2010-09-02,1,,Northern Illinois,W,3,27,17,14,29,48.3,93,0,36,156,4.3,1,0,3,3
Kent State,2010-09-02,1,,Murray State,W,5,41,31,30,47,63.8,258,1,22,-65,-3.0,0,1,0,1
Marshall,2010-09-02,1,@,Ohio State,L,1,7,-38,18,27,66.7,249,3,41,280,6.8,2,0,0,0
Miami (FL),2010-09-02,1,,Florida A&M,W,6,45,45,5,11,45.5,58,0,39,52,1.3,0,0,1,1
Middle Tennessee State,2010-09-02,1,,Minnesota,L,2,17,-7,10,17,58.8,150,0,67,281,4.2,3,0,0,0
Minnesota,2010-09-02,1,@,Middle Tennessee State,W,3,24,7,13,18,72.2,172,1,22,146,6.6,1,1,1,2
Nevada,2010-09-02,1,,Eastern Washington,W,7,49,25,21,40,52.5,270,2,28,162,5.8,1,1,1,2
Northern Illinois,2010-09-02,1,@,Iowa State,L,1,10,-17,27,36,75.0,265,0,37,138,3.7,3,1,2,3
Ohio State,2010-09-02,1,,Marshall,W,6,45,38,18,35,51.4,155,0,21,44,2.1,0,2,1,3
Pitt,2010-09-02,1,@,Utah,L,2,24,-3,21,36,58.3,283,3,27,122,4.5,0,2,1,3
Rutgers,2010-09-02,1,,Norfolk State,W,3,31,31,11,24,45.8,131,0,24,25,1.0,0,1,0,1
South Carolina,2010-09-02,1,,Southern Mississippi,W,5,41,28,38,57,66.7,337,1,27,67,2.5,0,1,1,2
Southern Mississippi,2010-09-02,1,@,South Carolina,L,1,13,-28,20,30,66.7,225,1,35,224,6.4,4,0,1,1
Tulane,2010-09-02,1,,Southeastern Louisiana,W,3,27,6,17,35,48.6,202,3,28,64,2.3,0,3,1,4
UAB,2010-09-02,1,,Florida Atlantic,L,4,31,-1,15,25,60.0,257,3,27,90,3.3,1,0,1,1
USC,2010-09-02,1,@,Hawaii,W,7,49,13,27,49,55.1,459,3,29,129,4.4,1,0,0,0
Utah,2010-09-02,1,,Pittsburgh,W,3,27,3,16,28,57.1,184,1,36,82,2.3,1,1,1,2
Wake Forest,2010-09-02,1,,Presbyterian,W,7,53,40,24,42,57.1,292,2,34,70,2.1,0,0,1,1
Arizona,2010-09-03,1,@,Toledo,W,6,41,39,14,23,60.9,103,0,28,80,2.9,0,1,1,2
Temple,2010-09-03,1,,Villanova,W,3,31,7,20,28,71.4,172,2,32,139,4.3,1,1,1,2
Toledo,2010-09-03,1,,Arizona,L,0,2,-39,37,44,84.1,413,3,25,105,4.2,3,0,1,1
Air Force,2010-09-04,1,,Northwestern State,W,9,65,44,22,37,59.5,249,2,32,62,1.9,1,0,1,1
Akron,2010-09-04,1,,Syracuse,L,0,3,-26,17,27,63.0,229,2,45,202,4.5,1,2,1,3
Alabama,2010-09-04,1,,San Jose State,W,6,48,45,8,19,42.1,86,0,29,89,3.1,0,0,1,1
Arizona State,2010-09-04,1,,Portland State,W,7,54,45,18,36,50.0,209,0,30,47,1.6,0,0,3,3
Arkansas,2010-09-04,1,,Tennessee Tech,W,6,44,41,7,14,50.0,108,0,43,79,1.8,0,0,0,0
Arkansas State,2010-09-04,1,@,Auburn,L,3,26,-26,11,16,68.8,241,3,49,367,7.5,4,2,0,2
Army,2010-09-04,1,@,Eastern Michigan,W,4,31,4,4,9,44.4,31,1,51,285,5.6,3,2,1,3
Auburn,2010-09-04,1,,Arkansas State,W,7,52,26,33,49,67.3,323,1,35,43,1.2,2,0,0,0
Baylor,2010-09-04,1,,Sam Houston State,W,4,34,31,13,27,48.1,107,0,39,88,2.3,0,1,0,1
Boston College,2010-09-04,1,,Weber State,W,5,38,18,29,47,61.7,277,1,39,104,2.7,1,2,1,3
Bowling Green State,2010-09-04,1,@,Troy,L,3,27,-3,28,41,68.3,268,1,43,207,4.8,2,0,2,2
Brigham Young,2010-09-04,1,,Washington,W,2,23,6,20,39,51.3,266,1,31,128,4.1,1,0,0,0
California,2010-09-04,1,,California-Davis,W,7,52,49,9,26,34.6,67,0,19,14,0.7,0,1,0,1
Cincinnati,2010-09-04,1,@,Fresno State,L,2,14,-14,18,24,75.0,247,4,30,49,1.6,0,0,1,1
Clemson,2010-09-04,1,,North Texas,W,5,35,25,22,34,64.7,269,1,49,193,3.9,0,0,2,2
Colorado,2010-09-04,1,N,Colorado State,W,3,24,21,24,33,72.7,196,0,25,49,2.0,0,0,3,3
Colorado State,2010-09-04,1,N,Colorado,L,0,3,-21,17,25,68.0,192,2,35,115,3.3,1,0,1,1
Connecticut,2010-09-04,1,@,Michigan,L,1,10,-20,19,22,86.4,186,1,61,287,4.7,3,0,0,0
Duke,2010-09-04,1,,Elon,W,5,41,14,22,42,52.4,281,1,21,125,6.0,2,0,2,2
Eastern Michigan,2010-09-04,1,,Army,L,4,27,-4,5,11,45.5,65,0,55,309,5.6,4,1,0,1
Florida,2010-09-04,1,,Miami (OH),W,5,34,22,26,46,56.5,208,0,22,4,0.2,0,0,4,4
Florida State,2010-09-04,1,,Samford,W,8,59,53,27,39,69.2,223,0,38,77,2.0,0,0,1,1
Fresno State,2010-09-04,1,,Cincinnati,W,4,28,14,24,41,58.5,219,1,32,15,0.5,1,1,0,1
Georgia,2010-09-04,1,,Louisiana,W,7,55,48,8,24,33.3,114,1,29,14,0.5,0,0,3,3
Georgia Tech,2010-09-04,1,,South Carolina State,W,6,41,31,11,25,44.0,94,0,39,178,4.6,1,1,0,1
Houston,2010-09-04,1,,Texas State,W,10,68,40,15,31,48.4,165,1,57,180,3.2,3,1,3,4
Illinois,2010-09-04,1,N,Missouri,L,1,13,-10,34,48,70.8,281,2,29,98,3.4,0,1,0,1
Iowa,2010-09-04,1,,Eastern Illinois,W,5,37,30,13,20,65.0,92,1,24,65,2.7,0,0,0,0
Kansas,2010-09-04,1,,North Dakota State,L,0,3,-3,12,22,54.5,95,0,32,73,2.3,0,0,1,1
Kansas State,2010-09-04,1,,UCLA,W,4,31,9,9,26,34.6,120,1,37,193,5.2,1,1,2,3
Kentucky,2010-09-04,1,@,Louisville,W,3,23,7,14,29,48.3,127,0,32,190,5.9,1,1,1,2
Louisiana,2010-09-04,1,@,Georgia,L,1,7,-48,19,31,61.3,193,4,37,184,5.0,2,0,1,1
Louisiana Tech,2010-09-04,1,,Grambling State,W,2,20,14,15,25,60.0,158,0,37,102,2.8,0,0,2,2
Louisville,2010-09-04,1,,Kentucky,L,1,16,-7,18,27,66.7,236,0,37,230,6.2,3,0,0,0
LSU,2010-09-04,1,N,North Carolina,W,4,30,6,28,46,60.9,412,3,33,24,0.7,0,3,0,3
Memphis,2010-09-04,1,@,Mississippi State,L,1,7,-42,20,25,80.0,372,5,41,197,4.8,2,0,1,1
Miami (OH),2010-09-04,1,@,Florida,L,0,12,-22,17,25,68.0,113,2,31,99,3.2,2,3,0,3
Michigan,2010-09-04,1,,Connecticut,W,4,30,20,18,38,47.4,205,0,30,138,4.6,1,1,0,1
Michigan State,2010-09-04,1,,Western Michigan,W,5,38,24,30,53,56.6,238,2,32,85,2.7,0,2,1,3
Mississippi State,2010-09-04,1,,Memphis,W,7,49,42,20,32,62.5,196,1,21,41,2.0,0,0,2,2
Missouri,2010-09-04,1,N,Illinois,W,2,23,10,9,23,39.1,81,1,41,200,4.9,0,1,3,4
Nebraska,2010-09-04,1,,Western Kentucky,W,7,49,39,12,22,54.5,120,0,40,179,4.5,1,1,1,2
New Mexico,2010-09-04,1,@,Oregon,L,0,0,-72,23,37,62.2,351,2,58,369,6.4,5,0,1,1
North Carolina,2010-09-04,1,N,Louisiana State,L,3,24,-6,15,21,71.4,151,2,36,162,4.5,1,4,1,5
North Carolina State,2010-09-04,1,,Western Carolina,W,6,48,41,10,18,55.6,103,1,31,86,2.8,0,1,0,1
North Texas,2010-09-04,1,@,Clemson,L,1,10,-25,10,21,47.6,176,2,25,246,9.8,3,0,1,1
Northwestern,2010-09-04,1,@,Vanderbilt,W,3,23,2,19,33,57.6,240,1,38,192,5.1,2,0,1,1
Notre Dame,2010-09-04,1,,Purdue,W,2,23,11,31,42,73.8,220,0,32,102,3.2,1,0,2,2
Ohio,2010-09-04,1,,Wofford,W,4,33,23,0,4,0.0,0,0,51,220,4.3,1,3,0,3
Oklahoma,2010-09-04,1,,Utah State,W,4,31,7,17,37,45.9,341,2,38,80,2.1,1,1,3,4
