School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
Louisville,2001-08-23,1,,New Mexico State,W,3,24
New Mexico State,2001-08-23,1,@,Louisville,L,6,45
Brigham Young,2001-08-25,1,,Tulane,W,5,35
Nebraska,2001-08-25,1,,Texas Christian,W,1,7
North Carolina,2001-08-25,1,@,Oklahoma,L,5,41
Oklahoma,2001-08-25,1,,North Carolina,W,4,27
Texas Christian,2001-08-25,1,@,Nebraska,L,3,21
Tulane,2001-08-25,1,@,Brigham Young,L,10,70
Virginia,2001-08-25,1,@,Wisconsin,L,3,26
Wisconsin,2001-08-25,1,,Virginia,W,2,17
Colorado,2001-08-26,1,,Fresno State,L,3,24
Fresno State,2001-08-26,1,@,Colorado,W,3,22
Georgia Tech,2001-08-26,1,N,Syracuse,W,1,7
Syracuse,2001-08-26,1,N,Georgia Tech,L,1,13
Akron,2001-08-30,1,,Ohio,W,3,29
Arizona,2001-08-30,1,@,San Diego State,W,1,10
Arkansas,2001-08-30,1,,Nevada-Las Vegas,W,1,10
Buffalo,2001-08-30,1,,Rutgers,L,4,31
Central Michigan,2001-08-30,1,,Eastern Kentucky,W,4,28
Idaho,2001-08-30,1,@,Washington State,L,4,36
Middle Tennessee State,2001-08-30,1,@,Vanderbilt,W,4,28
Minnesota,2001-08-30,1,@,Toledo,L,5,38
Navy,2001-08-30,1,@,Temple,L,6,45
Northern Illinois,2001-08-30,1,,South Florida,W,2,17
Ohio,2001-08-30,1,@,Akron,L,4,31
Rutgers,2001-08-30,1,@,Buffalo,W,2,15
San Diego State,2001-08-30,1,,Arizona,L,3,23
South Florida,2001-08-30,1,@,Northern Illinois,L,2,20
Temple,2001-08-30,1,,Navy,W,3,26
Toledo,2001-08-30,1,,Minnesota,W,1,7
Tulsa,2001-08-30,1,,Indiana State,W,0,0
UAB,2001-08-30,1,,Montana State,W,1,13
UNLV,2001-08-30,1,@,Arkansas,L,2,14
Vanderbilt,2001-08-30,1,,Middle Tennessee State,L,5,37
Washington State,2001-08-30,1,,Idaho,W,1,7
Western Michigan,2001-08-30,1,,Illinois State,W,1,7
Air Force,2001-09-01,1,,Oklahoma,L,5,44
Alabama,2001-09-01,1,,UCLA,L,2,20
Arkansas State,2001-09-01,1,@,Georgia,L,6,45
Auburn,2001-09-01,1,,Ball State,W,0,0
Ball State,2001-09-01,1,@,Auburn,L,3,30
Boise State,2001-09-01,1,@,South Carolina,L,4,32
Boston College,2001-09-01,1,,West Virginia,W,1,10
Bowling Green State,2001-09-01,1,@,Missouri,W,1,13
Brigham Young,2001-09-01,2,,Nevada,W,1,7
California,2001-09-01,1,,Illinois,L,5,44
Clemson,2001-09-01,1,,Central Florida,W,2,13
Colorado,2001-09-01,2,N,Colorado State,W,2,14
Colorado State,2001-09-01,1,N,Colorado,L,5,41
Connecticut,2001-09-01,1,@,Virginia Tech,L,7,52
Duke,2001-09-01,1,,Florida State,L,7,55
East Carolina,2001-09-01,1,,Wake Forest,L,2,21
Eastern Michigan,2001-09-01,1,,Southeast Missouri State,W,1,12
Florida,2001-09-01,1,,Marshall,W,2,14
Florida State,2001-09-01,1,@,Duke,W,2,13
Georgia,2001-09-01,1,,Arkansas State,W,2,17
Georgia Tech,2001-09-01,2,,Citadel,W,1,7
Houston,2001-09-01,1,,Rice,L,3,21
Illinois,2001-09-01,1,@,California,W,2,17
Iowa,2001-09-01,1,,Kent State,W,0,0
Kansas,2001-09-01,1,,Missouri State,W,1,10
Kent State,2001-09-01,1,@,Iowa,L,6,51
Kentucky,2001-09-01,1,,Louisville,L,5,36
Louisiana,2001-09-01,1,,Nicholls State,W,0,0
Louisiana Tech,2001-09-01,1,,Southern Methodist,W,0,6
Louisiana-Monroe,2001-09-01,1,,Sam Houston State,L,3,20
Louisville,2001-09-01,2,@,Kentucky,W,1,10
LSU,2001-09-01,1,,Tulane,W,2,17
Marshall,2001-09-01,1,@,Florida,L,7,49
Maryland,2001-09-01,1,,North Carolina,W,1,7
Miami (FL),2001-09-01,1,@,Penn State,W,1,7
Miami (OH),2001-09-01,1,@,Michigan,L,4,31
Michigan,2001-09-01,1,,Miami (OH),W,2,13
Missouri,2001-09-01,1,,Bowling Green State,L,3,20
Nebraska,2001-09-01,2,,Troy,W,2,14
Nevada,2001-09-01,1,@,Brigham Young,L,7,52
New Mexico,2001-09-01,1,,Texas-El Paso,W,1,6
New Mexico State,2001-09-01,2,@,Texas,L,5,41
North Carolina,2001-09-01,2,@,Maryland,L,3,23
North Texas,2001-09-01,1,,Texas Christian,L,1,19
Oklahoma,2001-09-01,2,@,Air Force,W,0,3
Oklahoma State,2001-09-01,1,@,Southern Mississippi,L,2,17
Ole Miss,2001-09-01,1,,Murray State,W,2,14
Oregon,2001-09-01,1,,Wisconsin,W,4,28
