School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
Arizona,2019-08-24,1,@,Hawaii,L,6,45
Florida,2019-08-24,1,N,Miami (FL),W,2,20
Hawaii,2019-08-24,1,,Arizona,W,5,38
Miami (FL),2019-08-24,1,N,Florida,L,3,24
Arizona State,2019-08-29,1,,Kent State,W,1,7
Bowling Green State,2019-08-29,1,,Morgan State,W,0,3
Brigham Young,2019-08-29,1,,Utah,L,4,30
Buffalo,2019-08-29,1,,Robert Morris,W,1,10
Central Michigan,2019-08-29,1,,Albany,W,3,21
Charlotte,2019-08-29,1,,Gardner-Webb,W,4,28
Cincinnati,2019-08-29,1,,UCLA,W,2,14
Clemson,2019-08-29,1,,Georgia Tech,W,2,14
Connecticut,2019-08-29,1,,Wagner,W,3,21
Florida International,2019-08-29,1,@,Tulane,L,6,42
Georgia Tech,2019-08-29,1,@,Clemson,L,7,52
Kent State,2019-08-29,1,@,Arizona State,L,3,30
Minnesota,2019-08-29,1,,South Dakota State,W,3,21
San Jose State,2019-08-29,1,,Northern Colorado,W,1,18
Texas A&M,2019-08-29,1,,Texas State,W,1,7
Texas State,2019-08-29,1,@,Texas A&M,L,5,41
Tulane,2019-08-29,1,,Florida International,W,2,14
UAB,2019-08-29,1,,Alabama State,W,3,19
UCF,2019-08-29,1,,Florida A&M,W,0,0
UCLA,2019-08-29,1,@,Cincinnati,L,3,24
Utah,2019-08-29,1,@,Brigham Young,W,1,12
Western Kentucky,2019-08-29,1,,Central Arkansas,L,5,35
Army,2019-08-30,1,,Rice,W,1,7
Colorado,2019-08-30,1,N,Colorado State,W,4,31
Colorado State,2019-08-30,1,N,Colorado,L,7,52
Massachusetts,2019-08-30,1,@,Rutgers,L,6,48
Michigan State,2019-08-30,1,,Tulsa,W,1,7
Nevada,2019-08-30,1,,Purdue,W,4,31
Oklahoma State,2019-08-30,1,@,Oregon State,W,5,36
Oregon State,2019-08-30,1,,Oklahoma State,L,7,52
Purdue,2019-08-30,1,@,Nevada,L,4,34
Rice,2019-08-30,1,@,Army,L,2,14
Rutgers,2019-08-30,1,,Massachusetts,W,3,21
South Florida,2019-08-30,1,,Wisconsin,L,7,49
Tulsa,2019-08-30,1,@,Michigan State,L,2,28
Utah State,2019-08-30,1,@,Wake Forest,L,5,38
Wake Forest,2019-08-30,1,,Utah State,W,5,35
Wisconsin,2019-08-30,1,@,South Florida,W,0,0
Air Force,2019-08-31,1,,Colgate,W,1,7
Akron,2019-08-31,1,@,Illinois,L,6,42
Alabama,2019-08-31,1,N,Duke,W,0,3
Appalachian State,2019-08-31,1,,East Tennessee State,W,1,7
Arkansas,2019-08-31,1,,Portland State,W,1,13
Arkansas State,2019-08-31,1,,Southern Methodist,L,4,37
Auburn,2019-08-31,1,N,Oregon,W,3,21
Ball State,2019-08-31,1,N,Indiana,L,3,34
Baylor,2019-08-31,1,,Stephen F. Austin,W,2,17
Boise State,2019-08-31,1,@,Florida State,W,4,31
Boston College,2019-08-31,1,,Virginia Tech,W,4,28
California,2019-08-31,1,,California-Davis,W,1,13
Coastal Carolina,2019-08-31,1,,Eastern Michigan,L,4,30
Duke,2019-08-31,1,N,Alabama,L,6,42
East Carolina,2019-08-31,1,@,North Carolina State,L,4,34
Eastern Michigan,2019-08-31,1,@,Coastal Carolina,W,2,23
Florida Atlantic,2019-08-31,1,@,Ohio State,L,6,45
Florida State,2019-08-31,1,,Boise State,L,3,36
Fresno State,2019-08-31,1,@,Southern California,L,4,31
Georgia,2019-08-31,1,@,Vanderbilt,W,0,6
Georgia Southern,2019-08-31,1,@,Louisiana State,L,7,55
Georgia State,2019-08-31,1,@,Tennessee,W,3,30
Illinois,2019-08-31,1,,Akron,W,0,3
Indiana,2019-08-31,1,N,Ball State,W,3,24
Iowa,2019-08-31,1,,Miami (OH),W,2,14
Iowa State,2019-08-31,1,,Northern Iowa,W,2,26
Kansas,2019-08-31,1,,Indiana State,W,2,17
Kansas State,2019-08-31,1,,Nicholls State,W,2,14
