School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
Colorado State,2002-08-22,1,@,Virginia,W,4,29
Virginia,2002-08-22,1,,Colorado State,L,3,35
Fresno State,2002-08-23,1,@,Wisconsin,L,2,23
Wisconsin,2002-08-23,1,,Fresno State,W,3,21
Arizona State,2002-08-24,1,@,Nebraska,L,6,48
Florida State,2002-08-24,1,N,Iowa State,W,4,31
Iowa State,2002-08-24,1,N,Florida State,L,5,38
Nebraska,2002-08-24,1,,Arizona State,W,1,10
New Mexico,2002-08-24,1,@,North Carolina State,L,5,34
North Carolina State,2002-08-24,1,,New Mexico,W,2,14
Ohio State,2002-08-24,1,,Texas Tech,W,3,21
Texas Tech,2002-08-24,1,@,Ohio State,L,6,45
Arkansas State,2002-08-25,1,@,Virginia Tech,L,9,63
Virginia Tech,2002-08-25,1,,Arkansas State,W,1,7
Bowling Green State,2002-08-29,1,,Tennessee Tech,W,1,7
Brigham Young,2002-08-29,1,,Syracuse,W,3,21
Buffalo,2002-08-29,1,,Lehigh,L,5,37
Central Michigan,2002-08-29,1,,Sam Houston State,W,1,10
Fresno State,2002-08-29,2,,San Diego State,W,2,14
Kent State,2002-08-29,1,,New Hampshire,W,1,7
Northern Illinois,2002-08-29,1,,Wake Forest,W,6,41
Oregon State,2002-08-29,1,,Eastern Kentucky,W,1,10
San Diego State,2002-08-29,1,@,Fresno State,L,1,16
South Florida,2002-08-29,1,,Florida Atlantic,W,1,10
Syracuse,2002-08-29,1,@,Brigham Young,L,6,42
Temple,2002-08-29,1,,Richmond,W,1,7
Toledo,2002-08-29,1,,Cal Poly,W,2,16
Wake Forest,2002-08-29,1,@,Northern Illinois,L,5,42
Western Michigan,2002-08-29,1,,Indiana State,W,2,17
Oklahoma,2002-08-30,1,@,Tulsa,W,0,0
Tulsa,2002-08-30,1,,Oklahoma,L,5,37
Air Force,2002-08-31,1,,Northwestern,W,0,3
Akron,2002-08-31,1,@,Iowa,L,7,57
Alabama,2002-08-31,1,,Middle Tennessee State,W,4,34
Arizona,2002-08-31,1,,Northern Arizona,W,0,3
Arizona State,2002-08-31,2,,Eastern Washington,W,0,2
Arkansas State,2002-08-31,2,,San Jose State,L,4,33
Baylor,2002-08-31,1,@,California,L,10,70
Boise State,2002-08-31,1,,Idaho,W,3,21
Boston College,2002-08-31,1,,Connecticut,W,2,16
California,2002-08-31,1,,Baylor,W,3,22
Clemson,2002-08-31,1,@,Georgia,L,4,31
Colorado,2002-08-31,1,N,Colorado State,L,3,19
Colorado State,2002-08-31,2,N,Colorado,W,2,14
Connecticut,2002-08-31,1,@,Boston College,L,3,24
Duke,2002-08-31,1,,East Carolina,W,2,16
East Carolina,2002-08-31,1,@,Duke,L,2,23
Eastern Michigan,2002-08-31,1,@,Michigan State,L,8,56
Florida,2002-08-31,1,,Alabama-Birmingham,W,0,3
Florida State,2002-08-31,2,,Virginia,W,3,19
Georgia,2002-08-31,1,,Clemson,W,4,28
Georgia Tech,2002-08-31,1,,Vanderbilt,W,0,3
Hawaii,2002-08-31,1,,Eastern Illinois,W,5,36
Houston,2002-08-31,1,@,Rice,W,1,10
Idaho,2002-08-31,1,@,Boise State,L,5,38
Illinois,2002-08-31,1,N,Missouri,L,5,33
Indiana,2002-08-31,1,,William & Mary,W,2,17
Iowa,2002-08-31,1,,Akron,W,3,21
Iowa State,2002-08-31,2,,Kansas,W,0,3
Kansas,2002-08-31,1,@,Iowa State,L,6,45
Kansas State,2002-08-31,1,,Western Kentucky,W,0,3
Louisiana,2002-08-31,1,@,Texas A&M,L,4,31
Louisiana Tech,2002-08-31,1,,Oklahoma State,W,5,36
Louisiana-Monroe,2002-08-31,1,@,Mississippi,L,4,31
Marshall,2002-08-31,1,,Appalachian State,W,2,17
Maryland,2002-08-31,1,N,Notre Dame,L,1,22
Memphis,2002-08-31,1,,Murray State,W,1,6
Miami (FL),2002-08-31,1,,Florida A&M,W,2,17
Miami (OH),2002-08-31,1,@,North Carolina,W,3,21
Michigan,2002-08-31,1,,Washington,W,4,29
Michigan State,2002-08-31,1,,Eastern Michigan,W,1,7
Middle Tennessee State,2002-08-31,1,@,Alabama,L,5,39
Minnesota,2002-08-31,1,,,W,0,0
Mississippi State,2002-08-31,1,@,Oregon,L,4,36
Missouri,2002-08-31,1,N,Illinois,W,3,20
Navy,2002-08-31,1,@,Southern Methodist,W,1,7
Nebraska,2002-08-31,2,,Troy,W,2,16
Nevada,2002-08-31,1,@,Washington State,L,4,31
New Mexico,2002-08-31,2,,Weber State,W,3,24
New Mexico State,2002-08-31,1,@,South Carolina,L,4,34
North Carolina,2002-08-31,1,,Miami (OH),L,4,27
North Carolina State,2002-08-31,2,,East Tennessee State,W,0,0
North Texas,2002-08-31,1,@,Texas,L,3,27
Northwestern,2002-08-31,1,@,Air Force,L,7,52
Notre Dame,2002-08-31,1,N,Maryland,W,0,0
Ohio,2002-08-31,1,@,Pittsburgh,L,3,27
Oklahoma State,2002-08-31,1,@,Louisiana Tech,L,5,39
Ole Miss,2002-08-31,1,,Louisiana-Monroe,W,0,3
Oregon,2002-08-31,1,,Mississippi State,W,2,13
Penn State,2002-08-31,1,,Central Florida,W,2,24
Pitt,2002-08-31,1,,Ohio,W,2,14
Purdue,2002-08-31,1,,Illinois State,W,1,10
Rice,2002-08-31,1,,Houston,L,3,24
Rutgers,2002-08-31,1,,Villanova,L,5,37
San Jose State,2002-08-31,1,@,Arkansas State,W,2,14
SMU,2002-08-31,1,,Navy,L,5,38
South Carolina,2002-08-31,1,,New Mexico State,W,3,24
Southern Mississippi,2002-08-31,1,,Jackson State,W,1,7
Tennessee,2002-08-31,1,,Wyoming,W,1,7
Texas,2002-08-31,1,,North Texas,W,0,0
Texas A&M,2002-08-31,1,,Louisiana,W,1,7
Troy,2002-08-31,1,@,Nebraska,L,4,31
Tulane,2002-08-31,1,,Southern,W,3,19
UAB,2002-08-31,1,@,Florida,L,7,51
UCF,2002-08-31,1,@,Penn State,L,3,27
UNLV,2002-08-31,1,,Wisconsin,L,3,27
Utah,2002-08-31,1,@,Utah State,W,0,3
Utah State,2002-08-31,1,,Utah,L,3,23
UTEP,2002-08-31,1,,,W,2,12
Vanderbilt,2002-08-31,1,@,Georgia Tech,L,6,45
Virginia,2002-08-31,2,@,Florida State,L,5,40
Washington,2002-08-31,1,@,Michigan,L,4,31
Washington State,2002-08-31,1,,Nevada,W,1,7
West Virginia,2002-08-31,1,,Chattanooga,W,1,7
Wisconsin,2002-08-31,2,@,Nevada-Las Vegas,W,1,7
Wyoming,2002-08-31,1,@,Tennessee,L,5,47
Kentucky,2002-09-01,1,@,Louisville,W,2,17
Louisville,2002-09-01,1,,Kentucky,L,2,22
LSU,2002-09-01,1,@,Virginia Tech,L,3,26
Virginia Tech,2002-09-01,2,,Louisiana State,W,1,8
Auburn,2002-09-02,1,@,Southern California,L,3,24
Cincinnati,2002-09-02,1,,Texas Christian,W,2,29
Texas Christian,2002-09-02,1,@,Cincinnati,L,5,36
USC,2002-09-02,1,,Auburn,W,2,17
Oregon State,2002-09-05,2,@,Temple,W,0,3
Temple,2002-09-05,2,,Oregon State,L,5,35
Brigham Young,2002-09-06,2,,Hawaii,W,4,32
Hawaii,2002-09-06,2,@,Brigham Young,L,5,35
Air Force,2002-09-07,2,,New Mexico,W,4,31
Akron,2002-09-07,2,@,Maryland,L,5,44
Alabama,2002-09-07,2,@,Oklahoma,L,5,37
Arizona State,2002-09-07,3,,Central Florida,W,1,13
Arkansas,2002-09-07,1,,Boise State,W,2,14
Arkansas State,2002-09-07,3,,Tulsa,W,2,19
Army,2002-09-07,1,,Holy Cross,L,2,30
Auburn,2002-09-07,2,,Western Carolina,W,0,0
Ball State,2002-09-07,1,@,Missouri,L,6,41
Baylor,2002-09-07,2,,Samford,W,2,12
Boise State,2002-09-07,2,@,Arkansas,L,5,41
Boston College,2002-09-07,2,,Stanford,W,3,27
Buffalo,2002-09-07,2,@,Rutgers,W,1,11
California,2002-09-07,2,,New Mexico State,W,1,13
Central Michigan,2002-09-07,2,,Wyoming,W,3,20
Clemson,2002-09-07,2,,Louisiana Tech,W,1,13
Colorado,2002-09-07,2,,San Diego State,W,2,14
Colorado State,2002-09-07,3,@,UCLA,L,4,30
Connecticut,2002-09-07,2,,Georgia Tech,L,4,31
Duke,2002-09-07,2,,Louisville,L,5,40
East Carolina,2002-09-07,2,@,Wake Forest,L,3,27
Eastern Michigan,2002-09-07,2,,Toledo,L,9,65
