School,Date,G,Loc,Opponent,WL,Total TD,Points For,Points Difference,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp
California,2003-08-23,1,@,Kansas State,L,4,28,-14,9,18,50.0,205,3,46,330,7.2,2,0,0,0
Kansas State,2003-08-23,1,,California,W,5,42,14,25,42,59.5,378,4,27,62,2.3,0,0,1,1
San Jose State,2003-08-23,1,,Grambling State,W,3,29,29,23,47,48.9,210,0,21,50,2.4,0,2,1,3
Akron,2003-08-28,1,,Kent State,L,5,38,-3,25,44,56.8,340,3,44,181,4.1,2,0,1,1
Ball State,2003-08-28,1,,Indiana State,W,3,31,24,14,26,53.8,70,0,50,113,2.3,1,3,2,5
Bowling Green State,2003-08-28,1,,Eastern Kentucky,W,9,63,50,19,32,59.4,170,1,31,139,4.5,1,2,0,2
Brigham Young,2003-08-28,1,,Georgia Tech,W,3,24,11,15,24,62.5,147,0,23,96,4.2,0,3,1,4
Eastern Michigan,2003-08-28,1,,East Tennessee State,W,4,28,7,14,23,60.9,120,1,41,167,4.1,1,0,1,1
Georgia Tech,2003-08-28,1,@,Brigham Young,L,1,13,-11,31,47,66.0,276,3,32,86,2.7,0,0,2,2
Kent State,2003-08-28,1,@,Akron,W,5,41,3,36,47,76.6,407,3,30,40,1.3,2,0,0,0
Louisiana Tech,2003-08-28,1,,Miami (FL),L,0,9,-39,18,35,51.4,275,2,43,192,4.5,1,0,1,1
Maryland,2003-08-28,1,@,Northern Illinois,L,1,13,-7,21,35,60.0,266,2,43,59,1.4,0,0,1,1
Miami (FL),2003-08-28,1,@,Louisiana Tech,W,6,48,39,19,34,55.9,246,0,19,64,3.4,0,1,2,3
Middle Tennessee State,2003-08-28,1,,Florida Atlantic,L,2,19,-1,18,29,62.1,215,2,32,42,1.3,0,2,2,4
Northern Illinois,2003-08-28,1,,Maryland,W,2,20,7,12,24,50.0,110,0,35,112,3.2,1,1,1,2
Ohio,2003-08-28,1,,Southeast Missouri State,W,2,17,14,18,41,43.9,233,0,33,58,1.8,0,2,3,5
Oregon State,2003-08-28,1,,Sacramento State,W,5,40,33,14,31,45.2,193,0,35,61,1.7,1,0,0,0
Utah,2003-08-28,1,,Utah State,W,5,40,20,19,41,46.3,280,1,26,77,3.0,1,1,1,2
Utah State,2003-08-28,1,@,Utah,L,2,20,-20,16,26,61.5,180,3,53,202,3.8,2,0,2,2
Toledo,2003-08-29,1,@,Nevada-Las Vegas,L,3,18,-10,27,41,65.9,308,3,39,150,3.8,0,2,1,3
UNLV,2003-08-29,1,,Toledo,W,4,28,10,17,34,50.0,145,2,29,94,3.2,0,2,0,2
Air Force,2003-08-30,1,,Wofford,W,7,49,49,9,14,64.3,87,0,40,88,2.2,0,0,2,2
Alabama,2003-08-30,1,,South Florida,W,5,40,23,18,34,52.9,205,1,22,51,2.3,1,2,1,3
Arizona,2003-08-30,1,,Texas-El Paso,W,6,42,35,21,43,48.8,204,0,33,71,2.2,0,2,1,3
Arkansas State,2003-08-30,1,@,Texas A&M,L,1,11,-15,12,20,60.0,126,0,34,131,3.9,2,1,2,3
Auburn,2003-08-30,1,,Southern California,L,0,0,-23,17,30,56.7,192,1,36,123,3.4,1,0,0,0
Baylor,2003-08-30,1,,Alabama-Birmingham,L,2,19,-5,14,31,45.2,254,2,35,149,4.3,1,1,0,1
Boston College,2003-08-30,1,,Wake Forest,L,4,28,-4,13,23,56.5,149,2,40,160,4.0,2,1,2,3
Buffalo,2003-08-30,1,@,Rutgers,L,1,10,-14,21,31,67.7,225,1,43,181,4.2,1,0,0,0
California,2003-08-30,2,,Southern Mississippi,W,4,34,32,20,34,58.8,212,0,36,65,1.8,0,0,1,1
Central Michigan,2003-08-30,1,@,Michigan,L,1,7,-38,22,36,61.1,273,2,46,342,7.4,4,0,1,1
Clemson,2003-08-30,1,,Georgia,L,0,0,-30,13,21,61.9,214,1,49,197,4.0,2,0,0,0
Colorado,2003-08-30,1,N,Colorado State,W,6,42,7,18,40,45.0,339,3,39,246,6.3,2,2,1,3
Colorado State,2003-08-30,1,N,Colorado,L,5,35,-7,21,34,61.8,402,4,43,102,2.4,2,1,0,1
Connecticut,2003-08-30,1,,Indiana,W,4,34,24,13,29,44.8,211,1,42,110,2.6,0,3,0,3
Duke,2003-08-30,1,@,Virginia,L,0,0,-27,12,22,54.5,169,1,41,204,5.0,2,0,0,0
Florida,2003-08-30,1,,San Jose State,W,8,65,62,19,37,51.4,98,0,27,87,3.2,0,1,2,3
Florida State,2003-08-30,1,@,North Carolina,W,5,37,37,27,47,57.4,223,0,27,72,2.7,0,1,2,3
Fresno State,2003-08-30,1,@,Tennessee,L,1,6,-18,18,31,58.1,159,2,44,274,6.2,1,0,2,2
Georgia,2003-08-30,1,@,Clemson,W,3,30,30,20,37,54.1,164,0,24,35,1.5,0,2,1,3
Hawaii,2003-08-30,1,,Appalachian State,W,5,40,23,13,23,56.5,137,2,36,122,3.4,0,0,1,1
Houston,2003-08-30,1,,Rice,W,6,48,34,6,13,46.2,36,0,46,206,4.5,2,0,2,2
Idaho,2003-08-30,1,N,Washington State,L,0,0,-25,13,23,56.5,127,0,50,339,6.8,2,1,1,2
Illinois,2003-08-30,1,N,Missouri,L,1,15,-7,12,18,66.7,102,2,41,121,3.0,1,0,0,0
Indiana,2003-08-30,1,@,Connecticut,L,1,10,-24,26,42,61.9,307,3,38,200,5.3,1,0,1,1
Iowa,2003-08-30,1,,Miami (OH),W,3,21,18,27,42,64.3,250,0,29,54,1.9,0,0,4,4
Iowa State,2003-08-30,1,,Northern Iowa,W,2,17,7,21,33,63.6,142,0,37,119,3.2,1,0,0,0
Kansas,2003-08-30,1,,Northwestern,L,3,20,-8,23,36,63.9,219,0,51,248,4.9,4,0,1,1
Kansas State,2003-08-30,2,,Troy,W,6,41,36,11,30,36.7,99,0,37,39,1.1,0,1,2,3
Louisiana,2003-08-30,1,@,South Carolina,L,1,7,-7,16,34,47.1,185,1,36,141,3.9,1,1,0,1
Louisiana-Monroe,2003-08-30,1,@,Louisiana State,L,1,7,-42,18,35,51.4,306,4,43,168,3.9,2,0,1,1
LSU,2003-08-30,1,,Louisiana-Monroe,W,7,49,42,15,34,44.1,181,0,26,59,2.3,1,1,1,2
Marshall,2003-08-30,1,,Hofstra,W,6,45,24,15,31,48.4,125,1,27,116,4.3,2,1,0,1
Memphis,2003-08-30,1,,Tennessee Tech,W,5,40,30,16,30,53.3,183,1,25,138,5.5,0,2,0,2
Miami (OH),2003-08-30,1,@,Iowa,L,0,3,-18,12,19,63.2,129,2,40,232,5.8,1,1,0,1
Michigan,2003-08-30,1,,Central Michigan,W,6,45,38,18,29,62.1,150,0,45,218,4.8,1,1,1,2
Michigan State,2003-08-30,1,,Western Michigan,W,3,26,5,30,50,60.0,333,2,24,6,0.3,1,0,2,2
Minnesota,2003-08-30,1,,Tulsa,W,7,49,39,18,32,56.3,171,0,37,94,2.5,1,0,0,0
Mississippi State,2003-08-30,1,,Oregon,L,5,34,-8,22,29,75.9,358,4,51,198,3.9,2,2,0,2
Missouri,2003-08-30,1,N,Illinois,W,3,22,7,31,45,68.9,284,1,34,127,3.7,0,1,0,1
Navy,2003-08-30,1,,Virginia Military Institute,W,5,37,27,16,29,55.2,165,0,40,131,3.3,1,2,1,3
Nebraska,2003-08-30,1,,Oklahoma State,W,2,17,10,13,28,46.4,97,1,30,86,2.9,0,2,3,5
Nevada,2003-08-30,1,,Southern Utah,W,3,24,1,27,49,55.1,261,2,25,77,3.1,0,1,3,4
