School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Pass Int,Turnovers
Akron,2012-08-30,1,,Central Florida,L,31,54,57.4,256,2,27,69,2.6,0,6,2,3,1,4
Arizona State,2012-08-30,1,,Northern Arizona,W,16,20,80.0,249,1,51,305,6.0,7,9,2,1,0,1
Ball State,2012-08-30,1,,Eastern Michigan,W,26,41,63.4,267,0,55,329,6.0,4,2,0,1,0,1
Brigham Young,2012-08-30,1,,Washington State,W,26,37,70.3,303,3,41,123,3.0,0,7,3,0,0,0
Central Michigan,2012-08-30,1,,Southeast Missouri State,W,14,23,60.9,171,1,45,324,7.2,4,8,2,2,1,3
Connecticut,2012-08-30,1,,Massachusetts,W,16,27,59.3,225,0,43,147,3.4,2,10,2,1,2,3
Eastern Michigan,2012-08-30,1,@,Ball State,L,15,34,44.1,186,3,33,180,5.5,1,8,1,1,0,1
Idaho,2012-08-30,1,,Eastern Washington,L,16,31,51.6,169,0,28,88,3.1,0,4,0,1,1,2
Kent State,2012-08-30,1,,Towson,W,13,22,59.1,166,1,38,101,2.7,3,8,4,0,0,0
Massachusetts,2012-08-30,1,@,Connecticut,L,9,23,39.1,56,0,24,3,0.1,0,4,0,0,1,1
Middle Tennessee State,2012-08-30,1,,McNeese State,L,27,41,65.9,240,2,27,103,3.8,0,5,1,2,1,3
Minnesota,2012-08-30,1,@,Nevada-Las Vegas,W,17,30,56.7,269,2,46,209,4.5,1,6,2,1,1,2
New Mexico State,2012-08-30,1,,Sacramento State,W,14,22,63.6,367,3,40,101,2.5,4,7,0,0,0,0
Rice,2012-08-30,1,,UCLA,L,18,30,60.0,184,2,48,174,3.6,1,7,2,1,1,2
South Carolina,2012-08-30,1,@,Vanderbilt,W,7,15,46.7,67,0,47,205,4.4,2,9,5,1,1,2
UCF,2012-08-30,1,@,Akron,W,14,19,73.7,180,4,46,206,4.5,4,7,3,0,1,1
