School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Pass Int,Turnovers
Colorado State,2002-08-22,1,@,Virginia,W,17,27,63.0,229,1,41,187,4.6,2,2,0,2
Virginia,2002-08-22,1,,Colorado State,L,18,27,66.7,193,1,49,221,4.5,3,4,1,5
Fresno State,2002-08-23,1,@,Wisconsin,L,22,43,51.2,275,3,19,34,1.8,0,2,2,4
Wisconsin,2002-08-23,1,,Fresno State,W,11,25,44.0,160,0,57,198,3.5,2,2,0,2
Arizona State,2002-08-24,1,@,Nebraska,L,17,41,41.5,175,0,30,83,2.8,1,0,1,1
Florida State,2002-08-24,1,N,Iowa State,W,17,25,68.0,210,2,43,239,5.6,2,0,1,1
Iowa State,2002-08-24,1,N,Florida State,L,22,33,66.7,313,2,38,130,3.4,2,1,1,2
Nebraska,2002-08-24,1,,Arizona State,W,5,13,38.5,33,1,59,283,4.8,3,0,0,0
New Mexico,2002-08-24,1,@,North Carolina State,L,19,35,54.3,157,1,24,85,3.5,1,1,2,3
North Carolina State,2002-08-24,1,,New Mexico,W,15,27,55.6,276,3,46,134,2.9,2,1,1,2
Ohio State,2002-08-24,1,,Texas Tech,W,13,17,76.5,160,0,57,317,5.6,6,0,0,0
Texas Tech,2002-08-24,1,@,Ohio State,L,26,44,59.1,341,3,20,31,1.6,0,0,1,1
Arkansas State,2002-08-25,1,@,Virginia Tech,L,14,27,51.9,203,1,33,24,0.7,0,4,1,5
Virginia Tech,2002-08-25,1,,Arkansas State,W,11,18,61.1,99,2,41,288,7.0,4,1,0,1
Bowling Green State,2002-08-29,1,,Tennessee Tech,W,20,32,62.5,184,3,34,144,4.2,2,0,0,0
Brigham Young,2002-08-29,1,,Syracuse,W,36,55,65.5,397,3,39,218,5.6,3,2,1,3
Buffalo,2002-08-29,1,,Lehigh,L,12,31,38.7,154,1,30,111,3.7,1,0,1,1
Central Michigan,2002-08-29,1,,Sam Houston State,W,17,28,60.7,208,3,50,224,4.5,1,2,1,3
Fresno State,2002-08-29,2,,San Diego State,W,21,35,60.0,196,1,38,66,1.7,0,1,0,1
Kent State,2002-08-29,1,,New Hampshire,W,6,12,50.0,78,0,55,399,7.3,4,0,0,0
Northern Illinois,2002-08-29,1,,Wake Forest,W,14,26,53.8,214,2,54,206,3.8,2,2,2,4
Oregon State,2002-08-29,1,,Eastern Kentucky,W,17,28,60.7,359,3,45,241,5.4,4,3,0,3
San Diego State,2002-08-29,1,@,Fresno State,L,25,37,67.6,240,1,24,38,1.6,1,1,1,2
South Florida,2002-08-29,1,,Florida Atlantic,W,27,41,65.9,263,2,38,105,2.8,3,1,1,2
Syracuse,2002-08-29,1,@,Brigham Young,L,8,24,33.3,128,0,42,198,4.7,3,1,2,3
Temple,2002-08-29,1,,Richmond,W,18,31,58.1,213,2,45,166,3.7,1,1,3,4
Toledo,2002-08-29,1,,Cal Poly,W,18,23,78.3,284,3,51,262,5.1,3,1,0,1
Wake Forest,2002-08-29,1,@,Northern Illinois,L,9,17,52.9,107,0,50,344,6.9,5,0,0,0
Western Michigan,2002-08-29,1,,Indiana State,W,25,42,59.5,330,6,30,73,2.4,0,1,1,2
Oklahoma,2002-08-30,1,@,Tulsa,W,16,28,57.1,131,0,42,378,9.0,4,1,2,3
Tulsa,2002-08-30,1,,Oklahoma,L,12,22,54.5,111,0,38,102,2.7,0,2,0,2
Air Force,2002-08-31,1,,Northwestern,W,5,8,62.5,47,1,74,476,6.4,5,0,0,0
Akron,2002-08-31,1,@,Iowa,L,28,38,73.7,296,2,36,67,1.9,1,2,1,3
Alabama,2002-08-31,1,,Middle Tennessee State,W,16,22,72.7,236,2,43,194,4.5,2,0,0,0
Arizona,2002-08-31,1,,Northern Arizona,W,23,41,56.1,407,3,41,103,2.5,1,0,0,0
Arizona State,2002-08-31,2,,Eastern Washington,W,15,25,60.0,187,3,49,242,4.9,2,2,0,2
Arkansas State,2002-08-31,2,,San Jose State,L,17,35,48.6,182,1,32,108,3.4,1,2,3,5
Baylor,2002-08-31,1,@,California,L,23,39,59.0,323,1,40,79,2.0,2,1,4,5
Boise State,2002-08-31,1,,Idaho,W,20,25,80.0,270,1,37,233,6.3,4,0,0,0
Boston College,2002-08-31,1,,Connecticut,W,19,33,57.6,239,3,34,114,3.4,0,1,2,3
California,2002-08-31,1,,Baylor,W,22,30,73.3,355,5,31,105,3.4,3,0,0,0
Clemson,2002-08-31,1,@,Georgia,L,17,37,45.9,165,1,34,68,2.0,2,0,1,1
Colorado,2002-08-31,1,N,Colorado State,L,14,27,51.9,199,0,48,170,3.5,1,2,1,3
Colorado State,2002-08-31,2,N,Colorado,W,11,24,45.8,168,0,38,152,4.0,3,0,1,1
Connecticut,2002-08-31,1,@,Boston College,L,24,38,63.2,203,1,34,40,1.2,1,0,2,2
Duke,2002-08-31,1,,East Carolina,W,10,20,50.0,86,0,49,155,3.2,1,0,0,0
East Carolina,2002-08-31,1,@,Duke,L,13,34,38.2,130,1,27,25,0.9,1,1,3,4
Eastern Michigan,2002-08-31,1,@,Michigan State,L,23,49,46.9,187,0,20,54,2.7,1,0,0,0
Florida,2002-08-31,1,,Alabama-Birmingham,W,20,32,62.5,410,2,38,233,6.1,5,0,1,1
Florida State,2002-08-31,2,,Virginia,W,14,23,60.9,157,0,60,397,6.6,5,2,2,4
Georgia,2002-08-31,1,,Clemson,W,15,25,60.0,117,2,39,86,2.2,1,2,1,3
Georgia Tech,2002-08-31,1,,Vanderbilt,W,15,24,62.5,182,3,51,279,5.5,3,0,0,0
Hawaii,2002-08-31,1,,Eastern Illinois,W,24,40,60.0,453,4,23,125,5.4,2,1,1,2
Houston,2002-08-31,1,@,Rice,W,11,15,73.3,161,1,60,305,5.1,2,3,0,3
Idaho,2002-08-31,1,@,Boise State,L,26,41,63.4,272,2,32,93,2.9,1,0,2,2
Illinois,2002-08-31,1,N,Missouri,L,18,42,42.9,246,2,34,67,2.0,1,2,1,3
Indiana,2002-08-31,1,,William & Mary,W,16,32,50.0,165,3,42,103,2.5,0,1,3,4
Iowa,2002-08-31,1,,Akron,W,12,20,60.0,217,2,45,376,8.4,4,1,0,1
Iowa State,2002-08-31,2,,Kansas,W,16,25,64.0,234,0,53,277,5.2,6,0,1,1
Kansas,2002-08-31,1,@,Iowa State,L,10,32,31.3,81,0,33,69,2.1,0,0,3,3
Kansas State,2002-08-31,1,,Western Kentucky,W,9,14,64.3,172,0,51,235,4.6,5,0,0,0
Louisiana,2002-08-31,1,@,Texas A&M,L,16,42,38.1,194,1,23,11,0.5,0,4,6,10
Louisiana Tech,2002-08-31,1,,Oklahoma State,W,38,66,57.6,448,3,23,38,1.7,2,1,0,1
Louisiana-Monroe,2002-08-31,1,@,Mississippi,L,9,23,39.1,110,0,43,118,2.7,0,0,2,2
Marshall,2002-08-31,1,,Appalachian State,W,28,43,65.1,498,4,39,136,3.5,3,2,0,2
Maryland,2002-08-31,1,N,Notre Dame,L,12,32,37.5,117,0,21,16,0.8,0,0,3,3
Memphis,2002-08-31,1,,Murray State,W,24,33,72.7,255,5,34,267,7.9,1,4,0,4
Miami (FL),2002-08-31,1,,Florida A&M,W,12,26,46.2,204,5,33,312,9.5,4,3,1,4
Miami (OH),2002-08-31,1,@,North Carolina,W,16,33,48.5,204,1,56,175,3.1,3,2,0,2
Michigan,2002-08-31,1,,Washington,W,22,39,56.4,268,1,36,150,4.2,3,1,1,2
Michigan State,2002-08-31,1,,Eastern Michigan,W,15,25,60.0,256,4,48,369,7.7,4,0,1,1
Middle Tennessee State,2002-08-31,1,@,Alabama,L,17,25,68.0,202,0,38,183,4.8,4,0,1,1
Minnesota,2002-08-31,1,,,W,8,11,72.7,193,2,40,202,5.1,4,2,0,2
Mississippi State,2002-08-31,1,@,Oregon,L,18,37,48.6,192,1,24,31,1.3,1,2,2,4
Missouri,2002-08-31,1,N,Illinois,W,15,26,57.7,152,0,54,285,5.3,4,2,0,2
Navy,2002-08-31,1,@,Southern Methodist,W,4,9,44.4,106,0,54,293,5.4,5,0,0,0
Nebraska,2002-08-31,2,,Troy,W,8,16,50.0,114,0,54,199,3.7,2,1,1,2
Nevada,2002-08-31,1,@,Washington State,L,20,35,57.1,174,0,46,108,2.3,1,0,3,3
New Mexico,2002-08-31,2,,Weber State,W,12,16,75.0,93,0,34,256,7.5,3,0,0,0
