School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Pass Int,Turnovers
Arizona State,2005-09-01,1,,Temple,W,19,31,61.3,259,5,44,300,6.8,4,7,0,1,2,3
Buffalo,2005-09-01,1,@,Connecticut,L,10,21,47.6,60,0,28,65,2.3,0,8,2,0,0,0
Cincinnati,2005-09-01,1,,Eastern Michigan,W,17,26,65.4,176,2,55,293,5.3,2,7,2,1,0,1
Connecticut,2005-09-01,1,,Buffalo,W,14,21,66.7,132,3,55,290,5.3,2,9,3,0,1,1
Eastern Michigan,2005-09-01,1,@,Cincinnati,L,22,33,66.7,167,1,31,149,4.8,2,1,1,0,0,0
Houston,2005-09-01,1,,Oregon,L,24,43,55.8,312,2,26,100,3.8,1,4,0,0,2,2
Idaho,2005-09-01,1,@,Washington State,L,19,32,59.4,180,2,41,86,2.1,1,4,0,1,0,1
Louisiana-Monroe,2005-09-01,1,,Northwestern State,L,25,41,61.0,283,1,36,128,3.6,1,5,0,2,1,3
Marshall,2005-09-01,1,,William & Mary,W,26,40,65.0,313,3,31,67,2.2,1,5,2,1,1,2
Minnesota,2005-09-01,1,@,Tulsa,W,14,25,56.0,235,1,44,301,6.8,4,4,1,1,1,2
Oregon,2005-09-01,1,@,Houston,W,30,49,61.2,348,2,36,206,5.7,1,7,2,0,1,1
South Carolina,2005-09-01,1,,Central Florida,W,18,23,78.3,330,3,28,32,1.1,0,9,6,3,0,3
Temple,2005-09-01,1,@,Arizona State,L,18,37,48.6,203,1,35,62,1.8,1,2,1,1,2,3
Toledo,2005-09-01,1,,Western Illinois,W,16,26,61.5,191,2,37,210,5.7,3,13,4,1,0,1
Tulsa,2005-09-01,1,,Minnesota,L,27,41,65.9,218,1,35,135,3.9,0,5,2,3,1,4
UCF,2005-09-01,1,@,South Carolina,L,27,39,69.2,258,1,41,83,2.0,0,6,3,0,1,1
Vanderbilt,2005-09-01,1,@,Wake Forest,W,25,36,69.4,276,1,30,146,4.9,2,5,2,0,1,1
Wake Forest,2005-09-01,1,,Vanderbilt,L,15,26,57.7,198,0,51,274,5.4,2,2,0,1,0,1
Washington State,2005-09-01,1,,Idaho,W,17,29,58.6,230,3,35,206,5.9,2,9,3,1,2,3
Arizona,2005-09-02,1,@,Utah,L,24,42,57.1,287,2,33,104,3.2,1,6,0,2,2,4
Central Michigan,2005-09-02,1,,Indiana,L,18,36,50.0,216,0,32,167,5.2,1,10,3,0,0,0
Indiana,2005-09-02,1,@,Central Michigan,W,17,35,48.6,276,3,45,109,2.4,0,9,2,0,1,1
Utah,2005-09-02,1,,Arizona,W,19,31,61.3,220,1,38,226,5.9,1,6,2,1,0,1
Air Force,2005-09-03,1,@,Washington,W,13,22,59.1,207,1,52,218,4.2,1,4,0,2,0,2
Alabama,2005-09-03,1,,Middle Tennessee State,W,17,25,68.0,212,1,37,133,3.6,2,9,5,0,1,1
Arkansas,2005-09-03,1,,Missouri State,W,13,25,52.0,108,1,51,483,9.5,5,9,1,4,1,5
Arkansas State,2005-09-03,1,@,Missouri,L,19,38,50.0,206,1,29,117,4.0,1,0,0,1,1,2
Auburn,2005-09-03,1,,Georgia Tech,L,22,44,50.0,342,2,23,50,2.2,0,2,1,1,4,5
Ball State,2005-09-03,1,@,Iowa,L,11,23,47.8,93,0,34,51,1.5,0,9,2,1,0,1
Baylor,2005-09-03,1,@,Southern Methodist,W,23,40,57.5,198,0,45,215,4.8,3,5,3,1,2,3
Boise State,2005-09-03,1,@,Georgia,L,13,25,52.0,123,0,35,169,4.8,2,2,0,2,4,6
Boston College,2005-09-03,1,@,Brigham Young,W,27,35,77.1,232,2,31,133,4.3,0,6,2,1,0,1
Bowling Green State,2005-09-03,1,@,Wisconsin,L,30,52,57.7,458,5,29,73,2.5,1,5,0,0,1,1
Brigham Young,2005-09-03,1,,Boston College,L,41,60,68.3,330,0,16,8,0.5,0,4,2,0,0,0
California,2005-09-03,1,,Sacramento State,W,10,28,35.7,183,2,41,212,5.2,2,4,1,2,2,4
Clemson,2005-09-03,1,,Texas A&M,W,16,24,66.7,213,0,51,183,3.6,0,2,0,0,0,0
Colorado,2005-09-03,1,,Colorado State,W,22,33,66.7,283,0,29,113,3.9,3,4,1,2,1,3
Colorado State,2005-09-03,1,@,Colorado,L,28,43,65.1,291,3,34,95,2.8,1,7,4,0,4,4
Duke,2005-09-03,1,@,East Carolina,L,15,30,50.0,139,0,43,162,3.8,2,6,1,1,3,4
