School,Date,G,Loc,Opponent,WL,Total TD,Points For,Points Difference,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp
Brigham Young,2000-08-26,1,@,Florida State,L,0,3,-26,32,51,62.7,318,2,36,57,1.6,2,1,0,1
Florida State,2000-08-26,1,,Brigham Young,W,4,29,26,18,46,39.1,227,0,24,-2,-0.1,0,0,3,3
Iowa,2000-08-26,1,@,Kansas State,L,1,7,-20,14,28,50.0,250,1,47,178,3.8,2,1,2,3
Kansas State,2000-08-26,1,,Iowa,W,3,27,20,10,26,38.5,76,0,30,80,2.7,1,0,1,1
Louisiana Tech,2000-08-26,1,,Mississippi Valley State,W,9,63,53,14,33,42.4,186,1,36,97,2.7,0,0,2,2
New Mexico,2000-08-26,1,@,Texas Tech,L,0,3,-21,21,47,44.7,186,2,24,69,2.9,0,0,1,1
Texas Tech,2000-08-26,1,,New Mexico,W,3,24,21,6,18,33.3,52,0,52,115,2.2,0,2,1,3
Penn State,2000-08-27,1,N,Southern California,L,0,5,-24,10,20,50.0,87,0,50,164,3.3,1,0,1,1
USC,2000-08-27,1,N,Penn State,W,3,29,24,10,30,33.3,136,0,22,6,0.3,0,0,1,1
Arizona State,2000-08-31,1,@,San Diego State,W,1,10,3,24,57,42.1,219,1,28,100,3.6,0,0,1,1
Auburn,2000-08-31,1,,Wyoming,W,5,35,14,20,36,55.6,213,3,27,29,1.1,0,0,1,1
Baylor,2000-08-31,1,@,North Texas,W,2,20,13,11,20,55.0,159,0,37,106,2.9,1,2,2,4
Marshall,2000-08-31,1,,Southeast Missouri State,W,9,63,56,13,28,46.4,126,1,37,133,3.6,0,1,2,3
Miami (FL),2000-08-31,1,,McNeese State,W,8,61,47,19,33,57.6,212,1,44,197,4.5,1,1,3,4
North Texas,2000-08-31,1,,Baylor,L,1,7,-13,18,30,60.0,218,0,36,107,3.0,1,0,0,0
Northern Illinois,2000-08-31,1,@,Northwestern,L,2,17,-18,16,27,59.3,176,2,57,236,4.1,3,1,0,1
Northwestern,2000-08-31,1,,Northern Illinois,W,5,35,18,20,40,50.0,254,0,34,112,3.3,2,1,2,3
San Diego State,2000-08-31,1,,Arizona State,L,1,7,-3,18,42,42.9,160,1,40,110,2.8,0,0,1,1
Wake Forest,2000-08-31,1,,Appalachian State,L,2,16,-4,19,34,55.9,235,1,50,147,2.9,2,2,2,4
Western Michigan,2000-08-31,1,@,Wisconsin,L,1,7,-12,6,11,54.5,96,0,57,156,2.7,1,0,0,0
Wisconsin,2000-08-31,1,,Western Michigan,W,2,19,12,20,39,51.3,243,1,20,-1,-0.1,0,1,1,2
Wyoming,2000-08-31,1,@,Auburn,L,3,21,-14,12,21,57.1,266,2,45,177,3.9,3,2,0,2
Air Force,2000-09-02,1,,Cal State Northridge,W,7,55,49,15,29,51.7,102,1,32,125,3.9,0,2,1,3
Akron,2000-09-02,1,@,Virginia Tech,L,3,23,-29,9,16,56.3,214,2,48,335,7.0,4,3,1,4
Alabama,2000-09-02,1,@,UCLA,L,3,24,-11,15,27,55.6,225,2,57,171,3.0,3,0,1,1
Arizona,2000-09-02,1,@,Utah,W,2,17,14,21,51,41.2,310,0,39,60,1.5,0,3,2,5
Arkansas,2000-09-02,1,,Missouri State,W,5,38,38,8,20,40.0,51,0,22,47,2.1,0,1,1,2
Arkansas State,2000-09-02,1,@,North Carolina State,L,4,31,-7,29,57,50.9,397,3,35,142,4.1,2,3,0,3
Ball State,2000-09-02,1,@,Florida,L,2,19,-21,23,50,46.0,359,3,34,136,4.0,3,1,0,1
Boise State,2000-09-02,1,@,New Mexico,W,4,31,17,12,26,46.2,122,0,44,156,3.5,2,0,2,2
Boston College,2000-09-02,1,@,West Virginia,L,2,14,-20,7,19,36.8,166,0,53,189,3.6,2,0,0,0
Bowling Green State,2000-09-02,1,@,Michigan,L,1,7,-35,15,19,78.9,265,4,53,289,5.5,2,2,0,2
Brigham Young,2000-09-02,2,@,Virginia,W,5,38,3,13,23,56.5,217,1,42,270,6.4,4,0,1,1
Buffalo,2000-09-02,1,@,Syracuse,L,1,7,-56,6,9,66.7,82,1,50,298,6.0,6,0,1,1
Central Michigan,2000-09-02,1,@,Purdue,L,0,0,-48,26,45,57.8,336,3,40,145,3.6,3,0,0,0
Clemson,2000-09-02,1,,Citadel,W,5,38,38,6,16,37.5,48,0,42,57,1.4,0,1,1,2
Colorado,2000-09-02,1,N,Colorado State,L,3,24,-4,19,30,63.3,327,4,28,65,2.3,0,0,2,2
Colorado State,2000-09-02,1,N,Colorado,W,4,28,4,25,39,64.1,308,1,45,224,5.0,2,0,0,0
Connecticut,2000-09-02,1,@,Eastern Michigan,L,3,25,-7,21,35,60.0,205,1,45,150,3.3,3,2,0,2
Duke,2000-09-02,1,,East Carolina,L,0,0,-38,22,31,71.0,264,1,43,164,3.8,3,1,0,1
East Carolina,2000-09-02,1,@,Duke,W,5,38,38,10,25,40.0,96,0,31,44,1.4,0,0,3,3
Eastern Michigan,2000-09-02,1,,Connecticut,W,4,32,7,23,49,46.9,340,3,25,62,2.5,0,1,1,2
Florida,2000-09-02,1,,Ball State,W,6,40,21,15,27,55.6,181,1,34,85,2.5,0,2,1,3
Fresno State,2000-09-02,1,@,Ohio State,L,1,10,-33,11,20,55.0,166,2,50,223,4.5,0,1,0,1
Georgia,2000-09-02,1,,Georgia Southern,W,4,29,22,10,19,52.6,45,0,54,190,3.5,1,2,0,2
Georgia Tech,2000-09-02,1,,Central Florida,W,3,21,4,16,31,51.6,247,1,26,8,0.3,1,1,1,2
Houston,2000-09-02,1,@,Rice,L,3,27,-3,5,16,31.3,85,0,61,198,3.2,2,2,0,2
Idaho,2000-09-02,1,@,Washington,L,3,20,-24,17,31,54.8,235,1,44,239,5.4,4,0,1,1
Illinois,2000-09-02,1,,Middle Tennessee State,W,5,35,29,25,40,62.5,262,0,35,207,5.9,0,0,2,2
Iowa State,2000-09-02,1,,Ohio,W,3,25,10,9,25,36.0,130,1,41,179,4.4,1,2,2,4
Kansas,2000-09-02,1,@,Southern Methodist,L,2,17,-14,14,25,56.0,164,2,44,151,3.4,2,0,1,1
Kansas State,2000-09-02,2,,Louisiana Tech,W,6,54,44,33,54,61.1,319,1,29,72,2.5,0,1,4,5
Kent State,2000-09-02,1,@,Pittsburgh,L,1,7,-23,13,26,50.0,293,3,32,119,3.7,0,0,0,0
Kentucky,2000-09-02,1,@,Louisville,L,5,34,-6,23,30,76.7,256,3,48,186,3.9,3,4,0,4
Louisiana,2000-09-02,1,,Sam Houston State,L,2,14,-7,17,30,56.7,151,1,35,98,2.8,1,1,1,2
Louisiana Tech,2000-09-02,2,@,Kansas State,L,1,10,-44,13,23,56.5,233,3,41,267,6.5,2,2,0,2
Louisiana-Monroe,2000-09-02,1,@,Minnesota,L,1,10,-37,18,28,64.3,258,3,46,172,3.7,3,0,0,0
Louisville,2000-09-02,1,,Kentucky,W,6,40,6,22,34,64.7,322,3,21,95,4.5,1,2,3,5
LSU,2000-09-02,1,,Western Carolina,W,8,58,58,11,22,50.0,71,0,32,96,3.0,0,1,1,2
Memphis,2000-09-02,1,,Mississippi State,L,0,3,-14,10,20,50.0,82,0,35,45,1.3,2,1,1,2
Miami (OH),2000-09-02,1,@,Vanderbilt,W,4,33,3,18,25,72.0,307,2,32,56,1.8,2,0,0,0
Michigan,2000-09-02,1,,Bowling Green State,W,6,42,35,18,42,42.9,213,1,28,58,2.1,0,0,1,1
Middle Tennessee State,2000-09-02,1,@,Illinois,L,0,6,-29,19,27,70.4,190,3,49,285,5.8,2,0,1,1
