School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
Arizona State,2006-08-31,1,,Northern Arizona,W,2,14
Ball State,2006-08-31,1,,Eastern Michigan,W,2,20
Boise State,2006-08-31,1,,Sacramento State,W,0,0
Boston College,2006-08-31,1,@,Central Michigan,W,3,24
Buffalo,2006-08-31,1,,Temple,W,0,3
Central Michigan,2006-08-31,1,,Boston College,L,4,31
Connecticut,2006-08-31,1,,Rhode Island,W,1,7
Eastern Michigan,2006-08-31,1,@,Ball State,L,5,38
Florida International,2006-08-31,1,@,Middle Tennessee State,L,1,7
Iowa State,2006-08-31,1,,Toledo,W,6,43
Kent State,2006-08-31,1,,Minnesota,L,6,44
Louisiana-Monroe,2006-08-31,1,,Alcorn State,W,0,6
Miami (OH),2006-08-31,1,,Northwestern,L,3,21
Middle Tennessee State,2006-08-31,1,,Florida International,W,1,6
Minnesota,2006-08-31,1,@,Kent State,W,0,0
Mississippi State,2006-08-31,1,,South Carolina,L,1,15
New Mexico State,2006-08-31,1,,Southeastern Louisiana,W,2,15
Northwestern,2006-08-31,1,@,Miami (OH),W,0,3
Oregon State,2006-08-31,1,,Eastern Washington,W,2,17
San Diego State,2006-08-31,1,,Texas-El Paso,L,5,34
South Carolina,2006-08-31,1,@,Mississippi State,W,0,0
Temple,2006-08-31,1,@,Buffalo,L,1,9
Toledo,2006-08-31,1,@,Iowa State,L,6,45
Tulsa,2006-08-31,1,,Stephen F. Austin,W,1,7
UTEP,2006-08-31,1,@,San Diego State,W,3,27
Fresno State,2006-09-01,1,,Nevada,W,3,19
Nevada,2006-09-01,1,@,Fresno State,L,4,28
Akron,2006-09-02,1,@,Penn State,L,4,34
Alabama,2006-09-02,1,,Hawaii,W,2,17
Arizona,2006-09-02,1,,Brigham Young,W,1,13
Arkansas,2006-09-02,1,,Southern California,L,6,50
Arkansas State,2006-09-02,1,,Army,W,0,6
Army,2006-09-02,1,@,Arkansas State,L,2,14
