School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
Brigham Young,2000-08-26,1,@,Florida State,L,4,29
Florida State,2000-08-26,1,,Brigham Young,W,0,3
Iowa,2000-08-26,1,@,Kansas State,L,3,27
Kansas State,2000-08-26,1,,Iowa,W,1,7
Louisiana Tech,2000-08-26,1,,Mississippi Valley State,W,1,10
New Mexico,2000-08-26,1,@,Texas Tech,L,3,24
Texas Tech,2000-08-26,1,,New Mexico,W,0,3
Penn State,2000-08-27,1,N,Southern California,L,3,29
USC,2000-08-27,1,N,Penn State,W,0,5
Arizona State,2000-08-31,1,@,San Diego State,W,1,7
Auburn,2000-08-31,1,,Wyoming,W,3,21
Baylor,2000-08-31,1,@,North Texas,W,1,7
Marshall,2000-08-31,1,,Southeast Missouri State,W,1,7
Miami (FL),2000-08-31,1,,McNeese State,W,2,14
North Texas,2000-08-31,1,,Baylor,L,2,20
Northern Illinois,2000-08-31,1,@,Northwestern,L,5,35
Northwestern,2000-08-31,1,,Northern Illinois,W,2,17
San Diego State,2000-08-31,1,,Arizona State,L,1,10
Wake Forest,2000-08-31,1,,Appalachian State,L,3,20
Western Michigan,2000-08-31,1,@,Wisconsin,L,2,19
Wisconsin,2000-08-31,1,,Western Michigan,W,1,7
Wyoming,2000-08-31,1,@,Auburn,L,5,35
Air Force,2000-09-02,1,,Cal State Northridge,W,1,6
Akron,2000-09-02,1,@,Virginia Tech,L,7,52
Alabama,2000-09-02,1,@,UCLA,L,5,35
Arizona,2000-09-02,1,@,Utah,W,0,3
Arkansas,2000-09-02,1,,Missouri State,W,0,0
Arkansas State,2000-09-02,1,@,North Carolina State,L,5,38
Ball State,2000-09-02,1,@,Florida,L,6,40
Boise State,2000-09-02,1,@,New Mexico,W,2,14
Boston College,2000-09-02,1,@,West Virginia,L,4,34
Bowling Green State,2000-09-02,1,@,Michigan,L,6,42
Brigham Young,2000-09-02,2,@,Virginia,W,5,35
Buffalo,2000-09-02,1,@,Syracuse,L,9,63
Central Michigan,2000-09-02,1,@,Purdue,L,6,48
Clemson,2000-09-02,1,,Citadel,W,0,0
Colorado,2000-09-02,1,N,Colorado State,L,4,28
Colorado State,2000-09-02,1,N,Colorado,W,3,24
Connecticut,2000-09-02,1,@,Eastern Michigan,L,4,32
Duke,2000-09-02,1,,East Carolina,L,5,38
East Carolina,2000-09-02,1,@,Duke,W,0,0
Eastern Michigan,2000-09-02,1,,Connecticut,W,3,25
Florida,2000-09-02,1,,Ball State,W,2,19
Fresno State,2000-09-02,1,@,Ohio State,L,6,43
Georgia,2000-09-02,1,,Georgia Southern,W,1,7
Georgia Tech,2000-09-02,1,,Central Florida,W,2,17
Houston,2000-09-02,1,@,Rice,L,4,30
Idaho,2000-09-02,1,@,Washington,L,6,44
Illinois,2000-09-02,1,,Middle Tennessee State,W,0,6
Iowa State,2000-09-02,1,,Ohio,W,2,15
Kansas,2000-09-02,1,@,Southern Methodist,L,4,31
Kansas State,2000-09-02,2,,Louisiana Tech,W,1,10
Kent State,2000-09-02,1,@,Pittsburgh,L,3,30
Kentucky,2000-09-02,1,@,Louisville,L,6,40
Louisiana,2000-09-02,1,,Sam Houston State,L,3,21
Louisiana Tech,2000-09-02,2,@,Kansas State,L,6,54
Louisiana-Monroe,2000-09-02,1,@,Minnesota,L,6,47
Louisville,2000-09-02,1,,Kentucky,W,5,34
LSU,2000-09-02,1,,Western Carolina,W,0,0
Memphis,2000-09-02,1,,Mississippi State,L,2,17
Miami (OH),2000-09-02,1,@,Vanderbilt,W,4,30
Michigan,2000-09-02,1,,Bowling Green State,W,1,7
Middle Tennessee State,2000-09-02,1,@,Illinois,L,5,35
Minnesota,2000-09-02,1,,Louisiana-Monroe,W,1,10
Mississippi State,2000-09-02,1,@,Memphis,W,0,3
Missouri,2000-09-02,1,,Western Illinois,W,3,20
Navy,2000-09-02,1,,Temple,L,2,17
Nebraska,2000-09-02,1,,San Jose State,W,2,13
Nevada,2000-09-02,1,@,Oregon,L,4,36
New Mexico,2000-09-02,2,,Boise State,L,4,31
New Mexico State,2000-09-02,1,@,South Carolina,L,4,31
North Carolina,2000-09-02,1,,Tulsa,W,1,9
North Carolina State,2000-09-02,1,,Arkansas State,W,4,31
Notre Dame,2000-09-02,1,,Texas A&M,W,1,10
Ohio,2000-09-02,1,@,Iowa State,L,3,25
Ohio State,2000-09-02,1,,Fresno State,W,1,10
Oklahoma,2000-09-02,1,,Texas-El Paso,W,2,14
Ole Miss,2000-09-02,1,,Tulane,W,2,20
Oregon,2000-09-02,1,,Nevada,W,1,7
Oregon State,2000-09-02,1,,Eastern Washington,W,2,19
Penn State,2000-09-02,2,,Toledo,L,3,24
Pitt,2000-09-02,1,,Kent State,W,1,7
Purdue,2000-09-02,1,,Central Michigan,W,0,0
Rice,2000-09-02,1,,Houston,W,3,27
Rutgers,2000-09-02,1,,Villanova,W,3,21
San Jose State,2000-09-02,1,@,Nebraska,L,7,49
SMU,2000-09-02,1,,Kansas,W,2,17
South Carolina,2000-09-02,1,,New Mexico State,W,0,0
South Florida,2000-09-02,1,,Jacksonville State,W,0,0
Southern Mississippi,2000-09-02,1,@,Tennessee,L,2,19
Stanford,2000-09-02,1,@,Washington State,W,1,10
Syracuse,2000-09-02,1,,Buffalo,W,1,7
Temple,2000-09-02,1,@,Navy,W,1,6
Tennessee,2000-09-02,1,,Southern Mississippi,W,2,16
Texas A&M,2000-09-02,1,@,Notre Dame,L,3,24
Texas Tech,2000-09-02,2,,Utah State,W,2,16
Toledo,2000-09-02,1,@,Penn State,W,1,6
Tulane,2000-09-02,1,@,Mississippi,L,7,49
Tulsa,2000-09-02,1,@,North Carolina,L,3,30
UCF,2000-09-02,1,@,Georgia Tech,L,3,21
UCLA,2000-09-02,1,,Alabama,W,3,24
Utah,2000-09-02,1,,Arizona,L,2,17
Utah State,2000-09-02,1,@,Texas Tech,L,5,38
UTEP,2000-09-02,1,@,Oklahoma,L,7,55
Vanderbilt,2000-09-02,1,,Miami (OH),L,4,33
Virginia,2000-09-02,1,,Brigham Young,L,5,38
Virginia Tech,2000-09-02,1,,Akron,W,3,23
Washington,2000-09-02,1,,Idaho,W,3,20
Washington State,2000-09-02,1,,Stanford,L,3,24
West Virginia,2000-09-02,1,,Boston College,W,2,14
Army,2000-09-04,1,@,Cincinnati,L,2,23
Cincinnati,2000-09-04,1,,Army,W,2,17
East Carolina,2000-09-07,2,,Virginia Tech,L,6,45
UAB,2000-09-07,1,,Chattanooga,W,1,15
Virginia Tech,2000-09-07,2,@,East Carolina,W,4,28
Air Force,2000-09-09,2,,Brigham Young,W,2,23
Akron,2000-09-09,2,@,Central Michigan,L,2,17
Alabama,2000-09-09,2,,Vanderbilt,W,1,10
Arizona,2000-09-09,2,,Ohio State,L,3,27
Arkansas State,2000-09-09,2,@,Oklahoma,L,6,45
Army,2000-09-09,2,,Boston College,L,7,55
Auburn,2000-09-09,2,@,Mississippi,W,4,27
Ball State,2000-09-09,2,,Western Illinois,L,3,24
Boise State,2000-09-09,2,,Northern Iowa,W,2,17
Boston College,2000-09-09,2,@,Army,W,2,17
Bowling Green State,2000-09-09,2,,Pittsburgh,L,4,34
Brigham Young,2000-09-09,3,@,Air Force,L,4,31
Buffalo,2000-09-09,2,@,Rutgers,L,8,59
California,2000-09-09,1,,Utah,W,3,21
Central Michigan,2000-09-09,2,,Akron,W,1,7
Cincinnati,2000-09-09,2,,Syracuse,W,1,10
Clemson,2000-09-09,2,,Missouri,W,1,9
Colorado,2000-09-09,2,@,Southern California,L,2,17
Colorado State,2000-09-09,2,,East Tennessee State,W,1,7
Connecticut,2000-09-09,2,,Colgate,W,1,7
Duke,2000-09-09,2,@,Northwestern,L,5,38
Eastern Michigan,2000-09-09,2,,Miami (OH),L,4,34
Florida,2000-09-09,2,,Middle Tennessee State,W,0,0
Florida State,2000-09-09,2,@,Georgia Tech,W,3,21
Fresno State,2000-09-09,2,@,UCLA,L,3,24
Georgia,2000-09-09,2,@,South Carolina,L,3,21
Georgia Tech,2000-09-09,2,,Florida State,L,3,26
Hawaii,2000-09-09,1,,Portland State,L,6,45
Houston,2000-09-09,2,@,Louisiana State,L,4,28
Idaho,2000-09-09,2,,Montana,L,6,45
Illinois,2000-09-09,2,@,San Diego State,W,1,13
Indiana,2000-09-09,1,,North Carolina State,L,5,41
Iowa,2000-09-09,2,,Western Michigan,L,3,27
Iowa State,2000-09-09,2,,Nevada-Las Vegas,W,3,22
Kent State,2000-09-09,2,@,Purdue,L,6,45
Kentucky,2000-09-09,2,,South Florida,W,1,9
Louisiana,2000-09-09,2,@,Texas,L,7,52
Louisiana Tech,2000-09-09,3,@,Penn State,L,9,67
Louisiana-Monroe,2000-09-09,2,@,Memphis,L,4,28
Louisville,2000-09-09,2,,Grambling State,W,0,0
LSU,2000-09-09,2,,Houston,W,2,13
Marshall,2000-09-09,2,@,Michigan State,L,4,34
Maryland,2000-09-09,1,,Temple,W,1,10
Memphis,2000-09-09,2,,Louisiana-Monroe,W,0,0
Miami (FL),2000-09-09,2,@,Washington,L,5,34
Miami (OH),2000-09-09,2,@,Eastern Michigan,W,2,17
Michigan,2000-09-09,2,,Rice,W,1,7
Michigan State,2000-09-09,1,,Marshall,W,3,24
Middle Tennessee State,2000-09-09,2,@,Florida,L,7,55
Minnesota,2000-09-09,2,,Ohio,L,3,23
Missouri,2000-09-09,2,@,Clemson,L,9,62
Nebraska,2000-09-09,2,@,Notre Dame,W,3,24
Nevada,2000-09-09,2,,Texas Christian,L,6,41
New Mexico,2000-09-09,3,,Oregon State,L,4,28
North Carolina,2000-09-09,2,@,Wake Forest,W,2,14
North Carolina State,2000-09-09,2,@,Indiana,W,5,38
North Texas,2000-09-09,2,@,Texas Tech,L,1,13
Northern Illinois,2000-09-09,2,,Illinois State,W,0,0
Northwestern,2000-09-09,2,,Duke,W,0,5
Notre Dame,2000-09-09,2,,Nebraska,L,4,27
Ohio,2000-09-09,2,@,Minnesota,W,2,17
Ohio State,2000-09-09,2,@,Arizona,W,2,17
Oklahoma,2000-09-09,2,,Arkansas State,W,1,7
Oklahoma State,2000-09-09,1,@,Tulsa,W,3,26
Ole Miss,2000-09-09,2,,Auburn,L,5,35
Oregon,2000-09-09,2,@,Wisconsin,L,4,27
Oregon State,2000-09-09,2,@,New Mexico,W,3,20
Penn State,2000-09-09,3,,Louisiana Tech,W,1,7
Pitt,2000-09-09,2,@,Bowling Green State,W,2,16
Purdue,2000-09-09,2,,Kent State,W,1,10
Rice,2000-09-09,2,@,Michigan,L,5,38
Rutgers,2000-09-09,2,,Buffalo,W,0,0
San Diego State,2000-09-09,2,,Illinois,L,7,49
San Jose State,2000-09-09,2,@,Stanford,W,4,27
SMU,2000-09-09,2,@,Texas-El Paso,L,4,37
