School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
Ball State,2009-09-03,1,,North Texas,L,2,20
Boise State,2009-09-03,1,,Oregon,W,1,8
Bowling Green State,2009-09-03,1,,Troy,W,2,14
Indiana,2009-09-03,1,,Eastern Kentucky,W,1,13
Iowa State,2009-09-03,1,,North Dakota State,W,2,17
Kent State,2009-09-03,1,,Coastal Carolina,W,0,0
North Carolina State,2009-09-03,1,,South Carolina,L,1,7
North Texas,2009-09-03,1,@,Ball State,W,1,10
Oregon,2009-09-03,1,@,Boise State,L,2,19
South Carolina,2009-09-03,1,@,North Carolina State,W,0,3
Temple,2009-09-03,1,,Villanova,L,3,27
Troy,2009-09-03,1,@,Bowling Green State,L,4,31
Utah,2009-09-03,1,,Utah State,W,2,17
Utah State,2009-09-03,1,@,Utah,L,4,35
Hawaii,2009-09-04,1,,Central Arkansas,W,3,20
Tulane,2009-09-04,1,,Tulsa,L,4,37
Tulsa,2009-09-04,1,@,Tulane,W,1,13
Air Force,2009-09-05,1,,Nicholls State,W,0,0
Akron,2009-09-05,1,@,Penn State,L,4,31
Alabama,2009-09-05,1,N,Virginia Tech,W,3,24
Arizona,2009-09-05,1,,Central Michigan,W,1,6
Arizona State,2009-09-05,1,,Idaho State,W,0,3
Arkansas,2009-09-05,1,,Missouri State,W,1,10
Arkansas State,2009-09-05,1,,Mississippi Valley State,W,0,0
Army,2009-09-05,1,@,Eastern Michigan,W,2,14
Auburn,2009-09-05,1,,Louisiana Tech,W,1,13
Baylor,2009-09-05,1,@,Wake Forest,W,3,21
Boston College,2009-09-05,1,,Northeastern,W,0,0
Brigham Young,2009-09-05,1,N,Oklahoma,W,1,13
Buffalo,2009-09-05,1,@,Texas-El Paso,W,2,17
California,2009-09-05,1,,Maryland,W,1,13
Central Michigan,2009-09-05,1,@,Arizona,L,1,19
Clemson,2009-09-05,1,,Middle Tennessee State,W,2,14
Connecticut,2009-09-05,1,@,Ohio,W,2,16
Duke,2009-09-05,1,,Richmond,L,3,24
East Carolina,2009-09-05,1,,Appalachian State,W,3,24
Eastern Michigan,2009-09-05,1,,Army,L,4,27
Florida,2009-09-05,1,,Charleston Southern,W,0,3
Florida Atlantic,2009-09-05,1,@,Nebraska,L,7,49
Fresno State,2009-09-05,1,,California-Davis,W,0,0
