School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
Miami (OH),2004-08-28,1,,Indiana State,W,0,0
USC,2004-08-28,1,N,Virginia Tech,W,1,13
Virginia Tech,2004-08-28,1,N,Southern California,L,3,24
Arizona State,2004-09-02,1,,Texas-El Paso,W,1,9
Ball State,2004-09-02,1,,Boston College,L,3,19
Boston College,2004-09-02,1,@,Ball State,W,0,11
Buffalo,2004-09-02,1,@,Eastern Michigan,L,4,37
Eastern Michigan,2004-09-02,1,,Buffalo,W,5,34
Northwestern,2004-09-02,1,@,Texas Christian,L,6,48
Texas A&M,2004-09-02,1,@,Utah,L,6,41
Texas Christian,2004-09-02,1,,Northwestern,W,6,45
Utah,2004-09-02,1,,Texas A&M,W,3,21
UTEP,2004-09-02,1,@,Arizona State,L,5,41
Western Michigan,2004-09-02,1,,Tennessee-Martin,W,0,0
New Mexico,2004-09-03,1,,Washington State,L,3,21
Washington State,2004-09-03,1,@,New Mexico,W,2,17
Air Force,2004-09-04,1,,California,L,8,56
Akron,2004-09-04,1,@,Penn State,L,7,48
Alabama,2004-09-04,1,,Utah State,W,2,17
Arizona,2004-09-04,1,,Northern Arizona,W,0,3
Arkansas,2004-09-04,1,,New Mexico State,W,2,13
Arkansas State,2004-09-04,1,@,Missouri,L,7,52
Auburn,2004-09-04,1,,Louisiana-Monroe,W,0,0
Baylor,2004-09-04,1,@,Alabama-Birmingham,L,8,56
Boise State,2004-09-04,1,,Idaho,W,1,7
Bowling Green State,2004-09-04,1,@,Oklahoma,L,5,40
Brigham Young,2004-09-04,1,,Notre Dame,W,2,17
California,2004-09-04,1,@,Air Force,W,2,14
Central Michigan,2004-09-04,1,@,Indiana,L,6,41
Cincinnati,2004-09-04,1,@,Ohio State,L,3,27
Clemson,2004-09-04,1,,Wake Forest,W,3,30
Colorado,2004-09-04,1,,Colorado State,W,3,24
Colorado State,2004-09-04,1,@,Colorado,L,3,27
Connecticut,2004-09-04,1,,Murray State,W,2,14
Duke,2004-09-04,1,@,Navy,L,4,27
East Carolina,2004-09-04,1,@,West Virginia,L,8,56
Florida A&M,2004-09-04,1,@,Illinois,L,7,52
Florida Atlantic,2004-09-04,1,@,Hawaii,W,4,28
Georgia,2004-09-04,1,,Georgia Southern,W,4,28
Georgia Tech,2004-09-04,1,,Samford,W,1,7
Hawaii,2004-09-04,1,,Florida Atlantic,L,4,35
Idaho,2004-09-04,1,@,Boise State,L,9,65
Illinois,2004-09-04,1,,Florida A&M,W,2,13
Indiana,2004-09-04,1,,Central Michigan,W,1,10
Iowa,2004-09-04,1,,Kent State,W,1,7
Iowa State,2004-09-04,1,,Northern Iowa,W,0,0
Kansas,2004-09-04,1,,Tulsa,W,0,3
Kansas State,2004-09-04,1,,Western Kentucky,W,2,13
Kent State,2004-09-04,1,@,Iowa,L,5,39
Louisiana,2004-09-04,1,,Northwestern State,W,1,7
Louisiana-Monroe,2004-09-04,1,@,Auburn,L,4,31
LSU,2004-09-04,1,,Oregon State,W,3,21
Marshall,2004-09-04,1,,Troy,L,2,17
Maryland,2004-09-04,1,,Northern Illinois,W,2,20
Memphis,2004-09-04,1,@,Mississippi,W,1,13
Miami (OH),2004-09-04,2,@,Michigan,L,6,43
Michigan,2004-09-04,1,,Miami (OH),W,1,10
Michigan State,2004-09-04,1,@,Rutgers,L,1,19
Minnesota,2004-09-04,1,,Toledo,W,3,21
Mississippi State,2004-09-04,1,,Tulane,W,1,7
Missouri,2004-09-04,1,,Arkansas State,W,2,20
Navy,2004-09-04,1,,Duke,W,1,12
Nebraska,2004-09-04,1,,Western Illinois,W,2,17
New Mexico State,2004-09-04,1,@,Arkansas,L,9,63
North Carolina,2004-09-04,1,,William & Mary,W,5,38
North Carolina State,2004-09-04,1,,Richmond,W,0,0
North Texas,2004-09-04,1,@,Texas,L,8,65
Northern Illinois,2004-09-04,1,@,Maryland,L,2,23
Notre Dame,2004-09-04,1,@,Brigham Young,L,2,20
Ohio,2004-09-04,1,,Virginia Military Institute,W,2,14
Ohio State,2004-09-04,1,,Cincinnati,W,0,6
Oklahoma,2004-09-04,1,,Bowling Green State,W,3,24
Oklahoma State,2004-09-04,1,@,UCLA,W,2,20
Ole Miss,2004-09-04,1,,Memphis,L,2,20
Oregon State,2004-09-04,1,@,Louisiana State,L,3,22
Penn State,2004-09-04,1,,Akron,W,1,10
Rutgers,2004-09-04,1,,Michigan State,W,2,14
San Diego State,2004-09-04,1,,Idaho State,W,3,21
San Jose State,2004-09-04,1,@,Stanford,L,6,43
SMU,2004-09-04,1,,Texas Tech,L,4,27
South Carolina,2004-09-04,1,@,Vanderbilt,W,1,6
Stanford,2004-09-04,1,,San Jose State,W,0,3
Temple,2004-09-04,1,,Virginia,L,6,44
Texas,2004-09-04,1,,North Texas,W,0,0
Texas Tech,2004-09-04,1,@,Southern Methodist,W,1,13
Toledo,2004-09-04,1,@,Minnesota,L,9,63
Troy,2004-09-04,1,@,Marshall,W,1,15
Tulane,2004-09-04,1,@,Mississippi State,L,4,28
Tulsa,2004-09-04,1,@,Kansas,L,2,21
UAB,2004-09-04,1,,Baylor,W,2,14
UCF,2004-09-04,1,@,Wisconsin,L,4,34
UCLA,2004-09-04,1,,Oklahoma State,L,4,31
Utah State,2004-09-04,1,@,Alabama,L,6,48
Vanderbilt,2004-09-04,1,,South Carolina,L,4,31
Virginia,2004-09-04,1,@,Temple,W,2,14
Wake Forest,2004-09-04,1,@,Clemson,L,4,37
West Virginia,2004-09-04,1,,East Carolina,W,3,23
Wisconsin,2004-09-04,1,,Central Florida,W,0,6
Wyoming,2004-09-04,1,,Appalachian State,W,1,7
Fresno State,2004-09-05,1,@,Washington,W,2,16
Houston,2004-09-05,1,N,Rice,L,1,10
Kentucky,2004-09-05,1,@,Louisville,L,4,28
Louisville,2004-09-05,1,,Kentucky,W,0,0
Purdue,2004-09-05,1,,Syracuse,W,0,0
Rice,2004-09-05,1,N,Houston,W,1,7
Syracuse,2004-09-05,1,@,Purdue,L,7,51
Tennessee,2004-09-05,1,,Nevada-Las Vegas,W,2,17
UNLV,2004-09-05,1,@,Tennessee,L,6,42
Washington,2004-09-05,1,,Fresno State,L,5,35
Louisiana Tech,2004-09-06,1,,Nevada,W,3,21
Nevada,2004-09-06,1,@,Louisiana Tech,L,5,38
Missouri,2004-09-09,2,@,Troy,L,3,24
Troy,2004-09-09,2,,Missouri,W,2,14
Boise State,2004-09-10,2,,Oregon State,W,5,34
Florida State,2004-09-10,1,@,Miami (FL),L,2,16
Miami (FL),2004-09-10,1,,Florida State,W,1,10
Oregon State,2004-09-10,2,@,Boise State,L,6,53
Air Force,2004-09-11,2,,Eastern Washington,W,3,20
Akron,2004-09-11,2,,Middle Tennessee State,L,4,31
Alabama,2004-09-11,2,,Mississippi,W,1,7
Arizona,2004-09-11,2,,Utah,L,3,23
Arizona State,2004-09-11,2,@,Northwestern,W,3,21
Arkansas,2004-09-11,2,,Texas,L,3,22
