School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
Akron,2012-08-30,1,,Central Florida,L,8,56
Arizona State,2012-08-30,1,,Northern Arizona,W,1,6
Ball State,2012-08-30,1,,Eastern Michigan,W,4,26
Brigham Young,2012-08-30,1,,Washington State,W,0,6
Central Michigan,2012-08-30,1,,Southeast Missouri State,W,3,27
Connecticut,2012-08-30,1,,Massachusetts,W,0,0
Eastern Michigan,2012-08-30,1,@,Ball State,L,4,37
Idaho,2012-08-30,1,,Eastern Washington,L,2,20
Kent State,2012-08-30,1,,Towson,W,3,21
Massachusetts,2012-08-30,1,@,Connecticut,L,4,37
Middle Tennessee State,2012-08-30,1,,McNeese State,L,3,27
Minnesota,2012-08-30,1,@,Nevada-Las Vegas,W,3,27
New Mexico State,2012-08-30,1,,Sacramento State,W,2,19
Rice,2012-08-30,1,,UCLA,L,7,49
South Carolina,2012-08-30,1,@,Vanderbilt,W,1,13
UCF,2012-08-30,1,@,Akron,W,2,14
UCLA,2012-08-30,1,@,Rice,W,3,24
UNLV,2012-08-30,1,,Minnesota,L,3,30
Utah,2012-08-30,1,,Northern Colorado,W,0,0
Utah State,2012-08-30,1,,Southern Utah,W,0,3
Vanderbilt,2012-08-30,1,,South Carolina,L,2,17
Washington State,2012-08-30,1,@,Brigham Young,L,3,30
Boise State,2012-08-31,1,@,Michigan State,L,2,17
Florida Atlantic,2012-08-31,1,,Wagner,W,0,3
Michigan State,2012-08-31,1,,Boise State,W,1,13
North Carolina State,2012-08-31,1,N,Tennessee,L,4,35
San Jose State,2012-08-31,1,@,Stanford,L,2,20
Stanford,2012-08-31,1,,San Jose State,W,2,17
Temple,2012-08-31,1,,Villanova,W,1,10
Tennessee,2012-08-31,1,N,North Carolina State,W,3,21
Air Force,2012-09-01,1,,Idaho State,W,3,21
Alabama,2012-09-01,1,N,Michigan,W,2,14
Arizona,2012-09-01,1,,Toledo,W,2,17
Arkansas,2012-09-01,1,,Jacksonville State,W,3,24
Arkansas State,2012-09-01,1,@,Oregon,L,8,57
Auburn,2012-09-01,1,N,Clemson,L,2,26
Boston College,2012-09-01,1,,Miami (FL),L,5,41
Bowling Green State,2012-09-01,1,@,Florida,L,3,27
Buffalo,2012-09-01,1,@,Georgia,L,6,45
California,2012-09-01,1,,Nevada,L,4,31
Clemson,2012-09-01,1,N,Auburn,W,1,19
Colorado,2012-09-01,1,N,Colorado State,L,2,22
Colorado State,2012-09-01,1,N,Colorado,W,2,17
Duke,2012-09-01,1,,Florida International,W,4,26
East Carolina,2012-09-01,1,,Appalachian State,W,1,13
Florida,2012-09-01,1,,Bowling Green State,W,2,14
Florida International,2012-09-01,1,@,Duke,L,6,46
Florida State,2012-09-01,1,,Murray State,W,0,3
Fresno State,2012-09-01,1,,Weber State,W,1,10
Georgia,2012-09-01,1,,Buffalo,W,3,23
Hawaii,2012-09-01,1,@,Southern California,L,7,49
Houston,2012-09-01,1,,Texas State,L,3,30
Illinois,2012-09-01,1,,Western Michigan,W,1,7
Indiana,2012-09-01,1,,Indiana State,W,2,17
Iowa,2012-09-01,1,@,Northern Illinois,W,2,17
Iowa State,2012-09-01,1,,Tulsa,W,3,23
Kansas,2012-09-01,1,,South Dakota State,W,2,17
Kansas State,2012-09-01,1,,Missouri State,W,0,9
Louisiana,2012-09-01,1,,Lamar,W,0,0
LSU,2012-09-01,1,,North Texas,W,2,14
Marshall,2012-09-01,1,@,West Virginia,L,10,69
Maryland,2012-09-01,1,,William & Mary,W,0,6
Memphis,2012-09-01,1,,Tennessee-Martin,L,2,20
Miami (FL),2012-09-01,1,@,Boston College,W,3,32
Miami (OH),2012-09-01,1,@,Ohio State,L,8,56
Michigan,2012-09-01,1,N,Alabama,L,5,41
Mississippi State,2012-09-01,1,,Jackson State,W,1,9
Missouri,2012-09-01,1,,Southeastern Louisiana,W,1,10
Navy,2012-09-01,1,N,Notre Dame,L,7,50
Nebraska,2012-09-01,1,,Southern Mississippi,W,2,20
Nevada,2012-09-01,1,@,California,W,3,24
New Mexico,2012-09-01,1,,Southern,W,3,21
North Carolina,2012-09-01,1,,Elon,W,0,0
North Texas,2012-09-01,1,@,Louisiana State,L,5,41
Northern Illinois,2012-09-01,1,,Iowa,L,1,18
Northwestern,2012-09-01,1,@,Syracuse,W,5,41
Notre Dame,2012-09-01,1,N,Navy,W,1,10
Ohio,2012-09-01,1,@,Penn State,W,2,14
Ohio State,2012-09-01,1,,Miami (OH),W,1,10
Oklahoma,2012-09-01,1,@,Texas-El Paso,W,1,7
Oklahoma State,2012-09-01,1,,Savannah State,W,0,0
Ole Miss,2012-09-01,1,,Central Arkansas,W,4,27
Oregon,2012-09-01,1,,Arkansas State,W,4,34
Penn State,2012-09-01,1,,Ohio,L,3,24
