School,Date,G,Loc,Opponent,WL,Total TD,Points For,Points Difference,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp
Arizona,2019-08-24,1,@,Hawaii,L,5,38,-7,34,48,70.8,436,5,30,159,5.3,1,2,4,6
Florida,2019-08-24,1,N,Miami (FL),W,3,24,4,19,30,63.3,214,1,36,94,2.6,1,1,0,1
Hawaii,2019-08-24,1,,Arizona,W,6,45,7,22,39,56.4,361,3,32,178,5.6,2,0,2,2
Miami (FL),2019-08-24,1,N,Florida,L,2,20,-4,17,27,63.0,254,2,27,52,1.9,1,2,2,4
Arizona State,2019-08-29,1,,Kent State,W,3,30,23,12,24,50.0,80,1,40,120,3.0,0,2,0,2
Bowling Green State,2019-08-29,1,,Morgan State,W,6,46,43,3,9,33.3,24,0,31,46,1.5,0,1,0,1
Brigham Young,2019-08-29,1,,Utah,L,1,12,-18,13,16,81.3,106,0,48,262,5.5,2,0,0,0
Buffalo,2019-08-29,1,,Robert Morris,W,5,38,28,7,9,77.8,92,0,45,148,3.3,1,1,0,1
Central Michigan,2019-08-29,1,,Albany,W,5,38,17,15,29,51.7,199,2,22,45,2.0,0,1,0,1
Charlotte,2019-08-29,1,,Gardner-Webb,W,7,49,21,6,17,35.3,60,0,35,159,4.5,3,1,0,1
Cincinnati,2019-08-29,1,,UCLA,W,3,24,10,8,26,30.8,156,2,36,62,1.7,0,2,2,4
Clemson,2019-08-29,1,,Georgia Tech,W,7,52,38,7,18,38.9,137,1,45,157,3.5,1,2,2,4
Connecticut,2019-08-29,1,,Wagner,W,3,24,3,12,23,52.2,82,0,21,103,4.9,2,0,0,0
Florida International,2019-08-29,1,@,Tulane,L,2,14,-28,15,19,78.9,195,2,49,350,7.1,4,1,0,1
Georgia Tech,2019-08-29,1,@,Clemson,L,2,14,-38,18,30,60.0,221,2,49,411,8.4,5,1,2,3
Kent State,2019-08-29,1,@,Arizona State,L,1,7,-23,15,24,62.5,284,2,46,171,3.7,1,1,0,1
Minnesota,2019-08-29,1,,South Dakota State,W,4,28,7,13,26,50.0,193,1,34,174,5.1,2,1,1,2
San Jose State,2019-08-29,1,,Northern Colorado,W,5,35,17,26,44,59.1,177,1,41,110,2.7,0,0,2,2
Texas A&M,2019-08-29,1,,Texas State,W,5,41,34,29,46,63.0,211,1,15,8,0.5,0,0,4,4
Texas State,2019-08-29,1,@,Texas A&M,L,1,7,-34,23,36,63.9,232,3,36,246,6.8,2,1,1,2
Tulane,2019-08-29,1,,Florida International,W,6,42,28,19,34,55.9,208,1,26,59,2.3,1,1,1,2
UAB,2019-08-29,1,,Alabama State,W,3,24,5,19,32,59.4,115,2,32,145,4.5,1,1,1,2
