School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
Colorado State,2018-08-25,1,,Hawaii,L,5,43
Hawaii,2018-08-25,1,@,Colorado State,W,5,34
Massachusetts,2018-08-25,1,,Duquesne,W,2,15
New Mexico State,2018-08-25,1,,Wyoming,L,3,29
Rice,2018-08-25,1,,Prairie View A&M,W,4,28
Wyoming,2018-08-25,1,@,New Mexico State,W,1,7
Ball State,2018-08-30,1,,Central Connecticut State,W,1,6
Connecticut,2018-08-30,1,,Central Florida,L,8,56
Georgia State,2018-08-30,1,,Kennesaw State,W,2,20
Louisiana-Monroe,2018-08-30,1,,Southeastern Louisiana,W,4,31
Minnesota,2018-08-30,1,,New Mexico State,W,1,10
New Mexico State,2018-08-30,2,@,Minnesota,L,6,48
Northwestern,2018-08-30,1,@,Purdue,W,3,27
Oklahoma State,2018-08-30,1,,Missouri State,W,2,17
Purdue,2018-08-30,1,,Northwestern,L,4,31
San Jose State,2018-08-30,1,,California-Davis,L,6,44
Texas A&M,2018-08-30,1,,Northwestern State,W,1,7
Tulane,2018-08-30,1,,Wake Forest,L,3,23
UAB,2018-08-30,1,,Savannah State,W,0,0
UCF,2018-08-30,1,@,Connecticut,W,2,17
Utah,2018-08-30,1,,Weber State,W,1,10
Wake Forest,2018-08-30,1,@,Tulane,W,2,17
Army,2018-08-31,1,@,Duke,L,4,34
Colorado,2018-08-31,1,N,Colorado State,W,1,13
Colorado State,2018-08-31,2,N,Colorado,L,6,45
Duke,2018-08-31,1,,Army,W,2,14
Eastern Michigan,2018-08-31,1,,Monmouth,W,2,17
Michigan State,2018-08-31,1,,Utah State,W,4,31
Nevada,2018-08-31,1,,Portland State,W,2,19
San Diego State,2018-08-31,1,@,Stanford,L,4,31
Stanford,2018-08-31,1,,San Diego State,W,1,10
Syracuse,2018-08-31,1,@,Western Michigan,W,6,42
Utah State,2018-08-31,1,@,Michigan State,L,4,38
Western Kentucky,2018-08-31,1,@,Wisconsin,L,4,34
Western Michigan,2018-08-31,1,,Syracuse,L,7,55
Wisconsin,2018-08-31,1,,Western Kentucky,W,0,3
Air Force,2018-09-01,1,,Stony Brook,W,0,0
Alabama,2018-09-01,1,N,Louisville,W,2,14
Appalachian State,2018-09-01,1,@,Penn State,L,6,45
Arizona,2018-09-01,1,,Brigham Young,L,4,28
Arizona State,2018-09-01,1,,Texas-San Antonio,W,1,7
Arkansas,2018-09-01,1,,Eastern Illinois,W,3,20
Arkansas State,2018-09-01,1,,Southeast Missouri State,W,3,21
