School,Date,G,Loc,Opponent,WL,Total TD,Points For,Points Difference,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp
Louisville,2001-08-23,1,,New Mexico State,W,6,45,21,8,16,50.0,137,1,68,407,6.0,2,4,0,4
New Mexico State,2001-08-23,1,@,Louisville,L,3,24,-21,18,32,56.3,272,3,30,101,3.4,1,1,1,2
Brigham Young,2001-08-25,1,,Tulane,W,10,70,35,23,49,46.9,289,3,43,219,5.1,2,0,1,1
Nebraska,2001-08-25,1,,Texas Christian,W,3,21,14,11,22,50.0,130,1,28,56,2.0,0,1,0,1
North Carolina,2001-08-25,1,@,Oklahoma,L,4,27,-14,21,31,67.7,178,0,33,108,3.3,2,0,1,1
Oklahoma,2001-08-25,1,,North Carolina,W,5,41,14,17,41,41.5,226,2,35,64,1.8,0,4,1,5
Texas Christian,2001-08-25,1,@,Nebraska,L,1,7,-14,10,18,55.6,151,0,50,159,3.2,3,1,1,2
Tulane,2001-08-25,1,@,Brigham Young,L,5,35,-35,27,33,81.8,297,3,49,437,8.9,7,1,0,1
Virginia,2001-08-25,1,@,Wisconsin,L,2,17,-9,10,24,41.7,191,2,51,228,4.5,1,0,1,1
Wisconsin,2001-08-25,1,,Virginia,W,3,26,9,13,32,40.6,178,2,33,128,3.9,0,1,2,3
Colorado,2001-08-26,1,,Fresno State,L,3,22,-2,21,36,58.3,198,1,35,89,2.5,2,0,0,0
Fresno State,2001-08-26,1,@,Colorado,W,3,24,2,31,51,60.8,346,2,31,66,2.1,0,3,2,5
Georgia Tech,2001-08-26,1,N,Syracuse,W,1,13,6,19,32,59.4,183,0,26,59,2.3,1,0,1,1
Syracuse,2001-08-26,1,N,Georgia Tech,L,1,7,-6,15,26,57.7,224,0,46,125,2.7,1,0,0,0
Akron,2001-08-30,1,,Ohio,W,4,31,2,9,11,81.8,104,0,60,339,5.7,3,0,0,0
Arizona,2001-08-30,1,@,San Diego State,W,3,23,13,18,38,47.4,160,0,29,41,1.4,1,3,0,3
Arkansas,2001-08-30,1,,Nevada-Las Vegas,W,2,14,4,4,16,25.0,40,1,54,258,4.8,0,1,3,4
Buffalo,2001-08-30,1,,Rutgers,L,2,15,-16,11,23,47.8,157,2,45,196,4.4,1,1,2,3
Central Michigan,2001-08-30,1,,Eastern Kentucky,W,5,42,14,11,25,44.0,129,1,48,224,4.7,3,2,1,3
Idaho,2001-08-30,1,@,Washington State,L,1,7,-29,19,32,59.4,303,3,49,241,4.9,1,1,0,1
Middle Tennessee State,2001-08-30,1,@,Vanderbilt,W,5,37,9,13,32,40.6,300,2,28,177,6.3,2,0,0,0
Minnesota,2001-08-30,1,@,Toledo,L,1,7,-31,17,25,68.0,149,1,50,363,7.3,4,1,0,1
Navy,2001-08-30,1,@,Temple,L,3,26,-19,15,22,68.2,175,3,54,285,5.3,2,1,1,2
Northern Illinois,2001-08-30,1,,South Florida,W,2,20,3,17,32,53.1,223,2,30,51,1.7,0,1,0,1
Ohio,2001-08-30,1,@,Akron,L,3,29,-2,19,24,79.2,217,0,46,290,6.3,4,2,0,2
Rutgers,2001-08-30,1,@,Buffalo,W,4,31,16,21,40,52.5,180,1,25,55,2.2,0,0,2,2
San Diego State,2001-08-30,1,,Arizona,L,1,10,-13,21,32,65.6,176,1,37,55,1.5,1,0,1,1
South Florida,2001-08-30,1,@,Northern Illinois,L,2,17,-3,20,36,55.6,144,1,47,200,4.3,1,1,0,1
Temple,2001-08-30,1,,Navy,W,6,45,19,15,30,50.0,210,2,31,49,1.6,1,0,1,1
Toledo,2001-08-30,1,,Minnesota,W,5,38,31,22,35,62.9,187,0,30,103,3.4,1,1,0,1
Tulsa,2001-08-30,1,,Indiana State,W,7,51,51,4,15,26.7,20,0,30,49,1.6,0,2,1,3
UAB,2001-08-30,1,,Montana State,W,5,41,28,19,42,45.2,156,0,17,-1,-0.1,0,0,2,2
UNLV,2001-08-30,1,@,Arkansas,L,1,10,-4,12,32,37.5,89,0,26,25,1.0,1,3,1,4
Vanderbilt,2001-08-30,1,,Middle Tennessee State,L,4,28,-9,27,36,75.0,308,0,52,300,5.8,5,1,0,1
Washington State,2001-08-30,1,,Idaho,W,4,36,29,14,30,46.7,72,1,24,74,3.1,0,0,0,0
Western Michigan,2001-08-30,1,,Illinois State,W,7,48,41,17,30,56.7,139,1,37,92,2.5,0,0,0,0
