School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
Arizona State,2011-09-01,1,,California-Davis,W,2,14
Bowling Green State,2011-09-01,1,@,Idaho,W,2,15
Central Michigan,2011-09-01,1,,South Carolina State,W,0,6
Florida International,2011-09-01,1,,North Texas,W,2,16
Georgia Tech,2011-09-01,1,,Western Carolina,W,3,21
Idaho,2011-09-01,1,,Bowling Green State,L,4,32
Kentucky,2011-09-01,1,N,Western Kentucky,W,0,3
Louisville,2011-09-01,1,,Murray State,W,1,9
Memphis,2011-09-01,1,,Mississippi State,L,8,59
Mississippi State,2011-09-01,1,@,Memphis,W,2,14
North Texas,2011-09-01,1,@,Florida International,L,5,41
Rutgers,2011-09-01,1,,North Carolina Central,W,0,0
Syracuse,2011-09-01,1,,Wake Forest,W,3,29
Temple,2011-09-01,1,,Villanova,W,1,7
Toledo,2011-09-01,1,,New Hampshire,W,3,22
UNLV,2011-09-01,1,@,Wisconsin,L,7,51
Utah,2011-09-01,1,,Montana State,W,1,10
Wake Forest,2011-09-01,1,@,Syracuse,L,5,36
Western Kentucky,2011-09-01,1,N,Kentucky,L,2,14
Wisconsin,2011-09-01,1,,Nevada-Las Vegas,W,2,17
Baylor,2011-09-02,1,,Texas Christian,W,6,48
Michigan State,2011-09-02,1,,Youngstown State,W,1,6
Texas Christian,2011-09-02,1,@,Baylor,L,7,50
Air Force,2011-09-03,1,,South Dakota,W,3,20
Akron,2011-09-03,1,@,Ohio State,L,6,42
Alabama,2011-09-03,1,,Kent State,W,1,7
Arizona,2011-09-03,1,,Northern Arizona,W,1,10
Arkansas,2011-09-03,1,,Missouri State,W,1,7
Arkansas State,2011-09-03,1,@,Illinois,L,4,33
Army,2011-09-03,1,@,Northern Illinois,L,7,49
Auburn,2011-09-03,1,,Utah State,W,5,38
Ball State,2011-09-03,1,N,Indiana,W,2,20
Boise State,2011-09-03,1,@,Georgia,W,3,21
Boston College,2011-09-03,1,,Northwestern,L,3,24
Brigham Young,2011-09-03,1,@,Mississippi,W,1,13
Buffalo,2011-09-03,1,@,Pittsburgh,L,5,35
California,2011-09-03,1,N,Fresno State,W,3,21
Cincinnati,2011-09-03,1,,Austin Peay,W,1,10
Clemson,2011-09-03,1,,Troy,W,2,19
Colorado,2011-09-03,1,@,Hawaii,L,4,34
Colorado State,2011-09-03,1,@,New Mexico,W,1,10
Connecticut,2011-09-03,1,,Fordham,W,0,3
Duke,2011-09-03,1,,Richmond,L,3,23
East Carolina,2011-09-03,1,N,South Carolina,L,8,56
Florida,2011-09-03,1,,Florida Atlantic,W,0,3
Florida Atlantic,2011-09-03,1,@,Florida,L,5,41
Florida State,2011-09-03,1,,Louisiana-Monroe,W,0,0
Fresno State,2011-09-03,1,N,California,L,5,36
Georgia,2011-09-03,1,,Boise State,L,5,35
Hawaii,2011-09-03,1,,Colorado,W,2,17
Houston,2011-09-03,1,,UCLA,W,5,34
Illinois,2011-09-03,1,,Arkansas State,W,1,15
Indiana,2011-09-03,1,N,Ball State,L,3,27
Iowa,2011-09-03,1,,Tennessee Tech,W,1,7
Iowa State,2011-09-03,1,,Northern Iowa,W,2,19
Kansas,2011-09-03,1,,McNeese State,W,3,24
Kansas State,2011-09-03,1,,Eastern Kentucky,W,1,7
Kent State,2011-09-03,1,@,Alabama,L,6,48
Louisiana,2011-09-03,1,@,Oklahoma State,L,7,61
Louisiana Tech,2011-09-03,1,@,Southern Mississippi,L,1,19
Louisiana-Monroe,2011-09-03,1,@,Florida State,L,4,34
LSU,2011-09-03,1,N,Oregon,W,3,27
Miami (OH),2011-09-03,1,@,Missouri,L,2,17
Michigan,2011-09-03,1,,Western Michigan,W,1,10
Middle Tennessee State,2011-09-03,1,@,Purdue,L,3,27
Minnesota,2011-09-03,1,@,Southern California,L,3,19
Missouri,2011-09-03,1,,Miami (OH),W,1,6
Navy,2011-09-03,1,,Delaware,W,2,17
Nebraska,2011-09-03,1,,Chattanooga,W,1,7
New Mexico,2011-09-03,1,,Colorado State,L,2,14
