School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Pass Int,Turnovers
Ball State,2007-08-30,1,,Miami (OH),L,19,36,52.8,198,1,34,140,4.1,0,8,3,0,0,0
Boise State,2007-08-30,1,,Weber State,W,16,28,57.1,198,1,55,371,6.7,7,2,1,0,1,1
Buffalo,2007-08-30,1,@,Rutgers,L,19,32,59.4,165,0,34,70,2.1,0,5,0,0,0,0
Cincinnati,2007-08-30,1,,Southeast Missouri State,W,24,36,66.7,301,3,47,314,6.7,5,9,4,1,1,2
Iowa State,2007-08-30,1,,Kent State,L,14,23,60.9,148,1,39,158,4.1,1,5,1,1,2,3
Kent State,2007-08-30,1,@,Iowa State,W,17,26,65.4,161,1,51,202,4.0,2,3,1,1,2,3
Louisiana-Monroe,2007-08-30,1,,Tulsa,L,7,21,33.3,66,1,43,212,4.9,0,8,1,1,0,1
Louisville,2007-08-30,1,,Murray State,W,18,23,78.3,394,4,41,261,6.4,5,9,0,0,0,0
LSU,2007-08-30,1,@,Mississippi State,W,14,22,63.6,149,3,50,198,4.0,3,8,4,0,0,0
Miami (OH),2007-08-30,1,@,Ball State,W,14,24,58.3,118,0,38,178,4.7,2,4,1,0,2,2
Mississippi State,2007-08-30,1,,Louisiana State,L,14,33,42.4,136,0,26,10,0.4,0,11,3,1,6,7
New Mexico State,2007-08-30,1,,Southeastern Louisiana,W,25,37,67.6,289,4,27,153,5.7,0,10,5,0,4,4
Oregon State,2007-08-30,1,,Utah,W,12,30,40.0,129,1,44,241,5.5,2,9,5,0,2,2
Rutgers,2007-08-30,1,,Buffalo,W,16,25,64.0,328,2,41,235,5.7,3,10,3,1,0,1
Tulsa,2007-08-30,1,@,Louisiana-Monroe,W,22,31,71.0,307,3,55,216,3.9,2,8,1,1,1,2
UNLV,2007-08-30,1,@,Utah State,W,12,20,60.0,141,0,38,173,4.6,2,6,4,1,0,1
Utah,2007-08-30,1,@,Oregon State,L,17,37,45.9,178,1,30,18,0.6,0,5,1,0,0,0
Utah State,2007-08-30,1,,Nevada-Las Vegas,L,13,19,68.4,137,0,40,97,2.4,2,3,2,2,0,2
Navy,2007-08-31,1,@,Temple,W,3,7,42.9,78,0,56,361,6.4,3,5,1,2,0,2
Syracuse,2007-08-31,1,,Washington,L,20,32,62.5,199,1,29,8,0.3,0,4,0,1,0,1
Temple,2007-08-31,1,,Navy,L,21,29,72.4,199,2,25,74,3.0,0,2,0,0,2,2
Washington,2007-08-31,1,@,Syracuse,W,15,21,71.4,142,0,41,302,7.4,6,9,7,0,0,0
Air Force,2007-09-01,1,,South Carolina State,W,11,18,61.1,176,1,60,279,4.7,3,10,6,0,1,1
Akron,2007-09-01,1,,Army,W,17,29,58.6,154,1,35,133,3.8,0,9,4,0,0,0
Alabama,2007-09-01,1,,Western Carolina,W,25,34,73.5,262,1,44,313,7.1,6,10,2,0,0,0
Arizona,2007-09-01,1,@,Brigham Young,L,28,38,73.7,223,1,19,32,1.7,0,3,1,0,0,0
Arizona State,2007-09-01,1,,San Jose State,W,23,32,71.9,270,3,53,250,4.7,3,5,3,1,0,1
Arkansas,2007-09-01,1,,Troy,W,13,22,59.1,157,1,50,350,7.0,3,6,1,2,0,2
Arkansas State,2007-09-01,1,@,Texas,L,24,37,64.9,272,0,34,125,3.7,1,4,1,0,1,1
Army,2007-09-01,1,@,Akron,L,23,44,52.3,184,0,29,58,2.0,1,5,1,0,2,2
Auburn,2007-09-01,1,,Kansas State,W,17,30,56.7,229,1,37,62,1.7,0,7,2,0,2,2
Baylor,2007-09-01,1,@,Texas Christian,L,26,55,47.3,231,0,25,51,2.0,0,2,2,0,4,4
Boston College,2007-09-01,1,,Wake Forest,W,32,52,61.5,408,5,27,54,2.0,0,8,2,1,2,3
Bowling Green State,2007-09-01,1,@,Minnesota,W,35,53,66.0,412,3,22,100,4.5,1,6,1,0,0,0
Brigham Young,2007-09-01,1,,Arizona,W,26,39,66.7,288,2,32,104,3.3,1,4,2,1,0,1
California,2007-09-01,1,,Tennessee,W,19,28,67.9,241,2,37,230,6.2,2,7,1,1,0,1
Central Michigan,2007-09-01,1,@,Kansas,L,20,38,52.6,180,1,28,114,4.1,0,2,1,1,0,1
Colorado,2007-09-01,1,N,Colorado State,W,18,32,56.3,201,2,28,129,4.6,1,10,4,2,1,3
Colorado State,2007-09-01,1,N,Colorado,L,20,27,74.1,229,3,56,157,2.8,1,2,1,0,1,1
Connecticut,2007-09-01,1,@,Duke,W,22,30,73.3,298,2,47,189,4.0,2,9,4,0,1,1
Duke,2007-09-01,1,,Connecticut,L,15,29,51.7,154,1,28,15,0.5,0,8,4,0,3,3
