School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Pass Int,Turnovers
Arizona,2019-08-24,1,@,Hawaii,L,22,39,56.4,361,3,32,178,5.6,2,3,1,0,2,2
Florida,2019-08-24,1,N,Miami (FL),W,17,27,63.0,254,2,27,52,1.9,1,16,10,2,2,4
Hawaii,2019-08-24,1,,Arizona,W,34,48,70.8,436,5,30,159,5.3,1,6,2,2,4,6
Miami (FL),2019-08-24,1,N,Florida,L,19,30,63.3,214,1,36,94,2.6,1,6,1,1,0,1
Arizona State,2019-08-29,1,,Kent State,W,15,24,62.5,284,2,46,171,3.7,1,7,3,1,0,1
Bowling Green State,2019-08-29,1,,Morgan State,W,25,38,65.8,294,4,60,333,5.6,2,5,4,0,1,1
Brigham Young,2019-08-29,1,,Utah,L,21,33,63.6,208,0,22,92,4.2,1,3,,1,2,3
Buffalo,2019-08-29,1,,Robert Morris,W,5,10,50.0,69,2,47,285,6.1,3,7,2,1,0,1
Central Michigan,2019-08-29,1,,Albany,W,27,37,73.0,285,3,47,244,5.2,2,6,,3,0,3
Charlotte,2019-08-29,1,,Gardner-Webb,W,18,28,64.3,186,2,46,322,7.0,4,5,5,0,3,3
Cincinnati,2019-08-29,1,,UCLA,W,18,26,69.2,242,2,49,175,3.6,1,6,1,1,1,2
Clemson,2019-08-29,1,,Georgia Tech,W,18,30,60.0,221,2,49,411,8.4,5,8,3,1,2,3
Connecticut,2019-08-29,1,,Wagner,W,14,21,66.7,158,0,60,234,3.9,3,6,3,1,1,2
Florida International,2019-08-29,1,@,Tulane,L,19,34,55.9,208,1,26,59,2.3,1,4,1,1,1,2
Georgia Tech,2019-08-29,1,@,Clemson,L,7,18,38.9,137,1,45,157,3.5,1,6,,2,2,4
Kent State,2019-08-29,1,@,Arizona State,L,12,24,50.0,80,1,40,120,3.0,0,7,5,2,0,2
Minnesota,2019-08-29,1,,South Dakota State,W,13,18,72.2,176,1,42,132,3.1,2,2,1,0,1,1
