School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
California,2016-08-26,1,N,Hawaii,W,4,31
Hawaii,2016-08-26,1,N,California,L,6,51
Appalachian State,2016-09-01,1,@,Tennessee,L,3,20
Central Michigan,2016-09-01,1,,Presbyterian,W,0,3
Charlotte,2016-09-01,1,@,Louisville,L,10,70
Cincinnati,2016-09-01,1,,Tennessee-Martin,W,1,7
Connecticut,2016-09-01,1,,Maine,W,3,21
Florida International,2016-09-01,1,,Indiana,L,4,34
Idaho,2016-09-01,1,,Montana State,W,2,17
Indiana,2016-09-01,1,@,Florida International,W,1,13
Louisville,2016-09-01,1,,Charlotte,W,2,14
Minnesota,2016-09-01,1,,Oregon State,W,3,23
New Mexico,2016-09-01,1,,South Dakota,W,3,21
North Carolina State,2016-09-01,1,,William & Mary,W,2,14
Oregon State,2016-09-01,1,@,Minnesota,L,4,30
Rice,2016-09-01,1,@,Western Kentucky,L,5,46
South Carolina,2016-09-01,1,@,Vanderbilt,W,1,10
Tennessee,2016-09-01,1,,Appalachian State,W,2,13
Tulane,2016-09-01,1,@,Wake Forest,L,1,7
UNLV,2016-09-01,1,,Jackson State,W,1,13
Utah,2016-09-01,1,,Southern Utah,W,0,0
Utah State,2016-09-01,1,,Weber State,W,1,6
Vanderbilt,2016-09-01,1,,South Carolina,L,1,13
Wake Forest,2016-09-01,1,,Tulane,W,0,3
Western Kentucky,2016-09-01,1,,Rice,W,2,14
Arkansas State,2016-09-02,1,,Toledo,L,4,31
Army,2016-09-02,1,@,Temple,W,1,13
Ball State,2016-09-02,1,@,Georgia State,W,3,21
Baylor,2016-09-02,1,,Northwestern State,W,1,7
Buffalo,2016-09-02,1,,Albany,L,3,22
Colorado,2016-09-02,1,N,Colorado State,W,1,7
Colorado State,2016-09-02,1,N,Colorado,L,5,44
Eastern Michigan,2016-09-02,1,,Mississippi Valley State,W,2,14
Georgia State,2016-09-02,1,,Ball State,L,4,31
Kansas State,2016-09-02,1,@,Stanford,L,3,26
Michigan State,2016-09-02,1,,Furman,W,1,13
Nevada,2016-09-02,1,,Cal Poly,W,3,27
Stanford,2016-09-02,1,,Kansas State,W,1,13
Syracuse,2016-09-02,1,,Colgate,W,1,7
Temple,2016-09-02,1,,Army,L,4,28
Toledo,2016-09-02,1,@,Arkansas State,W,1,10
Air Force,2016-09-03,1,,Abilene Christian,W,3,21
Akron,2016-09-03,1,,Virginia Military Institute,W,3,24
Alabama,2016-09-03,1,N,Southern California,W,0,6
Arizona,2016-09-03,1,N,Brigham Young,L,2,18
Arizona State,2016-09-03,1,,Northern Arizona,W,1,13
Arkansas,2016-09-03,1,,Louisiana Tech,W,2,20
Auburn,2016-09-03,1,,Clemson,L,2,19
Boise State,2016-09-03,1,@,Louisiana,W,1,10
Boston College,2016-09-03,1,N,Georgia Tech,L,2,17
Bowling Green State,2016-09-03,1,@,Ohio State,L,11,77
Brigham Young,2016-09-03,1,N,Arizona,W,2,16
Clemson,2016-09-03,1,@,Auburn,W,1,13
Duke,2016-09-03,1,,North Carolina Central,W,0,6
East Carolina,2016-09-03,1,,Western Carolina,W,1,7
