School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
Arizona State,2005-09-01,1,,Temple,W,2,16
Buffalo,2005-09-01,1,@,Connecticut,L,5,38
Cincinnati,2005-09-01,1,,Eastern Michigan,W,3,26
Connecticut,2005-09-01,1,,Buffalo,W,0,0
Eastern Michigan,2005-09-01,1,@,Cincinnati,L,4,28
Houston,2005-09-01,1,,Oregon,L,3,38
Idaho,2005-09-01,1,@,Washington State,L,5,38
Louisiana-Monroe,2005-09-01,1,,Northwestern State,L,4,27
Marshall,2005-09-01,1,,William & Mary,W,3,24
Minnesota,2005-09-01,1,@,Tulsa,W,1,10
Oregon,2005-09-01,1,@,Houston,W,3,24
South Carolina,2005-09-01,1,,Central Florida,W,1,15
Temple,2005-09-01,1,@,Arizona State,L,9,63
Toledo,2005-09-01,1,,Western Illinois,W,2,14
Tulsa,2005-09-01,1,,Minnesota,L,5,41
UCF,2005-09-01,1,@,South Carolina,L,3,24
Vanderbilt,2005-09-01,1,@,Wake Forest,W,2,20
Wake Forest,2005-09-01,1,,Vanderbilt,L,3,24
Washington State,2005-09-01,1,,Idaho,W,3,26
Arizona,2005-09-02,1,@,Utah,L,3,27
Central Michigan,2005-09-02,1,,Indiana,L,3,20
Indiana,2005-09-02,1,@,Central Michigan,W,1,13
Utah,2005-09-02,1,,Arizona,W,3,24
Air Force,2005-09-03,1,@,Washington,W,2,17
Alabama,2005-09-03,1,,Middle Tennessee State,W,1,7
Arkansas,2005-09-03,1,,Missouri State,W,2,17
Arkansas State,2005-09-03,1,@,Missouri,L,6,44
Auburn,2005-09-03,1,,Georgia Tech,L,2,23
Ball State,2005-09-03,1,@,Iowa,L,8,56
Baylor,2005-09-03,1,@,Southern Methodist,W,3,23
Boise State,2005-09-03,1,@,Georgia,L,6,48
Boston College,2005-09-03,1,@,Brigham Young,W,0,3
Bowling Green State,2005-09-03,1,@,Wisconsin,L,8,56
Brigham Young,2005-09-03,1,,Boston College,L,2,20
California,2005-09-03,1,,Sacramento State,W,0,3
Clemson,2005-09-03,1,,Texas A&M,W,3,24
Colorado,2005-09-03,1,,Colorado State,W,4,28
Colorado State,2005-09-03,1,@,Colorado,L,3,31
Duke,2005-09-03,1,@,East Carolina,L,3,24
