School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Pass Int,Turnovers
Miami (OH),2004-08-28,1,,Indiana State,W,24,37,64.9,292,3,39,162,4.2,3,2,1,3
USC,2004-08-28,1,N,Virginia Tech,W,19,29,65.5,272,3,29,101,3.5,0,0,0,0
Virginia Tech,2004-08-28,1,N,Southern California,L,14,29,48.3,153,1,34,141,4.1,0,1,1,2
Arizona State,2004-09-02,1,,Texas-El Paso,W,23,44,52.3,356,4,42,131,3.1,0,0,1,1
Ball State,2004-09-02,1,,Boston College,L,19,33,57.6,147,0,33,64,1.9,0,0,0,0
Boston College,2004-09-02,1,@,Ball State,W,12,23,52.2,135,1,43,205,4.8,1,1,1,2
Buffalo,2004-09-02,1,@,Eastern Michigan,L,19,44,43.2,174,1,48,225,4.7,3,1,2,3
Eastern Michigan,2004-09-02,1,,Buffalo,W,11,20,55.0,91,2,52,248,4.8,1,4,0,4
Northwestern,2004-09-02,1,@,Texas Christian,L,39,62,62.9,513,4,38,124,3.3,2,0,1,1
Texas A&M,2004-09-02,1,@,Utah,L,20,43,46.5,270,0,31,167,5.4,3,0,0,0
Texas Christian,2004-09-02,1,,Northwestern,W,20,38,52.6,368,4,36,157,4.4,2,1,1,2
Utah,2004-09-02,1,,Texas A&M,W,22,31,71.0,370,3,45,212,4.7,3,0,0,0
UTEP,2004-09-02,1,@,Arizona State,L,21,44,47.7,196,0,31,87,2.8,1,1,4,5
Western Michigan,2004-09-02,1,,Tennessee-Martin,W,16,23,69.6,215,3,38,108,2.8,1,1,1,2
New Mexico,2004-09-03,1,,Washington State,L,16,31,51.6,229,0,43,186,4.3,2,1,3,4
Washington State,2004-09-03,1,@,New Mexico,W,24,38,63.2,240,3,31,31,1.0,0,1,2,3
Air Force,2004-09-04,1,,California,L,9,18,50.0,89,1,53,182,3.4,1,1,1,2
Akron,2004-09-04,1,@,Penn State,L,29,36,80.6,223,0,31,72,2.3,1,1,2,3
Alabama,2004-09-04,1,,Utah State,W,16,22,72.7,205,2,44,255,5.8,3,0,0,0
Arizona,2004-09-04,1,,Northern Arizona,W,18,23,78.3,171,1,42,136,3.2,2,1,0,1
Arkansas,2004-09-04,1,,New Mexico State,W,18,24,75.0,327,3,54,221,4.1,5,0,0,0
Arkansas State,2004-09-04,1,@,Missouri,L,26,37,70.3,350,2,36,88,2.4,0,1,1,2
Auburn,2004-09-04,1,,Louisiana-Monroe,W,14,24,58.3,186,2,41,194,4.7,2,1,1,2
Baylor,2004-09-04,1,@,Alabama-Birmingham,L,28,43,65.1,228,1,27,50,1.9,1,3,3,6
Boise State,2004-09-04,1,,Idaho,W,16,22,72.7,318,0,47,254,5.4,8,2,1,3
Bowling Green State,2004-09-04,1,@,Oklahoma,L,24,41,58.5,218,2,19,51,2.7,0,1,0,1
Brigham Young,2004-09-04,1,,Notre Dame,W,22,33,66.7,263,1,35,22,0.6,1,1,1,2
California,2004-09-04,1,@,Air Force,W,12,18,66.7,231,1,44,342,7.8,7,0,0,0
Central Michigan,2004-09-04,1,@,Indiana,L,23,43,53.5,275,1,34,114,3.4,0,0,2,2
Cincinnati,2004-09-04,1,@,Ohio State,L,17,37,45.9,162,0,26,76,2.9,0,0,0,0
Clemson,2004-09-04,1,,Wake Forest,W,20,41,48.8,288,2,35,83,2.4,1,1,2,3
Colorado,2004-09-04,1,,Colorado State,W,13,25,52.0,117,0,45,255,5.7,2,0,1,1
Colorado State,2004-09-04,1,@,Colorado,L,29,42,69.0,403,2,28,44,1.6,1,0,1,1
Connecticut,2004-09-04,1,,Murray State,W,20,32,62.5,386,5,40,144,3.6,1,0,2,2
Duke,2004-09-04,1,@,Navy,L,13,22,59.1,90,0,39,175,4.5,1,0,0,0
East Carolina,2004-09-04,1,@,West Virginia,L,26,51,51.0,322,3,28,59,2.1,0,1,2,3
Florida A&M,2004-09-04,1,@,Illinois,L,37,55,67.3,287,0,25,71,2.8,2,1,2,3
Florida Atlantic,2004-09-04,1,@,Hawaii,W,29,46,63.0,298,2,39,147,3.8,2,0,3,3
Georgia,2004-09-04,1,,Georgia Southern,W,11,22,50.0,231,1,31,191,6.2,4,0,0,0
Georgia Tech,2004-09-04,1,,Samford,W,14,22,63.6,201,2,45,268,6.0,2,1,1,2
Hawaii,2004-09-04,1,,Florida Atlantic,L,38,66,57.6,302,2,10,27,2.7,2,0,0,0
Idaho,2004-09-04,1,@,Boise State,L,13,29,44.8,91,0,33,121,3.7,1,1,1,2
Illinois,2004-09-04,1,,Florida A&M,W,18,23,78.3,258,1,48,296,6.2,5,0,0,0
Indiana,2004-09-04,1,,Central Michigan,W,11,17,64.7,131,1,51,203,4.0,4,2,0,2
Iowa,2004-09-04,1,,Kent State,W,18,30,60.0,223,2,60,214,3.6,2,0,1,1
Iowa State,2004-09-04,1,,Northern Iowa,W,17,28,60.7,176,2,56,202,3.6,1,0,0,0
Kansas,2004-09-04,1,,Tulsa,W,14,31,45.2,99,1,36,102,2.8,1,0,1,1
Kansas State,2004-09-04,1,,Western Kentucky,W,14,21,66.7,196,0,60,306,5.1,3,1,0,1
Kent State,2004-09-04,1,@,Iowa,L,19,36,52.8,123,0,19,-13,-0.7,0,2,2,4
Louisiana,2004-09-04,1,,Northwestern State,W,17,26,65.4,176,1,42,112,2.7,1,1,1,2
Louisiana-Monroe,2004-09-04,1,@,Auburn,L,17,23,73.9,99,0,35,140,4.0,0,2,1,3
LSU,2004-09-04,1,,Oregon State,W,16,44,36.4,211,2,30,91,3.0,1,1,1,2
Marshall,2004-09-04,1,,Troy,L,14,28,50.0,152,1,34,25,0.7,0,1,1,2
Maryland,2004-09-04,1,,Northern Illinois,W,12,22,54.5,169,0,46,198,4.3,2,2,1,3
Memphis,2004-09-04,1,@,Mississippi,W,21,43,48.8,266,1,44,126,2.9,1,0,1,1
Miami (OH),2004-09-04,2,@,Michigan,L,19,40,47.5,217,0,25,33,1.3,1,2,5,7
Michigan,2004-09-04,1,,Miami (OH),W,16,28,57.1,159,2,40,115,2.9,3,0,1,1
Michigan State,2004-09-04,1,@,Rutgers,L,22,39,56.4,270,2,22,90,4.1,0,2,1,3
Minnesota,2004-09-04,1,,Toledo,W,11,13,84.6,289,2,68,415,6.1,7,0,0,0
Mississippi State,2004-09-04,1,,Tulane,W,10,20,50.0,111,1,47,199,4.2,3,0,0,0
Missouri,2004-09-04,1,,Arkansas State,W,16,24,66.7,243,3,34,263,7.7,3,1,1,2
Navy,2004-09-04,1,,Duke,W,8,9,88.9,129,1,57,301,5.3,3,3,0,3
