School,Date,G,Loc,Opponent,WL,Total TD,Points For,Points Difference,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp
Akron,2012-08-30,1,,Central Florida,L,2,14,-42,14,19,73.7,180,4,46,206,4.5,4,0,1,1
Arizona State,2012-08-30,1,,Northern Arizona,W,9,63,57,12,26,46.2,149,1,35,88,2.5,0,0,3,3
Ball State,2012-08-30,1,,Eastern Michigan,W,4,37,11,15,34,44.1,186,3,33,180,5.5,1,1,0,1
Brigham Young,2012-08-30,1,,Washington State,W,3,30,24,30,45,66.7,229,0,16,-5,-0.3,0,0,2,2
Central Michigan,2012-08-30,1,,Southeast Missouri State,W,5,38,11,11,18,61.1,120,1,42,188,4.5,2,0,0,0
Connecticut,2012-08-30,1,,Massachusetts,W,4,37,37,9,23,39.1,56,0,24,3,0.1,0,0,1,1
Eastern Michigan,2012-08-30,1,@,Ball State,L,4,26,-11,26,41,63.4,267,0,55,329,6.0,4,1,0,1
Idaho,2012-08-30,1,,Eastern Washington,L,0,3,-17,13,33,39.4,260,1,40,162,4.1,1,0,1,1
Kent State,2012-08-30,1,,Towson,W,5,41,20,26,36,72.2,246,1,30,70,2.3,2,4,2,6
Massachusetts,2012-08-30,1,@,Connecticut,L,0,0,-37,16,27,59.3,225,0,43,147,3.4,2,1,2,3
Middle Tennessee State,2012-08-30,1,,McNeese State,L,2,21,-6,12,19,63.2,152,2,51,298,5.8,1,0,0,0
Minnesota,2012-08-30,1,@,Nevada-Las Vegas,W,3,30,3,16,35,45.7,116,1,37,159,4.3,2,0,3,3
New Mexico State,2012-08-30,1,,Sacramento State,W,7,49,30,23,35,65.7,308,2,31,89,2.9,0,2,1,3
Rice,2012-08-30,1,,UCLA,L,3,24,-25,24,32,75.0,303,2,37,343,9.3,4,1,1,2
South Carolina,2012-08-30,1,@,Vanderbilt,W,2,17,4,13,23,56.5,214,1,36,62,1.7,0,0,1,1
UCF,2012-08-30,1,@,Akron,W,8,56,42,31,54,57.4,256,2,27,69,2.6,0,3,1,4
UCLA,2012-08-30,1,@,Rice,W,7,49,25,18,30,60.0,184,2,48,174,3.6,1,1,1,2
UNLV,2012-08-30,1,,Minnesota,L,3,27,-3,17,30,56.7,269,2,46,209,4.5,1,1,1,2
Utah,2012-08-30,1,,Northern Colorado,W,6,41,41,11,26,42.3,79,0,24,35,1.5,0,1,1,2
Utah State,2012-08-30,1,,Southern Utah,W,5,34,31,12,31,38.7,153,0,27,56,2.1,0,0,1,1
Vanderbilt,2012-08-30,1,,South Carolina,L,1,13,-4,7,15,46.7,67,0,47,205,4.4,2,1,1,2
Washington State,2012-08-30,1,@,Brigham Young,L,0,6,-24,26,37,70.3,303,3,41,123,3.0,0,0,0,0
Boise State,2012-08-31,1,@,Michigan State,L,1,13,-4,22,38,57.9,248,0,52,213,4.1,2,1,3,4
Florida Atlantic,2012-08-31,1,,Wagner,W,1,7,4,7,20,35.0,91,0,35,129,3.7,0,0,1,1
Michigan State,2012-08-31,1,,Boise State,W,2,17,4,15,32,46.9,169,0,24,37,1.5,0,1,1,2
North Carolina State,2012-08-31,1,N,Tennessee,L,3,21,-14,27,41,65.9,333,2,38,191,5.0,2,1,0,1
San Jose State,2012-08-31,1,@,Stanford,L,2,17,-3,16,26,61.5,125,1,41,155,3.8,1,0,0,0
Stanford,2012-08-31,1,,San Jose State,W,2,20,3,24,35,68.6,217,1,27,70,2.6,1,1,1,2
Temple,2012-08-31,1,,Villanova,W,5,41,31,11,24,45.8,153,0,44,212,4.8,1,1,1,2
Tennessee,2012-08-31,1,N,North Carolina State,W,4,35,14,27,48,56.3,288,1,32,119,3.7,2,0,4,4
Air Force,2012-09-01,1,,Idaho State,W,7,49,28,42,53,79.2,365,2,28,66,2.4,1,0,1,1
Alabama,2012-09-01,1,N,Michigan,W,5,41,27,11,27,40.7,200,1,29,69,2.4,1,0,3,3
Arizona,2012-09-01,1,,Toledo,W,3,24,7,21,47,44.7,197,1,47,161,3.4,1,1,0,1
Arkansas,2012-09-01,1,,Jacksonville State,W,7,49,25,18,37,48.6,227,2,44,95,2.2,1,1,0,1
Arkansas State,2012-09-01,1,@,Oregon,L,4,34,-23,28,39,71.8,308,4,57,297,5.2,4,0,1,1
Auburn,2012-09-01,1,N,Clemson,L,1,19,-7,24,35,68.6,208,1,52,320,6.2,1,0,1,1
Boston College,2012-09-01,1,,Miami (FL),L,3,32,-9,28,45,62.2,207,1,34,208,6.1,3,0,1,1
Bowling Green State,2012-09-01,1,@,Florida,L,2,14,-13,13,21,61.9,145,1,42,220,5.2,2,1,0,1
Buffalo,2012-09-01,1,@,Georgia,L,3,23,-22,15,27,55.6,258,3,39,227,5.8,2,0,0,0
California,2012-09-01,1,,Nevada,L,3,24,-7,25,32,78.1,230,0,57,220,3.9,4,1,0,1
Clemson,2012-09-01,1,N,Auburn,W,2,26,7,11,27,40.7,194,1,37,180,4.9,0,1,1,2
Colorado,2012-09-01,1,N,Colorado State,L,2,17,-5,14,21,66.7,173,2,44,125,2.8,0,1,0,1
Colorado State,2012-09-01,1,N,Colorado,W,2,22,5,22,41,53.7,187,2,29,58,2.0,0,2,0,2
Duke,2012-09-01,1,,Florida International,W,6,46,20,27,46,58.7,348,2,45,165,3.7,2,2,0,2
East Carolina,2012-09-01,1,,Appalachian State,W,5,35,22,23,40,57.5,300,0,32,119,3.7,1,2,1,3
Florida,2012-09-01,1,,Bowling Green State,W,3,27,13,25,52,48.1,226,0,27,101,3.7,2,1,1,2
