School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
Akron,2013-08-29,1,@,Central Florida,L,5,38
Ball State,2013-08-29,1,,Illinois State,W,4,28
Bowling Green State,2013-08-29,1,,Tulsa,W,1,7
Connecticut,2013-08-29,1,,Towson,L,5,33
Fresno State,2013-08-29,1,,Rutgers,W,6,51
Hawaii,2013-08-29,1,,Southern California,L,3,30
Indiana,2013-08-29,1,,Indiana State,W,5,35
Kent State,2013-08-29,1,,Liberty,W,1,10
Middle Tennessee State,2013-08-29,1,,Western Carolina,W,3,24
Minnesota,2013-08-29,1,,Nevada-Las Vegas,W,3,23
North Carolina,2013-08-29,1,@,South Carolina,L,3,27
Ole Miss,2013-08-29,1,@,Vanderbilt,W,5,35
Rutgers,2013-08-29,1,@,Fresno State,L,7,52
San Jose State,2013-08-29,1,,Sacramento State,W,0,0
South Alabama,2013-08-29,1,,Southern Utah,L,2,22
South Carolina,2013-08-29,1,,North Carolina,W,1,10
Tulane,2013-08-29,1,,Jackson State,W,1,7
Tulsa,2013-08-29,1,@,Bowling Green State,L,4,34
UCF,2013-08-29,1,,Akron,W,1,7
UNLV,2013-08-29,1,@,Minnesota,L,7,51
USC,2013-08-29,1,@,Hawaii,W,1,13
Utah,2013-08-29,1,,Utah State,W,3,26
Utah State,2013-08-29,1,@,Utah,L,3,30
Vanderbilt,2013-08-29,1,,Mississippi,L,5,39
Wake Forest,2013-08-29,1,,Presbyterian,W,1,7
Arizona,2013-08-30,1,,Northern Arizona,W,0,0
Army,2013-08-30,1,,Morgan State,W,2,12
Florida Atlantic,2013-08-30,1,@,Miami (FL),L,4,34
Georgia State,2013-08-30,1,,Samford,L,4,31
Houston,2013-08-30,1,,Southern,W,2,13
Kansas State,2013-08-30,1,,North Dakota State,L,3,24
Miami (FL),2013-08-30,1,,Florida Atlantic,W,0,6
Michigan State,2013-08-30,1,,Western Michigan,W,2,13
SMU,2013-08-30,1,,Texas Tech,L,5,41
Texas Tech,2013-08-30,1,@,Southern Methodist,W,2,23
Western Michigan,2013-08-30,1,@,Michigan State,L,3,26
Air Force,2013-08-31,1,,Colgate,W,2,13
Alabama,2013-08-31,1,N,Virginia Tech,W,1,10
Arkansas,2013-08-31,1,,Louisiana,W,2,14
Arkansas State,2013-08-31,1,,Arkansas-Pine Bluff,W,1,11
Auburn,2013-08-31,1,,Washington State,W,3,24
Baylor,2013-08-31,1,,Wofford,W,0,3
Boise State,2013-08-31,1,@,Washington,L,5,38
Boston College,2013-08-31,1,,Villanova,W,2,14
Brigham Young,2013-08-31,1,@,Virginia,L,2,19
Buffalo,2013-08-31,1,@,Ohio State,L,5,40
California,2013-08-31,1,,Northwestern,L,5,44
Central Michigan,2013-08-31,1,@,Michigan,L,8,59
Cincinnati,2013-08-31,1,,Purdue,W,1,7
Clemson,2013-08-31,1,,Georgia,W,5,35
Duke,2013-08-31,1,,North Carolina Central,W,0,0
East Carolina,2013-08-31,1,,Old Dominion,W,5,38
Eastern Michigan,2013-08-31,1,,Howard,W,3,24
Florida,2013-08-31,1,,Toledo,W,0,6
Florida International,2013-08-31,1,@,Maryland,L,5,43
Georgia,2013-08-31,1,@,Clemson,L,5,38
Georgia Tech,2013-08-31,1,,Elon,W,0,0
Idaho,2013-08-31,1,@,North Texas,L,6,40
Illinois,2013-08-31,1,,Southern Illinois,W,4,34
Iowa,2013-08-31,1,,Northern Illinois,L,3,30
Iowa State,2013-08-31,1,,Northern Iowa,L,4,28
Kentucky,2013-08-31,1,N,Western Kentucky,L,5,35
Louisiana,2013-08-31,1,@,Arkansas,L,4,34
