School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Pass Int,Turnovers
Brigham Young,2000-08-26,1,@,Florida State,L,18,46,39.1,227,0,24,-2,-0.1,0,0,3,3
Florida State,2000-08-26,1,,Brigham Young,W,32,51,62.7,318,2,36,57,1.6,2,1,0,1
Iowa,2000-08-26,1,@,Kansas State,L,10,26,38.5,76,0,30,80,2.7,1,0,1,1
Kansas State,2000-08-26,1,,Iowa,W,14,28,50.0,250,1,47,178,3.8,2,1,2,3
Louisiana Tech,2000-08-26,1,,Mississippi Valley State,W,29,34,85.3,362,4,37,190,5.1,5,2,1,3
New Mexico,2000-08-26,1,@,Texas Tech,L,6,18,33.3,52,0,52,115,2.2,0,2,1,3
Texas Tech,2000-08-26,1,,New Mexico,W,21,47,44.7,186,2,24,69,2.9,0,0,1,1
Penn State,2000-08-27,1,N,Southern California,L,10,30,33.3,136,0,22,6,0.3,0,0,1,1
USC,2000-08-27,1,N,Penn State,W,10,20,50.0,87,0,50,164,3.3,1,0,1,1
Arizona State,2000-08-31,1,@,San Diego State,W,18,42,42.9,160,1,40,110,2.8,0,0,1,1
Auburn,2000-08-31,1,,Wyoming,W,12,21,57.1,266,2,45,177,3.9,3,2,0,2
Baylor,2000-08-31,1,@,North Texas,W,18,30,60.0,218,0,36,107,3.0,1,0,0,0
Marshall,2000-08-31,1,,Southeast Missouri State,W,18,26,69.2,263,4,50,315,6.3,5,1,0,1
Miami (FL),2000-08-31,1,,McNeese State,W,22,37,59.5,341,4,30,287,9.6,3,1,0,1
North Texas,2000-08-31,1,,Baylor,L,11,20,55.0,159,0,37,106,2.9,1,2,2,4
Northern Illinois,2000-08-31,1,@,Northwestern,L,20,40,50.0,254,0,34,112,3.3,2,1,2,3
Northwestern,2000-08-31,1,,Northern Illinois,W,16,27,59.3,176,2,57,236,4.1,3,1,0,1
San Diego State,2000-08-31,1,,Arizona State,L,24,57,42.1,219,1,28,100,3.6,0,0,1,1
Wake Forest,2000-08-31,1,,Appalachian State,L,10,21,47.6,126,0,33,55,1.7,1,2,2,4
Western Michigan,2000-08-31,1,@,Wisconsin,L,20,39,51.3,243,1,20,-1,-0.1,0,1,1,2
Wisconsin,2000-08-31,1,,Western Michigan,W,6,11,54.5,96,0,57,156,2.7,1,0,0,0
Wyoming,2000-08-31,1,@,Auburn,L,20,36,55.6,213,3,27,29,1.1,0,0,1,1
Air Force,2000-09-02,1,,Cal State Northridge,W,11,20,55.0,115,0,74,583,7.9,7,0,1,1
Akron,2000-09-02,1,@,Virginia Tech,L,14,30,46.7,248,1,44,162,3.7,1,1,1,2
Alabama,2000-09-02,1,@,UCLA,L,11,30,36.7,119,0,30,146,4.9,1,2,1,3
Arizona,2000-09-02,1,@,Utah,W,3,15,20.0,11,0,39,135,3.5,1,0,0,0
Arkansas,2000-09-02,1,,Missouri State,W,20,29,69.0,249,2,49,183,3.7,3,0,0,0
Arkansas State,2000-09-02,1,@,North Carolina State,L,13,25,52.0,152,1,45,179,4.0,2,2,0,2
Ball State,2000-09-02,1,@,Florida,L,15,27,55.6,181,1,34,85,2.5,0,2,1,3
Boise State,2000-09-02,1,@,New Mexico,W,17,34,50.0,168,1,35,139,4.0,2,0,0,0
Boston College,2000-09-02,1,@,West Virginia,L,15,33,45.5,127,1,33,79,2.4,1,2,3,5
Bowling Green State,2000-09-02,1,@,Michigan,L,18,42,42.9,213,1,28,58,2.1,0,0,1,1
Brigham Young,2000-09-02,2,@,Virginia,W,34,42,81.0,447,2,34,93,2.7,3,1,2,3
Buffalo,2000-09-02,1,@,Syracuse,L,16,36,44.4,182,1,33,88,2.7,0,3,2,5
Central Michigan,2000-09-02,1,@,Purdue,L,16,28,57.1,150,0,38,65,1.7,0,3,0,3
Clemson,2000-09-02,1,,Citadel,W,21,33,63.6,222,3,48,236,4.9,2,0,0,0
Colorado,2000-09-02,1,N,Colorado State,L,25,39,64.1,308,1,45,224,5.0,2,0,0,0
Colorado State,2000-09-02,1,N,Colorado,W,19,30,63.3,327,4,28,65,2.3,0,0,2,2
Connecticut,2000-09-02,1,@,Eastern Michigan,L,23,49,46.9,340,3,25,62,2.5,0,1,1,2
Duke,2000-09-02,1,,East Carolina,L,10,25,40.0,96,0,31,44,1.4,0,0,3,3
East Carolina,2000-09-02,1,@,Duke,W,22,31,71.0,264,1,43,164,3.8,3,1,0,1
Eastern Michigan,2000-09-02,1,,Connecticut,W,21,35,60.0,205,1,45,150,3.3,3,2,0,2
Florida,2000-09-02,1,,Ball State,W,23,50,46.0,359,3,34,136,4.0,3,1,0,1
Fresno State,2000-09-02,1,@,Ohio State,L,31,51,60.8,285,1,27,87,3.2,0,2,4,6
Georgia,2000-09-02,1,,Georgia Southern,W,16,27,59.3,203,2,39,171,4.4,2,2,1,3
Georgia Tech,2000-09-02,1,,Central Florida,W,23,41,56.1,226,3,44,110,2.5,0,2,0,2
Houston,2000-09-02,1,@,Rice,L,32,47,68.1,349,2,29,45,1.6,1,2,1,3
Idaho,2000-09-02,1,@,Washington,L,23,30,76.7,256,2,33,145,4.4,1,4,1,5
Illinois,2000-09-02,1,,Middle Tennessee State,W,19,27,70.4,190,3,49,285,5.8,2,0,1,1
Iowa State,2000-09-02,1,,Ohio,W,16,30,53.3,196,0,40,204,5.1,3,0,1,1
Kansas,2000-09-02,1,@,Southern Methodist,L,16,42,38.1,210,1,32,81,2.5,1,3,0,3
Kansas State,2000-09-02,2,,Louisiana Tech,W,13,23,56.5,233,3,41,267,6.5,2,2,0,2
Kent State,2000-09-02,1,@,Pittsburgh,L,18,32,56.3,205,1,35,83,2.4,0,0,2,2
Kentucky,2000-09-02,1,@,Louisville,L,22,34,64.7,322,3,21,95,4.5,1,2,3,5
Louisiana,2000-09-02,1,,Sam Houston State,L,9,24,37.5,90,1,44,150,3.4,1,1,0,1
Louisiana Tech,2000-09-02,2,@,Kansas State,L,33,54,61.1,319,1,29,72,2.5,0,1,4,5
Louisiana-Monroe,2000-09-02,1,@,Minnesota,L,17,32,53.1,173,0,33,59,1.8,1,2,0,2
Louisville,2000-09-02,1,,Kentucky,W,23,30,76.7,256,3,48,186,3.9,3,4,0,4
LSU,2000-09-02,1,,Western Carolina,W,23,28,82.1,485,5,43,195,4.5,3,0,0,0
Memphis,2000-09-02,1,,Mississippi State,L,10,34,29.4,81,0,41,87,2.1,0,3,2,5
Miami (OH),2000-09-02,1,@,Vanderbilt,W,24,42,57.1,358,4,28,71,2.5,0,1,1,2
Michigan,2000-09-02,1,,Bowling Green State,W,15,19,78.9,265,4,53,289,5.5,2,2,0,2
Middle Tennessee State,2000-09-02,1,@,Illinois,L,25,40,62.5,262,0,35,207,5.9,0,0,2,2
Minnesota,2000-09-02,1,,Louisiana-Monroe,W,18,28,64.3,258,3,46,172,3.7,3,0,0,0
Mississippi State,2000-09-02,1,@,Memphis,W,10,20,50.0,82,0,35,45,1.3,2,1,1,2
Missouri,2000-09-02,1,,Western Illinois,W,11,26,42.3,166,3,43,137,3.2,3,1,1,2
Navy,2000-09-02,1,,Temple,L,6,13,46.2,75,0,30,73,2.4,1,0,0,0
Nebraska,2000-09-02,1,,San Jose State,W,5,13,38.5,91,1,60,505,8.4,6,0,3,3
Nevada,2000-09-02,1,@,Oregon,L,8,30,26.7,106,1,34,-3,-0.1,0,0,3,3
New Mexico,2000-09-02,2,,Boise State,L,12,26,46.2,122,0,44,156,3.5,2,0,2,2
New Mexico State,2000-09-02,1,@,South Carolina,L,8,19,42.1,76,0,46,121,2.6,0,1,2,3
North Carolina,2000-09-02,1,,Tulsa,W,16,30,53.3,242,1,44,173,3.9,2,2,0,2
North Carolina State,2000-09-02,1,,Arkansas State,W,29,57,50.9,397,3,35,142,4.1,2,3,0,3
Notre Dame,2000-09-02,1,,Texas A&M,W,10,16,62.5,133,2,49,194,4.0,1,0,0,0
Ohio,2000-09-02,1,@,Iowa State,L,9,25,36.0,130,1,41,179,4.4,1,2,2,4
Ohio State,2000-09-02,1,,Fresno State,W,11,20,55.0,166,2,50,223,4.5,0,1,0,1
Oklahoma,2000-09-02,1,,Texas-El Paso,W,19,39,48.7,287,2,33,122,3.7,4,2,1,3
Ole Miss,2000-09-02,1,,Tulane,W,19,31,61.3,306,3,35,118,3.4,3,0,0,0
Oregon,2000-09-02,1,,Nevada,W,12,27,44.4,231,0,42,225,5.4,4,1,1,2
Oregon State,2000-09-02,1,,Eastern Washington,W,13,29,44.8,132,0,49,194,4.0,3,2,2,4
Penn State,2000-09-02,2,,Toledo,L,10,24,41.7,136,1,27,30,1.1,0,1,0,1
Pitt,2000-09-02,1,,Kent State,W,13,26,50.0,293,3,32,119,3.7,0,0,0,0
Purdue,2000-09-02,1,,Central Michigan,W,26,45,57.8,336,3,40,145,3.6,3,0,0,0
Rice,2000-09-02,1,,Houston,W,5,16,31.3,85,0,61,198,3.2,2,2,0,2
Rutgers,2000-09-02,1,,Villanova,W,27,44,61.4,323,5,32,46,1.4,0,0,1,1
