School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Pass Int,Turnovers
Ball State,2010-09-02,1,,Southeast Missouri State,W,10,17,58.8,85,0,55,243,4.4,3,3,1,0,1,1
Buffalo,2010-09-02,1,,Rhode Island,W,25,42,59.5,332,4,28,91,3.3,0,9,5,1,1,2
Central Michigan,2010-09-02,1,,Hampton,W,22,36,61.1,259,1,42,168,4.0,3,7,3,0,0,0
Florida Atlantic,2010-09-02,1,@,Alabama-Birmingham,W,15,25,60.0,257,3,27,90,3.3,1,6,1,0,1,1
Hawaii,2010-09-02,1,,Southern California,L,27,49,55.1,459,3,29,129,4.4,1,1,1,0,0,0
Idaho,2010-09-02,1,,North Dakota,W,30,48,62.5,421,3,26,126,4.8,3,6,1,0,1,1
Indiana,2010-09-02,1,,Towson,W,18,30,60.0,205,2,26,155,6.0,3,6,0,0,0,0
Iowa State,2010-09-02,1,,Northern Illinois,W,27,36,75.0,265,0,37,138,3.7,3,3,1,1,2,3
Kent State,2010-09-02,1,,Murray State,W,24,35,68.6,275,3,39,137,3.5,1,13,5,1,1,2
Marshall,2010-09-02,1,@,Ohio State,L,18,35,51.4,155,0,21,44,2.1,0,4,3,2,1,3
Miami (FL),2010-09-02,1,,Florida A&M,W,19,26,73.1,250,3,36,155,4.3,2,14,8,0,1,1
Middle Tennessee State,2010-09-02,1,,Minnesota,L,13,18,72.2,172,1,22,146,6.6,1,4,2,1,1,2
Minnesota,2010-09-02,1,@,Middle Tennessee State,W,10,17,58.8,150,0,67,281,4.2,3,3,0,0,0,0
Nevada,2010-09-02,1,,Eastern Washington,W,27,38,71.1,339,2,44,214,4.9,5,4,3,1,0,1
Northern Illinois,2010-09-02,1,@,Iowa State,L,14,29,48.3,93,0,36,156,4.3,1,5,1,0,3,3
Ohio State,2010-09-02,1,,Marshall,W,18,27,66.7,249,3,41,280,6.8,2,6,1,0,0,0
Pitt,2010-09-02,1,@,Utah,L,16,28,57.1,184,1,36,82,2.3,1,1,0,1,1,2
Rutgers,2010-09-02,1,,Norfolk State,W,11,21,52.4,154,1,50,268,5.4,1,8,2,0,0,0
South Carolina,2010-09-02,1,,Southern Mississippi,W,20,30,66.7,225,1,35,224,6.4,4,4,1,0,1,1
Southern Mississippi,2010-09-02,1,@,South Carolina,L,38,57,66.7,337,1,27,67,2.5,0,5,3,1,1,2
Tulane,2010-09-02,1,,Southeastern Louisiana,W,17,26,65.4,129,0,41,123,3.0,3,8,2,1,1,2
UAB,2010-09-02,1,,Florida Atlantic,L,9,19,47.4,79,1,47,345,7.3,3,8,3,0,1,1
USC,2010-09-02,1,@,Hawaii,W,20,27,74.1,278,5,35,246,7.0,1,6,4,1,0,1
Utah,2010-09-02,1,,Pittsburgh,W,21,36,58.3,283,3,27,122,4.5,0,4,2,2,1,3
Wake Forest,2010-09-02,1,,Presbyterian,W,10,24,41.7,94,0,50,415,8.3,6,10,4,1,0,1
Arizona,2010-09-03,1,@,Toledo,W,37,44,84.1,413,3,25,105,4.2,3,7,2,0,1,1
Temple,2010-09-03,1,,Villanova,W,16,27,59.3,200,1,37,122,3.3,1,6,1,1,0,1
Toledo,2010-09-03,1,,Arizona,L,14,23,60.9,103,0,28,80,2.9,0,3,1,1,1,2
Air Force,2010-09-04,1,,Northwestern State,W,7,12,58.3,179,2,61,437,7.2,7,8,5,1,0,1
Akron,2010-09-04,1,,Syracuse,L,12,35,34.3,111,0,24,55,2.3,0,2,1,0,0,0
Alabama,2010-09-04,1,,San Jose State,W,22,30,73.3,334,2,41,257,6.3,4,2,1,1,0,1
Arizona State,2010-09-04,1,,Portland State,W,20,31,64.5,311,2,35,242,6.9,5,9,3,0,1,1
Arkansas,2010-09-04,1,,Tennessee Tech,W,23,30,76.7,323,3,28,196,7.0,3,10,3,1,2,3
Arkansas State,2010-09-04,1,@,Auburn,L,33,49,67.3,323,1,35,43,1.2,2,6,1,0,0,0
Army,2010-09-04,1,@,Eastern Michigan,W,5,11,45.5,65,0,55,309,5.6,4,6,1,1,0,1
Auburn,2010-09-04,1,,Arkansas State,W,11,16,68.8,241,3,49,367,7.5,4,10,4,2,0,2
Baylor,2010-09-04,1,,Sam Houston State,W,21,42,50.0,263,2,25,200,8.0,2,10,2,1,0,1
Boston College,2010-09-04,1,,Weber State,W,12,23,52.2,223,3,33,188,5.7,1,6,1,1,2,3
Bowling Green State,2010-09-04,1,@,Troy,L,22,43,51.2,221,1,25,108,4.3,1,5,3,2,1,3
Brigham Young,2010-09-04,1,,Washington,W,24,40,60.0,262,2,33,146,4.4,0,3,1,0,0,0
California,2010-09-04,1,,California-Davis,W,20,28,71.4,287,3,47,230,4.9,4,4,2,1,0,1
