School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,TFL,Sk,Fum,Pass Int,Turnovers
Brigham Young,2017-08-26,1,,Portland State,W,16,27,59.3,194,1,33,173,5.2,1,8,3,0,0,0
Colorado State,2017-08-26,1,,Oregon State,W,26,39,66.7,334,3,43,191,4.4,3,6,1,1,1,2
Hawaii,2017-08-26,1,@,Massachusetts,W,25,38,65.8,391,3,35,112,3.2,2,7,4,0,1,1
Massachusetts,2017-08-26,1,,Hawaii,L,22,34,64.7,298,2,41,115,2.8,3,5,3,1,1,2
Oregon State,2017-08-26,1,@,Colorado State,L,27,47,57.4,304,2,29,152,5.2,1,2,,2,3,5
Rice,2017-08-26,1,,Stanford,L,10,24,41.7,95,0,38,146,3.8,1,3,2,1,1,2
San Jose State,2017-08-26,1,,South Florida,L,25,50,50.0,278,3,38,109,2.9,0,11,3,0,3,3
South Florida,2017-08-26,1,@,San Jose State,W,13,26,50.0,233,2,74,315,4.3,4,5,1,0,0,0
Stanford,2017-08-26,1,@,Rice,W,21,37,56.8,369,3,36,287,8.0,5,6,2,0,0,0
Arizona State,2017-08-31,1,,New Mexico State,W,24,30,80.0,321,2,40,79,2.0,2,8,6,0,0,0
Arkansas,2017-08-31,1,,Florida A&M,W,16,22,72.7,179,2,45,236,5.2,4,6,3,0,1,1
Buffalo,2017-08-31,1,@,Minnesota,L,22,42,52.4,211,1,22,51,2.3,0,2,,0,1,1
Central Michigan,2017-08-31,1,,Rhode Island,W,28,54,51.9,253,1,50,246,4.9,2,5,1,3,1,4
Cincinnati,2017-08-31,1,,Austin Peay,W,17,28,60.7,151,3,29,97,3.3,1,10,1,0,0,0
Connecticut,2017-08-31,1,,Holy Cross,W,28,41,68.3,278,1,37,160,4.3,3,4,2,2,0,2
Florida International,2017-08-31,1,@,Central Florida,L,18,31,58.1,201,1,26,134,5.2,1,8,,3,1,4
Georgia State,2017-08-31,1,,Tennessee State,L,18,23,78.3,224,1,28,51,1.8,0,4,1,3,1,4
Idaho,2017-08-31,1,,Sacramento State,W,14,19,73.7,163,2,44,197,4.5,2,6,4,1,2,3
Indiana,2017-08-31,1,,Ohio State,L,42,68,61.8,420,3,27,17,0.6,0,3,1,1,2,3
Louisiana-Monroe,2017-08-31,1,@,Memphis,L,21,37,56.8,279,2,49,146,3.0,2,2,1,3,1,4
Memphis,2017-08-31,1,,Louisiana-Monroe,W,10,25,40.0,97,0,39,319,8.2,4,6,2,1,1,2
Minnesota,2017-08-31,1,,Buffalo,W,19,32,59.4,239,1,51,169,3.3,1,6,1,0,1,1
New Mexico State,2017-08-31,1,@,Arizona State,L,40,58,69.0,398,3,30,151,5.0,2,13,7,0,2,2
Ohio State,2017-08-31,1,@,Indiana,W,20,35,57.1,304,3,51,292,5.7,3,10,5,0,0,0
Oklahoma State,2017-08-31,1,,Tulsa,W,21,26,80.8,308,3,37,332,9.0,4,9,1,2,0,2
Toledo,2017-08-31,1,,Elon,W,19,34,55.9,314,0,41,239,5.8,4,5,1,1,1,2
Tulsa,2017-08-31,1,@,Oklahoma State,L,20,38,52.6,188,0,60,244,4.1,2,9,1,2,0,2
UCF,2017-08-31,1,,Florida International,W,26,33,78.8,439,4,45,157,3.5,4,3,1,1,1,2
Utah,2017-08-31,1,,North Dakota,W,23,32,71.9,227,1,47,272,5.8,3,6,1,0,1,1
