School,Date,G,Loc,Opponent,WL,Total TD,Points For,Points Difference,Pass Comp opp,Pass Att opp,Comp Pct opp,Pass Yard opp,Pass TD opp,Rush Att opp,Rush Yard opp,Rush Avg opp,Rush TD opp,Fum opp,Pass Int opp,Turnovers opp
Arizona State,2006-08-31,1,,Northern Arizona,W,5,35,21,16,21,76.2,267,2,38,45,1.2,0,0,1,1
Ball State,2006-08-31,1,,Eastern Michigan,W,5,38,18,18,28,64.3,209,1,38,226,5.9,1,0,1,1
Boise State,2006-08-31,1,,Sacramento State,W,6,45,45,6,15,40.0,32,0,28,50,1.8,0,0,2,2
Boston College,2006-08-31,1,@,Central Michigan,W,4,31,7,24,42,57.1,243,1,27,123,4.6,2,1,1,2
Buffalo,2006-08-31,1,,Temple,W,1,9,6,20,25,80.0,103,0,27,80,3.0,0,0,1,1
Central Michigan,2006-08-31,1,,Boston College,L,3,24,-7,32,47,68.1,323,3,33,66,2.0,1,2,0,2
Connecticut,2006-08-31,1,,Rhode Island,W,7,52,45,7,18,38.9,95,1,49,198,4.0,0,0,2,2
Eastern Michigan,2006-08-31,1,@,Ball State,L,2,20,-18,17,28,60.7,230,4,36,159,4.4,1,0,0,0
Florida International,2006-08-31,1,@,Middle Tennessee State,L,1,6,-1,11,18,61.1,83,0,35,92,2.6,1,0,1,1
Iowa State,2006-08-31,1,,Toledo,W,6,45,2,39,49,79.6,367,3,27,45,1.7,3,1,1,2
Kent State,2006-08-31,1,,Minnesota,L,0,0,-44,8,15,53.3,146,1,55,322,5.9,5,0,1,1
Louisiana-Monroe,2006-08-31,1,,Alcorn State,W,3,24,18,17,33,51.5,165,0,26,40,1.5,0,3,2,5
Miami (OH),2006-08-31,1,,Northwestern,L,0,3,-18,13,17,76.5,106,1,39,193,4.9,1,0,0,0
Middle Tennessee State,2006-08-31,1,,Florida International,W,1,7,1,22,39,56.4,150,0,25,97,3.9,1,1,0,1
Minnesota,2006-08-31,1,@,Kent State,W,6,44,44,7,13,53.8,150,0,37,132,3.6,0,3,3,6
Mississippi State,2006-08-31,1,,South Carolina,L,0,0,-15,15,27,55.6,193,1,29,81,2.8,0,0,1,1
New Mexico State,2006-08-31,1,,Southeastern Louisiana,W,4,30,15,17,28,60.7,130,1,26,88,3.4,1,1,1,2
Northwestern,2006-08-31,1,@,Miami (OH),W,3,21,18,16,26,61.5,175,0,29,72,2.5,0,0,0,0
Oregon State,2006-08-31,1,,Eastern Washington,W,8,56,39,12,26,46.2,140,0,30,-14,-0.5,1,3,1,4
San Diego State,2006-08-31,1,,Texas-El Paso,L,3,27,-7,20,29,69.0,213,3,19,30,1.6,1,0,4,4
South Carolina,2006-08-31,1,@,Mississippi State,W,1,15,15,8,23,34.8,82,0,33,79,2.4,0,0,2,2
Temple,2006-08-31,1,@,Buffalo,L,0,3,-6,13,24,54.2,188,0,41,168,4.1,1,1,0,1
Toledo,2006-08-31,1,@,Iowa State,L,6,43,-2,17,26,65.4,234,2,41,159,3.9,4,1,0,1
Tulsa,2006-08-31,1,,Stephen F. Austin,W,6,45,38,12,25,48.0,79,0,25,106,4.2,1,0,1,1
UTEP,2006-08-31,1,@,San Diego State,W,5,34,7,24,30,80.0,275,0,46,109,2.4,3,1,2,3
Fresno State,2006-09-01,1,,Nevada,W,4,28,9,18,34,52.9,183,2,34,168,4.9,1,1,0,1
Nevada,2006-09-01,1,@,Fresno State,L,3,19,-9,16,24,66.7,124,1,38,212,5.6,3,1,0,1
Akron,2006-09-02,1,@,Penn State,L,2,16,-18,16,32,50.0,206,3,27,76,2.8,1,2,0,2
Alabama,2006-09-02,1,,Hawaii,W,2,25,8,30,44,68.2,350,2,15,22,1.5,0,2,1,3
Arizona,2006-09-02,1,,Brigham Young,W,1,16,3,28,37,75.7,289,1,24,24,1.0,0,2,0,2
Arkansas,2006-09-02,1,,Southern California,L,2,14,-36,25,38,65.8,280,3,42,192,4.6,3,0,0,0
Arkansas State,2006-09-02,1,,Army,W,2,14,8,12,23,52.2,95,0,27,69,2.6,0,1,2,3
Army,2006-09-02,1,@,Arkansas State,L,0,6,-8,11,16,68.8,97,0,45,222,4.9,2,3,0,3
Auburn,2006-09-02,1,,Washington State,W,4,40,26,17,33,51.5,150,2,28,124,4.4,0,0,1,1
Bowling Green State,2006-09-02,1,,Wisconsin,L,2,14,-21,9,15,60.0,124,1,41,197,4.8,3,0,1,1
Brigham Young,2006-09-02,1,@,Arizona,L,1,13,-3,19,39,48.7,186,1,24,67,2.8,0,0,1,1
California,2006-09-02,1,@,Tennessee,L,2,18,-17,13,20,65.0,298,4,41,216,5.3,1,1,1,2
Cincinnati,2006-09-02,1,,Eastern Kentucky,W,4,31,31,17,33,51.5,177,0,31,73,2.4,0,0,3,3
Clemson,2006-09-02,1,,Florida Atlantic,W,7,54,48,20,43,46.5,216,0,34,47,1.4,0,3,1,4
Colorado,2006-09-02,1,,Montana State,L,1,10,-9,24,35,68.6,238,1,35,50,1.4,0,0,0,0
Colorado State,2006-09-02,1,,Weber State,W,4,30,24,13,24,54.2,124,0,24,-38,-1.6,0,0,0,0
Duke,2006-09-02,1,,Richmond,L,0,0,-13,11,23,47.8,120,1,41,105,2.6,0,1,0,1
East Carolina,2006-09-02,1,@,Navy,L,3,23,-5,2,6,33.3,6,0,70,403,5.8,4,2,0,2
Florida,2006-09-02,1,,Southern Mississippi,W,5,34,27,17,37,45.9,176,1,25,119,4.8,0,0,3,3
Florida Atlantic,2006-09-02,1,@,Clemson,L,0,6,-48,14,23,60.9,173,3,39,199,5.1,2,3,1,4
Georgia,2006-09-02,1,,Western Kentucky,W,6,48,36,12,27,44.4,126,1,35,67,1.9,0,1,1,2
Georgia Tech,2006-09-02,1,,Notre Dame,L,1,10,-4,23,38,60.5,246,0,40,138,3.5,2,0,0,0
Hawaii,2006-09-02,1,@,Alabama,L,2,17,-8,16,29,55.2,253,1,36,125,3.5,1,0,0,0
Houston,2006-09-02,1,@,Rice,W,4,31,1,12,26,46.2,152,2,31,131,4.2,2,1,1,2
Idaho,2006-09-02,1,@,Michigan State,L,2,17,-10,16,25,64.0,225,1,36,175,4.9,2,0,0,0
Illinois,2006-09-02,1,,Eastern Illinois,W,6,42,25,12,22,54.5,187,2,33,106,3.2,0,0,2,2
Indiana,2006-09-02,1,,Western Michigan,W,5,39,19,25,34,73.5,217,1,32,72,2.3,1,1,2,3
Iowa,2006-09-02,1,,Montana,W,5,41,34,17,31,54.8,134,1,24,10,0.4,0,0,1,1
Kansas,2006-09-02,1,,Northwestern State,W,7,49,31,22,40,55.0,217,1,30,62,2.1,0,1,1,2
Kansas State,2006-09-02,1,,Illinois State,W,2,24,1,24,38,63.2,253,3,34,93,2.7,0,1,1,2
Louisiana,2006-09-02,1,@,Louisiana State,L,0,3,-42,17,23,73.9,299,3,36,170,4.7,2,2,0,2
Louisiana Tech,2006-09-02,1,@,Nebraska,L,1,10,-39,24,36,66.7,332,4,48,252,5.3,3,1,1,2
LSU,2006-09-02,1,,Louisiana,W,6,45,42,7,17,41.2,63,0,35,113,3.2,0,0,2,2
Marshall,2006-09-02,1,@,West Virginia,L,1,10,-32,11,15,73.3,173,2,52,312,6.0,4,0,0,0
Maryland,2006-09-02,1,,William & Mary,W,3,27,13,25,41,61.0,226,2,29,84,2.9,0,0,0,0
Michigan,2006-09-02,1,,Vanderbilt,W,3,27,20,12,26,46.2,129,1,26,42,1.6,0,2,0,2
Michigan State,2006-09-02,1,,Idaho,W,3,27,10,17,31,54.8,155,1,36,113,3.1,1,0,1,1
