School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Pass Int,Turnovers
California,2003-08-23,1,@,Kansas State,L,25,42,59.5,378,4,27,62,2.3,0,0,1,1
Kansas State,2003-08-23,1,,California,W,9,18,50.0,205,3,46,330,7.2,2,0,0,0
San Jose State,2003-08-23,1,,Grambling State,W,27,41,65.9,335,1,41,118,2.9,1,2,0,2
Akron,2003-08-28,1,,Kent State,L,36,47,76.6,407,3,30,40,1.3,2,0,0,0
Ball State,2003-08-28,1,,Indiana State,W,14,30,46.7,204,2,31,91,2.9,1,0,1,1
Bowling Green State,2003-08-28,1,,Eastern Kentucky,W,26,37,70.3,422,3,44,222,5.0,6,1,1,2
Brigham Young,2003-08-28,1,,Georgia Tech,W,31,47,66.0,276,3,32,86,2.7,0,0,2,2
Eastern Michigan,2003-08-28,1,,East Tennessee State,W,15,26,57.7,223,2,35,134,3.8,2,0,1,1
Georgia Tech,2003-08-28,1,@,Brigham Young,L,15,24,62.5,147,0,23,96,4.2,0,3,1,4
Kent State,2003-08-28,1,@,Akron,W,25,44,56.8,340,3,44,181,4.1,2,0,1,1
Louisiana Tech,2003-08-28,1,,Miami (FL),L,19,34,55.9,246,0,19,64,3.4,0,1,2,3
Maryland,2003-08-28,1,@,Northern Illinois,L,12,24,50.0,110,0,35,112,3.2,1,1,1,2
Miami (FL),2003-08-28,1,@,Louisiana Tech,W,18,35,51.4,275,2,43,192,4.5,1,0,1,1
Middle Tennessee State,2003-08-28,1,,Florida Atlantic,L,19,35,54.3,160,1,44,183,4.2,1,0,0,0
Northern Illinois,2003-08-28,1,,Maryland,W,21,35,60.0,266,2,43,59,1.4,0,0,1,1
Ohio,2003-08-28,1,,Southeast Missouri State,W,10,18,55.6,81,1,53,204,3.8,1,4,0,4
Oregon State,2003-08-28,1,,Sacramento State,W,19,37,51.4,301,2,44,226,5.1,3,1,0,1
Utah,2003-08-28,1,,Utah State,W,16,26,61.5,180,3,53,202,3.8,2,0,2,2
Utah State,2003-08-28,1,@,Utah,L,19,41,46.3,280,1,26,77,3.0,1,1,1,2
Toledo,2003-08-29,1,@,Nevada-Las Vegas,L,17,34,50.0,145,2,29,94,3.2,0,2,0,2
UNLV,2003-08-29,1,,Toledo,W,27,41,65.9,308,3,39,150,3.8,0,2,1,3
Air Force,2003-08-30,1,,Wofford,W,7,11,63.6,89,1,74,380,5.1,6,0,0,0
Alabama,2003-08-30,1,,South Florida,W,14,27,51.9,203,1,48,188,3.9,2,1,0,1
Arizona,2003-08-30,1,,Texas-El Paso,W,14,26,53.8,229,2,43,217,5.0,4,0,2,2
Arkansas State,2003-08-30,1,@,Texas A&M,L,11,20,55.0,94,0,38,114,3.0,0,1,1,2
Auburn,2003-08-30,1,,Southern California,L,12,26,46.2,121,0,36,43,1.2,0,2,1,3
Baylor,2003-08-30,1,,Alabama-Birmingham,L,20,38,52.6,227,2,37,166,4.5,0,1,0,1
Boston College,2003-08-30,1,,Wake Forest,L,26,44,59.1,292,2,46,155,3.4,2,3,0,3
Buffalo,2003-08-30,1,@,Rutgers,L,7,21,33.3,60,0,41,232,5.7,1,1,0,1
California,2003-08-30,2,,Southern Mississippi,W,11,18,61.1,157,2,48,260,5.4,1,1,0,1
Central Michigan,2003-08-30,1,@,Michigan,L,18,29,62.1,150,0,45,218,4.8,1,1,1,2
Clemson,2003-08-30,1,,Georgia,L,20,37,54.1,164,0,24,35,1.5,0,2,1,3
Colorado,2003-08-30,1,N,Colorado State,W,21,34,61.8,402,4,43,102,2.4,2,1,0,1
Colorado State,2003-08-30,1,N,Colorado,L,18,40,45.0,339,3,39,246,6.3,2,2,1,3
Connecticut,2003-08-30,1,,Indiana,W,26,42,61.9,307,3,38,200,5.3,1,0,1,1
Duke,2003-08-30,1,@,Virginia,L,11,29,37.9,120,0,35,152,4.3,0,0,0,0
Florida,2003-08-30,1,,San Jose State,W,27,41,65.9,357,3,34,155,4.6,3,1,1,2
Florida State,2003-08-30,1,@,North Carolina,W,24,37,64.9,317,1,42,236,5.6,4,2,0,2
Fresno State,2003-08-30,1,@,Tennessee,L,13,24,54.2,118,0,24,-1,0.0,0,0,0,0
Georgia,2003-08-30,1,@,Clemson,W,13,21,61.9,214,1,49,197,4.0,2,0,0,0
Hawaii,2003-08-30,1,,Appalachian State,W,22,38,57.9,359,3,27,91,3.4,1,0,3,3
Houston,2003-08-30,1,,Rice,W,17,23,73.9,246,2,49,194,4.0,4,0,0,0
Idaho,2003-08-30,1,N,Washington State,L,16,36,44.4,167,0,26,83,3.2,0,0,3,3
Illinois,2003-08-30,1,N,Missouri,L,31,45,68.9,284,1,34,127,3.7,0,1,0,1
Indiana,2003-08-30,1,@,Connecticut,L,13,29,44.8,211,1,42,110,2.6,0,3,0,3
Iowa,2003-08-30,1,,Miami (OH),W,12,19,63.2,129,2,40,232,5.8,1,1,0,1
Iowa State,2003-08-30,1,,Northern Iowa,W,9,18,50.0,158,1,45,169,3.8,1,0,1,1
Kansas,2003-08-30,1,,Northwestern,L,13,30,43.3,255,1,27,100,3.7,0,3,2,5
Kansas State,2003-08-30,2,,Troy,W,10,24,41.7,245,1,43,147,3.4,4,1,2,3
Louisiana,2003-08-30,1,@,South Carolina,L,12,27,44.4,134,0,35,134,3.8,0,2,1,3
Louisiana-Monroe,2003-08-30,1,@,Louisiana State,L,15,34,44.1,181,0,26,59,2.3,1,1,1,2
LSU,2003-08-30,1,,Louisiana-Monroe,W,18,35,51.4,306,4,43,168,3.9,2,0,1,1
Marshall,2003-08-30,1,,Hofstra,W,26,38,68.4,347,2,50,261,5.2,4,2,3,5
Memphis,2003-08-30,1,,Tennessee Tech,W,24,38,63.2,390,2,44,177,4.0,3,0,0,0
Miami (OH),2003-08-30,1,@,Iowa,L,27,42,64.3,250,0,29,54,1.9,0,0,4,4
Michigan,2003-08-30,1,,Central Michigan,W,22,36,61.1,273,2,46,342,7.4,4,0,1,1
Michigan State,2003-08-30,1,,Western Michigan,W,21,34,61.8,324,3,30,97,3.2,0,0,2,2
Minnesota,2003-08-30,1,,Tulsa,W,16,26,61.5,277,3,49,254,5.2,4,0,0,0
Mississippi State,2003-08-30,1,,Oregon,L,23,40,57.5,285,3,22,124,5.6,2,2,1,3
Missouri,2003-08-30,1,N,Illinois,W,12,18,66.7,102,2,41,121,3.0,1,0,0,0
Navy,2003-08-30,1,,Virginia Military Institute,W,11,23,47.8,228,0,53,370,7.0,5,1,1,2
Nebraska,2003-08-30,1,,Oklahoma State,W,8,16,50.0,78,0,65,268,4.1,1,1,1,2
Nevada,2003-08-30,1,,Southern Utah,W,19,32,59.4,195,2,46,203,4.4,0,3,0,3
