School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
Brigham Young,2017-08-26,1,,Portland State,W,1,6
Colorado State,2017-08-26,1,,Oregon State,W,3,27
Hawaii,2017-08-26,1,@,Massachusetts,W,5,35
Massachusetts,2017-08-26,1,,Hawaii,L,5,38
Oregon State,2017-08-26,1,@,Colorado State,L,7,58
Rice,2017-08-26,1,,Stanford,L,8,62
San Jose State,2017-08-26,1,,South Florida,L,6,42
South Florida,2017-08-26,1,@,San Jose State,W,3,22
Stanford,2017-08-26,1,@,Rice,W,1,7
Arizona State,2017-08-31,1,,New Mexico State,W,5,31
Arkansas,2017-08-31,1,,Florida A&M,W,1,7
Buffalo,2017-08-31,1,@,Minnesota,L,2,17
Central Michigan,2017-08-31,1,,Rhode Island,W,3,27
Cincinnati,2017-08-31,1,,Austin Peay,W,2,14
Connecticut,2017-08-31,1,,Holy Cross,W,2,20
Florida International,2017-08-31,1,@,Central Florida,L,8,61
Georgia State,2017-08-31,1,,Tennessee State,L,2,17
Idaho,2017-08-31,1,,Sacramento State,W,0,6
Indiana,2017-08-31,1,,Ohio State,L,6,49
Louisiana-Monroe,2017-08-31,1,@,Memphis,L,5,37
Memphis,2017-08-31,1,,Louisiana-Monroe,W,4,29
Minnesota,2017-08-31,1,,Buffalo,W,1,7
New Mexico State,2017-08-31,1,@,Arizona State,L,5,37
Ohio State,2017-08-31,1,@,Indiana,W,3,21
Oklahoma State,2017-08-31,1,,Tulsa,W,3,24
Toledo,2017-08-31,1,,Elon,W,2,13
Tulsa,2017-08-31,1,@,Oklahoma State,L,8,59
UCF,2017-08-31,1,,Florida International,W,2,17
Utah,2017-08-31,1,,North Dakota,W,1,16
Wake Forest,2017-08-31,1,,Presbyterian,W,1,7
Army,2017-09-01,1,,Fordham,W,1,6
Boston College,2017-09-01,1,@,Northern Illinois,W,2,20
Charlotte,2017-09-01,1,@,Eastern Michigan,L,3,24
Colorado,2017-09-01,1,,Colorado State,W,0,3
Colorado State,2017-09-01,2,@,Colorado,L,2,17
Eastern Michigan,2017-09-01,1,,Charlotte,W,1,7
Florida Atlantic,2017-09-01,1,,Navy,L,6,42
Navy,2017-09-01,1,@,Florida Atlantic,W,2,19
Northern Illinois,2017-09-01,1,,Boston College,L,2,23
Rutgers,2017-09-01,1,,Washington,L,3,30
Syracuse,2017-09-01,1,,Central Connecticut State,W,1,7
Utah State,2017-09-01,1,@,Wisconsin,L,8,59
Washington,2017-09-01,1,@,Rutgers,W,2,14
Wisconsin,2017-09-01,1,,Utah State,W,1,10
Air Force,2017-09-02,1,,Virginia Military Institute,W,0,0
Akron,2017-09-02,1,@,Penn State,L,7,52
Alabama,2017-09-02,1,@,Florida State,W,1,7
Appalachian State,2017-09-02,1,@,Georgia,L,4,31
