School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
Ball State,2010-09-02,1,,Southeast Missouri State,W,1,10
Buffalo,2010-09-02,1,,Rhode Island,W,0,0
Central Michigan,2010-09-02,1,,Hampton,W,0,0
Florida Atlantic,2010-09-02,1,@,Alabama-Birmingham,W,4,31
Hawaii,2010-09-02,1,,Southern California,L,7,49
Idaho,2010-09-02,1,,North Dakota,W,0,0
Indiana,2010-09-02,1,,Towson,W,2,17
Iowa State,2010-09-02,1,,Northern Illinois,W,1,10
Kent State,2010-09-02,1,,Murray State,W,1,10
Marshall,2010-09-02,1,@,Ohio State,L,6,45
Miami (FL),2010-09-02,1,,Florida A&M,W,0,0
Middle Tennessee State,2010-09-02,1,,Minnesota,L,3,24
Minnesota,2010-09-02,1,@,Middle Tennessee State,W,2,17
Nevada,2010-09-02,1,,Eastern Washington,W,3,24
Northern Illinois,2010-09-02,1,@,Iowa State,L,3,27
Ohio State,2010-09-02,1,,Marshall,W,1,7
Pitt,2010-09-02,1,@,Utah,L,3,27
Rutgers,2010-09-02,1,,Norfolk State,W,0,0
South Carolina,2010-09-02,1,,Southern Mississippi,W,1,13
Southern Mississippi,2010-09-02,1,@,South Carolina,L,5,41
Tulane,2010-09-02,1,,Southeastern Louisiana,W,3,21
UAB,2010-09-02,1,,Florida Atlantic,L,5,32
USC,2010-09-02,1,@,Hawaii,W,4,36
Utah,2010-09-02,1,,Pittsburgh,W,2,24
Wake Forest,2010-09-02,1,,Presbyterian,W,2,13
Arizona,2010-09-03,1,@,Toledo,W,0,2
Temple,2010-09-03,1,,Villanova,W,3,24
Toledo,2010-09-03,1,,Arizona,L,6,41
Air Force,2010-09-04,1,,Northwestern State,W,3,21
Akron,2010-09-04,1,,Syracuse,L,4,29
Alabama,2010-09-04,1,,San Jose State,W,0,3
Arizona State,2010-09-04,1,,Portland State,W,0,9
Arkansas,2010-09-04,1,,Tennessee Tech,W,0,3
Arkansas State,2010-09-04,1,@,Auburn,L,7,52
Army,2010-09-04,1,@,Eastern Michigan,W,4,27
Auburn,2010-09-04,1,,Arkansas State,W,3,26
Baylor,2010-09-04,1,,Sam Houston State,W,0,3
Boston College,2010-09-04,1,,Weber State,W,2,20
Bowling Green State,2010-09-04,1,@,Troy,L,3,30
Brigham Young,2010-09-04,1,,Washington,W,2,17
California,2010-09-04,1,,California-Davis,W,0,3
Cincinnati,2010-09-04,1,@,Fresno State,L,4,28
Clemson,2010-09-04,1,,North Texas,W,1,10
Colorado,2010-09-04,1,N,Colorado State,W,0,3
Colorado State,2010-09-04,1,N,Colorado,L,3,24
Connecticut,2010-09-04,1,@,Michigan,L,4,30
Duke,2010-09-04,1,,Elon,W,3,27
Eastern Michigan,2010-09-04,1,,Army,L,4,31
Florida,2010-09-04,1,,Miami (OH),W,0,12
Florida State,2010-09-04,1,,Samford,W,0,6
Fresno State,2010-09-04,1,,Cincinnati,W,2,14
Georgia,2010-09-04,1,,Louisiana,W,1,7
Georgia Tech,2010-09-04,1,,South Carolina State,W,1,10
Houston,2010-09-04,1,,Texas State,W,4,28
Illinois,2010-09-04,1,N,Missouri,L,2,23
Iowa,2010-09-04,1,,Eastern Illinois,W,1,7
Kansas,2010-09-04,1,,North Dakota State,L,0,6
Kansas State,2010-09-04,1,,UCLA,W,2,22
Kentucky,2010-09-04,1,@,Louisville,W,1,16
