School,Date,G,Loc,Opponent,WL,Pass Comp,Pass Att,Comp Pct,Pass Yard,Pass TD,Rush Att,Rush Yard,Rush Avg,Rush TD,Fum,Pass Int,Turnovers
Alabama,2001-11-10,9,,Mississippi State,W,13,27,48.1,173,1,46,228,5.0,2,2,0,2
Arizona,2001-11-10,10,,Stanford,L,25,50,50.0,415,2,24,163,6.8,2,4,1,5
Arizona State,2001-11-10,9,,Washington State,L,13,32,40.6,299,1,42,130,3.1,1,2,1,3
Arkansas,2001-11-10,9,,Central Florida,W,9,16,56.3,129,1,47,238,5.1,2,2,0,2
Arkansas State,2001-11-10,9,@,New Mexico State,L,11,23,47.8,149,0,57,270,4.7,2,1,1,2
Army,2001-11-10,9,,Buffalo,L,27,45,60.0,272,1,27,96,3.6,2,0,3,3
Auburn,2001-11-10,9,@,Georgia,W,15,25,60.0,196,1,62,179,2.9,2,1,1,2
Ball State,2001-11-10,9,,Kent State,L,12,23,52.2,93,0,58,219,3.8,2,1,3,4
Baylor,2001-11-10,9,@,Missouri,L,29,46,63.0,281,3,34,121,3.6,0,1,1,2
Boise State,2001-11-10,10,@,Hawaii,W,18,32,56.3,211,1,49,187,3.8,2,1,2,3
Boston College,2001-11-10,9,,Miami (FL),L,12,29,41.4,162,1,40,131,3.3,0,1,2,3
Bowling Green State,2001-11-10,9,@,Ohio,W,13,22,59.1,156,1,57,244,4.3,1,0,2,2
Brigham Young,2001-11-10,10,@,Wyoming,W,23,38,60.5,268,1,41,247,6.0,4,3,1,4
Buffalo,2001-11-10,10,@,Army,W,17,30,56.7,185,1,46,150,3.3,1,0,0,0
California,2001-11-10,9,,Southern California,L,13,26,50.0,155,1,34,68,2.0,1,1,3,4
Central Michigan,2001-11-10,9,,Eastern Michigan,W,14,23,60.9,185,0,40,266,6.7,5,2,1,3
Cincinnati,2001-11-10,9,,East Carolina,L,18,34,52.9,253,0,56,190,3.4,3,0,1,1
Clemson,2001-11-10,9,@,Maryland,L,18,37,48.6,218,1,35,123,3.5,0,0,4,4
Colorado,2001-11-10,10,@,Iowa State,W,18,27,66.7,247,2,57,255,4.5,2,1,0,1
Connecticut,2001-11-10,9,,Utah State,L,19,51,37.3,245,2,26,34,1.3,1,1,3,4
East Carolina,2001-11-10,9,@,Cincinnati,W,12,19,63.2,159,1,39,305,7.8,3,2,1,3
Eastern Michigan,2001-11-10,9,@,Central Michigan,L,23,50,46.0,321,3,41,187,4.6,1,0,0,0
Florida,2001-11-10,9,@,South Carolina,W,22,34,64.7,312,4,31,170,5.5,1,1,0,1
Florida State,2001-11-10,9,,North Carolina State,L,20,35,57.1,302,3,28,132,4.7,1,1,1,2
Fresno State,2001-11-10,10,@,Southern Methodist,W,25,37,67.6,292,4,35,79,2.3,1,0,2,2
Georgia,2001-11-10,8,,Auburn,L,16,34,47.1,302,2,27,73,2.7,0,1,2,3
Georgia Tech,2001-11-10,9,@,Virginia,L,39,55,70.9,486,1,33,74,2.2,4,0,1,1
Hawaii,2001-11-10,9,,Boise State,L,23,46,50.0,258,1,20,80,4.0,1,0,1,1
Houston,2001-11-10,9,@,Louisville,L,16,30,53.3,157,0,36,108,3.0,1,0,0,0
Illinois,2001-11-10,9,,Penn State,W,16,33,48.5,195,1,47,184,3.9,3,0,2,2
Indiana,2001-11-10,8,@,Michigan State,W,4,13,30.8,48,0,63,489,7.8,5,1,0,1
Iowa,2001-11-10,9,@,Northwestern,W,17,24,70.8,305,2,60,283,4.7,6,0,1,1
Iowa State,2001-11-10,9,,Colorado,L,22,36,61.1,279,3,35,132,3.8,1,0,1,1
Kansas,2001-11-10,9,@,Texas,L,5,19,26.3,40,0,33,27,0.8,0,2,2,4
Kansas State,2001-11-10,9,@,Nebraska,L,4,18,22.2,37,1,44,239,5.4,2,0,3,3
Kent State,2001-11-10,10,@,Ball State,W,5,14,35.7,95,1,37,309,8.4,3,0,0,0
Kentucky,2001-11-10,9,@,Vanderbilt,W,26,37,70.3,453,6,30,130,4.3,1,1,0,1
