School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
Ball State,2008-08-28,1,,Northeastern,W,2,14
Baylor,2008-08-28,1,,Wake Forest,L,5,41
Buffalo,2008-08-28,1,,Texas-El Paso,W,2,17
Central Michigan,2008-08-28,1,,Eastern Illinois,W,1,12
Cincinnati,2008-08-28,1,,Eastern Kentucky,W,1,7
Connecticut,2008-08-28,1,,Hofstra,W,0,3
Eastern Michigan,2008-08-28,1,,Indiana State,W,0,0
Georgia Tech,2008-08-28,1,,Jacksonville State,W,2,14
Iowa State,2008-08-28,1,,South Dakota State,W,2,17
Miami (FL),2008-08-28,1,,Charleston Southern,W,1,7
Miami (OH),2008-08-28,1,,Vanderbilt,L,4,34
Middle Tennessee State,2008-08-28,1,,Troy,L,4,31
North Carolina State,2008-08-28,1,@,South Carolina,L,4,34
Oregon State,2008-08-28,1,@,Stanford,L,4,36
South Carolina,2008-08-28,1,,North Carolina State,W,0,0
Stanford,2008-08-28,1,,Oregon State,W,3,28
Troy,2008-08-28,1,@,Middle Tennessee State,W,2,17
UTEP,2008-08-28,1,@,Buffalo,L,6,42
Vanderbilt,2008-08-28,1,@,Miami (OH),W,1,13
Wake Forest,2008-08-28,1,@,Baylor,W,2,13
Army,2008-08-29,1,,Temple,L,5,35
Rice,2008-08-29,1,,Southern Methodist,W,4,27
SMU,2008-08-29,1,@,Rice,L,8,56
Temple,2008-08-29,1,@,Army,W,1,7
Air Force,2008-08-30,1,,Southern Utah,W,1,7
Akron,2008-08-30,1,@,Wisconsin,L,5,38
Alabama,2008-08-30,1,N,Clemson,W,1,10
Arizona,2008-08-30,1,,Idaho,W,0,0
Arizona State,2008-08-30,1,,Northern Arizona,W,1,13
Arkansas,2008-08-30,1,,Western Illinois,W,3,24
Arkansas State,2008-08-30,1,@,Texas A&M,W,2,14
Auburn,2008-08-30,1,,Louisiana-Monroe,W,0,0
Boise State,2008-08-30,1,,Idaho State,W,1,7
Boston College,2008-08-30,1,@,Kent State,W,0,0
Bowling Green State,2008-08-30,1,@,Pittsburgh,W,2,17
Brigham Young,2008-08-30,1,,Northern Iowa,W,2,17
California,2008-08-30,1,,Michigan State,W,4,31
Clemson,2008-08-30,1,N,Alabama,L,3,34
Duke,2008-08-30,1,,James Madison,W,1,7
East Carolina,2008-08-30,1,N,Virginia Tech,W,3,22
Florida,2008-08-30,1,,Hawaii,W,1,10
Florida Atlantic,2008-08-30,1,@,Texas,L,7,52
Florida International,2008-08-30,1,@,Kansas,L,5,40
Georgia,2008-08-30,1,,Georgia Southern,W,3,21
Hawaii,2008-08-30,1,@,Florida,L,8,56
Houston,2008-08-30,1,,Southern,W,0,3
Idaho,2008-08-30,1,@,Arizona,L,10,70
Illinois,2008-08-30,1,N,Missouri,L,7,52
Indiana,2008-08-30,1,,Western Kentucky,W,1,13
Iowa,2008-08-30,1,,Maine,W,0,3
Kansas,2008-08-30,1,,Florida International,W,1,10
Kansas State,2008-08-30,1,,North Texas,W,1,6
Kent State,2008-08-30,1,,Boston College,L,3,21
Louisiana,2008-08-30,1,@,Southern Mississippi,L,7,51
Louisiana Tech,2008-08-30,1,,Mississippi State,W,2,14
Louisiana-Monroe,2008-08-30,1,@,Auburn,L,4,34
LSU,2008-08-30,1,,Appalachian State,W,1,13
Marshall,2008-08-30,1,,Illinois State,W,1,10
Maryland,2008-08-30,1,,Delaware,W,1,7
Memphis,2008-08-30,1,@,Mississippi,L,5,41
Michigan,2008-08-30,1,,Utah,L,2,25
Michigan State,2008-08-30,1,@,California,L,5,38
Minnesota,2008-08-30,1,,Northern Illinois,W,3,27
Mississippi State,2008-08-30,1,@,Louisiana Tech,L,2,22
Missouri,2008-08-30,1,N,Illinois,W,6,42
Navy,2008-08-30,1,,Towson,W,2,13
Nebraska,2008-08-30,1,,Western Michigan,W,3,24
