School,Date,G,Loc,Opponent,WL,Total TD opp,Points Against
Nevada,2008-08-30,1,,Grambling State,W,2,13
New Mexico,2008-08-30,1,,Texas Christian,L,3,26
North Carolina,2008-08-30,1,,McNeese State,W,4,27
North Texas,2008-08-30,1,@,Kansas State,L,6,45
Northern Illinois,2008-08-30,1,@,Minnesota,L,4,31
Northwestern,2008-08-30,1,,Syracuse,W,1,10
Ohio,2008-08-30,1,@,Wyoming,L,3,21
Ohio State,2008-08-30,1,,Youngstown State,W,0,0
Oklahoma,2008-08-30,1,,Chattanooga,W,0,2
Oklahoma State,2008-08-30,1,@,Washington State,W,2,13
Ole Miss,2008-08-30,1,,Memphis,W,3,24
Oregon,2008-08-30,1,,Washington,W,1,10
Penn State,2008-08-30,1,,Coastal Carolina,W,1,10
Pitt,2008-08-30,1,,Bowling Green State,L,4,27
San Diego State,2008-08-30,1,,Cal Poly,L,3,29
San Jose State,2008-08-30,1,,California-Davis,W,1,10
South Florida,2008-08-30,1,,Tennessee-Martin,W,1,7
Southern Mississippi,2008-08-30,1,,Louisiana,W,3,21
Syracuse,2008-08-30,1,@,Northwestern,L,4,30
Texas,2008-08-30,1,,Florida Atlantic,W,1,10
Texas A&M,2008-08-30,1,,Arkansas State,L,1,18
Texas Christian,2008-08-30,1,@,New Mexico,W,0,3
Texas Tech,2008-08-30,1,,Eastern Washington,W,3,24
Tulsa,2008-08-30,1,@,Alabama-Birmingham,W,3,22
UAB,2008-08-30,1,,Tulsa,L,6,45
UCF,2008-08-30,1,,South Carolina State,W,0,0
UNLV,2008-08-30,1,,Utah State,W,2,17
USC,2008-08-30,1,@,Virginia,W,1,7
Utah,2008-08-30,1,@,Michigan,W,3,23
Utah State,2008-08-30,1,@,Nevada-Las Vegas,L,3,27
Virginia,2008-08-30,1,,Southern California,L,7,52
Virginia Tech,2008-08-30,1,N,East Carolina,L,4,27
Washington,2008-08-30,1,@,Oregon,L,6,44
Washington State,2008-08-30,1,,Oklahoma State,L,4,39
West Virginia,2008-08-30,1,,Villanova,W,3,21
Western Kentucky,2008-08-30,1,@,Indiana,L,4,31
Western Michigan,2008-08-30,1,@,Nebraska,L,5,47
Wisconsin,2008-08-30,1,,Akron,W,2,17
Wyoming,2008-08-30,1,,Ohio,W,2,20
Colorado,2008-08-31,1,N,Colorado State,W,2,17
Colorado State,2008-08-31,1,N,Colorado,L,5,38
Kentucky,2008-08-31,1,@,Louisville,W,0,2
Louisville,2008-08-31,1,,Kentucky,L,3,27
Fresno State,2008-09-01,1,@,Rutgers,W,1,7
Rutgers,2008-09-01,1,,Fresno State,L,3,24
Tennessee,2008-09-01,1,@,UCLA,L,3,27
UCLA,2008-09-01,1,,Tennessee,W,3,24
South Carolina,2008-09-04,2,@,Vanderbilt,L,3,24
Vanderbilt,2008-09-04,2,,South Carolina,W,2,17
Ball State,2008-09-05,2,,Navy,W,2,23
Navy,2008-09-05,2,@,Ball State,L,5,35
Air Force,2008-09-06,2,@,Wyoming,W,0,3
Akron,2008-09-06,2,@,Syracuse,W,4,28
Alabama,2008-09-06,2,,Tulane,W,0,6
Arizona,2008-09-06,2,,Toledo,W,1,16
Arizona State,2008-09-06,2,,Stanford,W,2,17
Arkansas,2008-09-06,2,,Louisiana-Monroe,W,3,27
Arkansas State,2008-09-06,2,,Texas Southern,W,1,10
Army,2008-09-06,2,,New Hampshire,L,4,28
Auburn,2008-09-06,2,,Southern Mississippi,W,2,13
Baylor,2008-09-06,2,,Northwestern State,W,0,6
Boston College,2008-09-06,2,,Georgia Tech,L,2,19
Bowling Green State,2008-09-06,2,,Minnesota,L,6,42
Brigham Young,2008-09-06,2,@,Washington,W,4,27
Buffalo,2008-09-06,2,@,Pittsburgh,L,3,27
California,2008-09-06,2,@,Washington State,W,0,3
Central Michigan,2008-09-06,2,@,Georgia,L,8,56
Cincinnati,2008-09-06,2,@,Oklahoma,L,7,52
Clemson,2008-09-06,2,,Citadel,W,2,17
Colorado,2008-09-06,2,,Eastern Washington,W,3,24
Colorado State,2008-09-06,2,,Sacramento State,W,2,20
Connecticut,2008-09-06,2,@,Temple,W,0,9
Duke,2008-09-06,2,,Northwestern,L,3,24
East Carolina,2008-09-06,2,,West Virginia,W,0,3
Eastern Michigan,2008-09-06,2,@,Michigan State,L,6,42
Florida,2008-09-06,2,,Miami (FL),W,0,3
Florida Atlantic,2008-09-06,2,,Alabama-Birmingham,W,4,34
Florida International,2008-09-06,2,@,Iowa,L,6,42
Florida State,2008-09-06,1,,Western Carolina,W,0,0
Georgia,2008-09-06,2,,Central Michigan,W,2,17
Georgia Tech,2008-09-06,2,@,Boston College,W,1,16
Hawaii,2008-09-06,2,,Weber State,W,2,17
Houston,2008-09-06,2,@,Oklahoma State,L,8,56
Idaho,2008-09-06,2,,Idaho State,W,4,27
Illinois,2008-09-06,2,,Eastern Illinois,W,3,21
Indiana,2008-09-06,2,,Murray State,W,0,3
Iowa,2008-09-06,2,,Florida International,W,0,0
Iowa State,2008-09-06,2,,Kent State,W,4,28
Kansas,2008-09-06,2,,Louisiana Tech,W,0,0
Kansas State,2008-09-06,2,,Montana State,W,1,10
Kent State,2008-09-06,2,@,Iowa State,L,6,48
Kentucky,2008-09-06,2,,Norfolk State,W,0,3
Louisiana Tech,2008-09-06,2,@,Kansas,L,3,29
Louisiana-Monroe,2008-09-06,2,@,Arkansas,L,4,28
Louisville,2008-09-06,2,,Tennessee Tech,W,1,10
Marshall,2008-09-06,2,@,Wisconsin,L,7,51
Maryland,2008-09-06,2,@,Middle Tennessee State,L,3,24
Memphis,2008-09-06,2,,Rice,L,5,42
Miami (FL),2008-09-06,2,@,Florida,L,3,26
Miami (OH),2008-09-06,2,@,Michigan,L,2,16
Michigan,2008-09-06,2,,Miami (OH),W,0,6
Michigan State,2008-09-06,2,,Eastern Michigan,W,1,10
Middle Tennessee State,2008-09-06,2,,Maryland,W,2,14
Minnesota,2008-09-06,2,@,Bowling Green State,W,2,17
Mississippi State,2008-09-06,2,,Southeastern Louisiana,W,1,10
Missouri,2008-09-06,2,,Southeast Missouri State,W,0,3
Nebraska,2008-09-06,2,,San Jose State,W,1,12
Nevada,2008-09-06,2,,Texas Tech,L,5,35
New Mexico,2008-09-06,2,,Texas A&M,L,4,28
North Carolina State,2008-09-06,2,,William & Mary,W,3,24
North Texas,2008-09-06,2,,Tulsa,L,8,56
Northern Illinois,2008-09-06,2,@,Western Michigan,L,4,29
Northwestern,2008-09-06,2,@,Duke,W,2,20
Notre Dame,2008-09-06,1,,San Diego State,W,2,13
Ohio,2008-09-06,2,@,Ohio State,L,3,26
Ohio State,2008-09-06,2,,Ohio,W,2,14
Oklahoma,2008-09-06,2,,Cincinnati,W,4,26
Oklahoma State,2008-09-06,2,,Houston,W,5,37
Ole Miss,2008-09-06,2,@,Wake Forest,L,3,30
Oregon,2008-09-06,2,,Utah State,W,3,24
Oregon State,2008-09-06,2,@,Penn State,L,6,45
Penn State,2008-09-06,2,,Oregon State,W,2,14
Pitt,2008-09-06,2,,Buffalo,W,2,16
Purdue,2008-09-06,1,,Northern Colorado,W,1,10
Rice,2008-09-06,2,@,Memphis,W,5,35
San Diego State,2008-09-06,2,@,Notre Dame,L,3,21
San Jose State,2008-09-06,2,@,Nebraska,L,5,35
SMU,2008-09-06,2,,Texas State,W,5,36
South Florida,2008-09-06,2,@,Central Florida,W,3,24
Southern Mississippi,2008-09-06,2,@,Auburn,L,3,27
Stanford,2008-09-06,2,@,Arizona State,L,5,41
Syracuse,2008-09-06,2,,Akron,L,6,42
Temple,2008-09-06,2,,Connecticut,L,1,12
Texas,2008-09-06,2,@,Texas-El Paso,W,1,13
Texas A&M,2008-09-06,2,@,New Mexico,W,3,22
Texas Christian,2008-09-06,2,,Stephen F. Austin,W,1,7
Texas Tech,2008-09-06,2,@,Nevada,W,1,19
Toledo,2008-09-06,1,@,Arizona,L,5,41
Tulane,2008-09-06,1,@,Alabama,L,3,20
Tulsa,2008-09-06,2,@,North Texas,W,3,26
UAB,2008-09-06,2,@,Florida Atlantic,L,7,49
UCF,2008-09-06,2,,South Florida,L,4,31
UNLV,2008-09-06,2,@,Utah,L,6,42
Utah,2008-09-06,2,,Nevada-Las Vegas,W,3,21
Utah State,2008-09-06,2,@,Oregon,L,9,66
UTEP,2008-09-06,2,,Texas,L,6,42
Virginia,2008-09-06,2,,Richmond,W,0,0
Virginia Tech,2008-09-06,2,,Furman,W,1,7
Wake Forest,2008-09-06,2,,Mississippi,W,4,28
Washington,2008-09-06,2,,Brigham Young,L,4,28
Washington State,2008-09-06,2,,California,L,9,66
West Virginia,2008-09-06,2,@,East Carolina,L,3,24
Western Kentucky,2008-09-06,2,@,Eastern Kentucky,W,1,13
Western Michigan,2008-09-06,2,,Northern Illinois,W,3,26
Wisconsin,2008-09-06,2,,Marshall,W,2,14
Wyoming,2008-09-06,2,,Air Force,L,2,23
North Carolina,2008-09-11,2,@,Rutgers,W,1,12
Rutgers,2008-09-11,2,,North Carolina,L,5,44
Baylor,2008-09-12,3,,Washington State,W,2,17
Kansas,2008-09-12,3,@,South Florida,L,4,37
Louisiana-Monroe,2008-09-12,3,,Alabama A&M,W,1,15
South Florida,2008-09-12,3,,Kansas,W,4,34
Washington State,2008-09-12,3,@,Baylor,L,6,45
Air Force,2008-09-13,3,@,Houston,W,4,28
Akron,2008-09-13,3,,Ball State,L,5,41
Alabama,2008-09-13,3,,Western Kentucky,W,1,7
Arizona,2008-09-13,3,@,New Mexico,L,3,36
Arizona State,2008-09-13,3,,Nevada-Las Vegas,L,2,23
Arkansas State,2008-09-13,3,,Southern Mississippi,L,3,27
Auburn,2008-09-13,3,@,Mississippi State,W,0,2
Ball State,2008-09-13,3,@,Akron,W,3,24
Boise State,2008-09-13,2,,Bowling Green State,W,1,7
Bowling Green State,2008-09-13,3,@,Boise State,L,3,20
Brigham Young,2008-09-13,3,,UCLA,W,0,0
Buffalo,2008-09-13,3,,Temple,W,4,28
California,2008-09-13,3,@,Maryland,L,5,35
Central Michigan,2008-09-13,3,@,Ohio,W,4,28
Clemson,2008-09-13,3,,North Carolina State,W,1,9
Connecticut,2008-09-13,3,,Virginia,W,1,10
Duke,2008-09-13,3,,Navy,W,4,31
East Carolina,2008-09-13,3,@,Tulane,W,3,24
Eastern Michigan,2008-09-13,3,,Toledo,L,6,41
Florida Atlantic,2008-09-13,3,@,Michigan State,L,2,17
Florida State,2008-09-13,2,,Chattanooga,W,1,7
Fresno State,2008-09-13,2,,Wisconsin,L,1,13
Georgia,2008-09-13,3,@,South Carolina,W,1,7
Georgia Tech,2008-09-13,3,@,Virginia Tech,L,2,20
Hawaii,2008-09-13,3,@,Oregon State,L,6,45
Houston,2008-09-13,3,,Air Force,L,4,31
Idaho,2008-09-13,3,,Western Michigan,L,7,51
Illinois,2008-09-13,3,,Louisiana,W,2,17
Iowa,2008-09-13,3,,Iowa State,W,0,5
Iowa State,2008-09-13,3,@,Iowa,L,2,17
Kent State,2008-09-13,3,,Delaware State,W,0,3
Kentucky,2008-09-13,3,,Middle Tennessee State,W,2,14
Louisiana,2008-09-13,2,@,Illinois,L,2,20
LSU,2008-09-13,2,,North Texas,W,0,3
Marshall,2008-09-13,3,,Memphis,W,1,16
Maryland,2008-09-13,3,,California,W,3,27
Memphis,2008-09-13,3,@,Marshall,L,2,17
Miami (OH),2008-09-13,3,,Charleston Southern,W,4,27
Michigan,2008-09-13,3,@,Notre Dame,L,5,35
Michigan State,2008-09-13,3,,Florida Atlantic,W,0,0
Middle Tennessee State,2008-09-13,3,@,Kentucky,L,2,20
Minnesota,2008-09-13,3,,Montana State,W,3,23
Mississippi State,2008-09-13,3,,Auburn,L,0,3
Missouri,2008-09-13,3,,Nevada,W,2,17
Navy,2008-09-13,3,@,Duke,L,5,41
Nebraska,2008-09-13,3,,New Mexico State,W,1,7
Nevada,2008-09-13,3,@,Missouri,L,9,69
New Mexico,2008-09-13,3,,Arizona,W,4,28
New Mexico State,2008-09-13,1,@,Nebraska,L,5,38
North Carolina State,2008-09-13,3,@,Clemson,L,3,27
North Texas,2008-09-13,3,@,Louisiana State,L,5,41
Northwestern,2008-09-13,3,,Southern Illinois,W,1,7
Notre Dame,2008-09-13,2,,Michigan,W,2,17
Ohio,2008-09-13,3,,Central Michigan,L,4,31
Ohio State,2008-09-13,3,@,Southern California,L,5,35
Oklahoma,2008-09-13,3,@,Washington,W,2,14
Oklahoma State,2008-09-13,3,,Missouri State,W,1,13
Ole Miss,2008-09-13,3,,Samford,W,1,10
Oregon,2008-09-13,3,@,Purdue,W,2,26
Oregon State,2008-09-13,3,,Hawaii,W,1,7
Penn State,2008-09-13,3,@,Syracuse,W,1,13
Purdue,2008-09-13,2,,Oregon,L,3,32
Rice,2008-09-13,3,@,Vanderbilt,L,5,38
San Diego State,2008-09-13,3,@,San Jose State,L,5,35
San Jose State,2008-09-13,3,,San Diego State,W,1,10
SMU,2008-09-13,3,@,Texas Tech,L,6,43
South Carolina,2008-09-13,3,,Georgia,L,1,14
Southern Mississippi,2008-09-13,3,@,Arkansas State,W,3,24
Stanford,2008-09-13,3,@,Texas Christian,L,4,31
Syracuse,2008-09-13,3,,Penn State,L,7,55
Temple,2008-09-13,3,@,Buffalo,L,4,30
Tennessee,2008-09-13,2,,Alabama-Birmingham,W,0,3
Texas Christian,2008-09-13,3,,Stanford,W,2,14
Texas Tech,2008-09-13,3,,Southern Methodist,W,1,7
Toledo,2008-09-13,2,@,Eastern Michigan,W,2,17
Troy,2008-09-13,2,,Alcorn State,W,0,0
Tulane,2008-09-13,2,,East Carolina,L,4,28
UAB,2008-09-13,3,@,Tennessee,L,5,35
UCLA,2008-09-13,2,@,Brigham Young,L,8,59
UNLV,2008-09-13,3,@,Arizona State,W,2,20
USC,2008-09-13,2,,Ohio State,W,0,3
Utah,2008-09-13,3,@,Utah State,W,1,10
Utah State,2008-09-13,3,,Utah,L,7,58
Vanderbilt,2008-09-13,3,,Rice,W,3,21
Virginia,2008-09-13,3,@,Connecticut,L,6,45
Virginia Tech,2008-09-13,3,,Georgia Tech,W,2,17
Washington,2008-09-13,3,,Oklahoma,L,8,55
Western Kentucky,2008-09-13,3,@,Alabama,L,5,41
Western Michigan,2008-09-13,3,@,Idaho,W,4,28
Wisconsin,2008-09-13,3,@,Fresno State,W,1,10
Wyoming,2008-09-13,3,,North Dakota State,W,1,13
Kansas State,2008-09-17,3,@,Louisville,L,5,38
Louisville,2008-09-17,3,,Kansas State,W,4,29
Colorado,2008-09-18,3,,West Virginia,W,2,14
West Virginia,2008-09-18,3,@,Colorado,L,2,17
Baylor,2008-09-19,4,@,Connecticut,L,4,31
Connecticut,2008-09-19,4,,Baylor,W,4,28
Air Force,2008-09-20,4,,Utah,L,4,30
Akron,2008-09-20,4,@,Army,W,0,3
Alabama,2008-09-20,4,@,Arkansas,W,2,14
Arizona,2008-09-20,4,@,UCLA,W,1,10
Arizona State,2008-09-20,4,,Georgia,L,3,27
Arkansas,2008-09-20,3,,Alabama,L,7,49
Arkansas State,2008-09-20,4,,Middle Tennessee State,W,2,14
Army,2008-09-20,3,,Akron,L,2,22
Auburn,2008-09-20,4,,Louisiana State,L,3,26
Ball State,2008-09-20,4,@,Indiana,W,2,20
Boise State,2008-09-20,3,@,Oregon,W,5,32
Boston College,2008-09-20,3,,Central Florida,W,1,7
Brigham Young,2008-09-20,4,,Wyoming,W,0,0
Buffalo,2008-09-20,4,@,Missouri,L,5,42
Central Michigan,2008-09-20,4,@,Purdue,L,4,32
Cincinnati,2008-09-20,3,,Miami (OH),W,2,20
Clemson,2008-09-20,4,,South Carolina State,W,0,0
Colorado State,2008-09-20,3,,Houston,W,3,25
East Carolina,2008-09-20,4,@,North Carolina State,L,4,30
Eastern Michigan,2008-09-20,4,@,Maryland,L,6,51
Florida,2008-09-20,3,@,Tennessee,W,1,6
Florida Atlantic,2008-09-20,4,@,Minnesota,L,5,37
Florida International,2008-09-20,3,,South Florida,L,2,17
Florida State,2008-09-20,3,,Wake Forest,L,0,12
Fresno State,2008-09-20,3,@,Toledo,W,7,54
Georgia,2008-09-20,4,@,Arizona State,W,1,10
Georgia Tech,2008-09-20,4,,Mississippi State,W,1,7
Houston,2008-09-20,4,@,Colorado State,L,4,28
Idaho,2008-09-20,4,@,Utah State,L,6,42
Indiana,2008-09-20,3,,Ball State,L,6,42
Iowa,2008-09-20,4,@,Pittsburgh,L,3,21
Iowa State,2008-09-20,4,@,Nevada-Las Vegas,L,5,34
Kansas,2008-09-20,4,,Sam Houston State,W,2,14
Kent State,2008-09-20,4,@,Louisiana,L,6,44
Louisiana,2008-09-20,3,,Kent State,W,4,27
Louisiana Tech,2008-09-20,3,,Southeastern Louisiana,W,2,26
Louisiana-Monroe,2008-09-20,4,@,Tulane,L,3,24
LSU,2008-09-20,3,@,Auburn,W,3,21
Marshall,2008-09-20,4,@,Southern Mississippi,W,3,27
Maryland,2008-09-20,4,,Eastern Michigan,W,3,24
Memphis,2008-09-20,4,,Nicholls State,W,1,10
Miami (FL),2008-09-20,3,@,Texas A&M,W,3,23
Miami (OH),2008-09-20,4,@,Cincinnati,L,6,45
Michigan State,2008-09-20,4,,Notre Dame,W,1,7
Middle Tennessee State,2008-09-20,4,@,Arkansas State,L,4,31
Minnesota,2008-09-20,4,,Florida Atlantic,W,0,3
Mississippi State,2008-09-20,4,@,Georgia Tech,L,5,38
Missouri,2008-09-20,4,,Buffalo,W,3,21
Navy,2008-09-20,4,,Rutgers,W,3,21
New Mexico,2008-09-20,4,@,Tulsa,L,8,56
New Mexico State,2008-09-20,2,@,Texas-El Paso,W,4,33
North Carolina,2008-09-20,3,,Virginia Tech,L,2,20
North Carolina State,2008-09-20,4,,East Carolina,W,3,24
Northern Illinois,2008-09-20,3,,Indiana State,W,0,3
Northwestern,2008-09-20,4,,Ohio,W,1,8
Notre Dame,2008-09-20,3,@,Michigan State,L,2,23
Ohio,2008-09-20,4,@,Northwestern,L,1,16
Ohio State,2008-09-20,4,,Troy,W,1,10
Ole Miss,2008-09-20,4,,Vanderbilt,L,2,23
Oregon,2008-09-20,4,,Boise State,L,4,37
Penn State,2008-09-20,4,,Temple,W,0,3
Pitt,2008-09-20,3,,Iowa,W,2,20
Purdue,2008-09-20,3,,Central Michigan,W,3,25
Rice,2008-09-20,4,@,Texas,L,7,52
Rutgers,2008-09-20,3,@,Navy,L,2,23
San Jose State,2008-09-20,4,@,Stanford,L,2,23
SMU,2008-09-20,4,,Texas Christian,L,6,48
South Carolina,2008-09-20,4,,Wofford,W,1,13
South Florida,2008-09-20,4,@,Florida International,W,1,9
Southern Mississippi,2008-09-20,4,,Marshall,L,4,34
Stanford,2008-09-20,4,,San Jose State,W,1,10
Syracuse,2008-09-20,4,,Northeastern,W,3,21
Temple,2008-09-20,4,@,Penn State,L,6,45
Tennessee,2008-09-20,3,,Florida,L,3,30
Texas,2008-09-20,3,,Rice,W,1,10
Texas A&M,2008-09-20,3,,Miami (FL),L,5,41
Texas Christian,2008-09-20,4,@,Southern Methodist,W,1,7
Texas Tech,2008-09-20,4,,Massachusetts,W,2,14
Toledo,2008-09-20,3,,Fresno State,L,7,55
Troy,2008-09-20,3,@,Ohio State,L,4,28
Tulane,2008-09-20,3,,Louisiana-Monroe,W,1,10
Tulsa,2008-09-20,3,,New Mexico,W,2,14
UAB,2008-09-20,4,,Alabama State,W,1,10
UCF,2008-09-20,3,@,Boston College,L,4,34
UCLA,2008-09-20,3,,Arizona,L,4,31
UNLV,2008-09-20,4,,Iowa State,W,4,31
Utah,2008-09-20,4,@,Air Force,W,3,23
Utah State,2008-09-20,4,,Idaho,W,2,17
UTEP,2008-09-20,3,,New Mexico State,L,5,34
Vanderbilt,2008-09-20,4,@,Mississippi,W,2,17
Virginia Tech,2008-09-20,4,@,North Carolina,W,2,17
Wake Forest,2008-09-20,3,@,Florida State,W,0,3
Washington State,2008-09-20,4,,Portland State,W,1,9
Western Kentucky,2008-09-20,4,,Murray State,W,1,9
Western Michigan,2008-09-20,4,,Tennessee Tech,W,1,7
Wyoming,2008-09-20,4,@,Brigham Young,L,6,44
Oregon State,2008-09-25,4,,Southern California,W,3,21
SMU,2008-09-25,5,@,Tulane,L,4,34
Tulane,2008-09-25,4,,Southern Methodist,W,3,27
USC,2008-09-25,3,@,Oregon State,L,4,27
Connecticut,2008-09-26,5,@,Louisville,W,3,21
Louisville,2008-09-26,4,,Connecticut,L,3,26
Akron,2008-09-27,5,,Cincinnati,L,2,17
Alabama,2008-09-27,5,@,Georgia,W,4,30
Arkansas,2008-09-27,4,@,Texas,L,7,52
Arkansas State,2008-09-27,5,@,Memphis,L,3,29
Army,2008-09-27,4,@,Texas A&M,L,3,21
Auburn,2008-09-27,5,,Tennessee,W,1,12
Ball State,2008-09-27,5,,Kent State,W,3,20
Boston College,2008-09-27,4,,Rhode Island,W,0,0
Bowling Green State,2008-09-27,4,@,Wyoming,W,2,16
Buffalo,2008-09-27,5,@,Central Michigan,L,3,27
California,2008-09-27,4,,Colorado State,W,1,7
Central Michigan,2008-09-27,5,,Buffalo,W,3,25
Cincinnati,2008-09-27,4,@,Akron,W,2,15
Clemson,2008-09-27,5,,Maryland,L,2,20
Colorado,2008-09-27,4,@,Florida State,L,4,39
Colorado State,2008-09-27,4,@,California,L,6,42
Duke,2008-09-27,4,,Virginia,W,0,3
East Carolina,2008-09-27,5,,Houston,L,5,41
Eastern Michigan,2008-09-27,5,,Northern Illinois,L,5,37
Florida,2008-09-27,4,,Mississippi,L,4,31
Florida International,2008-09-27,4,@,Toledo,W,1,16
Florida State,2008-09-27,4,,Colorado,W,3,21
Fresno State,2008-09-27,4,@,UCLA,W,3,31
Georgia,2008-09-27,5,,Alabama,L,5,41
Hawaii,2008-09-27,4,,San Jose State,L,2,20
Houston,2008-09-27,5,@,East Carolina,W,3,24
Idaho,2008-09-27,5,@,San Diego State,L,6,45
Illinois,2008-09-27,4,@,Penn State,L,5,38
Indiana,2008-09-27,4,,Michigan State,L,4,42
Iowa,2008-09-27,5,,Northwestern,L,3,22
Kansas State,2008-09-27,4,,Louisiana,W,5,37
Kent State,2008-09-27,5,@,Ball State,L,5,41
Kentucky,2008-09-27,4,,Western Kentucky,W,0,3
Louisiana,2008-09-27,4,@,Kansas State,L,6,45
LSU,2008-09-27,4,,Mississippi State,W,3,24
Marshall,2008-09-27,5,@,West Virginia,L,3,27
Maryland,2008-09-27,5,@,Clemson,W,2,17
Memphis,2008-09-27,5,,Arkansas State,W,2,17
Miami (FL),2008-09-27,4,,North Carolina,L,4,28
Michigan,2008-09-27,4,,Wisconsin,W,2,25
Michigan State,2008-09-27,5,@,Indiana,W,4,29
Minnesota,2008-09-27,5,@,Ohio State,L,4,34
Mississippi State,2008-09-27,5,@,Louisiana State,L,4,34
Navy,2008-09-27,5,@,Wake Forest,W,2,17
Nebraska,2008-09-27,4,,Virginia Tech,L,3,35
Nevada,2008-09-27,4,@,Nevada-Las Vegas,W,3,27
New Mexico,2008-09-27,5,@,New Mexico State,W,3,24
New Mexico State,2008-09-27,3,,New Mexico,L,4,35
North Carolina,2008-09-27,4,@,Miami (FL),W,3,24
North Carolina State,2008-09-27,5,,South Florida,L,4,41
North Texas,2008-09-27,4,@,Rice,L,11,77
Northern Illinois,2008-09-27,4,@,Eastern Michigan,W,0,0
Northwestern,2008-09-27,5,@,Iowa,W,2,17
Notre Dame,2008-09-27,4,,Purdue,W,3,21
Ohio,2008-09-27,5,,Virginia Military Institute,W,4,31
Ohio State,2008-09-27,5,,Minnesota,W,2,21
Oklahoma,2008-09-27,4,,Texas Christian,W,1,10
Oklahoma State,2008-09-27,4,,Troy,W,3,24
Ole Miss,2008-09-27,5,@,Florida,W,4,30
Oregon,2008-09-27,5,@,Washington State,W,2,14
Penn State,2008-09-27,5,,Illinois,W,3,24
Pitt,2008-09-27,4,@,Syracuse,W,3,24
